en_ar_DEEP	MatCoop
"ويؤكد مجلس الأمن الحاجة الملحة إلى حل جميع الجماعات المسلحة غير الشرعية ونزع سلاحها.	0
وكانت هناك دبابات وناقلات جنود مسلحة وقاذفات صواريخ متمركزة مسبقا في مناطق معينة من أبيدجان.	0
على سبيل المثال، سمحت صعوبة مراقبة الحدود في منطقة الساحل والصحراء لتنظيم القاعدة في بلاد المغرب الإسلامي* وشركائه بالتحرك بحرية، وجمع الأموال من التهريب، والحصول على الأسلحة والمتفجرات، وتدريب المجندين الجدد في أمان نسبي.	0
ومن بين الاجتماعات التي حضرتها مؤتمران أدىا إلى تقديم طلب محدد إلى مكتب الأمم المتحدة المعني بالمخدرات والجريمة لتنظيم حلقات عمل بشأن إعداد التقارير لدول من أفريقيا ومنطقة البحر الكاريبي/أمريكا اللاتينية التي تدين بتقديم تقارير إلى واحدة أو أكثر من لجان مجلس الأمن الثلاث المعنية بمكافحة الإرهاب .	0
44 - وواصل مكتب الأمم المتحدة المشترك لحقوق الإنسان التحقيق في الانتهاكات المزعومة لحقوق الإنسان والقانون الإنساني الدولي التي ارتكبتها الجماعات المسلحة وقوات الأمن الوطنية.	1
وسيكون لتقديم الدعم اللوجستي المحتمل للعملية الانتخابية آثار دعم كبيرة، بما في ذلك في المناطق غير المتضررة من النزاع حيث قلصت البعثة وجودها.	1
ولذلك ستحيل اللجنة التوصيات إلى لجنة مكافحة الإرهاب المنشأة عملا بالقرار 1373 (2001).	0
وإذ يحيط علما بطلب حكومة أفغانستان أن يدعم مجلس الأمن المصالحة الوطنية، بما في ذلك عن طريق إزالة الأسماء من قوائم جزاءات الأمم المتحدة لأولئك الذين يتصالحون، وبالتالي، توقفوا عن المشاركة في أو دعم الأنشطة التي تهدد السلام والاستقرار والأمن. أمن أفغانستان،	1
وقُتل أحد ضباط الشرطة الوطنية وأصيب اثنان.	0
وعلى الرغم من إعلان الرئيس السابق كومباوري في الراديو، في وقت لاحق من اليوم، سحب مشروع القانون وإعلان حالة الطوارئ، فقد اشتدت الاحتجاجات العنيفة في واغادوغو وامتدت إلى خارج العاصمة.	0
تم دمج تحليل النوع الاجتماعي في تقييم الاحتياجات بعد الصراع والتدريب المرتبط به. تم إجراء تقييم تجريبي لاحتياجات ما بعد الصراع يراعي النوع الاجتماعي.	1
سابعا. بناء القدرات ودعم المحاكمات المتعلقة بالقرصنة في المنطقة	1
وأكدت الهيئة من جديد التزامها الثابت بقيم التضامن والمبادئ المقدسة للديمقراطية والسلام والحكم الرشيد من أجل منطقة مستقرة ومتكاملة للغاية.	0
وإذ يؤكد من جديد ضرورة امتثال جميع الدول والأطراف من غير الدول في النزاعات امتثالاً كاملاً لالتزاماتها بموجب القانون الدولي المعمول به، بما في ذلك حظر جميع أشكال العنف الجنسي،	0
ويؤكد دور الهيئة العليا لوسائط الإعلام، واللجنة الدولية للشخصيات البارزة، واللجنة الدولية لدعم العملية الانتقالية في تعزيز حسن سير العملية الانتخابية وتهيئة مناخ سياسي هادئ، ويؤكد من جديد دعمه لها.	1
ولا يمكن معالجة ظاهرة المقاتلين الإرهابيين الأجانب بالوسائل الأمنية وحدها.	1
5 - كما تم إحراز تقدم كبير في إنشاء مجالس بلدية فاعلة. وفي 11 نوفمبر/تشرين الثاني، أدى أكثر من 800 عضو من أعضاء المجالس الجديدة اليمين الدستورية.	1
يطالب جميع الأطراف بالوقف الفوري لجميع أشكال العنف وانتهاكات حقوق الإنسان ضد السكان المدنيين في [البلد المتضرر]، ولا سيما العنف القائم على نوع الجنس، بما في ذلك الاغتصاب وغيره من أشكال العنف الجنسي...	0
وكان من المقرر أيضًا جمع مواد أساسية أخرى وتحليلها من أجل تحديد القضايا التي ساهمت في الأزمة. وتتحقق اللجنة بعد ذلك من صحة المعلومات الواردة في هذه المواد والتقارير، فضلاً عن إثبات المزيد من الحقائق، من خلال إجراء مقابلات مع الشهود والمسؤولين وغيرهم من الأشخاص الذين يشغلون مناصب في السلطة، فضلاً عن الأشخاص المحتجزين لدى الشرطة أو المحتجزين في السجن، ومن خلال زيارة الأماكن التي تم الإبلاغ عن ارتكاب جرائم فيها أو وقوع حوادث أخرى.	1
"ويؤكد مجلس الأمن أن الاستقرار والأمن يظلان عنصرين أساسيين في جهود إعادة البناء السياسي والاقتصادي التي تبذلها الحكومة الانتقالية والمجتمع الدولي.	0
ومن هذه الأمثلة، يمكن للمرء أن يستنتج أن هناك حالات يتصرف فيها مجلس الأمن، في مواجهة جرائم مروعة في مجال حقوق الإنسان، نيابة عن العدالة.	1
على سبيل المثال، أجرت بولندا وكرواتيا، بدعم من مكتب شؤون نزع السلاح، استعراض نظراء لتنفيذهما للقرار، يتألف من جولتين من المناقشات والأنشطة في وارسو وزغرب، راقبها خبراء اللجنة. وقد ساعد استعراض النظراء هذا على تحديد الممارسات الفعالة وتسهيل تبادل الخبرات.	1
16 - يكرر على جميع الدول أهمية أن يقترح على اللجنة أسماء أعضاء تنظيم القاعدة وحركة الطالبان أو المرتبطين بأسامة بن لادن وغيرهم من الأفراد والجماعات والمؤسسات والكيانات المرتبطة بهم لإدراجهم في قائمة اللجنة. ما لم يكن القيام بذلك من شأنه أن يعرض التحقيقات أو إجراءات الإنفاذ للخطر؛	0
ولذلك شعرنا بخيبة الأمل لأن تقرير الأمين العام (S/2011/540) أوصى فقط بسحب جزئي للقوات الإضافية.	0
11. يعرب عن استعداده للنظر في كيفية تمكن ولايات حفظ السلام من معالجة التأثير السلبي للصراع المسلح على المدنيين بشكل أفضل؛	0
تم اعتماد بيانات رئاسية بشأن الأطفال والصراع المسلح (S/PRST/2002/12)، وتيمور الشرقية (S/PRST/2002/13)، والانتخابات في سيراليون (S/PRST/2002/14)، وقبول النازحين الجدد. الأعضاء (S/PRST/2002/15)، وكوسوفو (S/PRST/2002/16)، وجمهورية الكونغو الديمقراطية (S/PRST/2002/17)، وقوة الأمم المتحدة لمراقبة فض الاشتباك (S/PRST/2002/18).	1
إنشاء ومساعدة وسائل الإعلام والمعلومات المحلية والدولية لدعم عمليات السلام.	1
ووقعت أيضا مواجهات بين الجماعات المسلحة التابعة لحكومة مالي والجماعات المسلحة الممثلة في محادثات الجزائر العاصمة، على الرغم من التزامات مختلف الأطراف بوقف إطلاق النار. وفي 9 أكتوبر/تشرين الأول، اعترضت القوات الفرنسية والنيجيرية قافلة تحمل أسلحة ومدافع هاون وأسلحة مضادة للطائرات، كانت تتحرك عبر شمال النيجر باتجاه مالي، ودمرتها. وبحسب ما ورد تم تسليم الأسلحة إلى أنصار الدين. في 12 أكتوبر/تشرين الأول، ألقت قوات الأمن الموريتانية القبض على أربعة أشخاص يشتبه في قيامهم بإقامة اتصالات مع جهاديين وتجنيد أفراد لتنظيم الدولة الإسلامية في العراق والشام (داعش) في مدينة الزويرات المنجمية شمال البلاد.	0
وما لم تعالج الحكومة هذه الأمور، فإنها يمكن أن تشكل تهديدات خطيرة لأمن واستقرار تيمور - ليشتي.	0
تم تعيين متخصص في الحماية. تم إعداد وتوزيع كتيب عن اتفاقية حقوق الطفل. ز.2. وضع وتنفيذ استراتيجيات وبرامج بشأن الوقاية والاستجابة للعنف القائم على النوع الاجتماعي في النزاعات المسلحة. (برئاسة مكتب تنسيق الشؤون الإنسانية ومنظمة الصحة العالمية)	1
وتعرض الجنود، الذين كانوا مسلحين بأسلحة إم 16 وقذائف آر بي جي، لنيران أسلحة آلية ثقيلة من الشرق. وردوا بإطلاق نار كثيف، بما في ذلك إطلاق عدة قنابل يدوية، وتم تعزيزهم بجنود من قوات الدفاع طوال اليوم.	0
ثانياً، من خلال العمل جنباً إلى جنب مع الجهات المانحة وغيرها من المنظمات الشريكة ذات الصلة، سوف يسهل عقد ورشة عمل إقليمية للشرطة والمدعين العامين حول التعاون عبر الحدود، والتي ستعقد في بنغلاديش.	1
ومن المعقول الافتراض أن تواجد الشرطة هو لأسباب سياسية أكثر من كونه أي شكل من أشكال الحماية.	0
وسوف تكون هناك حاجة أيضاً إلى المساعدات الثنائية من جانب المانحين للسماح بالاستجابة الفعالة للتهديدات الأمنية التي تشكلها تدفقات المخدرات والأسلحة.	0
توثيق أفضل الممارسات بشأن القضايا المواضيعية والمجالات الوظيفية؛ والمراجعات المكتبية وورش العمل حول أفضل الممارسات؛ إنشاء شبكة إلكترونية للتعلم وتبادل المعلومات بين مستشاري الشؤون الجنسانية.	1
وأجمع أعضاء المجلس على الإعراب عن قلقهم إزاء حالة عملية السلام وأعربوا عن أملهم في أن يؤدي الاجتماع القادم لفريق أصدقاء الأمين العام إلى دفع هذه العملية إلى الأمام. حالات أخرى	0
:: تسليط الضوء على الممارسات الجيدة في معالجة المخاطر المحددة والاستجابة لاحتياجات وقدرات وأولويات النساء والفتيات اللاجئات والمشردات داخلياً وعديمي الجنسية أثناء الفرار وأثناء التشرد وعند العودة، بما في ذلك الاحتياجات الخاصة لمختلف فئات النساء والفتيات الذين يتعرضون لأشكال متعددة ومتقاطعة من التمييز، بالتشاور مع منظمات المجتمع المدني المحلية والنساء والفتيات أنفسهن	1
:: يمكن لمجلس الأمن أن يكون أكثر فعالية في تشجيع الدول على بذل المزيد من الجهود للتحقيق في الانتهاكات الجسيمة للقانون الإنساني الدولي ومقاضاة مرتكبيها. كيف يمكن تقييم ذلك؟ كيف يمكن للمجلس "تحفيز" الدول على العمل من أجل مكافحة الإفلات من العقاب؟	0
أرسل العقيد ليري عدائين لتوصيل الأمر إلى الجنود الذين ليسوا على مرمى البصر.	0
ويؤكد المجلس من جديد أو يذكر أو يكرر بانتظام مطالبته بأن تقوم الدول بإنفاذ عمليات الحظر الحالية على الأسلحة، حيث لا يزال تنفيذها يشكل تحديات كبيرة.	0
في يوم الانفجار، تم استجواب 10 أشخاص، وعلى مدار الشهرين التاليين، تمت مقابلة ما يقرب من 40 شخصًا.	1
ويؤدي تبادل المعلومات إلى تعزيز تقييم مخاطر الانتشار للفرص التجارية. ولذلك، فإن تبادل المعلومات أمر بالغ الأهمية لمصلحة جميع الجهات الفاعلة في القطاع الخاص ويفيد الشركات ذات الموارد الأقل مثل المؤسسات الصغيرة والمتوسطة الحجم.	0
ويجري اتخاذ مثل هذه الإجراءات على الرغم من الموقف السلبي الواضح الذي اتخذه الممثل الخاص للأمين العام وباعتباره تحديا للأمم المتحدة ومجلس الأمن.	0
وإذ يشير إلى البيان الرئاسي الصادر عن مجلس الأمن (S/PRST/2012/17) المؤرخ 4 أيار/مايو 2012 بشأن التهديدات التي يتعرض لها السلام والأمن الدوليان بسبب الأعمال الإرهابية،	0
وتلقت اللجنة 11 إخطارا من الدول الأعضاء التي تزود السلطات الكونغولية بالمعدات العسكرية وأرسلت عددا مماثلا من رسائل الشكر.	1
لقد شعرنا بخيبة الأمل، سيدي الرئيس، لأنه على الرغم من جهودكم وجهود كثيرين آخرين، لم يتمكن المجلس من إدانة ذلك الهجوم الإرهابي الشنيع.	0
وترى اللجنة أن حوادث التعذيب قد ترقى بالتالي إلى مستوى جريمة ضد الإنسانية، ونظراً للطبيعة التمييزية للهجمات، فقد تنطوي أيضاً على جريمة الاضطهاد باعتبارها جريمة ضد الإنسانية.	0
ولهذا الغرض، تم منحها صلاحيات واسعة النطاق، بما في ذلك الوصول غير المقيد إلى جميع سجلات الممتلكات في البوسنة والهرسك.	1
وإذ يدعو المجتمع الدولي، ولا سيما بلدان المنطقة وجيران العراق، إلى دعم الشعب العراقي في سعيه لتحقيق السلام والاستقرار والأمن والديمقراطية والرخاء، ويرحب بمؤتمرات الجيران الموسعة التي عقدت في شرم الشيخ واسطنبول والكويت ودورهم في دعم جهود حكومة العراق لتحقيق الأمن والاستقرار في العراق، وما يترتب على ذلك من نتائج إيجابية على السلام والأمن الإقليميين والدوليين، وإذ يرحبون أيضا بمؤتمر الجيران الموسع الذي عقد في الكويت في 22 نيسان/أبريل وافق عام 2008 على اختصاصات آلية الدعم، وإذ يلاحظ أن التنفيذ الناجح لهذا القرار سيسهم في الاستقرار الإقليمي،	0
كما زار مخيم اللاجئين بالعيون.	0
32 - ولم يطلب المجلس حتى الآن أن يقدم الأمين العام تقريرا إلى المجلس عن جهوده، كما دعي في بيانيه الرئاسيين في عامي 2009 و 2010، لتعميم مراعاة مسألة الاتجار بالمخدرات كعامل في منع نشوب الصراعات. الاستراتيجيات، وتحليل الصراعات، وتقييم البعثات المتكاملة وتخطيطها، ودعم بناء السلام.	0
وأدى المرسوم إلى مزيد من التطورات فيما يتعلق بدمج الجماعات المسلحة الكونغولية في القوات المسلحة لجمهورية الكونغو الديمقراطية.	1
ونتيجة لذلك، فإن المعاملات المشبوهة في تمويل الأعمال الإرهابية ستخضع لنفس نظام الإبلاغ والتعليق الذي تخضع له المعاملات المشبوهة في غسل الأموال.	1
وقد تم احتجازها هي ووالد السيد أبو عدس، تيسير، بشكل غير قانوني لمدة 10 أيام تقريبًا.	0
ويشكل إنشاء برامج موقعية منتظمة للتفتيش على الكيانات المبلغة، من أجل ضمان الامتثال لمتطلبات مكافحة غسل الأموال/مكافحة تمويل الإرهاب، تحديا كبيرا لبعض الدول، لأنها عملية كثيفة الاستخدام للموارد.	1
(ب) معالجة أوجه القصور في تجريم تمويل الإرهاب وإدراجه كجريمة أصلية لغسل الأموال، ومعالجة أوجه القصور في تجميد أصول الإرهابيين، وخاصة من خلال السماح بالضمانات الكافية وإدراج الإعفاءات الإنسانية في إجراءات التجميد؛	0
ويتم إجراء عمليات محددة لجمع الأسلحة والذخائر التي تم تسليمها طوعًا، بموجب شروط العفو، أو في عمليات أكثر توجيهًا إذا لزم الأمر.	1
يتشرف فريق الدعم التحليلي ورصد الجزاءات، المنشأ عملا بقرار مجلس الأمن 1526 (2004) والممدَّد بموجب قرار مجلس الأمن 1904 (2009) بشأن تنظيم القاعدة وحركة الطالبان وما يرتبط بهما من أفراد وكيانات، بأن يحيل تقريره الحادي عشر، وفقا للقرار 1904 (2009).	0
وقد أنشأت إحدى الدول برنامجاً متعدد الأوجه للتنوع والتماسك الاجتماعي، في عام 2010، يهدف إلى تعزيز الاحترام المتبادل والشعور بالانتماء لدى الجميع وبناء قدرة المجتمع على التكيف.	1
ويمثل قرار الاتحاد الأوروبي بفتح المفاوضات من أجل التوصل إلى اتفاق لتحقيق الاستقرار والانتساب علامة بارزة في هذا الصدد.	0
609) تستند توصية اللجنة بإحالة مجلس الأمن إلى المحكمة الجنائية الدولية إلى الافتراض الصحيح بأن المحاكم السودانية غير راغبة وغير قادرة على محاكمة الجرائم الدولية العديدة التي ارتكبت في دارفور منذ عام 2003.	0
ويكرر المجلس أهمية تلبية احتياجات المرأة في مجال بناء السلام وإشراكها في وضع وتنفيذ استراتيجيات ما بعد النزاع.	0
وأعرب أعضاء المجلس في ردودهم عن اعترافهم بالطابع المستهدف لجزاءات المجلس، وتطبيقها على نطاق واسع على مجموعة من التهديدات التي يتعرض لها السلام والأمن الدوليان، مما يستلزم، في جملة أمور، مساعدة الدول على استعادة الاستقرار، وحماية السكان المدنيين في الصراعات. ومكافحة الإرهاب وانتشار أسلحة الدمار الشامل.	0
وفي هذا الصدد، يشيد المجلس بالجهود التي بذلتها حتى الآن جمهورية أفريقيا الوسطى وجمهورية الكونغو الديمقراطية وجمهورية جنوب السودان وأوغندا لإنهاء التهديد الذي يشكله جيش الرب للمقاومة، ويحث على بذل المزيد من الجهود. من هذه الدول، وكذلك من دول أخرى في المنطقة.	0
وكان أحد المعتقلين هو السائق والحارس الشخصي لماجد حمدان، شقيق مصطفى حمدان، الذي يدير شركة يقال إنها توفر الأمن لفندق سان جورج.	0
وسنعمل معًا على البناء نحو اليوم الذي تتولى فيه القوات العراقية المسؤولية الكاملة عن حفظ الأمن والاستقرار في العراق.	1
هناك أيضًا تقارير موثوقة تفيد بأن أكثر من 20 شخصًا قد يكونون قد اختفوا، وتخشى أسرهم من الإبلاغ عن اختفائهم إلى السلطات المختصة.	0
ومن المتوقع أن توفر مناقشة هذه المسألة في الجمعية العامة زخما إضافيا هاما لإنشاء نظام عالمي فعال لمواجهة التهديدات والتحديات الجديدة، لصالح جميع أعضاء المجتمع الدولي.	0
إدراكا للأهمية والإلحاح الذي تمثله مسألة شاملة مثل مكافحة الإرهاب، ومن أجل تزويد لجنة مكافحة الإرهاب بمعلومات إضافية ذات صلة، قدمت حكومة الجمهورية التشيكية، كمرفق منفصل لتقريرها الخامس، القانون رقم 11. القانون رقم 61/1996 الخاص ببعض التدابير لمكافحة تقنين عائدات الجريمة وتعديل وتكميل الأفعال المرتبطة بها.	0
ومع ذلك، فإن الإمكانات المتبقية لدى حركة النهضة في تقويض التقدم الملموس في تحقيق الاستقرار في إيتوري تظل مثيرة للقلق، لا سيما في ضوء عجز الحكومة الانتقالية حتى الآن عن تقديم قادة الجماعات المسلحة إلى العدالة ومنع تحركاتهم من وإلى أوغندا.	0
ووفقا لتلك القرارات، يجب على هذا الجهاز أن يطالب حكومة الولايات المتحدة بالحكم فورا على لويس بوسادا كاريليس بسبب أعماله الإرهابية أو تسليمه إلى جمهورية فنزويلا البوليفارية، التي ظل نظامها القضائي يلاحقه منذ سنوات.	0
وقد سنت جميع الدول قوانين لمنع وقمع حركة الإرهابيين عبر الحدود، وتتخذ أربع دول خطوات فعالة لملاحقة المجرمين.	1
وفيما يتعلق بالجرائم العرقية، فإن آلية إنفاذ القانون ضعيفة أيضًا.	0
وبعبارة أخرى، فإن اللجنة الوطنية كانت على علم تام بالادعاءات الخطيرة المتعلقة بالجرائم المرتكبة في دارفور.	0
إلا أن المعلومات التي قدمها الشرتاي والعمد المرافقون للجنة الوطنية، والأدلة المتوفرة، تشير إلى أن جميع الأطراف كانت مسؤولة، في ظل ظروف الصراع المشتعل، عن إحراق القرى.	0
فأجاب بأن الحرب أزالت المتطلبات الأساسية لسيادة القانون وأن إحدى المشاكل الخاصة التي تمت مواجهتها هي غياب القضاة في مواجهة الجيوش المتقدمة.	0
وينبغي تطوير القدرات الكافية في المجالات الرئيسية لإدارة الأزمات المدنية، مثل الشرطة، والعدالة وسيادة القانون، وإعداد العمليات الانتخابية ومراقبة الانتخابات، والحماية المدنية والإدارة العامة.	1
وفي مشاورات مغلقة، أطلع المبعوث الخاص المجلس على أولوياته ومشاوراته الأولية وأفكاره بشأن سبل المضي قدما. وقال إن بيان جنيف الصادر في 30 حزيران/يونيه 2014 لا يزال سارياً، وإنه قد وضع معايير عامة للتوصل إلى حل عن طريق التفاوض في المستقبل.	0
13 - وقد أدى هذا الوضع إلى تعقيد الجهود الرامية إلى تحقيق السلام والمصالحة.	0
56 - يعكف فريق سياسات البعثة المعني بالاستغلال والاعتداء الجنسيين على وضع الصيغة النهائية لمدونة قواعد السلوك لعملية الأمم المتحدة في كوت ديفوار بشأن الاستغلال والاعتداء الجنسيين، ويشارك في الشبكة القطرية المعنية بالاستغلال والاعتداء الجنسيين.	1
وخلص التحقيق الفني، من بين أمور أخرى، إلى أن الضرر الذي لوحظ في الجزء الأمامي من الطائرة يبدو أنه يشير إلى أن الطائرة قد اخترقتها عدد كبير من الأجسام عالية الطاقة من خارج الطائرة.	1
يشرفني أن أبلغكم أن المملكة المتحدة، بصفتها رئيسة مجلس الأمن لشهر آب/أغسطس، قررت عقد جلسة إحاطة في 19 آب/أغسطس بمناسبة اليوم العالمي للعمل الإنساني. وستركز الإحاطة على حماية العاملين في المجال الإنساني، في إطار بند جدول الأعمال المتعلق بحماية المدنيين في النزاعات المسلحة.	0
"ويشدد مجلس الأمن على استمرار الحاجة إلى اتخاذ تدابير لمنع وقمع تمويل الإرهاب والمنظمات الإرهابية، ويكرر تأكيد التزامات الدول الأعضاء في هذا الصدد، بما في ذلك التنفيذ الفعال لهذه التدابير، وينوه بالعمل الهام الذي تضطلع به كيانات الأمم المتحدة ومنظماتها. والمنظمات المتعددة الأطراف الأخرى، ولا سيما فرقة العمل المعنية بالإجراءات المالية.	1
دعوة أطراف النزاع المسلح إلى اتخاذ التدابير المناسبة لاحترام وضمان احترام القانون الدولي الإنساني وقانون حقوق الإنسان، بما في ذلك عن طريق:	0
هـ. من أجل مساعدة الحكومة في تنفيذ برنامجها وتعزيز آليات المتابعة القائمة، يتم إنشاء مجموعة عمل دولية على المستوى الوزاري، تجتمع مرة واحدة شهرياً في كوت ديفوار لتقييم ومراقبة ومتابعة عملية السلام، بما في ذلك خريطة الطريق المتفق عليها في بريتوريا وأي اتفاقات لاحقة أخرى، من خلال بيان درجة تعاون الأطراف والجهات الفاعلة الأخرى المعنية، واحترامها للالتزامات التي تم التعهد بها، وإذا لزم الأمر، أي موقف من المرجح أن يعوق الختام الناجح لعملية السلام والمصالحة في كوت ديفوار، وتقديم التوصيات المناسبة إلى مجلس السلام والأمن التابع للاتحاد الأفريقي ومجلس الأمن التابع للأمم المتحدة.	1
:: مكتب تنسيق الشؤون الإنسانية، "البقاء والإنجاز: الممارسات الجيدة للعاملين في المجال الإنساني في البيئات الأمنية المعقدة" (2011). ويحدد هذا التقرير بيئة العمل المتزايدة الصعوبة للعاملين في المجال الإنساني، ويقدم توصيات بشأن استجابات السياسات ومراجع للوثائق القانونية ذات الصلة.	1
69 - وقد أصدرت خمس دول في المنطقة دون الإقليمية قوانين تمكن من تسليم الإرهابيين، وأنشأت ست دول آليات فعالة بشأن تبادل المعلومات.	1
ويرجع ذلك أساساً إلى أن الإرهاب يتمتع بطبيعة متطورة.	0
تتولى الإدارة مسؤولية إدارة وتنظيم فيلق حماية كوسوفو، فضلاً عن تخطيط وتنسيق وتنفيذ الاستجابة لحالات الطوارئ في حالات الكوارث الطبيعية أو غيرها.	1
:: ينبغي النظر في إيجاد طرق مبتكرة لإنشاء أنظمة شاملة ومتداعمة تربط بين المحكمة الجنائية الدولية وأي محكمة مختلطة محتملة في المستقبل وهيئات وطنية، فضلا عن الملاحقات الجنائية وبرامج التعويضات.	0
ويكرر مجلس الأمن طلبه إلى الأمين العام أن يدرج في تقاريره عن الحالات الخاصة ببلدان معينة معلومات أكثر شمولا وتفصيلا فيما يتعلق بحماية المدنيين في الصراعات المسلحة.	0
وتقود المديرية التنفيذية للجنة مكافحة الإرهاب أيضا مبادرة عالمية مدتها ثلاث سنوات، بالنيابة عن الفريق العامل المعني بمعالجة تمويل الإرهاب التابع لفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب، وبدعم من العديد من الدول والمنظمات المانحة، من أجل وضع خطة مشتركة لمكافحة الإرهاب. فهم الممارسات السليمة لمكافحة تمويل الإرهاب من خلال هذا القطاع.	1
ولا توجد لدى أغلب الدول تشريعات محلية خاصة باللاجئين، ولم تصادق سوى ثلاث دول على اتفاقية عام 1951 الخاصة بوضع اللاجئين.	1
والآن بعد أن أصبحت الوساطة والأنشطة ذات الصلة بارزة جدًا في تجارة الأسلحة الدولية، فمن الأهمية بمكان أن تقوم الدول بسن قوانين وأنظمة فعالة تحكم هذا النطاق الواسع من سمسرة الأسلحة في الوقت الحاضر.	0
وتواصل الميليشيات هجماتها، مدّعية أنها ليست جزءاً من أي اتفاق. ولم توقفهم الحكومة.	0
وتحدد المذكرة المفاهيمية الطريق للمضي قدماً في التقييم المشترك للاحتياجات الصومالية، وتتضمن مشاركة كبيرة من جانب الصوماليين في هذه العملية، باعتبارهم نظراء في الحكومة وفي المناطق وخبراء دوليين من الصوماليين في الشتات.	1
96 - قام فريق الرصد بدراسة تنفيذ حظر الأسلحة بالإشارة إلى الأساليب التي يستخدمها تنظيم القاعدة وحركة الطالبان عند شن هجماتهما.	1
ونتيجة لذلك، أشار المراقبون إلى الحاجة إلى تدريب المحامين والموظفين القضائيين وموظفي إنفاذ القانون، فضلا عن أهمية وضع ضمانات موثوقة للاستقلال عن الضغوط والترهيب التي يمكن أن يمارسها أفراد العشائر والطوائف العرقية.	1
وجاءت الزيارة إلى بواكي بعد يوم من الاشتباك بين المتمردين والقوة الفرنسية لمراقبة وقف إطلاق النار في دويكوي.	0
وبدا أن اللقاء الذي عقد في دمشق بين السيد الحريري والرئيس الأسد في 26 آب/أغسطس 2004 قد أوصل الصراع إلى ذروته.	0
وتعتقد جميع الدول المبلغة أنها تتمتع بحماية فعالة ضد الأفراد أو الكيانات المدرجة في القائمة الذين يحصلون على الأسلحة، ولكن 38 دولة عضو فقط قالت إنها أدخلت تغييرات على القوانين واللوائح القائمة لتشمل تدابير حظر الأسلحة؛ ولم تشر 106 دولة إلى القائمة الموحدة عند وصف عملياتها التنظيمية.	1
 توجيه الهجمات ضد السكان المدنيين أو ضد الأفراد المدنيين الذين لا يشاركون بشكل مباشر في الأعمال العدائية.	0
التهديد من تنظيم القاعدة وطالبان	0
لدى تسع دول بعض التدابير المطبقة لكشف ومنع تهريب الأسلحة والمتفجرات، ولكن من غير الواضح مدى فعالية تنفيذ هذه التدابير.	1
يؤكد اعتزامه، عند إنشاء وتجديد أنظمة الجزاءات الخاصة بكل دولة، أن يأخذ في الاعتبار مدى ملاءمة التدابير المستهدفة والمتدرجة ضد الأطراف في حالات النزاع المسلح التي ترتكب الاغتصاب وغيره من أشكال العنف الجنسي ضد النساء والفتيات في حالات النزاع المسلح. .	0
