en_ar_GOOGLE	MatCoop
وفي الفترة من 14 إلى 18 تشرين الأول/أكتوبر، شارك مكتب الأمم المتحدة لغرب أفريقيا ومكتب الأمم المتحدة الإقليمي في وسط أفريقيا في حلقة عمل نظمها حوض بحيرة تشاد في ياوندي لوضع استراتيجية إقليمية لمكافحة الإرهاب، فضلا عن إجراء مناقشات بشأن فرقة العمل المشتركة المتعددة الجنسيات.	1
وفي المقابل، يتعين على سلطات بلغراد أن تضع حداً لتكتيك العرقلة الذي تتبعه، والذي يمنع صرب كوسوفو من المشاركة في المؤسسات العامة في كوسوفو. وتنطوي &quot;سياسة الكرسي الشاغر&quot; على مخاطر كبيرة تتمثل في أن تاريخ كوسوفو سوف يُكتب بدون صرب كوسوفو.	0
:: إجراء مزيد من الفحص في المجالات التي كشف فيها الفحص الأولي للتقارير عن ثغرات في المعلومات أو التنفيذ فيما يتعلق بجميع جوانب القرار بما في ذلك جميع التدابير المطلوبة، لكل نوع من الأسلحة، أو وسائل إيصالها، والمواد المتعلقة بها لهم، بما في ذلك تعديل المصفوفات حيثما كان ذلك مفيدا	1
ويؤكد مجلس الأمن من جديد مبدأ عدم الإعادة القسرية للاجئين، على النحو المنصوص عليه في صكوك القانون الدولي ذات الصلة، ويرحب بالجهود التي بذلتها مؤخرا البلدان المجاورة [الدولة المتضررة] لدعم العودة الطوعية للاجئين إلى وطنهم بأمان وكرامة، ويحث البلدان المضيفة على على الدول الاستمرار في توفير الحماية الدولية للاجئين الذين يحتاجون إليها. وتشجع المجتمع الدولي على تقديم المساعدة اللازمة في هذا الصدد.	0
وقال الأمين العام إن استجابة الأمم المتحدة لتحدي ما بعد الصراع في ليبيا يجب أن تكون استباقية وفعالة مع مراعاة الاحتياجات والرغبات المعقدة للشعب الليبي.	0
ومع ذلك، في عام 2007، بعد صدور مذكرة الاعتقال ضد هارون وكوشيب، رفض الرئيس البشير علنًا تنفيذهما، وتحدى سلطة مجلس الأمن، وذكر أن هارون فعل ما أُمر به.	0
في 12 شباط/فبراير 2013، عقد مجلس الأمن مناقشة مفتوحة بشأن حماية المدنيين في النزاعات المسلحة، تناولت التحديات الأساسية الخمسة التي حددها الأمين العام. وفي 17 تموز/يوليه 2013، ناقش مجلس الأمن، في مناقشة مفتوحة أيضًا، مسألة حماية الصحفيين.	0
واعتمد الاتحاد الروسي أيضا تشريعا لحماية حقوق ضحايا الإرهاب واتخذ تدابير تتعلق بظروف احتجاز الأفراد المشتبه في ارتكابهم عملا إرهابيا.	1
وبصفتي المدعي العام، سأتعامل مع أي طعن قضائي يقدمه الرئيس البشير وغيره من المشتبه بهم في المحكمة.	0
&quot;ويشجع مجلس الأمن استمرار مشاركة المنظمات الإقليمية ودون الإقليمية ذات الصلة في تسوية المنازعات بالوسائل السلمية، حسب الاقتضاء، بوسائل منها منع نشوب الصراعات وبناء الثقة وجهود الوساطة، ويشدد على أهمية الاستفادة من القدرات الحالية والمحتملة للمنظمات الإقليمية ودون الإقليمية المنظمات دون الإقليمية في هذا الصدد.	0
6 - وفي الفقرة 19 من تقريري المؤرخ 30 آب/أغسطس 2004 (A/2004/703)، أشرت إلى أن &quot;عملية نزع سلاح أفراد قوات الدفاع الشعبي قد بدأت. وقد شهدت بعثة التحقق المشتركة الثانية مراسم تسريح نحو 300 جندي في غرب دارفور.&quot;	0
22 - في الجلسة الرسمية 44، المعقودة في 1 أيار/مايو 2014، ناقش الفريق العامل تقرير الأمين العام عن الأطفال والنزاع المسلح في مالي (S/2014/267)، الذي يغطي الفترة من كانون الثاني/يناير 2012 إلى كانون الأول/ديسمبر 2013.	0
وحذر من أن هناك خطرا يتمثل في أن دعوة مجموعة من الأصدقاء، بما في ذلك الدول غير الأعضاء في المجلس، للمشاركة في عملية صنع القرار في المجلس يمكن أن تؤدي إلى عدم الكفاءة.	0
يكرر أهمية التنفيذ الكامل والمتسلسل وفي الوقت المناسب والمنسق لـ [برامج العدالة الوطنية] من قبل جميع المؤسسات [الوطنية] ذات الصلة والجهات الفاعلة الأخرى بهدف التعجيل بإنشاء نظام عدالة عادل وشفاف، والقضاء على الإفلات من العقاب والمساهمة في تأكيد سيادة القانون في جميع أنحاء البلاد؛	0
وتظهر الهجمات المتكررة على الدبلوماسيين الدوليين في بنغازي وطرابلس مثل هذا الوجود.	0
في ظل تلك الظروف، حيث تتلاقى أوجه عدم المساواة العميقة والإقصاء السياسي والاقتصادي والاجتماعي، تظهر عملية تهدف إلى تغيير النظام السائد وتسعى إلى تغييرات وبدائل اقتصادية وسياسية، مما يسمح بالمشاركة وفتح مساحات ووسائل جديدة للتعبير، مما يعني ضمنا، باختصار، المطالبة بالحقوق الأساسية.	0
ومع ذلك، فإن الفشل في التدخل بفعالية لاستعادة الاستقرار في ذلك البلد يهدد بالفعل فعالية المجتمع الدولي، بالإضافة إلى تكلفته مبالغ هائلة من الموارد.	0
واعترافا من المجلس بقيمة الإحاطات السنوية التي يقدمها رؤساء العناصر العسكرية، قال إنه يرحب أيضا بالإحاطات الإعلامية المماثلة التي يقدمها رؤساء عناصر الشرطة من أجل تحسين فهمه للتحديات التشغيلية.	0
في الواقع، في القانون الجنائي الدولي، تكتسب فكرة العمل الإجرامي المشترك أهمية أكبر مما هي عليه في معظم النظم القانونية الوطنية، لأن معظم الجرائم الدولية (الجرائم ضد الإنسانية، والإبادة الجماعية ومعظم جرائم الحرب) هي جرائم لا يمكن تحقيق النتيجة الجنائية النهائية لها إلا من خلال تورط العديد من الأشخاص.	0
وأشاروا إلى أن الصومال سيظل في حاجة إلى قدر كبير من المساعدة في مجال بناء القدرات لضمان عدم تمكن عصابات القراصنة من العودة إلى مستويات الذروة.	1
وفي مايو 2000، قاد الترابي انشقاقًا عن المؤتمر الوطني الحاكم، وأنشأ في الواقع حزبًا جديدًا يسمى المؤتمر الشعبي.	1
إن إدراك مرتكبي الجرائم بأن أعمالهم العنيفة كانت جزءًا من هجوم منهجي على المدنيين يمكن استنتاجه، من بين أمور أخرى، من حقيقة أنهم كانوا يدركون أنهم سيتمتعون بالفعل بالإفلات من العقاب.	0
o في 2 تشرين الثاني/نوفمبر 2014، استهدفت الطائرات الحربية للنظام السوري أم توينة، مما أدى إلى مقتل 5 أشخاص.	0
وإذ يعرب عن تصميمه على تسهيل تنفيذ التزامات مكافحة الإرهاب وفقا لقرارات مجلس الأمن ذات الصلة،	0
تم تعديل السياسة الصحية المؤقتة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو لتأخذ في الاعتبار توصيات فرقة العمل المكونة من المهنيين الصحيين المحليين والدوليين.	1
&quot;ويرحب مجلس الأمن بإنشاء الفريق الفني لبرنامج الحدود التابع للاتحاد الأفريقي ليحدد بشكل قاطع الخط المركزي للمنطقة الحدودية الآمنة المنزوعة السلاح على الأرض، ويكرر أن خط الوسط للمنطقة الحدودية الآمنة المنزوعة السلاح لا يمس بأي حال من الأحوال الوضع الحالي أو المستقبلي الوضع القانوني للحدود، والمفاوضات الجارية بشأن المناطق المتنازع عليها والمطالب بها، وترسيم الحدود.	0
كما واصل مركز القانون في كوسوفو، وهو معهد مستقل أنشأه ركيزة بناء المؤسسات، برنامجه للمنح الدراسية.	1
(ب) مواصلة تحديد احتياجات الدول فيما يتعلق بتعزيز المؤسسات وتعزيز سيادة القانون، وإدماج حقوق الإنسان وسيادة القانون بطريقة استباقية في توصياتها بشأن المساعدة التقنية المقدمة إلى الدول بهدف تعزيز النظم الوطنية لجلب الإرهابيين إلى العدالة وتحسين التعاون الدولي؛	1
وإنني أحث أطراف اتفاق السلام الشامل والمجتمع الدولي على تقديم تعاونهم الكامل مع اللجنة المستقلة التي أنشأتها بناء على طلب الأطراف.	1
60 - بموجب التوجيه العام لمقر البعثة، يتولى رؤساء المكاتب الإقليمية للبعثة مسؤولية وضع وتنفيذ خطط عمل إقليمية لمنع الاستغلال والانتهاك الجنسيين في مناطقهم.	1
وهذه الاحتياطات المنصوص عليها في القانون الدولي العرفي هي كما يلي: يجب على الطرف المحارب (أ) بذل كل ما في وسعه للتحقق من أن الأهداف التي سيتم الهجوم عليها ليست ذات طابع مدني؛ (ب) اتخاذ جميع الاحتياطات الممكنة عند اختيار وسائل وأساليب القتال بهدف تجنب الإصابة العرضية بالمدنيين أو الأعيان المدنية أو على الأقل التقليل منها إلى أدنى حد؛ (ج) الامتناع عن شن هجمات قد يتوقع منها أن تسبب خسائر عرضية في أرواح المدنيين أو إصابات في صفوف المدنيين أو الأعيان المدنية تكون مفرطة مقارنة بالميزة العسكرية الملموسة والمباشرة المتوقعة؛ (د) إعطاء تحذير مسبق فعال بشأن الهجمات التي قد تؤثر على السكان المدنيين، باستثناء حالات الاعتداء (على النحو المنصوص عليه في المادة 26 من قواعد لاهاي لعام 1907) أو على النحو المنصوص عليه في المادة 57 (2) (ج)، ما لم تسمح الظروف بذلك - أي عندما يعتبر الطرف المحارب أن الهجوم المفاجئ لا غنى عنه.	1
579. ثالثاً، يجب أن يتعلق التحقيق والملاحقة القضائية بالأشخاص الذين يتمتعون بالسلطة والهيبة في البلاد ويسيطرون على أجهزة الدولة. ويبدو من غير المرجح إنشاء محكمة خاصة بالاتفاق بين الحكومة الفعلية والأمم المتحدة للتحقيق مع أعضاء تلك الحكومة ومحاكمتهم.	1
وعلى الرغم من هذا التقدم، فقد أظهرت العديد من زيارات اللجنة وحلقات العمل التي عقدت في المنطقة أن التعاون الإقليمي في مسائل مكافحة الإرهاب يحتاج إلى مزيد من التعزيز. 184. ينبغي لدول المنطقة دون الإقليمية أن تقوم بما يلي:	1
ولم يكن العمل في تلك البيئة مهمة سهلة، ولكن قوة الأمم المتحدة لمراقبة فض الاشتباك تطورت كمهمة وعدلت عملياتها لمواجهة التحديات التي تفرضها بيئة الصراع الداخلي والاشتباكات التي زادت حدتها وشدتها في الآونة الأخيرة.	0
29 - وتشجع اللجنة المديرية التنفيذية على مواصلة تحليلها للقضايا الإقليمية والمواضيعية، بما في ذلك لغرض إحاطة اللجنة وعموم الأعضاء، مع مراعاة الوضع العالمي المتطور والتركيز على المواضيع الرئيسية مثل استخدام وإساءة استخدام الأسلحة الكيميائية. تكنولوجيات المعلومات والاتصالات الجديدة، وحماية حقوق ضحايا الإرهاب، والتحديات الناشئة في محاكمة الإرهاب، وتطوير شراكات استراتيجية مع الجهات الفاعلة غير الحكومية ذات الصلة (بما في ذلك مجموعات النساء والشباب والزعماء الدينيين ووسائل الإعلام والقطاع الخاص). وحماية البنية التحتية السياحية، والاختطاف مقابل الفدية، ومكافحة التطرف العنيف والجرائم التي تمول الإرهاب.	0
&quot;ويحث مجلس الأمن الدول والمنظمات الدولية، فضلا عن القطاع الخاص، على تبادل الأدلة والمعلومات والاستخبارات، حسب الاقتضاء، لأغراض إنفاذ قانون مكافحة القرصنة، بما في ذلك ضمان الملاحقة القضائية الفعالة للقراصنة المشتبه فيهم وسجن المدانين منهم. ويشجع المبادرات الحالية والمستقبلية في هذا الصدد.	0
ب) إذا كان الرهينة شخصًا يقل عمره عن ثمانية عشر عامًا،	0
وبالإضافة إلى النظر في القائمة، يدرس الفريق تنفيذ تدابير العقوبات الثلاثة: تجميد الأصول، وحظر السفر، وحظر الأسلحة.	0
وقد حددت جميع دول المنطقة دون الإقليمية ولايتها القضائية على الجرائم ذات الصلة في تشريعاتها.	1
7 - وستعمل المديرية التنفيذية على زيادة تعزيز تعاونها مع هيئات الأمم المتحدة ذات الصلة، بما في ذلك فريق الدعم التحليلي ورصد الجزاءات المنشأ عملا بقرار مجلس الأمن 1526 (2004) وفريق الخبراء الذي يساعد لجنة مجلس الأمن المنشأة عملا بالقرار 1540. (2004)، وكذلك مع مختلف المنظمات الدولية والإقليمية ودون الإقليمية، بما في ذلك في سياق زيارات اللجنة للدول.	1
ويشكل سوء التغذية المزمن في مخيمات اللاجئين مشكلة صحية كبيرة، وتعتزم المفوضية وبرنامج الأغذية العالمي اتخاذ تدابير تصحيحية، بما في ذلك التغذية التكميلية للفئات الضعيفة.	0
وتشارك دول المنطقة دون الإقليمية بشكل متزايد في المشاريع والبرامج الإقليمية (التي تشجع التماس المعلومات والاستخبارات وجمعها وتبادلها) كوسيلة لتعزيز القدرة على التصدي لتهديدات الإرهاب والجريمة المنظمة المرتبطة بالحدود.	1
وسيشرف مكتب المعلومات والإدارة على تقييمات نهاية الدورة في النظام الإلكتروني لتقييم الأداء (e-PAS) لجميع موظفي المديرية التنفيذية، وسيساعد جميع الموظفين المشاركين في المبادرة الطوعية الجديدة لتبادل الشبكات على تعزيز التنقل من خلال النقل الأفقي للموظفين في مجموعات شبكية، مثل الشبكة المهنية للسياسة والسلام والأمن.	1
15 - وواصل المراقبون العسكريون التابعون للبعثة أداء المهام المنوطة بهم عن طريق إجراء دوريات برية يومية والاتصال بالسلطات المحلية والتنسيق مع قوة حفظ السلام الجماعية التابعة لرابطة الدول المستقلة، فضلا عن وكالات إنفاذ القانون من الجانبين.	1
وتهدف الاستراتيجية أيضًا إلى توسيع دائرة المانحين من خلال تضمين البلدان التي تم فيها تطوير مناهج أو أنظمة فعالة بشكل خاص لمكافحة الإرهاب.	1
ولا تنفذ أي دولة تدابير كافية لحماية المنظمات غير الربحية من تمويل الإرهاب.	0
:: التوصية بخيارات ملموسة لتعزيز استخدام المجلس لمختلف الأدوات للحد من الآثار السلبية لتورط الإرهابيين في الجرائم عبر الحدود على جهوده لحل النزاعات ودعم الدول في جهودها الرامية إلى تعزيز مراقبة الحدود والجهود الرامية إلى مكافحة الجريمة عبر الحدود .	0
112 - يعد التنسيق بين كيانات الأمم المتحدة في تقديم المساعدة في مجال مكافحة الإرهاب أمرا بالغ الأهمية لتجنب الازدواجية وتعزيز الفعالية في تقديم المساعدة وضمان تخصيص الموارد بشكل أكثر ترشيدا.	1
ولم يكن راضيا عن ملاحظاته في مسرح الجريمة، لكنه أعرب عن أمله في أن يكون الأمر أفضل في اليوم التالي حيث تم توزيع المسؤوليات في الاجتماع السابق.	0
وستقوم المديرية بتيسير تقديم التدريب المطلوب لموظفي الجمارك وشرطة الحدود ووحدات الاستخبارات المالية في الربع الأول من عام 2014.	1
وإذ نؤكد على الدور المركزي للأمم المتحدة في الحرب العالمية ضد الإرهاب، ونرحب باعتماد الجمعية العامة لاستراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب (A/RES/60/288) المؤرخة 8 أيلول/سبتمبر 2006، وإضفاء الطابع المؤسسي على مكافحة الإرهاب - فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب وفقا لقرار الجمعية العامة 64/235 المؤرخ 24 كانون الأول/ديسمبر 2009، الأمر الذي سيزيد من تعزيز جهود فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب لضمان التنسيق والاتساق الشاملين في جهود مكافحة الإرهاب التي تبذلها منظومة الأمم المتحدة، بما في ذلك جهود مكافحة الإرهاب. الميداني، والدعوة إلى تعزيز مشاركة الدول الأعضاء في عمل فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب (A/64/297)،	1
أولئك الذين يكتسبون أكبر قدر من الخبرة الإرهابية العملياتية اليوم هم أصغر سنًا، ويتألفون في المقام الأول من أفراد في سن المراهقة وحتى أوائل الثلاثينيات.	0
&quot;ويؤكد مجلس الأمن من جديد التزام جميع الدول الأعضاء بتسوية المنازعات وحل النزاعات وفقا لميثاق الأمم المتحدة، ويهيب بالمجتمع الدولي أن يساعد، حسب الاقتضاء، في الجهود التي بدأتها المنظمات الإقليمية ودون الإقليمية بهدف التسوية السلمية النزاعات ومنع الصراعات وحلها وفقا لميثاق الأمم المتحدة وقرارات مجلس الأمن ذات الصلة.	0
2 - يقرر أن تواصل المديرية التنفيذية للجنة مكافحة الإرهاب العمل كبعثة سياسية خاصة بموجب توجيهات السياسة العامة للجنة مكافحة الإرهاب للفترة المنتهية في 31 كانون الأول/ديسمبر 2017، ويقرر كذلك إجراء استعراض مؤقت بحلول 31 كانون الأول/ديسمبر 2015؛	1
ومع ذلك، عندما تُرتكب الجرائم بانتظام وعلى نطاق واسع، كجزء من نمط السلوك الإجرامي، فإن مسؤولية الرئيس تكون أكثر خطورة.	0
وإذ يشير إلى مسؤوليات الدول عن وضع حد للإفلات من العقاب ومحاكمة المسؤولين عن أعمال الإبادة الجماعية والجرائم ضد الإنسانية وجرائم الحرب وغيرها من الجرائم الشنيعة المرتكبة ضد المدنيين، وإذ يلاحظ في هذا الصدد مع القلق أنه لم يتم تقديم سوى أعداد محدودة من مرتكبي أعمال العنف الجنسي إلى العدالة، مع الاعتراف بأن أنظمة العدالة الوطنية في حالات النزاع وما بعد النزاع قد تضعف بشكل كبير.	0
ويدعو مجلس الأمن الدول الأعضاء إلى التعاون على وجه السرعة لحل كافة القضايا العالقة بهدف اعتماد مشروع الاتفاقية الشاملة بشأن الإرهاب الدولي.	1
وإذ يؤكد أنه لا يمكن هزيمة الإرهاب إلا من خلال اتباع نهج مستدام وشامل ينطوي على المشاركة والتعاون النشطين من جانب جميع الدول والمنظمات الدولية والإقليمية لإعاقة التهديد الإرهابي وإضعافه وعزله وإعاقته،	1
ولكن هذا لا ينبغي أن ينتقص من التنفيذ الكامل للقرار 1559 (2004) وجميع قرارات مجلس الأمن الأخرى المتعلقة بلبنان، والتي تظل أفضل وسيلة لضمان ازدهار لبنان واستقراره على المدى الطويل كدولة ديمقراطية.	1
15 - يسلم بأهمية دور المساعي الحميدة التي يبذلها الأمين العام في أفريقيا، ويشجع الأمين العام على مواصلة استخدام الوساطة كلما أمكن ذلك للمساعدة في حل الصراعات سلميا، والعمل بالتنسيق وبشكل وثيق مع الاتحاد الأفريقي وغيره من المنظمات. والمنظمات دون الإقليمية في هذا الصدد، حسب الاقتضاء؛	0
وأجرت البعثة وقوة حفظ السلام دوريات مشتركة في 5 تموز/يوليه في مقاطعة غالي، وفي 21 آب/أغسطس في قطاع زوغديدي (مع الجانب الجورجي)، وفي 22 أيلول/سبتمبر في منطقة وادي كودوري السفلى.	1
22 - يشير إلى الطلب الوارد في القرار 2178 (2014) إلى فريق الدعم التحليلي ورصد الجزاءات أن يقدم، بالتعاون الوثيق مع جميع هيئات الأمم المتحدة المعنية بمكافحة الإرهاب، تقريرا إلى اللجنة عملا بالقرارين 1267 (1999) و 1989 ( 2011) في غضون 180 يوما، بشأن التهديد الذي يشكله المقاتلون الإرهابيون الأجانب الذين تم تجنيدهم أو الانضمام إلى تنظيم الدولة الإسلامية في العراق والشام وجبهة النصرة وجميع الجماعات والمؤسسات والكيانات المرتبطة بتنظيم القاعدة، ويؤكد من جديد أن هذا التقرير ينبغي أن يركز أيضا على الاتجاهات المتعلقة بالإرهابيين الأجانب المقاتلون الذين ينضمون ويعملون مع جميع الجماعات الإرهابية المدرجة في قائمة الجزاءات المفروضة على تنظيم القاعدة بموجب القرار 1267، وينبغي أن يتضمن ذلك إحاطة شفهية للجنة وإحاطة للجنة لمجلس الأمن في الإحاطة الدورية القادمة بشأن مكافحة الإرهاب بشأن أولئك الذين يعملون في أفريقيا.	1
(ج) يهيب كذلك بجميع الأطراف المدرجة في مرفقي تقرير الأمين العام عن الأطفال والنزاع المسلح أن تعالج جميع الانتهاكات والاعتداءات الأخرى المرتكبة ضد الأطفال وأن تتعهد بالتزامات وتدابير محددة في هذا الصدد؛	0
وفي هذا السياق، أشير أيضا إلى أن الرئيس عباس قد أشار إلى طلب السلطة الفلسطينية إنشاء بعثة دبلوماسية فلسطينية في بيروت، الأمر الذي من شأنه أن يسهم في إضفاء الطابع الرسمي على العلاقات بين الشعبين اللبناني والفلسطيني.	1
وسيحصل المقاتلون المسرحون على بدل إقامة يبلغ حوالي 940 دولارًا من دولارات الولايات المتحدة، يُدفع 25 في المائة منه عند التسريح، و25 في المائة بعد 45 يومًا، والباقي بعد 90 يومًا.	1
وباستثناء دولة واحدة لم تقدم سوى قدر ضئيل للغاية من المعلومات ذات الصلة، فإن جميع دول شرق آسيا أعضاء في العديد من المنظمات أو الآليات الإقليمية للتعاون الدولي في مجال مكافحة الإرهاب، وقد سعت إلى تعزيز هذه العلاقات.	1
وقد أنشأ الاتحاد الروسي وأوكرانيا وبيلاروسيا وحدات استخبارات مالية تعمل بكامل طاقتها. وفي عام 2010، اعتمدت بيلاروسيا وأوكرانيا تعديلات على قوانينهما لمكافحة غسل الأموال ومكافحة تمويل الإرهاب بشأن تحديد هوية العميل، والعناية الواجبة بالعملاء، وحفظ السجلات، والتأكد من الملكية المستفيدة، والمعاملات المشبوهة، كما قامت بتوسيع معايير الرقابة على تحويل الأموال. من خلال نظام البريد الحكومي.	1
وينبغي للمجلس أن يدمج بعمق الممارسات الجيدة الناشئة فيما يتعلق بمكافحة التطرف العنيف في استجابته لتهديد المقاتلين الإرهابيين الأجانب وتشجيع تخصيص الموارد لهذه الجهود.	1
وقد أرست بالفعل سوابق هامة من خلال المطالبة بإنشاء آليات لتقصي الحقائق للتحقيق في الانتهاكات المزعومة، وتوفير التعويضات للضحايا وتعزيز المسؤولية الجنائية الفردية.	1
وقد حان الوقت أيضا لكي تتخلى بلغراد عن موقفها السلبي تجاه مشاركة صرب كوسوفو.	0
وقدم الممثل الخاص عرضاً عاماً للقتال الذي اندلع في بانتيو، بولاية الوحدة، في 26 تشرين الأول/أكتوبر.	0
نشر شرطة مدنية دولية مؤهلة ومدربة تدريبا جيدا كعنصر من عناصر عمليات حفظ السلام، لتعزيز قدرة الأمم المتحدة ومساعدة الدولة المضيفة في إنفاذ القانون. (مرجع الإعلان)	1
مطالبة البلدان المساهمة بقوات عسكرية وأفراد شرطة بضمان توفير التدريب المناسب لزيادة الوعي والاستجابة لشواغل الحماية لدى موظفيها المشاركين في عمليات الأمم المتحدة لحفظ السلام والبعثات الأخرى ذات الصلة التي يأذن بها مجلس الأمن لحماية المدنيين.	0
:: دعوة مجلس الأمن إلى إنشاء قوة دولية، وفقا للاتحاد الأفريقي، لتحييد الجماعات المسلحة ودعم المصالحة الوطنية وبناء مؤسسات ديمقراطية مستقرة في ليبيا	0
64 - ويجب إعادة النظر في شروط وطرائق العودة المنظمة للعديد من اللاجئين البورونديين والكونغوليين في جمهورية تنزانيا المتحدة إلى بلدانهم الأصلية من أجل التمكن من تسريع تدفقات العودة التي لوحظت في الأشهر الأخيرة.	1
وإنني أرحب بالجهود التي تبذلها الدول لضمان حصول المشتبه فيهم على محاكمة عادلة وأن تكون ظروف سجنهم إنسانية وآمنة، وفقا للمعايير الدولية لحقوق الإنسان.	1
وبطبيعة الحال، فإن الاستخدام الأول لإحالة مجلس الأمن بموجب نظام روما الأساسي (القرار 1593 (2005))، الذي أدى إلى إصدار أمري اعتقال ضد اثنين من المشتبه فيهما، كان نابعا من التوصية بالإحالة إلى مجلس الأمن من قبل اللجنة الدولية للتحقيق في جرائم الحرب. استفسار عن دارفور	1
× حث البلدان المساهمة بقوات عسكرية وقوات شرطة على ضمان المساءلة الكاملة في حالات الاستغلال الجنسي والاعتداء الجنسي التي يتورط فيها أفرادها، وتقديم تقرير إلى الأمين العام بشأن الإجراءات المتخذة. إضافة: اختيار اللغة المتفق عليها	0
وبحسب أقواله، فإنه كان في مكتبه عندما تم إبلاغه بالانفجار.	0
وعقد آخر حلقة دراسية دولية في عام 2009 بشأن تعزيز التعاون والحوار في مجال مكافحة الإرهاب بين الوكالات الحكومية ووسائط الإعلام والمجتمع المدني.	0
341- وأفادت مصادر أخرى باختطاف نساء وفتيات واحتجازهن لعدة أيام واغتصابهن مراراً وتكراراً على يد الجنجويد والجنود في القرى التي تتعرض للهجوم وفي المعسكرات والمخابئ. وعلاوة على ذلك، ورد أن التعذيب استخدم لمنع النساء من الهروب.	0
ويمكن اعتبار هذه الممارسة بمثابة اختفاء قسري، مما يشكل انتهاكًا لالتزامات الجماعات المسلحة بموجب القانون الإنساني الدولي العرفي.	0
23 - وفي المقاطعات والوحدات التي استأنفت فيها الشرطة الوطنية بالفعل مسؤوليات الشرطة الأساسية، لعبت شرطة البعثة دورا حاسما في رصد وتتبع التقدم الذي تحرزه الشرطة الوطنية مع بقائها متاحة لتقديم المشورة والتوجيه وتقديم الدعم التشغيلي والحفاظ على قدرتها. وفي الحالات القصوى، استئناف إنفاذ القانون بشكل مؤقت، إذا لزم الأمر.	0
على سبيل المثال، في عام 2009، أنشأت بوتان وحدة قوات خاصة من النخبة في قسم الشرطة لديها للتصدي للإرهاب.	1
16 - يعرب عن تضامنه العميق مع ضحايا الإرهاب وأسرهم، ويشجع المديرية التنفيذية للجنة مكافحة الإرهاب على أن تأخذ في الاعتبار الدور الهام الذي يمكن أن تلعبه شبكات الضحايا والناجين في مكافحة الإرهاب، بالتعاون الوثيق مع فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب وأفرقتها العاملة ذات الصلة؛	0
(ج) تعزيز تنفيذ المبادرات الجديدة لمنع تمويل الإرهاب في الاقتصادات التي تعتمد في الغالب على النقد.	1
وعلى الرغم من توقف القتال، إلا أن التوترات ظلت مرتفعة ولا يمكن استبعاد وقوع مزيد من الاشتباكات.	0
وقد صاحبت التطورات الأخيرة في العديد من دول المنطقة دون الإقليمية تغييرات في الهياكل الأمنية.	1
ويبدو أن عملية الأمم المتحدة في كوت ديفوار منحت القوات المسلحة لكوت ديفوار الإذن للطيران بطائراتها الباقية من طراز Mi-24 وطائرة BAC 167 Strikemaster من ياموسوكرو إلى قاعدة أبيدجان الجوية في 24 كانون الثاني/يناير 2005، بعد أن قام فريق ياموسوكرو التابع لمراقبي الأمم المتحدة العسكريين بتفتيشها بحثا عن أسلحة.	1
ولا يوجد لدى معظم الدول تشريعات محلية خاصة باللاجئين، ولم تصدق سوى ثلاث دول على اتفاقية اللاجئين لعام 1951.	1
بذل مكتب شؤون نزع السلاح جهودا لزيادة الوعي بين الجهات المانحة المحتملة دعما للحلقات الدراسية وحلقات العمل الإقليمية التي ينظمها المكتب.	1
16 - ويبدو أن النمط الناشئ من بعثات الاستكشاف/التنقيب المشتركة في إطار اللجنة الفرعية التقنية يشكل نهجا واعدا لتسريع التقدم العملي على أرض الواقع.	1
5 - ويرتكز الإطار على فرضية مفادها أن شعب دارفور وأطراف النزاع يجب أن يقودوا عملية السلام وتنفيذها، مع قيام الأمم المتحدة والاتحاد الأفريقي والشركاء الدوليين بدور تيسيري.	1
وتم أخذ الضحية من المجموعة، معصوبة العينين، ودفعها إلى الأرض على ظهرها واغتصابها.	0
ويساورنا القلق من أن الوضع الأمني لا يزال يمثل مشكلة.	0
13 - لقد تغيرت الأنماط العالمية لتوريد الأسلحة الصغيرة والأسلحة الخفيفة تغيرا عميقا على مدى العقود القليلة الماضية.	0
(ز) الأفراد أو الكيانات الذين يدعمون الجماعات المسلحة غير المشروعة في الجزء الشرقي من جمهورية الكونغو الديمقراطية من خلال الاتجار غير المشروع بالموارد الطبيعية؛	0
وأعرب بعض أعضاء المجلس عن قلقهم لأنه لم يكن من الممكن حتى الآن إحراز تقدم في التحقيقات في الجرائم التي ارتكبها المتمردون.	0
وإذ يؤكد المساهمة المستمرة في استقرار كوت ديفوار، ولا سيما في سياق الانتخابات الرئاسية المقررة، من خلال التدابير المفروضة بموجب القرارين 1572 (2004) و 1643 (2005)، ويؤكد أن هذه التدابير تهدف إلى دعم عملية السلام في كوت ديفوار ديفوار,	1
أ. إنشاء مركز القيادة المتكاملة	1
193 - ومن أجل التصدي بفعالية للطبيعة غير المتماثلة للتهديد الإرهابي، من الضروري تعزيز التعاون من خلال إقامة تبادل مستمر للمعلومات بين وكالات إنفاذ القانون وأمن الحدود والاستخبارات.	1
