en_ar_DEEPL	MatCoop
يشجع [البعثة] وفريق الأمم المتحدة القطري على مواصلة مساعدة الحكومة على منع تجنيد اللاجئين والأطفال من قبل الجماعات المسلحة والحفاظ على الطابع المدني لمخيمات اللاجئين ومواقع المشردين داخليا، بالتنسيق مع [قوات الأمن الوطني] ومجتمع المساعدة الإنسانية.	1
كانت هذه المساعدة الفورية لا تقدر بثمن، حيث سمحت للمحققين بتحليل مكالمات هاتفية محددة لمشتركين محددين بسرعة وتحديد أنماط الاتصال بين مجموعات معينة من المشتركين.	1
لا يزال نصف هؤلاء الأشخاص تقريبًا في عداد المفقودين ويُخشى أن يكون العديد منهم قد قُتلوا.	0
تتعلق العديد من التقارير باختطاف النساء.	0
وبينما كانت السيارات تغادر مكان الحادث، سقط اثنان من ضباط وحدة الاستجابة السريعة المجردة من السلاح أو تم سحبهما من إحدى السيارات. وقد تعرض كلاهما للطعن من قبل أفراد من الحشد.	0
ويدرك مجلس الأمن أن التنمية والأمن يعزز كل منهما الآخر وأنهما أمران حيويان لاتباع نهج فعال وشامل لمكافحة الإرهاب.	0
وقد وضعت ثلاث دول إطاراً قانونياً يتناول متطلبات الأمن البحري ونفذت جزئياً المعايير الدولية الإلزامية لأمن الموانئ والسفن وفقاً للمدونة الدولية لأمن السفن والمرافق المرفئية.	0
تدعو جميع أطراف النزاع المسلح إلى احترام الطابع المدني والإنساني لمخيمات ومستوطنات اللاجئين، ومراعاة الاحتياجات الخاصة للنساء والفتيات، بما في ذلك في تصميمها.	0
وكما ذُكر أعلاه، فقد أثبت النظام القضائي السوداني عجزه عن ضمان المساءلة عن الجرائم المرتكبة في دارفور كما أن السلطات غير راغبة في القيام بذلك.	0
خلال هذه الفترة الزمنية تم تعزيز قاعدة دعم المفوضية وتثبيت برامج جديدة، مما جعل قاعدة البيانات أكثر تشغيلية.	1
اعتمدت الإنتربول في جمعيتها العامة الرابعة والسبعين، في أيلول/سبتمبر 2005، القرار AG-2005-RES-05 بشأن التعاون بين الأمم المتحدة والإنتربول، الذي ينشئ إشعارا خاصا بالأفراد المدرجين في القائمة الموحدة يمكن أن تصدره الإنتربول بناء على طلب اللجنة وينبه الدول إلى أن بعض الأفراد مستهدفون بجزاءات الأمم المتحدة.	1
ويطالب البيان الجماعات المسلحة المتمردة بوقف العنف فوراً ويدعو جميع الأطراف إلى العودة إلى الحوار في إطار اتفاق سرت المبرم في 25 تشرين الأول/أكتوبر 2007.	0
100. وقد تجاوزت دول المنطقة دون الإقليمية مجرد نهج إنفاذ القانون لمواجهة التحدي الذي تشكله الجماعات الإرهابية.	1
النظر في اعتماد إعفاءات عامة من الجزاءات الاقتصادية والمالية المستهدفة التي اعتمدها مجلس الأمن من أجل تيسير تقديم المساعدات الإنسانية.	0
وتنشر الصحف اليومية مثل Fraternité Matin وNotre Voie المقربة من حزب الجبهة الشعبية الإيفوارية رسائل قومية وتحريض على الحرب الشاملة.	0
وفي نهاية الفترة المشمولة بالتقرير، كانت بعثة الاتحاد الأفريقي في السودان تتألف من قوة حماية قوامها 4,100 جندي و634 مراقباً عسكرياً و862 ضابط شرطة بالإضافة إلى موظفين مدنيين دوليين.	1
وإذ يشير إلى مسؤوليات الدول في وضع حد للإفلات من العقاب ومحاكمة المسؤولين عن الإبادة الجماعية والجرائم ضد الإنسانية وجرائم الحرب وغيرها من الجرائم الفظيعة المرتكبة ضد المدنيين، وإذ يلاحظ مع القلق في هذا الصدد أن عددا محدودا فقط من مرتكبي العنف الجنسي قد قدموا إلى العدالة، مع التسليم بأن نظم العدالة الوطنية قد تكون ضعيفة إلى حد كبير في حالات النزاع وما بعد النزاع.	0
ومن بين أفراد الجنجويد الذين حددتهم اللجنة كجناة، يُشتبه في أنهم جميعًا شنوا هجمات عشوائية على المدنيين، وهي جريمة حرب.	0
D. مراقبة الحدود 258. تشكل المراقبة الفعالة للحدود عنصرا أساسيا للتنفيذ الفعال لتدابير مكافحة الإرهاب عملا بالقرار 1373 (2001)، لأنها خط الدفاع الأول ضد حركة الإرهابيين عبر الحدود، وحركة البضائع والشحنات غير المشروعة عبر الحدود.	1
وعملت اللجنة لمدة عامين، حددت خلالها أكثر من 800 مكان احتجاز، وما يقدر بـ 50,000 حالة تعذيب و200,000 حالة وفاة، وما يقدر بـ 2 مليون نازح نتيجة التطهير العرقي، وأجرت تحقيقاً موسعاً في الاغتصاب الممنهج، بما في ذلك أكثر من 500 إفادة خطية من الضحايا الذين تعرفوا على مرتكبيها.	0
وأشاروا على وجه الخصوص إلى أن القانون المعدل المتعلق باللجنة الانتخابية المستقلة لم ينص على تمثيل القوى الجديدة في أجهزتها المحلية ولم ينص على أسبقية اللجنة الانتخابية المستقلة على المعهد الوطني للإحصاء في العملية الانتخابية.	0
تشجيع بعثات الأمم المتحدة لحفظ السلام والبعثات الأخرى ذات الصلة التي يأذن بها مجلس الأمن، حسب الاقتضاء وعلى أساس كل حالة على حدة، على منع الاستيلاء غير المشروع على الأراضي والممتلكات الخاصة باللاجئين والمشردين داخليا ومصادرتها، وضمان حماية اللاجئين العائدين والمشردين داخليا.	1
واقترحوا المزيد من الربط الشبكي أو الربط بين الشبكات القائمة، وشددوا على أهمية الاجتماعات المباشرة وتبادل الأقران. وأوصى المشاركون بالنظر في "عملية فيسبادن" في هذا الصدد.	0
وكانت هذه الحالات أيضًا موضع تحقيقات من قبل الفريق المشترك لتقصي الحقائق، الذي يتألف من الطرفين وبعثة مراقبي الأمم المتحدة في جورجيا وقوة حفظ السلام التابعة لرابطة الدول المستقلة، وهو مكلف بتحديد ما إذا كانت حوادث العنف تشكل انتهاكات لاتفاق موسكو لعام 1994.	1
408. وفيما يتعلق بالقانون الإنساني الدولي، تحظر المادة 3 المشتركة بين اتفاقيات جنيف أعمال العنف ضد الحياة والأشخاص، بما في ذلك المعاملة القاسية والتعذيب وأخذ الرهائن والاعتداء على الكرامة الشخصية، ولا سيما المعاملة المهينة والحاطة بالكرامة الشخصية.	0
وعلمت اللجنة أن تحقيقاً إدارياً تجريه لجنة أنشأها والي جنوب دارفور نظراً لخطورة الاتهام وتبعاته التي تستلزم الإسراع في اتخاذ الإجراءات ذات الصلة.	1
ووفقًا للعديد من الروايات والشهادات، فإن هذا الدعم للقوات الموازية يأتي من داخل القصر الرئاسي.	1
"ويشدد مجلس الأمن على أن التجمع الكونغولي من أجل الديمقراطية - غوما سيتحمل المسؤولية عن أي عمليات إعدام خارج نطاق القضاء، بما في ذلك بين أفراد المجتمع المدني أو المحتجزين في مراكز الاحتجاز التابعة للتجمع الكونغولي من أجل الديمقراطية - غوما في كيسانغاني.	0
كما عززت الدول تنفيذ التدابير المطلوبة لمكافحة الإرهاب على المستوى المؤسسي.	1
(أ) مواصلة تعزيز تعاونها مع المنظمات الدولية والإقليمية ودون الإقليمية وتطوير سبل العمل مع تلك المنظمات على أساس كل حالة على حدة، بما يعكس التباين في قدرات كل منظمة وولايتها، بما في ذلك تبادل الآراء على مستوى العمل، وتقديم إحاطات إلى اللجنة ومنها، وتعزيز ترتيبات تبادل المعلومات	1
20. كرس المجتمع الدولي جهودا ضخمة لمحاولة حل مشكلة وجود الجماعات المسلحة في جمهورية الكونغو الديمقراطية.	1
وبالإضافة إلى ذلك، تم نشر فريق الأمم المتحدة لتقييم الكوارث والتنسيق في أوائل ديسمبر/كانون الأول لمدة ثلاثة أسابيع لدعم الحكومة في إنشاء مركز عمليات لمكافحة الإيبولا وإنشاء آليات لتيسير التنسيق بين الحكومة والشركاء.	1
10. في الفترة من 24 إلى 28 تشرين الأول/أكتوبر 2011، أكملت الشعبة الاستشارية المدنية العسكرية التابعة لقوة كوسوفو وقوة أمن كوسوفو معا مرحلة المواءمة من تقييمهما المشترك الرابع.	1
زيادة المساءلة عن انتهاكات حقوق الإنسان، بما في ذلك العنف القائم على نوع الجنس؛ تطوير أدوات قانونية تراعي الفوارق بين الجنسين. G.5. وضع وتوفير برامج دعم للضحايا تراعي الفوارق بين الجنسين، بما في ذلك برامج المساعدة القانونية وحماية الشهود.	1
▪ شن هجوم قد يُتوقع أن يتسبب في خسائر عرضية في الأرواح أو إصابات في صفوف المدنيين أو أضرار في الأعيان المدنية أو مزيج من هذه الخسائر والأضرار التي قد تكون مفرطة بالنسبة للميزة العسكرية الملموسة والمباشرة المتوقعة;	0
كما تعرضت سبع قرى بالقرب من نيالا في الفترة من 27 أيلول/سبتمبر 2003 إلى أيار/مايو 2004 لهجمات مستمرة من قبل الجنجويد.	0
258. كما ذكر أعلاه، هناك أحكام مختلفة من أحكام حقوق الإنسان والقانون الإنساني الدولي ذات صلة بحماية المدنيين في النزاعات المسلحة.	1
ويتضح مدى التلوث بالذخائر العنقودية بشكل متزايد مع تقدم عمل منظمة العمل لإزالة الألغام الأرضية.	1
لا تملك معظم الدول قدرة تذكر على تجميد الأموال والأصول المرتبطة بالإرهاب، على الرغم من أن بعض الدول أحرزت تقدماً في هذا المجال.	1
39. ومن بين الصكوك الإقليمية، صدقت كوت ديفوار على الميثاق الأفريقي لحقوق الإنسان والشعوب (1992) ووقعت على النظام الأساسي المنشئ للمحكمة الأفريقية لحقوق الإنسان والشعوب.	0
47. أعربت حكومة جمهورية أفريقيا الوسطى مرارا وتكرارا عن تفضيلها القوي لتلقي مساعدة مباشرة لبناء قدرات قواتها الوطنية وشرعت في إجراء اتصالات مع العديد من الشركاء الثنائيين المحتملين.	1
وقد يسرت مبادرة مع المركز الأفريقي بشأن تعزيز استخدام قواعد البيانات الدولية من قبل دول الساحل من أجل تعزيز التنسيق وتبادل المعلومات والتعاون بين الشرطة وسلطات الحدود.	1
جميع الدول لديها سياسة لمكافحة الإرهاب، وتظهر الغالبية العظمى من الدول وعياً بتنظيم القاعدة وحركة طالبان، على الرغم من أن العديد منها قد لا تكون القائمة الموحدة هي محور تركيزها الأساسي.	1
132. بينما تحدد اللجنة والإنتربول أفضل طريقة للمضي قدما، يأمل الفريق في أن توفر قاعدة بيانات الإنتربول معلومات تعريفية إضافية عن الأشخاص المدرجين في القائمة الموحدة.	1
إن القدرة على تجميد الأموال والأصول المرتبطة بالإرهاب غير كافية ومحدودة في الغالب في جميع الدول.	1
ويجوز للمحتجز أن يستأنف هذا القرار أمام قاضٍ. غير أنه لا توجد ضمانات للوصول الفوري إلى محامٍ.	1
ولاحظ فريق الرصد أنه خلال هذه الفترة، اشترت المعارضة عددًا من الأسلحة المضادة للطائرات والذخائر من شركة BAM.	0
134. وناقش الفريق مجالات التعاون مع وحدة إجراءات مكافحة الإرهاب التابعة لمنظمة الأمن والتعاون في أوروبا، والمكتب الإقليمي لرابطة الدول المستقلة لآسيا الوسطى، والهيكل الإقليمي لمكافحة الإرهاب التابع لمنظمة شنغهاي للتعاون، وشرع في إجراء اتصالات مع منظمات إقليمية أخرى، مثل منظمة الدول الأمريكية التي أنشأت لجنة البلدان الأمريكية لمكافحة الإرهاب، والاتحاد الأفريقي الذي أنشأ مركزا لمكافحة الإرهاب في الجزائر العاصمة.	1
وقد تعاونت الحكومة في برامج لتدريب الشرطة في مجال قانون حقوق الإنسان، ولكن لا يوجد دليل يذكر على أنها تابعت ذلك بجعلها مسؤولة عن تطبيقه.	1
(ج) منع توريد أو بيع أو نقل الأسلحة والأعتدة ذات الصلة بجميع أنواعها، بما في ذلك الأسلحة والذخائر والمركبات والمعدات العسكرية والمعدات شبه العسكرية وقطع الغيار اللازمة لما سبق ذكره، والمشورة الفنية أو المساعدة أو التدريب المتصل بالأنشطة العسكرية، إلى هؤلاء الأفراد والجماعات والمؤسسات والكيانات من أراضيها أو من جانب رعاياها خارج أراضيها، أو باستخدام السفن أو الطائرات التي ترفع أعلامها، بصورة مباشرة أو غير مباشرة;	1
44. وواصل مكتب الأمم المتحدة المشترك لحقوق الإنسان التحقيق في الانتهاكات المزعومة لحقوق الإنسان والقانون الإنساني الدولي التي ارتكبتها كل من الجماعات المسلحة وقوات الأمن الوطني.	1
50. وضعت أربع دول استراتيجيات وأنشأت هياكل مؤسسية لمكافحة الإرهاب. وتقوم وكالات إنفاذ القانون في هذه الدول بتنسيق بعض أنشطتها في مجال مكافحة الإرهاب.	1
38. ونظرا للطابع الملح للحالة الراهنة، يجب أن تكون جهود المجتمع الدولي فورية ومنسقة وحازمة.	0
ويحث مجلس الأمن جميع الأطراف في النزاعات المسلحة، بما في ذلك الأطراف من غير الدول، على وضع حد لهذه الممارسات.	0
حث أطراف النزاع المسلح على احترام الاستقلالية المهنية للصحفيين والإعلاميين والموظفين المرتبطين بهم.	0
تم فصل النساء والأطفال عن الرجال، واحتجزوا في منطقة حول المسجد، ثم اقتادهم خاطفوهم لاحقًا ليتم اغتصابهم.	0
عبد الرحمن محمد ظافر الدبيدي الجهاني مرتبط بتنظيم القاعدة أو أي خلية أو جماعة تابعة له أو منشقة عنه أو متفرعة عنه "للمشاركة في تمويل أعمال أو أنشطة من قبل جبهة النصرة لأهل الشام أو التخطيط لها أو تيسير القيام بها أو الإعداد لها أو الإعداد لها أو ارتكابها أو ارتكابها أو المشاركة فيها أو باسمها أو نيابة عنها أو دعما لها" و "التجنيد لصالحها" (QE.A.137.14).	0
تنفيذ سياسة المساواة بين الجنسين وتمكين النساء والفتيات.	1
وفي هذا الصدد، ستواصل المديرية التنفيذية مطابقة الاحتياجات ذات الأولوية المحددة مع برامج الجهات المانحة الحالية والمحتملة ومقدمي الخدمات من أجل تعزيز قدرة الدول الأعضاء على مكافحة الإرهاب وتعزيز الحوار بين مجتمع المانحين والدول المتلقية.	0
وإذ يؤكد من جديد قراره 1373 (2001) المؤرخ 28 أيلول/سبتمبر 2001، وإذ يكرر تأكيد دعمه للجهود الدولية الرامية إلى استئصال الإرهاب وفقا لميثاق الأمم المتحدة،	0
في يوغوسلافيا السابقة ورواندا ودارفور، وبعد اتخاذ خطوات غير فعالة لوقف أعمال القتل على نطاق واسع، شعر المجتمع الدولي بالرعب من حجم وطبيعة العنف.	1
59. ستناقش البعثة مع السلطات الأوغندية سبل ووسائل حل هذا النزاع، بما في ذلك تنفيذ قانون العفو عن أفراد جيش الرب للمقاومة غير المسؤولين عن أخطر انتهاكات حقوق الإنسان والقانون الإنساني الدولي، في سياق المحاولات الأخيرة للتفاوض والإجراءات التي بدأتها المحكمة الجنائية الدولية لتقديم المسؤولين عن الانتهاكات الجسيمة لحقوق الإنسان والقانون الإنساني الدولي إلى العدالة.	0
وقد وصل الضابط المسؤول عن مسرح الجريمة، العميد ناجي ملاعب من قوى الأمن الداخلي، إلى مسرح الجريمة في الساعة 1305 من يوم 14 شباط/فبراير 2005. وقد أصدر تقريراً مؤرخاً في 3 آذار/مارس 2005 عن معاينة السلطات اللبنانية لمسرح الجريمة [المديرية العامة لقوى الأمن الداخلي، وحدة شرطة بيروت، المرجع. رقم 95] يفيد بما يلي:	1
14. ينبغي أن يتلقى جميع الضحايا، بمن فيهم ضحايا هدم المنازل والطرد، تعويضاً كاملاً وكافياً.	1
كان هذا مهمًا لأن المجلس، من خلال أعماله، ينشئ التزامات بموجب القانون الدولي، وبالتالي يجب أن يكون قادرًا على إنفاذها.	1
وتجدر الإشارة أيضًا إلى أن قرار روسيا هذا يتزامن مع أعمال الانفصاليين الاستفزازية وحشدهم العسكري المكثف.	0
وفي قضية أخرى، نظرت المحكمة مرة أخرى في العناصر المختلفة للهجوم الموجه ضد السكان المدنيين كجزء من تعريف الجرائم ضد الإنسانية.	0
وأحث طرفي اتفاق السلام الشامل والمجتمع الدولي على التعاون الكامل مع اللجنة المستقلة التي أنشأتها بناء على طلب الطرفين.	1
(أ) الامتناع عن تقديم أي شكل من أشكال الدعم، الإيجابي أو السلبي، للكيانات أو الأشخاص الضالعين في الأعمال الإرهابية، بما في ذلك قمع تجنيد أعضاء الجماعات الإرهابية والقضاء على إمداد الإرهابيين بالسلاح؛	0
وبالتالي، فإن نشاطهم يغطي جانباً واحداً فقط مما يمكن أن يكون عملية عدالة شاملة في مرحلة ما بعد النزاع.	1
وشدد المجلس على أن إصلاح قطاعي الدفاع والأمن، ومكافحة الإفلات من العقاب، ومكافحة الاتجار غير المشروع بالمخدرات لا تزال قطاعات ذات أولوية لتوطيد السلام في غينيا - بيساو، وحث القوات المسلحة في غينيا - بيساو على احترام الحكم والرقابة المدنيين.	0
(أ) كفالة أن يكون لدى موظفي الجمارك التدابير العملية والموارد اللازمة لكشف ومنع حركة العملة والصكوك القابلة للتداول لحاملها عبر الحدود، وكشف ومنع تهريب الأسلحة والأسلحة؛	1
أما من الناحية الموضوعية، فقد عارضت الهيئات القضائية الوطنية المطالبين بواحدة أو أكثر من الحجج التالية: أولاً، الحق في الجبر كما هو موجود في القانون الدولي الإنساني ليس نافذاً بذاته، إذ لا يحق إلا للدول الأصلية للضحايا مباشرةً التمتع بهذا الحق؛ ثانياً، وجود اتفاقية سلام تحول دون تقديم مطالبات فردية.	0
لقد كنت في أفغانستان لمدة أربعة أيام في نهاية شهر يونيو/حزيران لتقييم الوضع الإنساني، نظراً للمخاوف المتزايدة بشأن خطورة القضايا الإنسانية وحماية المدنيين.	0
9. وقضت محكمة المقاطعة في الأصل بأن الحكومة لم تثبت أن فرع الحرمين في هولندا، المنفصل عن المنظمة الدولية، قد دعم الإرهاب.	0
قامت أربع دول بتجريم تمويل الإرهاب بشكل كافٍ، بينما لم تقم ثلاث دول بذلك على الإطلاق.	0
وكان من بين الاجتماعات التي حضرها مؤتمران أفضيا إلى طلب محدد إلى مكتب الأمم المتحدة المعني بالمخدرات والجريمة لتنظيم حلقات عمل لإعداد التقارير للدول من أفريقيا ومنطقة البحر الكاريبي/ أمريكا اللاتينية التي تدين بتقديم تقارير إلى واحدة أو أكثر من لجان مجلس الأمن الثلاث التي تعنى بمكافحة الإرهاب.	0
واعتبرت الدول الأعضاء في مداخلاتها أن الإرهاب هو أحد أشد الأخطار التي تهدد السلم والأمن الدوليين وأن هزيمته تتطلب جهداً منسقاً مستمراً.	0
وقد أنشأت سبع دول الولاية القضائية الملائمة للجرائم ذات الصلة في تشريعاتها، واتخذت خمس دول بعض الخطوات في هذا الصدد، ولا توجد معلومات كافية فيما يتعلق بتسع دول.	1
(ب) معالجة أوجه القصور في تجريم تمويل الإرهاب وتجميد أصول الإرهابيين، وتعزيز مراقبة القطاع غير الربحي ونظم التحويلات البديلة;	1
وكان الغرض من الاجتماع الخاص هو اتخاذ الخطوة الأولى في تحسين الوعي الإقليمي بنظام الجزاءات المفروضة على تنظيم القاعدة وتشجيع المزيد من المشاركة بين اللجنة وبلدان الساحل والمغرب العربي.	1
وتتمثل الميزة التي يتمتع بها الفريق في القدرة على العمل بشكل تعاوني مع الحكومات في جميع أنحاء العالم، وكذلك التواصل مع المتخصصين الخارجيين، من أجل بناء تقييم متكامل للتهديد الذي يشكله تنظيم القاعدة والمرتبطين به والنهوض بنظام جزاءات هادف وفعال وعادل.	1
:: :: مواصلة وضع مبادرات لحظر التحريض ومنعه، وتحديد أفضل الممارسات وتبادل المعلومات، مع مراعاة الحاجة إلى ضمان امتثال جميع التدابير ذات الصلة لالتزاماتها القانونية الدولية، بما في ذلك التزامات حقوق الإنسان.	1
وإذ يرحب بالعمل المتواصل الذي تقوم به حكومة العراق من أجل عراق اتحادي وديمقراطي وتعددي وموحد، يسوده الاحترام الكامل لحقوق الإنسان,	0
أن يحيط علما بالإحاطة التي قدمتها الأمانة العامة فيما يتعلق بمراجعة مكتب خدمات الرقابة الداخلية لمدفوعات التعويضات الممنوحة والمطالبات الفلسطينية المتأخرة من الفئة دال وأنشطة التصفية، والنص المقترح للفرع المتعلق بلجنة التعويضات الذي سيدرج في التقرير السنوي لمكتب خدمات الرقابة الداخلية لعام 2005، ومشاركة مركز التنسيق الذي عينه المكتب في العملية التي تجريها الأمانة العامة لتحديد المطالبات المكررة المحتملة في الفئتين ألف وجيم, وطلب مجلس مراجعي حسابات الأمم المتحدة إبداء تعليقاته على مشروع ملاحظاته فيما يتعلق بزيارتيه إلى الأردن والكويت فيما يتصل بالمدفوعات، وطلب المجلس إبداء تعليقاته على مشروع تقريره عن حالة تنفيذ التوصيات الناشئة عن مراجعته للبيانات المالية للجنة عن فترة السنتين 2002-2003، والاتصالات التي أجرتها اللجنة مع لجنة التحقيق المستقلة; أن يطلب إلى الأمانة أن تقدم معلومات مستكملة عن هذه المسألة في اجتماع غير رسمي مقبل لمجلس الإدارة؛ وأن تبقي هذه المسألة على جدول أعمال مجلس الإدارة.	1
1. قرر مجلس الأمن، في الفقرة 4 من قراره 1977 (2011)، أن تقدم اللجنة المنشأة عملا بالقرار 1540 (2004) برنامج عمل سنوي إلى المجلس قبل نهاية شهر أيار/مايو من كل عام.	1
وفي المقابل، يتعين على سلطات بلغراد أن تضع حداً لتكتيك العرقلة الذي تتبعه والذي يمنع صرب كوسوفو من المشاركة في المؤسسات العامة في كوسوفو. وتنطوي "سياسة الكرسي الشاغر" على مخاطر كبيرة تتمثل في أن تاريخ كوسوفو سيُكتب بدون صرب كوسوفو.	0
وبناءً على ذلك، اضطرت شبكات تجارة الأسلحة إلى توخي المزيد من الحذر في نقل شحنات الأسلحة من اليمن إلى الصومال عبر خليج عدن.	1
ويشدد المجلس على ضرورة تعزيز التعاون عبر الوطني بين وكالات إنفاذ القانون، بما في ذلك من خلال إدراج الأمن البحري في إصلاحات قطاع الأمن ومن خلال اعتماد اتفاقات ثنائية وإقليمية لتيسير اتخاذ تدابير، وفقا للقانون الدولي، لمكافحة الاتجار بالمخدرات عن طريق البحر، وملاحقة المشتبه في ضلوعهم في هذا الاتجار، عقب عمليات الاعتراض البحري في أعالي البحار. وتدعو إلى مواصلة الدعم من مكتب الأمم المتحدة المعني بالمخدرات والجريمة وغيره من المنظمات الدولية والإقليمية ذات الصلة.	1
وتشجع المجتمعات على المراقبة الذاتية ومواجهة الآراء الاستقطابية دون تدخل الحكومة كوسيلة أكثر استدامة لمنع التطرف داخل المجتمعات.	0
1. يثني على الجهود المتواصلة التي يبذلها الاتحاد الأفريقي، ولا سيما الرئيس أولوسيغون أوباسانجو، رئيس نيجيريا، رئيس الاتحاد الأفريقي، والرئيس ثابو مبيكي، رئيس جمهورية جنوب أفريقيا، وسيط الاتحاد الأفريقي، والجماعة الاقتصادية لدول غرب أفريقيا، وقادة المنطقة لتعزيز السلام والاستقرار في كوت ديفوار، ويكرر تأكيد دعمه الكامل لهم؛	0
قُتل أحد ضباط الشرطة الوطنية لتيمور الشرقية على يد جندي بعد حوالي 30 دقيقة.	0
4. من أجل زيادة تعزيز رصد تنفيذ القرارين 1373 (2001) و 1624 (2005) من جانب الدول الأعضاء، ستواصل المديرية التنفيذية تقييم جهود التنفيذ التي تبذلها هذه الدول، باستخدام أدوات التقييم المنقحة التي وضعتها اللجنة (الاستعراض العام لتقييم التنفيذ والدراسة الاستقصائية المفصلة للتنفيذ)؛ وتحديد التحديات والاحتياجات لجميع الدول الأعضاء والمناطق؛ وتيسير تقديم المساعدة التقنية المحددة الهدف في هذا الصدد.	1
في حالات النزاع المسلح، وبموجب القانون الدولي الإنساني، تقع المسؤولية الرئيسية عن حماية المدنيين وتلبية احتياجاتهم على عاتق الطرف الذي يجدون أنفسهم تحت سيطرته.	1
وشكّل هذا الحدث أساساً لوضع برنامج إقليمي يركز على الجزائر وبوركينا فاسو ومالي وموريتانيا والنيجر ونيجيريا وموريتانيا، بهدف بناء قدرات الدول الأعضاء على تصميم وتخطيط وتطوير وتنفيذ برامج إعادة تأهيل وإعادة إدماج المتطرفين العنيفين في السجون.	1
إنشاء ومساعدة وسائل الإعلام ووسائل الإعلام والمعلومات المحلية والدولية، دعماً لعمليات السلام.	1
وتبرر هذا التفسير المبادئ الأساسية للقانون الجنائي الدولي، التي تنص على أن المسؤولية الجنائية الفردية تنشأ عندما يرتكب الشخص جريمة مادية، وكذلك عندما يشارك في أشكال أو طرائق أخرى من السلوك الإجرامي.	0
ويدين مجلس الأمن جميع انتهاكات القانون الدولي، بما في ذلك القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين المرتكبة ضد المدنيين في حالات النزاع المسلح.	0
66. في محاولة لمواجهة الزيادة في الجرائم المرتكبة في البحر، تقوم المنظمة البحرية لغرب ووسط أفريقيا، بمساعدة المنظمة البحرية الدولية، بتعزيز التعاون بين وكالات إنفاذ القانون من خلال إنشاء شبكة من وحدات خفر السواحل.	1
يطالب أطراف النزاع بأن تتخذ على الفور التدابير المناسبة لحماية المدنيين، بمن فيهم النساء والأطفال، من جميع أشكال العنف الجنسي، بما يتماشى مع القرار 1820 (2008).	0
وفي ختام الاجتماع، اعتمدت اللجنة وثيقة ختامية تطلعية تحث جميع الدول الأعضاء على ضمان عدم التسامح مطلقا مع الإرهاب واتخاذ إجراءات عاجلة لمنع ومكافحة الإرهاب بجميع أشكاله ومظاهره من خلال التنفيذ الكامل والفعال للقرار.	1
لا توجد لدى كل دولة استراتيجية قائمة بذاتها لمكافحة الإرهاب، ولكن جميع الدول وضعت مجموعة من السياسات والممارسات لمكافحة الإرهاب، وأنشأت وكالة أو مركزاً وطنياً بولاية تشريعية تسترشد بها في عملها لإدارة تدابير مكافحة الإرهاب.	1
وواصلت اللجنة النظر في ثلاثة طلبات للإعفاءات: الأول يتعلق بطلب من إحدى وكالات الأمم المتحدة المتخصصة لتقديم المساعدة التقنية إلى جمهورية إيران الإسلامية؛ والثاني يتعلق بطلب تلقته إحدى الدول من مركز جمهورية إيران الإسلامية للأعمال المتعلقة بالألغام اقتُرح فيه التعاون مع تلك الدولة في مجال الأعمال المتعلقة بالألغام؛ والثالث يتعلق بطلب تلقته إحدى الدول من جمهورية إيران الإسلامية للحصول على تدريب تقني للقوات المسلحة الإيرانية.	1
18. وألزم البيان المشترك الحكومة بتنفيذ وقف اختياري للقيود المفروضة على الوصول إلى جميع الأعمال الإنسانية في دارفور وإزالة مختلف العقبات التي تعترض العمل الإنساني.	1
تم تهجير حوالي 1.8 مليون شخص قسراً وأصبحوا لاجئين أو مشردين داخلياً. وهم بحاجة إلى الحماية.	0
"ويثني مجلس الأمن على الجهود التي تبذلها عملية الاتحاد الأوروبي أتالانتا، وعمليتا منظمة حلف شمال الأطلسي "تحالف الحماية" و "درع المحيط" بقيادة الدول الأعضاء في منظمة حلف شمال الأطلسي، وفرقة العمل المشتركة 151 التابعة للقوات البحرية المشتركة بقيادة الدانمرك ونيوزيلندا وباكستان وجمهورية كوريا وسنغافورة وتركيا وتايلند والولايات المتحدة، والدول الأخرى التي تعمل بصفتها الوطنية بالتعاون مع السلطات الصومالية وبعضها البعض, لقمع القرصنة وحماية السفن المعرضة للخطر العابرة للمياه الواقعة قبالة سواحل الصومال، ويعرب عن تقديره للجهود التي تبذلها الدول الأعضاء، بما فيها الاتحاد الروسي وجمهورية كوريا والصين وماليزيا والهند واليابان، التي نشرت سفنا و/أو طائرات في المنطقة، على النحو الوارد في تقرير الأمين العام (S/2012/783).	0
الإقرار بأهمية المجتمعات المحلية والقطاع الخاص والمجتمع المدني ووسائل الإعلام في زيادة الوعي بالتهديدات الإرهابية والتصدي لها بفعالية أكبر,	1
وعلاوة على ذلك، فإن تفاعلات الفريق مع الدول الأعضاء واللجنة ستتغير بشكل كبير إذا أصبح الفريق حكما في قرارات الإدراج والشطب من القائمة.	1
412. إن اختطاف الأشخاص أثناء الهجمات التي يشنها الجنجويد واحتجازهم في معسكرات يديرها الجنجويد، بدعم وتواطؤ من القوات المسلحة الحكومية، يرقى إلى مستوى الانتهاكات الجسيمة لحقوق الإنسان وإلى مستوى الاختفاء القسري.	0
