en_ar_DEEP	MatConf
وعندما ترتكب هذه الأفعال كجزء من هجوم واسع النطاق أو منهجي موجه ضد أي مجموعة من السكان المدنيين، مع العلم بالهجوم، فإنها قد ترقى إلى مستوى جريمة ضد الإنسانية.	1
63- ولا تزال هناك مخاوف كبيرة بشأن القيود المفروضة على حرية التعبير.	1
يطالب أطراف النزاع باتخاذ التدابير المناسبة فوراً لحماية المدنيين، بمن فيهم النساء والأطفال، من جميع أشكال العنف الجنسي، تماشياً مع القرار 1820 (2008).	0
وللمساعدة في تحقيق السلامة المالية والاستدامة للشرطة المحلية، أحرزت بعثة الشرطة التابعة للاتحاد الأوروبي تقدما في تطوير القدرات المحلية فيما يتعلق بجداول المرتبات، وتخطيط ميزانية الوحدات التنظيمية، وتنقيح تكاليف صيانة أماكن العمل، وترشيد استخدام معدات الشرطة، والمراقبة على المخزون وكشوف المرتبات، وتنفيذ الميزانية العامة وإدارتها.	0
وشدد أعضاء المجلس على أن بعثة الأمم المتحدة في إثيوبيا وإريتريا أنشئت بناء على دعوة من الطرفين، وأنها على استعداد لمساعدتهما في تنفيذ اتفاقات الجزائر.	0
وشدد السيد صديقو على أنه حتى لو تعرضت حركة الشباب لانتكاسات عسكرية، فإنها لا تزال تحتفظ بأعداد كبيرة من مقاتليها ومعداتها، لا سيما في المناطق الريفية، ورأى أن هذا ربما كان يهدف إلى مواصلة قتال غير متكافئ طويل الأمد.	1
(د) تيسير بناء القدرات في مجال التعاون الدولي مع الشركاء دون الإقليميين. 62 - ينبغي للجنة مكافحة الإرهاب ومديريتها التنفيذية القيام بما يلي: (أ) العمل بشكل أكثر نشاطا مع المنظمات دون الإقليمية ذات الصلة، بما في ذلك مجموعة مكافحة غسل الأموال لشرق أفريقيا والجنوب الأفريقي، والجماعة الإنمائية للجنوب الأفريقي، ومنظمة التعاون الإقليمي لرؤساء الشرطة في الجنوب الأفريقي، في مجال مكافحة غسل الأموال. من أجل التركيز على الأنشطة الموجهة نحو التغلب على أوجه القصور وتحسين تنفيذ القرار؛	0
وتنص الفقرة 2 من المادة 21 من مرفق قرار مجلس الأمن 1757 (2007) على أنه إذا لم تكتمل أنشطة المحكمة الخاصة بحلول نهاية ولايتها الحالية، "يتم تمديد الاتفاق ... لفترة أخرى (ق) يحددها الأمين العام بالتشاور مع الحكومة [اللبنانية] ومجلس الأمن".	0
ووقعت سلسلة من الحوادث المعزولة تتراوح بين التفجيرات والتدريبات المزعومة المرتبطة بتنظيم القاعدة في جنوب أفريقيا.	1
"ويشير مجلس الأمن أيضا إلى الهجمات الإرهابية الشنيعة التي وقعت في 11 أيلول/سبتمبر 2001 في نيويورك وواشنطن العاصمة وبنسلفانيا، وإلى الهجمات العديدة الأخرى التي ارتكبتها الشبكة في جميع أنحاء العالم.	1
(ط) تيسير البحث في مجالات القرارات الثلاثة التي تتطلب مزيدا من الدراسة، بما في ذلك تحليل الاتجاهات والمنهجيات المتعلقة بالإرهاب في السياقين العالمي والإقليمي وتحليل تدابير مكافحة الإرهاب؛	0
وستكون الأكاديمية مؤسسة مهمة لتنفيذ منهج التدريب الجديد ودعم تنفيذ خارطة الطريق لإعادة بناء قوة الشرطة المدنية.	0
وتنظر اللجنة أيضا في إمكانية تقديم تقارير إقليمية جماعية وطلبت من فريق الرصد مواصلة دراسة هذا الخيار.	0
ويعرب المجلس عن قلقه إزاء جميع الانتهاكات والتجاوزات لحقوق الإنسان، ويدعو السلطات الليبية إلى التحقيق في جميع هذه الأعمال وتقديم مرتكبيها إلى العدالة، بما في ذلك تلك المرتكبة ضد الأطفال.	0
"يدين مجلس الأمن بأشد العبارات الهجوم الانتحاري الإرهابي الذي وقع في إيسر، الجزائر، في 19 آب/أغسطس 2008، وأدى إلى سقوط العديد من القتلى والجرحى في أكاديمية لتدريب قوات الدرك. ويعرب عن تعاطفه العميق وتعازيه لضحايا هذا العمل الشنيع الإرهاب ولأسرهم ولشعب وحكومة الجزائر.	1
وتسهم هذه العمليات في تعزيز صورة البعثة وكذلك دعم خطة تنفيذ المهمة التي وضعها مكتب الممثل السامي وبناء قدرات السلطات المحلية ووكالات إنفاذ القانون.	0
ومن الناحية العملية، لم يتم الإعلان عن غالبية عمليات نقل هذه الأسلحة إلى كوت ديفوار.	1
121 - استقر مقاتلو الحركة الوطنية لكوت ديفوار في مختلف المباني العامة.	1
وأعرب الاتحاد الأوروبي أيضا عن دعمه للبيان الذي أدلى به ممثلي الخاص في 8 أيلول/سبتمبر والذي أكد فيه أنه لا يمكن أن يكون هناك حل عسكري للمشاكل التي تواجه المؤسسات الاتحادية الانتقالية.	0
إن إدراك الجناة بأن أعمالهم العنيفة كانت جزءًا من هجوم منهجي على المدنيين يمكن استنتاجه، من بين أمور أخرى، من حقيقة أنهم كانوا يدركون أنهم سيتمتعون بالفعل بالإفلات من العقاب.	1
ومع ذلك، فمن دون قدر كبير من الشفافية ـ وهو ما من شأنه أن يقوض إحدى مزاياها الرئيسية ـ فمن غير المرجح أن تلبي مثل هذه الآلية الدعوات المطالبة بإجراء مراجعة قضائية فعالة ومستقلة.	0
27 - وبحلول نهاية الفترة المشمولة بالتقرير، كان قوام شرطة البعثة يقترب من 400 4 ضابط من 53 بلدا، وهو ما يمثل أكثر من 90 في المائة من إجمالي القوام المأذون به للبعثة.	1
117 - وخاصة بعد أن أصبح المجتمع الدولي على بينة من تأثير أعمال الجنجويد، ويبدو أن ردود حكومة السودان على استخدام هذا المصطلح كانت تهدف إلى إنكار وجود أي روابط بين الدولة والجنجويد؛ وينسب معظم المسؤولين بشكل روتيني أعمال الجنجويد إلى "قطاع الطرق المسلحين" أو "العناصر الخارجة عن السيطرة" أو حتى جيش تحرير السودان وحركة العدل والمساواة.	1
ومن المستحيل أن أصف في هذا التقرير جميع حوادث القتل التي وثقتها اللجنة.	1
16 - ثانيا، تضعف الجريمة عبر الحدود قدرات الدولة، بما في ذلك القدرات العسكرية وقدرات الشرطة.	0
وسيقوم الطرفان بإجراء مزيد من الدراسة حول إنشاء الزيارات العائلية عن طريق البر في إطار مفوضية الأمم المتحدة لشؤون اللاجئين.	0
وفي حين يسعدنا أن نلاحظ أن نحو 10 ملايين ناخب أفغاني قد تم تسجيلهم، فإننا لا نزال نشعر بالقلق إزاء عدم إجراء تسجيل كاف في الأجزاء الجنوبية والجنوبية الشرقية من أفغانستان، ويرجع ذلك أساسا إلى المخاوف الأمنية.	0
نجاحها الرئيسي الآخر هو بقائها، لكن صفوفها تتضاءل، وبمرور الوقت، سيتم القبض على معظم قادتها الرئيسيين أو قتلهم.	1
وفي حالات قليلة للغاية، أفيد أيضًا بأن المتمردين ارتكبوا أعمال نهب خلال هجوم على إحدى القرى، ولا سيما في غرب دارفور.	1
كما أنها ستضع الأساس لآلية فعالة لمراقبة الأسلحة النارية، والتي يمكن أن تساعد السلطات على إدارة حيازة الأسلحة.	0
واستمر ورود أنباء عن انتهاكات لحقوق الإنسان، يرتبط الكثير منها بعناصر غير مدربة مدمجة في القوات المسلحة لجمهورية الكونغو الديمقراطية، من "المؤتمر الوطني للدفاع عن الشعب" والجماعات المسلحة.	1
13 - يأذن للدول الأعضاء التي تتصرف بموجب الفقرة 10 أعلاه، وفقا للمرفق 1 - ألف من اتفاق السلام، باتخاذ جميع التدابير اللازمة لضمان الامتثال للقواعد والإجراءات التي وضعها قائد قوة تحقيق الاستقرار، والتي تحكم القيادة والسيطرة على المجال الجوي فوق البوسنة والهرسك فيما يتعلق بجميع الحركة الجوية المدنية والعسكرية؛	0
هـ- الاعتقال التعسفي والتعذيب والإعدام ومعسكرات الاعتقال	1
وعلى نطاق أوسع، أتاحت الإنترنت لتنظيم القاعدة والجماعات المنتسبة إليه نشر الدعاية لجمهور عالمي، وبالتالي جعل المجندين المحتملين في متناول أيديهم، وذلك جزئيًا عن طريق جذبهم إلى المواقع الإلكترونية المرتبطة بتنظيم القاعدة.	1
على سبيل المثال، في عام 2009، عدلت تونس القانون رقم 75-2003 الذي يجرم التحريض على ارتكاب أعمال إرهابية من أجل فصل "التحريض على الكراهية" و"التطرف الديني" عن الجرائم الإرهابية.	0
كما أصبحت التفجيرات الانتحارية اتجاها.	1
(ج) أعمال النهب التي يقوم بها الجنود الإريتريون للمنازل الخاصة والشركات وغيرها من الكيانات؛	1
وإذ يكرر دعوته الأطراف ودول المنطقة إلى التعاون بشكل أكمل مع الأمم المتحدة ومع بعضها البعض وتعزيز مشاركتها لإنهاء المأزق الحالي وإحراز تقدم نحو التوصل إلى حل سياسي،	0
ومن ثم، تواجه دول آسيا الوسطى تهديدا إرهابيا حادا عبر الحدود الوطنية يتطلب استجابات إقليمية ومنسقة متضافرة.	1
ولم تقم إحدى الدول بوضع استراتيجية لمكافحة الإرهاب ولا الهياكل التنظيمية اللازمة.	0
ثم قام أربعة جنود بممارسة الجنس معها مهبليًا، واحدًا تلو الآخر.	1
6 - يشير إلى ما قرره في قراره 1373 (2001) من أن تكفل جميع الدول الأعضاء تقديم أي شخص يشارك في تمويل أو تخطيط أو الإعداد أو ارتكاب أعمال إرهابية أو في دعم الأعمال الإرهابية إلى العدالة، ويقرر محاكمة جميع الأشخاص الذين يشاركون في هذه الأعمال. تكفل الدول أن قوانينها ولوائحها الداخلية تحدد الجرائم الجنائية الخطيرة بما يكفي لتوفير القدرة على الملاحقة القضائية والمعاقبة بطريقة تعكس خطورة الجريمة:	1
وتم الإبلاغ عن القتال مرة أخرى يومي 22 و 23 يوليو في الواك بين نفس العشائر، مما أدى إلى مقتل 32 شخصًا وإصابة أكثر من 60 شخصًا.	1
118 - توصي اللجنة بإجراء مزيد من التحقيقات لتحديد أي من رجال الرائد رينادو التالين كان موجودا في فاتو آهي: مويسيس راموس، بلاسيدو ريبيرو غونسالفيس، ديوليندو باروس، أنطونيو سافيو، فيلومينو سواريس مينيزيس، فرانسيسكو دي أوغوستو، جيلسون خوسيه أنطونيو. دا سيلفا، جوانينيو ماريا غوتيريس، يواكيم باريتو، خوسيه جوميز، ناتالينو بورخيس بيريرا، أندريه دا كوستا بينتو مارتينيو ألميدا، أبيليو دا كوستا دي جيسوس، فرانسيسكو زيمينيس ألفيس، فيلسبيرتو جارسيا، داريو دا سيلفا ليونج، نيلسون جالوتشو، ونيكسون جالوتشو.	0
211 - أنشأت جميع دول هذه المنطقة دون الإقليمية وحدات تشغيلية للاستخبارات المالية، رغم أن بعضها لا يزال يعمل على تحسين قدراتها.	0
توصي اللجنة بمحاكمة الأشخاص التالية أسماؤهم فيما يتعلق بحيازة واستخدام ونقل أسلحة الشرطة الوطنية لتيمور - ليشتي بشكل غير قانوني في 8 مايو و/أو 21 مايو: روجيريو لوباتو، أوسيبيو سالسينيا، أنطونيو دا كروز، فيسنتي دا كونسيساو، المعروف أيضًا باسم راي لوس، ماتيوس. دوس سانتوس بيريرا، المعروف أيضًا باسم موركات، ولياندرو لوباتو، المعروف أيضًا باسم جراي هارانا، وأنطونيو لورديس، المعروف أيضًا باسم 55 عامًا، وماركوس دا سيلفا بيداد، المعروف أيضًا باسم لاباداي، وفرانسيسكو وسانتا كروز.	0
وإذ يرحب بالجهود التي تبذلها السلطات البوروندية لمكافحة الإفلات من العقاب، ولا سيما محاكمة وإدانة بعض مرتكبي مذبحة مويينغا،	0
ويتطلع مجلس الأمن إلى نتائج وتوصيات البعثة.	0
ومع ذلك، وكما استمع المجلس في جلسة إحاطة يوم 31 كانون الثاني/يناير، فإن التقارير عن التفجيرات لا تزال مستمرة حتى الوقت الحاضر، وآخر حالة قيد التحقيق يجريها مراقبو الاتحاد الأفريقي.	1
وقد تم اعتقال صحفيين بارزين بشكل تعسفي بسبب تحدثهم علناً عن قضايا حقوق الإنسان والدستور وسيادة القانون.	1
وقد دأبت هيئات مكافحة الإرهاب التي عهد إليها المجلس بتنفيذ القرار 1373 (2001)، في العقد اللاحق، على التعامل بشكل روتيني مع الروابط المحتملة بين الإرهاب والجريمة المنظمة باعتبارها تقع ضمن نطاق اختصاصها.	0
ويبدو أن مثل هذه الأنشطة الإجرامية لها تأثير مضاعف من خلال تغذية الإرهاب في أفريقيا والأنشطة الإجرامية التي تزدهر في مناطق أخرى من العالم.	0
وفي حين أن نظام الجزاءات قد يجبر بعض أفراد طالبان على البقاء في المناطق النائية، ويلاحظ الفريق أن هذا قد يكون أحد الأسباب التي تجعل كبار قادة طالبان يرغبون في إزالة أسمائهم، فإن الهدف الوقائي للتدابير لم يتحقق إلى حد كبير.	1
وتمثل كوبا مرة أخرى أمام مجلس الأمن لتدين وتدين بشدة تواطؤ حكومة الولايات المتحدة ومسؤوليتها المطلقة عن إطلاق سراح هذا الشخص.	0
وعلى سبيل المثال، استجابت الصناعة النووية للتدقيق المتزايد والمخاوف من حصول الإرهابيين على أسلحة الدمار الشامل بعد هجمات 11 أيلول/سبتمبر 2001، وعالجت بشكل استباقي الشواغل المتعلقة بعدم الانتشار.	1
وكما يظهر من ضميمة هذه الرسالة، كانت قوات النظام وحشية بشكل خاص في مدينة الرقة، حيث استغلت غطاء الضربات الجوية التي قادتها الولايات المتحدة على داعش لذبح المدنيين الأبرياء على نطاق غير مسبوق.	1
ويشمل حظر الأسلحة "الأسلحة والأعتدة ذات الصلة بجميع أنواعها، بما في ذلك الأسلحة والذخائر، والمركبات والمعدات العسكرية، والمعدات شبه العسكرية، وقطع الغيار لكل هذه الأسلحة".	1
وفي حالة دارفور، يمكن العثور على هذه النية التمييزية والاضطهادية، في مناسبات عديدة، في بعض الميليشيات العربية، وكذلك في الحكومة المركزية: الهجمات المنهجية على القرى التي يسكنها مدنيون (أو في الغالب مدنيون) ينتمون إلى بعض " "القبائل الأفريقية" (الفور والمساليت والزغاوة)، والتدمير والحرق المنهجي لتلك القرى والتهجير القسري للمدنيين من القرى، يشهد على نية الاضطهاد بشكل واضح.	1
وأدى المرسوم إلى مزيد من التطورات فيما يتعلق بدمج الجماعات المسلحة الكونغولية في القوات المسلحة لجمهورية الكونغو الديمقراطية.	0
ويلزم كلا الطرفين بالإفراج الفوري عن الأطفال المرتبطين بالقوات المسلحة وإعادة إدماجهم.	0
412. إن اختطاف الأشخاص خلال هجمات الجنجويد واحتجازهم في المعسكرات التي يديرها الجنجويد، بدعم وتواطؤ من القوات المسلحة الحكومية، يعد بمثابة انتهاكات جسيمة لحقوق الإنسان، وحالات اختفاء قسري.	1
ومع ذلك، فإن الحكومة، باعتبارها الجهاز العام المسؤول عن تطوير السياسات، تتحمل أيضًا مسؤولية الاستجابة للمشاكل الحرجة داخل المؤسسات وفيما بينها.	0
وفي الآونة الأخيرة، في يوليو/تموز 2014، شنت بوكو حرام غارة عبر الحدود على الكاميرون، مما أدى إلى اختطاف زوجة نائب رئيس الوزراء، أمادو علي، ومقتل ثلاثة آخرين.	1
ويشجعها على مضاعفة جهودها من أجل توفير الأمن للسكان المدنيين على أراضيها، بما في ذلك الأجانب الذين يمنحونهم اللجوء.	0
وفي ختام هذه الجولة الرابعة من المحادثات، أكد الطرفان مجددا التزامهما بمواصلة المفاوضات في مانهاست في موعد يحدده الاتفاق المشترك.	0
4 - يطلب إلى المدير التنفيذي للمديرية التنفيذية للجنة مكافحة الإرهاب، في غضون 30 يوما من توليه منصبه، بالتشاور مع الأمين العام ومن خلاله، أن يقدم إلى الجلسة العامة، لإقرارها، خطة تنظيمية للمديرية التنفيذية للجنة مكافحة الإرهاب، بما يتفق مع تقرير اللجنة ( S/2004/124) والقواعد والأنظمة الأساسية للأمم المتحدة، بما في ذلك هيكلها، واحتياجاتها من الموظفين، واحتياجات الميزانية، والمبادئ التوجيهية الإدارية، وإجراءات التوظيف، مع الاعتراف على وجه الخصوص بالحاجة إلى هيكل إداري فعال وتعاوني للهيئة الجديدة، وتزويدها بالموظفين المناسبين موظفون مؤهلون وذوو خبرة، يكونون موظفين مدنيين دوليين يخضعون للمادة 100 من الميثاق، ويضمنون أعلى معايير الكفاءة والمقدرة والنزاهة، مع إيلاء الاعتبار الواجب لأهمية تعيين الموظفين على أوسع نطاق جغرافي ممكن؛	0
24 - يطلب إلى لجنة مكافحة الإرهاب أن تقوم، في إطار ولايتها الحالية وبدعم من المديرية التنفيذية للجنة مكافحة الإرهاب، بتحديد الثغرات الرئيسية في قدرات الدول الأعضاء على تنفيذ قراري مجلس الأمن 1373 (2001) و 1624 (2005) التي قد تعيق قدرة الدول على القيام بما يلي: وقف تدفق المقاتلين الإرهابيين الأجانب، فضلا عن تحديد الممارسات الجيدة لوقف تدفق المقاتلين الإرهابيين الأجانب في تنفيذ القرارين 1373 (2001) و 1624 (2005)، وتيسير المساعدة التقنية، وتحديدا عن طريق تعزيز التعاون بين مقدمي الخدمات المساعدة في مجال بناء القدرات والمستفيدين منها، لا سيما أولئك الموجودين في المناطق الأكثر تضررا، بما في ذلك من خلال وضع استراتيجيات شاملة لمكافحة الإرهاب، بناء على طلبهم، تشمل مكافحة التطرف العنيف وتدفق المقاتلين الإرهابيين الأجانب، مع التذكير بأدوار الجهات الأخرى ذات الصلة الجهات الفاعلة، على سبيل المثال المنتدى العالمي لمكافحة الإرهاب؛	0
وفي السياقات التي تفتقر فيها النظم القضائية الوطنية إلى القدرة والتي لا تزال تضعف بسبب الصراع، تبدو الآليات شبه القضائية المخصصة حلاً مناسبًا - إن لم يكن ضروريًا - للتعامل بشكل محايد مع تدفق المطالبات المتعلقة بالنزاع وتزويد الأفراد بإمكانية الوصول. إلى أشكال معينة من التعويضات.	0
ومن أجل مواصلة هذه المعركة، من الضروري أن يقدم المجتمع الدولي مساهمة أكثر جدية، وأن يولي اهتماما أكبر لهذا الجانب الهام من مكافحة الإرهاب.	0
ويُلزم الإعلان الدول المشاركة بدعم البرامج المتعلقة بالحد من العنف المسلح من منظور التنمية وحقوق الإنسان.	0
وتعكس هذه الدعوة والتعاون الذي تلقاه المقرر الخاص خلال زيارته التزام حكومة بوركينا فاسو بضمان أن تكون جهودها لمكافحة الإرهاب متوافقة مع القوانين والمعايير الدولية لحقوق الإنسان.	0
16 - سيكفل المدير التنفيذي أن يكون لكل منظمة دولية وإقليمية ودون إقليمية ذات صلة نقطة اتصال داخل مكتب التقييم والمساعدة التقنية، بما في ذلك الحاجة إلى الاتصال بمفوضية الأمم المتحدة السامية لحقوق الإنسان والمنظمات الأخرى المختصة. في المسائل المتعلقة بحقوق الإنسان ومكافحة الإرهاب.	0
وفي الجلسة 4170 المعقودة في 13 تموز/يوليه، اتخذ المجلس القرار 1307 (2000) الذي أذن فيه، في جملة أمور، بتمديد ولاية بعثة مراقبي الأمم المتحدة في بريفلاكا لمواصلة رصد تجريد شبه الجزيرة من السلاح حتى 15 كانون الثاني/يناير 2001.	0
o في 29 تشرين الثاني/نوفمبر 2014، أسقطت طائرات الهليكوبتر التابعة للنظام برميلين متفجرين على عيادة في قرية كفرسجنة بإدلب، مما أدى إلى تدميرها جزئيا.	1
وإذ يؤكد من جديد ضرورة مكافحة التهديدات التي يتعرض لها السلم والأمن الدولي نتيجة للأعمال الإرهابية بكافة الوسائل، وفقا لميثاق الأمم المتحدة والقانون الدولي، مشددا في هذا الصدد على الدور الهام الذي تضطلع به الأمم المتحدة في قيادة وتنسيق هذا الجهد. ,	0
نتيجة لتفشي فيروس إيبولا، حولت المؤسسات الأمنية الغينية جهودها نحو احتواء تفشي المرض.	0
o في 5 تشرين الثاني/نوفمبر 2014، نفذت طائرات النظام الحربية 5 غارات جوية استهدفت كنصفرة في إدلب.	1
ولم يسحب الجانبان بعد قواتهما من المنطقة، وهو ما يخالف اتفاق 20 حزيران/يونيه 2011.	1
وفي الفترة من 1 حزيران/يونيه إلى 31 آب/أغسطس، تم جمع أو تسليم ما يقرب من 500 قطعة سلاح صغير، وأكثر من 189000 طلقة ذخيرة، و2368 قنبلة يدوية ولغمًا، وأكثر من 255 كجم من المتفجرات. الآفاق	1
ويتخذ التمييز بين الجنسين أيضًا شكل استهداف النساء لدفع رشاوى أو غرامات.	1
وتمتلك قوات الدفاع أيضا سلاحا من طراز Minimi، وواحدا خاصا من عيار 38، وواحدا من طراز Browning عيار 9 ملم، وبندقيتين نصف آليتين من طراز G3، وبندقية من طراز M16 A1، وسلاحا ناريا من عيار M2 .50، ولم يتم توضيح مصدره.	1
وإذ يدين حالات الاختطاف واحتجاز الرهائن بهدف جمع الأموال، أو الحصول على تنازلات سياسية، ويعرب عن ضرورة معالجة هذه القضية،	0
وقد دفعها إلى القيام بذلك الحاجة إلى ضمان أن تظل الإجراءات التي يتخذها مجلس الأمن ضد تنظيم القاعدة وحركة الطالبان ذات صلة بالتهديد وأن أهداف الجزاءات محددة بشكل جيد بما فيه الكفاية للسماح للدول الأعضاء باتخاذ الإجراء المطلوب ضدهم.	1
تدريب أفراد حفظ السلام يطلب إلى الأمين العام أن يكفل تقديم الدعم الفني، في مرحلة ما قبل النشر وفي مسرح العمليات، إلى البلدان المساهمة بقوات عسكرية وأفراد شرطة في [البعثة]، بحيث يشمل التوجيه والتدريب للأفراد العسكريين وأفراد الشرطة على حماية المدنيين من التهديد الوشيك والاستجابات المناسبة، بما في ذلك ما يتعلق بحقوق الإنسان والعنف الجنسي والقضايا الجنسانية.	0
ويشعر الاتحاد الأوروبي بقلق بالغ إزاء دورة العنف الانتقامي المستمرة في إسرائيل والأراضي المحتلة.	0
دعم القرار الذي اتخذته جمهورية الكونغو الديمقراطية بالعمل على تعزيز شفافية الإيرادات في صناعاتها الاستخراجية،	0
49- خلال فترة المجاعة، استُخدم التلقين الإيديولوجي من أجل الحفاظ على النظام، على حساب تفاقم الجوع والمجاعة بشكل خطير.	1
في كثير من الحالات، تميل الميليشيات التي تهاجم القرى "الأفريقية" إلى استخدام ألقاب مهينة، مثل "العبيد"، أو "السود"، أو النوبة، أو الزرجة، وهو ما قد يوحي بتصور الضحايا كأعضاء في مجموعة مميزة.	1
17 - تم تسجيل ما يزيد على 000 8 حالة وفاة في أفغانستان في حوادث شارك فيها متمردون طوال عام 2007 (A/62/722-S/2008/159، الفقرة 17)، مقارنة بمقتل 000 6 شخص في جميع أنواع العنف في عام 2006.	1
14 - وبشكل عام، انخفض عدد العمليات العسكرية التي تقوم بها القوات المسلحة لجمهورية الكونغو الديمقراطية بدعم من البعثة. وفي الفترة من 6 إلى 15 شباط/فبراير، دعمت البعثة عملية مابيما موبيا (الفجر الجديد) التي نفذتها القوات المسلحة لجمهورية الكونغو الديمقراطية في منطقة كانيابايونغا في كيفو الشمالية، والتي كانت تهدف إلى ردع نشاط الجماعات المسلحة وتعزيز حماية المدنيين.	1
ولم يكن لدى ضباط الشرطة الوطنية لتيمور - ليشتي سوى أسلحتهم.	1
ونلاحظ المخاوف الأمنية التي تقول إسرائيل إنها تجبرها على مواصلة تلك الطلعات الجوية، وتحديدا الادعاءات المتعلقة بانتهاكات حظر الأسلحة المفروض عملا بالقرار 1701 (2006).	0
وقد أدخلت الدولتان الأخريان قوانين مكافحة الإرهاب منذ أكثر من خمس سنوات، لكن لم تبلغا عن أي تحقيقات أو ملاحقات قضائية ذات صلة.	0
84 - ووقعت أربع دول على خطاب النوايا لتنفيذ إطار معايير SAFE لضمان أمن البضائع من الاستغلال لأغراض إرهابية، وحققت ثلاث دول مرحلة متقدمة من التنفيذ.	0
وبالإضافة إلى معلومات أخرى موثوقة، سجلت اللجنة شهادات الأشخاص الذين اعتقلوا على خلفية النزاع في دارفور والمحتجزين حالياً في الخرطوم بشأن التعذيب والمعاملة اللاإنسانية والمهينة التي تعرضوا لها.	1
وإذ يدين استمرار التدفق غير المشروع للأسلحة داخل جمهورية الكونغو الديمقراطية وإليها، ويعلن تصميمه على مواصلة الرصد الوثيق لتنفيذ حظر توريد الأسلحة وغيره من التدابير المنصوص عليها في قراره 1807 (2008)،	1
حث [الدولة المتضررة] على القيام، بالتنسيق مع المجتمع الدولي، بإصلاح شامل لأنظمة الشرطة والقضاء والسجون، لحماية وتعزيز حقوق الإنسان والحريات الأساسية، ووضع حد للإفلات من العقاب.	0
وتبذل وكالات إنفاذ القانون والأمن التابعة للدولة في البوسنة والهرسك جهودا لتنفيذ التدابير الرامية إلى تحسين التعاون، ويواصل الفريق العامل التابع للمحكمة، الذي أنشأه مجلس وزراء رئيس الوزراء والممثل الخاص/مكتب الممثل السامي للاتحاد الأوروبي، الإشراف على التنفيذ. من تلك التدابير. وفي 8 أغسطس/آب، أُلقي القبض على ميلان لوكيتش، المتهم في الأرجنتين، وفي 25 أغسطس/آب، أُلقي القبض على دراغان زيلينوفيتش في غرب سيبيريا، وفي 13 سبتمبر/أيلول، استسلم سريدوي لوكيتش لسلطات جمهورية صربسكا في بانيا لوكا.	1
وفي غضون ذلك، لا تزال الحكومة الانتقالية لجمهورية الكونغو الديمقراطية تدرس إصدار أوامر اعتقال دولية بحق قادة الجماعات المسلحة في إيتوري.	1
24 - وشدد مجلس الأمن، في الفقرة 7 من قراره 1535 (2004)، على أنه لضمان استمرار لجنة مكافحة الإرهاب في العمل بفعالية خلال دمج هيكل دعم اللجنة في المديرية التنفيذية، ستواصل اللجنة عملها. بهيكل الدعم الحالي الخاص بها إلى أن تقرر اللجنة، بالتشاور مع الأمين العام، أن المديرية التنفيذية أصبحت جاهزة للعمل.	0
كما أقامت المديرية التنفيذية علاقات قوية بشكل خاص مع بعض المنظمات الإقليمية ودون الإقليمية، ولا سيما الجماعة الكاريبية، ولجنة البلدان الأمريكية لمكافحة الإرهاب في الأمريكتين التابعة لمنظمة الدول الأمريكية، والمركز الأفريقي للدراسات والبحوث المتعلقة بالإرهاب، والاتحاد الأفريقي. والجماعة الاقتصادية لدول غرب أفريقيا، والهيئة الحكومية الدولية المعنية ببرنامج بناء القدرات الإنمائية لمكافحة الإرهاب (ICPAT)، والجماعة الإنمائية للجنوب الأفريقي في أفريقيا؛ وفي أوروبا، ومجلس أوروبا، والاتحاد الأوروبي، ومنظمة الأمن والتعاون في أوروبا؛ منتدى جزر المحيط الهادئ في المحيط الهادئ؛ وبنك التنمية الآسيوي ورابطة دول جنوب شرق آسيا في آسيا.	0
فبعض الدول، على سبيل المثال، قامت بتمديد الفترات المسموح بها للاحتجاز على ذمة التحقيق أو الحبس الاحتياطي أو فرضت قيودا على إمكانية الاستعانة بمحام.	1
كما تعرضوا للحرمان الشديد من حريتهم وحرية التنقل داخل جمهورية كوريا الشعبية الديمقراطية، وحُرموا من حقهم في الاعتراف بهم كشخص أمام القانون، ومن حقهم في عدم التعرض للتعذيب وغيره من ضروب المعاملة القاسية أو اللاإنسانية أو غير الإنسانية. المعاملة المهينة.	1
وذكر لاحقاً أن اللواء آصف شوكت أجبر السيد أبو عدس على تسجيل الشريط في دمشق قبل حوالي 15 يوماً من الاغتيال.	1
ومنذ ذلك الحين، ألقت السلطات في كيفو الشمالية القبض على عدة أشخاص يُزعم أن لهم صلات بالسيد نكوندا.	1
يتطلب هذا القطاع حماية خاصة ضد تمويل الإرهاب، حيث أن إساءة استخدام المنظمات غير الربحية يمكن أن تؤدي إلى ضرر دائم للمنظمات نفسها ويمكن أن تثبط العطاء الخيري بشكل عام.	0
وقام طرفا اتفاق السلام الشامل بتعيين جهات تنسيق معنية بالأطفال والصراعات المسلحة.	0
تتوفر أموال كبيرة لتنظيم القاعدة في العراق، وقد تمكنت مجموعات أخرى من جمع الأموال عن طريق الجريمة أو التبرعات.	1
وأدت تصرفات بعض المجموعات العربية إلى التهجير القسري لتلك المجموعات غير العربية.	1
ونتيجة لذلك، يصبح المعتقل محتجزًا بمعزل عن العالم الخارجي، وتتجاوز فترة احتجازه في بعض الأحيان فترة 12 شهرًا، دون توجيه اتهامات إليه، ودون إمكانية الوصول إلى محامٍ، وعدم المثول أمام المحكمة، وعدم السماح بزيارات.	1
