en_ar_DEEPL	MatConf
:: يمكن لمجلس الأمن أن يكون أكثر فعالية في تشجيع الدول على بذل المزيد من الجهود للتحقيق في الانتهاكات الجسيمة للقانون الإنساني الدولي ومقاضاة مرتكبيها. كيف يمكن تقييم ذلك؟ وكيف يمكن للمجلس أن "يحفز" الدول على اتخاذ إجراءات بشأن الإفلات من العقاب؟	0
"ويؤكد مجلس الأمن من جديد مسؤوليته الرئيسية عن صون السلام والأمن الدوليين، وفقا لميثاق الأمم المتحدة، ويسلم بالمسؤولية الرئيسية للدول في القضاء على القرصنة والسطو المسلح في البحر.	0
4. وستشدد البعثة على أهمية تحقيق السلام والأمن المستدام والاستقرار لجميع بلدان المنطقة.	0
وبالإضافة إلى ذلك، سنّت أربع دول تشريعات تجرّم توفير الملاذ الآمن للإرهابيين ومؤيديهم من قبل أفراد أو منظمات.	0
وإذ يلاحظ مع القلق استمرار التهديد الذي يشكله تنظيم القاعدة وأسامة بن لادن وحركة طالبان وسائر من يرتبط بهم من أفراد وجماعات ومؤسسات وكيانات ومؤسسات وكيانات على السلام والأمن الدوليين، وإذ يؤكد من جديد تصميمه على التصدي لجميع جوانب ذلك التهديد،	0
وثمة حاجة إلى إجراء مزيد من البحوث بشأن تأثير مختلف أشكال الاتصالات على خطر التحريض وتهديده وبالتالي على الأعمال الإرهابية. ومع ذلك، يمكن القول إن التطور السريع في تكنولوجيا الاتصالات قد جعل خطر التحريض في جميع أنحاء العالم اليوم أكبر مما كان عليه في عام 2005.	0
تم إحراق مركبتين. ونُهبت مكاتب في الطابق الأرضي.	1
وأحاط الرئيس علماً بالدعوة التي وجهتها فرقة العمل القطرية المعنية بالرصد والإبلاغ إلى الفريق العامل لزيارة جنوب السودان، واقترح أن يصدر الفريق العامل بياناً صحفياً عن الاجتماع الذي عقده، بما يتماشى مع اختصاصات الفريق.	0
وأكد المجلس في القرار أن الإذن لا ينطبق إلا فيما يتعلق بالحالة في الصومال وأنه لا يمس حقوق أو التزامات أو مسؤوليات الدول الأعضاء بموجب القانون الدولي، بما في ذلك أي حقوق أو التزامات بموجب اتفاقية الأمم المتحدة لقانون البحار، بما في ذلك المبدأ العام للولاية الحصرية لدولة العلم على سفنها في أعالي البحار, وفيما يتعلق بأي حالة أخرى، شدد على وجه الخصوص على أن القرار لا يعتبر منشئا لقانون دولي عرفي، وأشار إلى أن هذا الإذن لم يقدم إلا بعد تلقي الرسالة المؤرخة 8 تشرين الأول/أكتوبر 2014 التي تنقل طلب رئيس جمهورية الصومال الاتحادية.	0
وكان هذا مثالاً آخر على هجوم مشترك مخطط ومنظم من قبل القوات الحكومية والجنجويد، حيث تم خلاله ارتكاب عمليات قتل جماعي وإعدامات بإجراءات موجزة.	1
ومع ذلك، كان من المشكوك فيه أن تتمكن وحدات القوات المسلحة لجمهورية الكونغو الديمقراطية المنتشرة في المقاطعة من فرض سيطرة فعالة ومستدامة على كامل كاتانغا والحد بشكل كبير من قدرة المايي مايي على مضايقة السكان المحليين واستغلال الموارد الطبيعية بشكل غير قانوني.	1
ويشير مجلس الأمن إلى قراره 2048 (2012)، ويكرر في هذا الصدد تأكيد استعداده للنظر في اتخاذ مزيد من التدابير، حسبما يراه ضروريا، بما في ذلك فرض جزاءات محددة الأهداف ضد الأفراد الذين يقوضون الجهود الرامية إلى استعادة النظام الدستوري.	1
وحث المرشد الأعلى على منع الجرائم ضد الإنسانية وقمعها، وضمان ملاحقة الجناة وتقديمهم للعدالة.	0
يجب الآن إعطاء أولوية قصوى لتحدي إنشاء إدارات محلية وإقليمية في المناطق المستعادة من حركة الشباب.	0
كما يعرب المجلس عن قلقه إزاء استمرار ورود تقارير عن استمرار هجمات جيش الرب للمقاومة في جمهورية أفريقيا الوسطى، حتى غرب بانغاسو، وكذلك في جمهورية الكونغو الديمقراطية.	1
ونظر أعضاء المجلس أيضا في تقرير الأمين العام (S/2000/632)، الذي أشار إلى أن تقدما هاما قد أحرز على الجبهتين السياسية والعسكرية ولكن لا تزال هناك تحديات كثيرة تواجه حكومة غينيا - بيساو لاستعادة السلام الدائم والاستقرار والتنمية المستدامة.	0
كما تلقت اللجنة تقارير موثوقة بشأن مقتل شرطي آخر على يد الحشد في المنطقة نفسها.	1
وتم اعتماد بروتوكول إضافي لإنشاء آليات وأجهزة تنفيذ الاتفاقية في أديس أبابا في 8 تموز/يوليه 2004.	0
11. وشدد الطرفان على أهمية إدارة هذه المرحلة الجديدة بالتعاون مع الشركاء الإقليميين والدوليين الذين دعوا إلى دعم جهودهم التي ستتم في إطار التقيد الصارم بالأهداف التي حددها المجتمع الدولي للحفاظ على السلامة الإقليمية لمالي وسيادته وتعزيز وحدته الوطنية.	0
مثل هذه الآلية ضرورية للتقصي الكامل عن مصير الأشخاص المفقودين.	0
ومن أجل تيسير النظر على النحو الواجب، كلما كان ذلك مناسبا، في المسائل المتعلقة بحماية المدنيين في مداولاته بشأن إنشاء عمليات حفظ السلام أو تغييرها أو إنهائها، اقترح أعضاء المجلس أن تصاغ مذكرة تعدد المسائل ذات الصلة في هذا الصدد بالتعاون الوثيق مع المجلس.	0
ويتباين معدل التصديق على الصكوك الدولية لمكافحة الإرهاب تبايناً كبيراً: فقد صدقت 12 دولة على 10 صكوك على الأقل، بينما صدقت 4 دول على 5 صكوك أو أقل.	0
- يشدد على ضرورة أن تقدم الأمانة العامة توصيات دقيقة وواضحة قبل شهر على الأقل من تجديد الولاية بشأن مضمون الولاية وأي تعديلات ضرورية عليها، مع مراعاة التطورات على أرض الواقع وآراء البلد المضيف والبلدان المعنية المساهمة بقوات عسكرية ووحدات شرطة والأطراف الأخرى حسب الاقتضاء;	0
ومع تحقيق مهربي الوقود لأرباح تزيد عن 100%، فإن لشبكات التهريب مصلحة في إطالة أمد الصراع.	1
يعرب عن قلقه الشديد إزاء تجنيد الأطفال واستخدامهم من قبل القوات [المناوئة للحكومة] في [البلد المتضرر] وكذلك قتل الأطفال وتشويههم نتيجة للنزاع، ويكرر إدانته الشديدة لتجنيد الأطفال واستخدامهم كجنود في انتهاك للقانون الدولي الساري وجميع الانتهاكات والتجاوزات الأخرى المرتكبة ضد الأطفال في حالات النزاع المسلح، ولا سيما الهجمات على المدارس، واستخدام الأطفال في الهجمات الانتحارية، ويدعو إلى تقديم المسؤولين عن ذلك إلى العدالة	1
وترى بعثة الأمم المتحدة المتكاملة المتعددة الأبعاد لتحقيق الاستقرار في مالي أن المعاملة التي يتلقاها المحتجزون أثناء الاعتقال والاستجواب قد ترقى إلى مستوى التعذيب أو غيره من ضروب المعاملة أو العقوبة القاسية أو اللاإنسانية أو المهينة.	1
كما ذُكر سابقاً، هناك نزاع مسلح طويل الأمد، ليس ذا طابع دولي، في دارفور بين السلطات الحكومية والجماعات المسلحة المنظمة.	1
552. يتبين من عرض الانتهاكات المبينة في الجزء الأول من هذا التقرير أن انتهاكات جسيمة لحقوق الإنسان والقانون الإنساني ارتكبت على نطاق واسع من جانب القوات الحكومية أو الميليشيات الخاضعة لسيطرة الحكومة.	1
(و) رحب باستعداد المديرية التنفيذية للمشاركة بفعالية في جميع الأنشطة ذات الصلة في إطار استراتيجية الأمم المتحدة العالمية لمكافحة الإرهاب ودعمها، بما في ذلك في إطار فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب، التي أنشئت لضمان التنسيق والاتساق الشاملين في جهود مكافحة الإرهاب التي تبذلها منظومة الأمم المتحدة، وأكد أهمية ذلك.	0
وقد شجع مجلس الأمن في قراره 1977 (2011) صراحة اللجنة المنشأة عملا بالقرار 1540 (2004) على أن تستفيد - ضمن مصادر أخرى - من خبرات القطاع الخاص ذات الصلة.	0
ولضمان حمايته، اقتادته بعثة الأمم المتحدة لتحقيق الاستقرار في هايتي إلى مركز للشرطة. وهناك ألقي القبض عليه فيما بعد ووجه إليه قاضي التحقيق تهمة المشاركة في اختطاف وقتل السيد روش. وفي 31 آب/أغسطس نُقل إلى ملحق السجن الوطني حيث لا يزال السيد نبتون ووزير الداخلية السابق جوسيليرم بريفيرت مسجونين حيث تراقب البعثة احتجازهما وتكفل أمنهما.	1
3. فرض مجلس الأمن، بموجب قراره 2140 (2014)، تجميد الأصول وحظر السفر، لفترة أولية مدتها سنة واحدة من تاريخ اتخاذ القرار، على الأفراد والكيانات الذين يشاركون في أعمال تهدد السلام أو الأمن أو الاستقرار في اليمن أو يقدمون الدعم لها.	1
كما دعا المجلس حكومة السودان والجماعات المتمردة إلى العمل معا من أجل التوصل إلى حل سياسي في المفاوضات التي جرت في أبوجا تحت قيادة الاتحاد الأفريقي والرئيس النيجيري أولوسيغون أوباسانجو؛ وطلب إلى الأمين العام أن ينشئ على وجه السرعة لجنة تحقيق دولية من أجل التحقيق الفوري في التقارير التي تفيد بوقوع انتهاكات للقانون الإنساني وحقوق الإنسان في دارفور من جانب جميع الأطراف، وكذلك لتحديد ما إذا كانت قد وقعت أعمال إبادة جماعية أم لا; وأعلن أن على المجلس، في حالة عدم امتثال السودان امتثالا كاملا للقرارين 1556 (2004) و 1564 (2004) (بما في ذلك ما يقرره المجلس بعد التشاور مع الاتحاد الأفريقي، عدم التعاون الكامل مع توسيع وتعميم بعثة الرصد التابعة للاتحاد الأفريقي)، أن ينظر في اتخاذ تدابير إضافية على النحو المتوخى في المادة 41 من ميثاق الأمم المتحدة.	0
8 أيار/مايو 2006 حادث عنف في غلينو تعرض فيه ضباط الشرطة الوطنية لتيمور الشرقية للهجوم.	1
فعلى سبيل المثال، أتاحت صعوبة ضبط الحدود في منطقة الساحل والصحراء لتنظيم القاعدة في بلاد المغرب الإسلامي* وشركائه التنقل بحرية، وجمع الأموال من التهريب، والحصول على الأسلحة والمتفجرات، وتدريب المجندين الجدد في أمان نسبي.	1
(أ) بناء قدرات أنظمة مكافحة غسل الأموال ومكافحة تمويل الإرهاب لديها، مع التركيز بشكل خاص على وحدات الاستخبارات المالية، وتجميد أموال الإرهابيين وأصولهم، وتنظيم المنظمات الخيرية؛	0
دُفن الموتى في ثمانية قبور متعددة في منطقة السوق في القرية.	1
إذا ثبتت إدانة هذا الشخص، فمن واجبهم معاقبة هذا الشخص وتوفير سبل انتصاف فعالة وجبر الضرر للضحايا.	0
أنشأت أربع دول وحدات متخصصة في إنفاذ القانون لمكافحة الإرهاب، واتخذت ثلاث دول خطوات في هذا الاتجاه.	1
وذكرت السيدة تاغليافيني أن الكثير من القتال قد توقف منذ توقيع وثائق مينسك، ولكن استمر القتال في بعض المواقع الاستراتيجية، بما في ذلك في ضواحي المدينة في ميناء ماريوبول على البحر الأسود وحول مطار دونيتسك، في تجاهل لوقف إطلاق النار واتفاقيات مينسك.	1
وأسفرت عملية مماثلة تم تنفيذها في بريشتينا في 18 نوفمبر/تشرين الثاني عن اعتقال ستة أشخاص.	1
ويأتي هذا النهج في أعقاب الالتزام الذي قطعه وزراء منتدى التعاون الاقتصادي لدول آسيا والمحيط الهادئ في تشرين الثاني/نوفمبر 2005 بإجراء تقييم، قبل نهاية عام 2006، لمدى تعرض المطارات للهجوم من قبل أنظمة الدفاع الجوي المحمولة.	0
مرة أخرى، نحن ندين قتل المدنيين، سواء من الجانب الفلسطيني أو الإسرائيلي.	0
91. وفريق الرصد مكلف بدراسة الطبيعة المتغيرة للتهديد والإبلاغ عنها، بما في ذلك من خلال الحوار مع العلماء والهيئات الأكاديمية ذات الصلة.	0
وتفيد التقارير أن أعمال التدمير الوحشية، التي تتجاوز بكثير أي ضرورة عسكرية، قد ارتكبت، ومعظمها من قبل القوات الحكومية.	1
وفي حال توفر مثل هذا الإثبات، وتم التعرف على الجاني (الجناة) من قبل الضحية، تمت التوصية بمحاكمة الجناة وإرسالها إلى مكتب المدعي العام في المقاطعة.	0
ويطالب المجلس بوضع حد فوري لجميع الهجمات التي يشنها جيش الرب للمقاومة ويحث جيش الرب للمقاومة على إطلاق سراح جميع المختطفين ونزع سلاحهم وتسريحهم.	0
يحيط علما بوضع سياسة بذل العناية الواجبة في مراعاة حقوق الإنسان، ويشجع [البعثة] على تنفيذها بالكامل، ويطلب إلى الأمين العام أن يدرج التقدم المحرز في تنفيذ هذه السياسة في تقاريره إلى المجلس;	0
563. جمعت اللجنة معلومات موثوقة تتيح لها تحديد ثمانية من كبار مسؤولي الحكومة المركزية والقادة العسكريين وستة من المسؤولين الحكوميين المحليين أو أفراد القوات المسلحة العاملين في دارفور الذين قد يشتبه في مسؤوليتهم عن عدم منع أو قمع ارتكاب الجرائم عن علم، أي عن مسؤولية الرؤساء.	1
بالإضافة إلى ذلك، لا تزال المنطقة دون الإقليمية تواجه تحديات تتعلق بإنفاذ القانون وسيادة القانون واحترام حقوق الإنسان.	1
وقد تم احتجاز جثث خمسة أشخاص يُعتقد أنهم من أنصار السيد كوليبالي، وعليها آثار طلقات نارية وعلامات تعذيب، في مشرحة الجثث في بواكيه منذ أواخر ديسمبر/كانون الأول، في انتظار نتائج التحقيقات الجنائية.	1
115. تعرض ضابطان من ضباط وحدة الاستجابة السريعة الشرقية العزل من السلاح لهجوم من قبل أفراد من الحشد الذي تظاهر في غلينو في 8 أيار/مايو، على النحو المبين في الفقرات من 61 إلى 63 أعلاه.	1
48. ولكي يكون ذلك فعالا، من الضروري أن يتم تجميد جميع الأصول المستهدفة لفرد أو كيان مدرج في القائمة بمجرد الإدراج في القائمة.	1
وإذ يلاحظ التطورات والمبادرات الأخيرة على كل من الصعيد الدولي والإقليمي ودون الإقليمي لمنع الإرهاب الدولي وقمعه، وإذ يلاحظ عمل المنتدى العالمي لمكافحة الإرهاب، ولا سيما اعتماده مؤخرا مجموعة شاملة من الممارسات الجيدة للتصدي لظاهرة المقاتلين الإرهابيين الأجانب، ونشره عدة وثائق إطارية وممارسات جيدة أخرى, بما في ذلك في مجالات مكافحة التطرف العنيف، والعدالة الجنائية، والسجون، والاختطاف من أجل الحصول على فدية، وتقديم الدعم لضحايا الإرهاب، والخفارة المجتمعية، لمساعدة الدول المهتمة في التنفيذ العملي لإطار الأمم المتحدة القانوني والسياساتي لمكافحة الإرهاب واستكمال عمل كيانات الأمم المتحدة المعنية بمكافحة الإرهاب في هذه المجالات,	0
158. وتنفذ نصف الدول تقريبا ضوابط جمركية على الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة والذخائر والمتفجرات غير المشروعة، ولكن هناك حاجة إلى تعزيز الضوابط الجمركية وتدريب الموظفين.	0
ويوفر عمل الأمم المتحدة على وضع استراتيجيات إقليمية ووطنية لمكافحة الإرهاب إطاراً سياسياً جيداً لتعاون الدول في هذا المجال.	0
تمت مصادرة الأسلحة من قبل ضابط الأسلحة في السفينة الأمريكية وتم تسليمها لاحقًا إلى السلطات اليمنية.	1
77. نظَّم المكتب، في إطار جهوده الرامية إلى تعزيز التعاون الإقليمي، بالاشتراك مع المنتدى العالمي لمكافحة الإرهاب، مؤتمراً بشأن التعاون الإقليمي في المسائل الجنائية في المغرب العربي والساحل، عُقد في الدار البيضاء، المغرب، من 16 إلى 18 نيسان/أبريل 2013.	0
54. وتشير الأدلة المتناقلة إلى أن الأموال المتأتية من مدفوعات الفدية والاتجار بالمخدرات تُنقل عبر الحدود عن طريق حاملي النقدية.	1
81. والفريق مسؤول أيضا عن مشروع فرقة عمل لإنتاج أفلام وثائقية توضح الطبيعة الحقيقية للإرهاب كما يراها الجناة والضحايا.	0
مما لا شك فيه أن جنودًا من كلا الجانبين لقوا حتفهم في القتال، وعلى الأرجح أن قوات المتمردين أولاً ثم القوات الحكومية شاركت في عمليات انتقامية.	1
113. وفي ظل مناخ الرعب الذي أوجدته فرق الموت، يخشى الممثلون السياسيون من عمليات اﻻختطاف واﻻعتقال التي يتعرض لها مناضلوهم.	1
لذلك، تم اقتراح وضع معايير دولية وربما دور أكثر بروزاً للجنة.	0
وأعرب أعضاء المجلس أيضا عن تطلعهم إلى أن تقوم السلطات الإثيوبية قريبا بمتابعة الاجتماع الذي عقد في لاهاي، بهدف تحديد طرائق التنفيذ السريع لقرار تعيين الحدود.	0
27. وبحلول نهاية الفترة المشمولة بالتقرير، كان قوام شرطة البعثة يقترب من 400 4 ضابط من 53 بلدا، وهو ما يمثل أكثر من 90 في المائة من مجموع القوام المأذون به للبعثة.	1
ودعت عدة وفود حكومة مالي إلى التحقيق في انتهاكات حقوق الإنسان، معربة عن قلقها إزاء إطلاق سراح مرتكبي الجرائم الخطيرة ضد حقوق الإنسان.	0
o في 16 نوفمبر 2014، أعدم تنظيم داعش 17 شخصًا في سوق الطبقة في الرقة بعد اتهامهم بالتجسس والعمل مع قوات النظام.	1
ومع ذلك، فقد أشار الحزب الاشتراكي الديمقراطي الذي يتزعمه نائب رئيس الوزراء علنًا إلى أنه لن ينسحب من ائتلاف حزب التحالف من أجل حركة عدم الانحياز حتى لا يعرض استقرار الحكومة للخطر.	0
ولهذا السبب، وجه المتمردون هجماتهم ضد المنشآت الحكومية، وتجنبوا عمداً مهاجمة القبائل العربية.	1
وقد تم تحديد حالات غسل الأموال وتمويل الإرهاب التي تنطوي على استخدام طرائق دفع جديدة. ومع ذلك، تواجه الدول صعوبات في وضع التشريعات والنظم الرقابية المناسبة لطرق الدفع هذه، التي تتطور بوتيرة متزايدة السرعة.	1
ومع ذلك، فإن الوضع على أرض الواقع معقد ومثير للقلق، خاصة بالنسبة لمجتمعات الأقليات.	1
13. تواصل بعثة تقصي الحقائق التي تنظر في مزاعم استخدام المواد الكيميائية السامة كأسلحة في الجمهورية العربية السورية عملها.	0
وكان الدافع إلى ذلك هو الحاجة إلى ضمان أن تظل إجراءات مجلس الأمن ضد تنظيم القاعدة وحركة الطالبان ذات صلة بالتهديد، وأن تكون أهداف الجزاءات محددة تحديدا جيدا بما فيه الكفاية لتمكين الدول الأعضاء من اتخاذ الإجراءات المطلوبة ضدها.	1
وعلى الرغم من وقوع هجمات من قبل قوات المتمردين، إلا أن اللجنة لم تجد أي دليل على انتشارها على نطاق واسع أو استهدافها للسكان المدنيين بشكل منهجي.	1
يتم تقديم نصف الطلبات تقريبًا من قبل أفراد ليس لديهم مستشار قانوني، ويتخذ أمين المظالم خطوات لضمان عدم الإضرار بأي ملتمس بسبب عدم وجود تمثيل قانوني له.	0
ويشدد المجلس على محاسبة جميع المسؤولين عن انتهاكات القانون الدولي، بما في ذلك القانون الإنساني وقانون حقوق الإنسان، وكذلك أولئك الذين أمروا بارتكاب تلك الأعمال.	0
"ويشير مجلس الأمن إلى قراراته المتعلقة بأسامة بن لادن، وإلى إدانته لشبكة القاعدة والجماعات الإرهابية الأخرى المرتبطة بها لارتكابها أعمالا إرهابية إجرامية متعددة استهدفت التسبب في مقتل العديد من المدنيين الأبرياء وتدمير الممتلكات.	1
يساعد تدفق الأسلحة من إثيوبيا إلى أمراء الحرب ومن ثم إلى سوق بكارا للأسلحة في تفسير مصدر آخر للأسلحة الصغيرة والذخيرة المتوفرة في سوق بكارا للأسلحة.	1
87. وقد أدت هذه السيطرة المرقعة على البيئة البحرية الصومالية إلى خلق أو تعزيز ثلاثة مصادر دخل هامة للإدارات المحلية: (أ) تصدير كميات كبيرة من الفحم من الصومال، من بين سلع أخرى، و (ب) وصول سفن الصيد الأجنبية دون قيود إلى الموارد البحرية ومصائد الأسماك الصومالية و (ج) انتشار القرصنة على نطاق واسع. الفحم	1
26. وقد أعلنت قيادة حزب الله في عدة تصريحات علنية خلال الأشهر الستة الماضية أنها عززت قدراتها العسكرية وأنها ستسعى إلى مواصلة ذلك في تحد صارخ للقرار 1559 (2004).	1
وقد أدى غياب سلطة الدولة أيضًا إلى إنشاء مجموعات الدفاع الذاتي المجتمعية لحماية المجتمعات المحلية من الجماعات المسلحة، والتي غالبًا ما أصبحت هي نفسها مصدرًا للنزاع.	1
A. 85 - الاحتياجات الحالية. منذ فرض التدابير التي فرضها مجلس الأمن على كوت ديفوار، قيدت الحكومة مشترياتها من الأسلحة والذخائر. ويرجع ذلك إلى برنامج مشتريات مكثف قبل فرض الحظر والاستخدام المحدود للأسلحة والذخائر خلال الفترة القصيرة من النزاع المسلح المكثف في عام 2004.	1
ويسرني أن أشير إلى أن المجلس أقر بأهمية زيادة التنسيق وتبادل المعلومات بين الجهات الفاعلة المشاركة في رصد حظر الأسلحة.	0
وتبعاً لظروف كل حالة، يمكن بالتالي الاشتباه في ارتكاب هؤلاء الأفراد، بموجب مبدأ العمل الإجرامي المشترك، جرائم ضد الإنسانية تتمثل في قتل المدنيين وحبس المدنيين قسراً والتهجير القسري وجريمة الحرب المتمثلة في تدمير الأعيان المدنية.	1
ثانيًا، تخلق المعلومات المحدودة حالة من الإحباط والسخط بين الأشخاص المسؤولين عن التحقق من القائمة، والذين يعتمد عليهم التنفيذ الفعال بشكل كبير، مما يزيد من خطر عدم رصد الأسماء المدرجة في القائمة واحتمال تطبيق التدابير على أهداف غير مقصودة.	1
(و) ردع أي محاولة لاستخدام القوة لتهديد عمليتي غوما ونيروبي من جانب أي جماعة مسلحة، أجنبية أو كونغولية، ولا سيما في الجزء الشرقي من جمهورية الكونغو الديمقراطية، بما في ذلك استخدام تكتيكات التطويق والتفتيش والقيام بجميع العمليات اللازمة لمنع الهجمات على المدنيين وتعطيل القدرة العسكرية للجماعات المسلحة غير المشروعة التي تواصل استخدام العنف في تلك المنطقة;	1
294. لم تتمكن اللجنة من أن تؤكد على وجه اليقين عدد الضحايا المدنيين في دارفور، وذلك بالنظر إلى محدودية وظائفها المتأصلة فيها.	1
وكما ذُكر أعلاه، فقد سُمح لهذه المجموعات بالتظاهر في ديسمبر 2003 خلال حظر سابق للتظاهر.	1
ولوضع إطار للمناقشة التي سيجريها المجلس في أيلول/سبتمبر، ينبغي للمجلس أن يطلب إلى الأمين العام أن يقدم إحاطة عن نطاق مشكلة المقاتلين الإرهابيين الأجانب، وتأثيرها على الصراعات الحالية والجهود التي تبذلها الأمم المتحدة للتصدي لها.	1
كما عمل الفريق على رفع مستوى الوعي بالعقوبات المفروضة على تنظيم القاعدة في قطاع الطيران التجاري من خلال العمل عن كثب مع منظمة الطيران المدني الدولي واتحاد النقل الجوي الدولي والقطاع الخاص.	1
90. تشدد الفقرة 4 من القرار 1624 (2005) على أنه "يجب على الدول أن تكفل امتثال أي تدابير تتخذها لتنفيذ الفقرات 1 و 2 و 3 من هذا القرار لجميع التزاماتها بموجب القانون الدولي، ولا سيما القانون الدولي لحقوق الإنسان وقانون اللاجئين والقانون الإنساني".	0
ارتكاب الجرائم الدولية أو المشاركة في ارتكابها	1
وقد قام الفريق العامل بتيسير عقد مؤتمر دولي بشأن الاستراتيجيات الوطنية والإقليمية لمكافحة الإرهاب وشارك في رئاسته، وحدد المشاركون فيه مجموعة من المبادئ التي يتعين على الدول الأعضاء والمنظمات الإقليمية النظر فيها عند وضع استراتيجيات كل منها.	0
ووفقاً لتقرير آخر، ورد أن امرأتين تعرضتا للاغتصاب في مخيم النازحين في كساب، شمال دارفور، في حزيران/يونيو 2004.	1
3. مضاعفات منع نشوب النزاعات وحلها	1
وقد تمكنت اللجنة من وضع سرد مفصل ودقيق لأحداث شهري أبريل/نيسان ومايو/أيار التي أسفرت عن خسائر كبيرة في الأرواح والإصابات وأضرار واسعة النطاق في الممتلكات.	0
ويوضح اختطاف قس فرنسي في الكاميرون على يد بوكو حرام وجماعة أنصارو اللتين تعملان معًا في نوفمبر 2013 قدرة هاتين الجماعتين على العمل خارج حدود نيجيريا.	1
12) اتفاقية تمييز المتفجرات البلاستيكية بغرض كشفها، الموقعة في مونتريال في 1 آذار/مارس 1991؛ والمصادق عليها في 18 كانون الأول/ديسمبر 1991؛ والتي دخلت حيز النفاذ في 21 حزيران/يونيه 1998.	0
كما تم الإبلاغ عن المزيد من حالات اغتصاب النساء خلال هجمات حول مسكي وديسا وأم برو في شمال دارفور؛ وعزوني وكورنوي ونيرتتي ومكجر في غرب دارفور.	1
ونلاحظ أن الأمين العام يعرب في تقريره (S/2008/728) عن قلقه إزاء الحالة الأمنية في شرق جمهورية الكونغو الديمقراطية.	0
وعلى الرغم من هذا القرار، فإن التدمير مستمر.	1
وأبلغ الأمين العام المساعد المجلس أن الجماعات المسلحة واصلت ترويع السكان في المناطق الخاضعة لسيطرتها، وارتكاب أعمال القتل والاختطاف والتعذيب وسوء المعاملة وغير ذلك من الانتهاكات الجسيمة لحقوق الإنسان، بما في ذلك تدمير المساكن والاستيلاء على الممتلكات، وأن هناك ادعاءات مستمرة بوقوع انتهاكات لحقوق الإنسان ارتكبتها بعض كتائب المتطوعين الخاضعة لسيطرة الحكومة.	1
C. دعم الأشخاص المتضررين من النزاع	0
وإذ يسلّم بأهمية العدالة الانتقالية في تعزيز المصالحة الدائمة بين جميع سكان [الدولة المتضررة] وإذ يرحب بعملية المشاورات الوطنية بشأن إنشاء آليات العدالة الانتقالية ....	0
وبالفعل، أبلغ أحد ضباط شرطة الأمم المتحدة عن وجود مدافع رشاشة على سطح مبنى قوة الأمم المتحدة لحفظ السلام السابقة خلال فترة ما بعد ظهر يوم 24 مايو/أيار.	1
29. افتتح الرئيس كوروما اللجنة الوطنية للشباب في 25 تشرين الثاني/نوفمبر 2011. ومن المتوقع أن تأخذ اللجنة زمام المبادرة في تعزيز ومواءمة تنمية الشباب، في إطار وزارة تشغيل الشباب والرياضة.	0
4. تقترح المذكرة أن يشرع مجلس الأمن في عملية "استعراض استراتيجي" رسمية للنظر في الكيفية التي يمكن أن يؤثر بها تقاطع الجريمة العابرة للحدود والإرهاب على جهوده الرامية إلى منع نشوب النزاعات وتسوية النزاعات، ولا سيما في أفريقيا، والنظر في الأدوات المتاحة له لتقليص الحيز الاستراتيجي الذي تتيحه الجريمة العابرة للحدود للجماعات الإرهابية.	0
كما نشبت اشتباكات خطيرة بين الفصائل المسلحة في مخيم عين الحلوة للاجئين الفلسطينيين، وأصيبت مدرسة تابعة لوكالة الأمم المتحدة لإغاثة وتشغيل اللاجئين الفلسطينيين في الشرق الأدنى، مما تسبب في أضرار مادية.	1
28. يعلن عزمه على أن يرصد عن كثب أي حالات تنطوي على انتشار الأسلحة النووية أو وسائل إيصالها أو ما يتصل بها من مواد، بما في ذلك إلى جهات من غير الدول أو من جانب جهات من غير الدول على النحو المحدد في القرار 1540 (2004)، وأن يتخذ، حسب الاقتضاء، ما قد يلزم من تدابير لضمان صون السلام والأمن الدوليين;	1
كما أشاروا إلى أن زيادة توافر المعلومات حول الآثار الضارة للقرصنة قد أدى إلى تغييرات إيجابية في بؤر القرصنة السابقة.	0
10. يوعز إلى المديرية التنفيذية أن تتيح المعلومات الواردة في الدراسات الاستقصائية والتقييمات الوطنية لمكافحة الإرهاب، عندما توافق عليها الدول الأعضاء المعنية، ويوعز كذلك إلى المديرية التنفيذية أن تتيح المعلومات المتعلقة بالقدرات الإقليمية لمكافحة الإرهاب، عندما توافق عليها لجنة مكافحة الإرهاب، حسب الاقتضاء;	0
إلا أنها ستظل بحاجة إلى الحماية. وفي حين أن استعداد القوة الأمنية الدولية في كوسوفو للحفاظ على حمايتها للمواقع الدينية أمر ضروري، إلا أنه لا يمكن بناء حل دائم على القوات العسكرية.	1
وإذ يرحب بإنشاء اللجنة الانتخابية الوطنية المستقلة الدائمة، وإذ يشير إلى ضرورة أن يكون ترشيح أعضائها من خلال عملية مستقلة وشاملة، وإذ يشير إلى أهمية أن يتم الإعداد للانتخابات المقرر إجراؤها في عام 2010 بروح المصالحة والحوار المنصوص عليها في الدستور البوروندي الذي أدى إلى نجاح المرحلة الانتقالية,	0
ظلت التجاوزات غير القانونية على خط الحدود الإدارية وأنشطة التهريب تمثل مشكلة خلال الفترة المشمولة بالتقرير.	1
