en_es_DEEP	VerCoop
43. Para lograr estos objetivos, la MINUSTAH documentó casos generalizados de detenciones ilegales, malos tratos y detenciones preventivas prolongadas.	0
41. Además, los programas de sanciones de las Naciones Unidas no exigen que sus objetivos hayan sido condenados por un tribunal de justicia.	0
9. En su resolución 22/13, el Consejo de Derechos Humanos instó al Gobierno de la República Popular Democrática de Corea a cooperar plenamente con la investigación de la comisión, permitir a los miembros de la comisión acceso irrestricto para visitar el país y proporcionarles toda la información necesaria. para que puedan cumplir su mandato.	0
El 12 de febrero de 2013, el Consejo de Seguridad celebró un debate abierto sobre la protección de los civiles en los conflictos armados, que abordó los cinco desafíos principales identificados por el Secretario General. El 17 de julio de 2013, el Consejo de Seguridad, también en un debate abierto, debatió la cuestión de la protección de los periodistas.	1
Ø Instar a las organizaciones humanitarias y de desarrollo a que tomen medidas apropiadas para prevenir la EAS por parte de su personal, incluida la capacitación de concientización previa al despliegue y en el teatro de operaciones y, en el caso de los actores de las Naciones Unidas, para promover y garantizar el cumplimiento, incluso por parte del personal civil de las Naciones Unidas. mantenimiento de la paz y otras misiones pertinentes, con el Boletín del Secretario General sobre medidas especiales para la protección contra la explotación y el abuso sexuales (ST/SGB/2003/13).	1
Los Estados que han penalizado parcialmente la financiación del terrorismo aún tienen que garantizar que se incluyan todos los elementos del artículo 2 del Convenio sobre la Financiación del Terrorismo.	0
Otros soldados empezaron a golpear a las otras cuatro mujeres, incluida la testigo.	0
Exclusión de la lista 25. Encarga al Comité que elimine rápidamente, caso por caso, a las personas y entidades que ya no cumplan con los criterios de inclusión descritos en el párrafo 2 anterior, y solicita que el Comité dé debida consideración a las solicitudes de eliminación de personas que se hayan conciliado , de conformidad con el Comunicado de la Conferencia de Kabul de 20 de julio de 2010 sobre el diálogo para todos aquellos que renuncian a la violencia, no tienen vínculos con organizaciones terroristas internacionales, incluida Al-Qaida, respetan la Constitución, incluidas sus disposiciones sobre derechos humanos, en particular los derechos de las mujeres, y están dispuestos a unirse a la construcción de un Afganistán pacífico, y como se detalla en los principios y resultados de las Conclusiones de la Conferencia de Bonn del 5 de diciembre de 2011, respaldadas por el Gobierno de Afganistán y la comunidad internacional;	0
También abordaría la investigación de actos terroristas y la persecución de sus perpetradores, con el fin de llevar a los terroristas y a quienes los apoyan ante la justicia.	1
El informe señala una serie de casos, especialmente en el sector de la seguridad, que son motivo de gran preocupación.	0
21. En numerosas ocasiones, los miembros del Comité han destacado las funciones complementarias de los tres Comités en la lucha contra el terrorismo internacional y la necesidad de un constante intercambio de información entre ellos.	1
El Comité también lleva a cabo exámenes periódicos de los nombres de las personas que, según se informa, han fallecido y de las entidades que, según se informa, han desaparecido.	0
La inferencia clara del artículo 33 es que un miembro de los servicios de seguridad puede, al amparo de la ley, torturar a un sospechoso, incluso hasta la muerte, si sus actos se realizan en el cumplimiento de su deber.	0
183. Los juicios penales por delitos punibles con más de cinco años de prisión están presididos por un colegio de jueces.	1
El Consejo de Seguridad, en su resolución 1977 (2011), alienta explícitamente al Comité establecido en virtud de la resolución 1540 (2004) a aprovechar, entre otras fuentes, los conocimientos especializados pertinentes del sector privado.	1
El Consejo destaca la importancia y la urgencia del restablecimiento de la justicia y el Estado de derecho en las sociedades que salen de un conflicto, no sólo para hacer frente a los abusos del pasado, sino también para promover la reconciliación nacional y ayudar a prevenir un retorno al conflicto en el futuro. .	1
El taller convocado para discutir Internet en la Cumbre Internacional sobre Democracia, Terrorismo y Seguridad, celebrada en Madrid del 8 al 11 de marzo de 2005, concluyó que Internet debería permanecer libre de cualquier regulación o interferencia adicional, permitiendo un debate abierto para derrotar las ideas de extremismo.	1
Los movimientos, reconociendo el papel creíble y constructivo que Argelia ha desempeñado en los esfuerzos por promover y encontrar una salida definitiva a la crisis, han transmitido a Argelia su plena confianza en sus continuos esfuerzos con ese fin y en su mayor implicación en la búsqueda de la tan buscada solución definitiva del conflicto.	1
Estas resultaron útiles para promover la labor del Comité, aumentar la conciencia y la comprensión del régimen de sanciones, desarrollar ideas para mejorar la eficacia de las medidas y debatir las dificultades que enfrentan algunos Estados en la aplicación y lo que se podría hacer para ayudarlos. D. Reuniones con los servicios de seguridad e inteligencia	1
Si bien la Comisión está convencida, sobre la base de las pruebas de testigos independientes, de que las F-FDTL iniciaron el intercambio de disparos, en ese momento cada parte creyó que había sido atacada por la otra.	0
En términos generales, la política de atacar, matar y desplazar por la fuerza a miembros de algunas tribus no demuestra una intención específica de aniquilar, total o parcialmente, a un grupo distinguido por motivos raciales, étnicos, nacionales o religiosos.	0
Dijo que la asociación tenía como objetivo desarrollar una estrategia para incorporar la protección de los niños en las actividades de la Unión Africana y la institucionalización de políticas y procedimientos sobre protección de los niños de conformidad con las normas regionales e internacionales.	1
En la carta se señalaba que el Comité estaba considerando las recomendaciones contenidas en el informe con miras a mejorar las sanciones establecidas y su implementación.	1
:: Estrecha cooperación con los demás órganos subsidiarios pertinentes del Consejo, en particular los comités del Consejo de Seguridad establecidos en virtud de las resoluciones 1267 (1999) y 1540 (2004), y sus expertos, incluso en materia de intercambio de información, visitas y asistencia técnica, según proceda .	1
89. El ex Primer Ministro afirmó que durante la reunión aprovechó la oportunidad para discutir con el Ministro del Interior la necesidad de que un grupo de civiles apoyara a la URP PNTL, pero que no hubo discusión sobre el suministro de armas o uniformes a tal grupo.	1
Sin embargo, las tensiones entre comunidades han seguido siendo elevadas en algunas zonas, lo que ha provocado varios ataques.	0
Como mínimo, debería atenuar su sufrimiento obligando al Estado sudanés a reparar el daño causado.	0
El informe de Los Palos señaló problemas en la relación entre los veteranos y los nuevos reclutas.	0
Asociaciones más estrechas o mejor organizadas entre afiliados podrían aumentar potencialmente la amenaza que representan.	1
Podría decirse que el sector sin fines de lucro es el más vulnerable al financiamiento del terrorismo y el más difícil de regular y monitorear.	0
Estas medidas incluirán una mayor labor para aumentar la capacidad del Comité, incluso mediante una mayor cooperación con el Comité de Sanciones contra Al-Qaeda y los talibanes establecido en virtud de la resolución 1267 (1999) y el Comité establecido en virtud de la resolución 1540 (2004).	0
El Sudán ha firmado, pero aún no ha ratificado, el Protocolo Facultativo de la Convención sobre los Derechos del Niño relativo a la participación de niños en los conflictos armados.	1
Recordando la aprobación de la resolución 2122 y reafirmando la intención de aumentar su atención a las cuestiones de las mujeres, la paz y la seguridad en todas las áreas temáticas de trabajo relevantes de su agenda, incluidas las amenazas a la paz y la seguridad internacionales causadas por actos terroristas,	1
61. La protección de los civiles en el Chad oriental consiste en algo más que garantizar la seguridad física de los refugiados, los desplazados y los trabajadores humanitarios y la prestación de apoyo logístico y estructuras rígidas al DIS.	0
88. En su carta invitando a los países no miembros a participar en la sesión de recapitulación, el Presidente del Consejo de Seguridad alentó a todos los oradores a hacer evaluaciones francas y centradas del papel del Consejo al abordar cualquiera o todos los problemas mencionados anteriormente. los temas mencionados, de modo que las intervenciones sirvieran como guías útiles para los trabajos futuros del Consejo.	1
De acuerdo con esas resoluciones, este órgano debe exigir al Gobierno de Estados Unidos que condene inmediatamente a Luis Posada Carriles por sus actos terroristas o lo extradite a la República Bolivariana de Venezuela, cuyo sistema de justicia lo persigue desde hace años.	0
29. Por lo tanto, ante la percepción de amenaza que representaba la manifestación para el régimen y el orden público, las máximas autoridades del Estado indicaron que incluso si no hubiera existido un decreto que prohibía las manifestaciones públicas, no habrían permitido ni tolerado la marcha prevista.	0
5. Decide que los Estados Miembros, de conformidad con el derecho internacional de los derechos humanos, el derecho internacional de los refugiados y el derecho internacional humanitario, impedirán y reprimirán el reclutamiento, la organización, el transporte o el equipamiento de personas que viajen a un Estado distinto de su Estado de residencia o nacionalidad. con el fin de perpetrar, planificar, preparar o participar en actos terroristas o proporcionar o recibir entrenamiento terrorista, y la financiación de sus viajes y de sus actividades;	1
Reconociendo la importancia de la justicia de transición para promover una reconciliación duradera entre todos los habitantes de [el Estado afectado] y acogiendo con beneplácito el proceso de consultas nacionales sobre el establecimiento de mecanismos de justicia de transición...	1
Las medidas para ayudar a aquellos cuyos familiares fueron asesinados, el reconocimiento por parte de las autoridades gubernamentales de su responsabilidad y las explicaciones sobre las medidas que se deben tomar para evitar que se repitan las violaciones parecen ser de importancia clave para la comunidad.	1
23. La Autoridad reafirma su determinación de continuar la lucha contra los efectos adversos del cambio climático.	1
72. Lo que ocurrió los días 25 y 26 de marzo fue la matanza indiscriminada de civiles inocentes y la comisión de violaciones masivas de los derechos humanos.	0
El Grupo destacó que la tarea inmediata era popularizar el Documento de Doha para asegurar su aceptación por la población de Darfur y persuadir a los grupos armados restantes para que lo firmaran.	1
20. El Grupo de Supervisión ha determinado durante el período del mandato actual que las corrientes de armas del Yemen a Somalia procedían no sólo de grupos delictivos (al BAM para que la oposición las comprara), sino también del Gobierno del Yemen directamente al GFT.	0
Unas 20.000 personas se han quedado sin hogar en Abidján debido a la destrucción deliberada de barrios marginales.	0
La mejor manera de lograr esto es crear conciencia sobre las oportunidades que ofrecen los nuevos métodos de pago para mover dinero sin ser detectado y más allá de los controles gubernamentales.	1
El Consejo pide a los combatientes restantes del LRA que abandonen las filas del grupo y participen en el proceso de Desarme, Desmovilización, Repatriación, Reasentamiento y Reintegración (DDRRR).	1
La Dirección Ejecutiva ha adoptado un enfoque multimedia para llegar a su público objetivo, utilizando herramientas y canales de comunicación como el sitio web del Comité, una cuenta de Twitter y un boletín electrónico, así como los servicios de medios proporcionados por el Departamento de Información Pública.	1
Dos de ellos resultaron heridos, pero lograron sobrevivir gracias a la asistencia de la Cruz Roja.	0
c) Exhorta además a todas las partes enumeradas en los anexos del informe del Secretario General sobre los niños y los conflictos armados a que aborden todas las demás violaciones y abusos cometidos contra los niños y contraigan compromisos y medidas específicas a este respecto;	1
62. Con respecto a las tareas relacionadas con la matriz, el acuerdo por parte del Comité sobre un nuevo formato fue un importante paso adelante.	1
Por ejemplo, la Comisión descubrió que mujeres que iban al mercado o buscaban agua en Tarne, Darfur septentrional, fueron secuestradas, retenidas durante dos o tres días y violadas por miembros del ejército alrededor de marzo de 2003.	0
Al aprobar una operación de las Naciones Unidas, el Consejo debería tener en cuenta el papel esencial de la policía militar y civil para ayudar a estabilizar las situaciones de crisis y mantener la seguridad.	0
Es responsabilidad de las partes garantizar que sus fuerzas militares no cometan violaciones, y aliento a las partes a que respeten más plenamente las disposiciones de los acuerdos militares y presten su plena cooperación a la MINURSO para mantener el alto el fuego. y garantizar que se respeten los principios básicos del mantenimiento de la paz.	1
:: Es necesario un seguimiento más coherente de las conclusiones y recomendaciones de los mecanismos de investigación para garantizar su eficacia y credibilidad y satisfacer las expectativas que suscita su establecimiento, especialmente entre las víctimas.	1
"El Consejo de Seguridad reitera su condena de todos los asesinatos selectivos de dirigentes libaneses, en particular desde octubre de 2004, y exige el fin inmediato del uso de la intimidación y la violencia contra los representantes del pueblo y las instituciones libanesas.	0
:: Las reuniones consultivas celebradas con varios asociados que reconocieron la importancia del programa de inversiones prioritarias y expresaron su compromiso de apoyar al G-5 del Sahel en lo que respecta a la financiación del programa y el establecimiento de la secretaría permanente, incluido el Consejo Mundial Banco Africano de Desarrollo, Banco Islámico de Desarrollo, fondos y bancos árabes, la Unión Europea y las Naciones Unidas. Estos socios elogiaron la energía del G-5 del Sahel y el fuerte liderazgo de los Jefes de Estado, como lo demuestra su excelente enfoque para abordar los principales desafíos en el Sahel, particularmente en las áreas de seguridad y desarrollo.	1
Se hicieron listas de nombres y números de serie correspondientes de armas, pero los destinatarios no firmaron por las armas.	0
Quienes regresaron han dado testimonios creíbles de la presencia de muchos de los desaparecidos en lugares de detención no oficiales y secretos mantenidos por el aparato de seguridad en diferentes lugares de la región de Darfur.	0
Lo que suceda con estos combatientes dependerá de lo que experimenten mientras estén en la República Árabe Siria, pero los conflictos pasados ​​que involucraron a voluntarios extranjeros con afiliados de Al-Qaida han demostrado tener un efecto duradero en el panorama de amenazas locales e internacionales.	0
"El Consejo de Seguridad pide al Secretario General que redoble sus esfuerzos para garantizar el fortalecimiento de las capacidades del Mecanismo de Vigilancia y Presentación de Informes con miras a la aplicación de la resolución 1882 (2009) para permitir una pronta promoción y una respuesta eficaz a todas las violaciones y abusos cometidos contra los niños, entre otras cosas, garantizando que todos los organismos pertinentes de las Naciones Unidas ayuden activamente a recopilar información precisa, objetiva, fiable y verificable sobre los actos de violación y otros tipos de violencia sexual cometidos contra los niños, y también garantizando sinergias y evitando superposiciones entre las entidades pertinentes de las Naciones Unidas, a nivel de la sede y de los países, como se solicita en las resoluciones 1882 (2009) y 1888 (2009).	1
Son accesibles a través del sitio web de INTERPOL y pueden imprimirse y distribuirse, junto con otra información policial, en los puestos fronterizos que no tienen conexión a Internet.	0
12. En cuanto a los controles fronterizos y de las exportaciones, la Ley de Comercio Estratégico de 2010 de Malasia entró en vigor el 1 de enero de 2011, y Finlandia adoptó una nueva ley de control de las exportaciones.	0
Condenar y pedir el cese inmediato de los ataques contra periodistas, profesionales de los medios de comunicación y personal asociado que operan en situaciones de conflicto armado.	0
El Equipo de Vigilancia tiene previsto seguir trabajando con la Subdivisión, que debería ser el asociado preferido para la mayor parte de las actividades de creación de capacidad de las Naciones Unidas contra el terrorismo a fin de evitar la duplicación de esfuerzos. E. Organizaciones internacionales y regionales	1
El Consejo de Seguridad alienta a la ONU, la UA, la CIRGL y la SADC y otras organizaciones internacionales y regionales relevantes a continuar trabajando juntas, con el compromiso y apoyo sostenido de la comunidad internacional, hacia la implementación del Marco del PSC.	1
b) Mejorar los marcos legislativos y reglamentarios para combatir la financiación del terrorismo, incluso tipificando como delito la financiación del terrorismo, adoptando las medidas necesarias para congelar fondos sin demora y realizando evaluaciones de riesgos del sector sin fines de lucro;	0
33. El 16 de septiembre, la MINUSMA y el UNICEF examinaron a elementos armados del MAA (Coordinación) y del MNLA estacionados en Ber (región de Tombuctú) e identificaron a cinco niños de entre 15 y 17 años y dos adultos jóvenes que probablemente fueron reclutados cuando aún eran menores.	0
205. La Comisión recomienda que se considere la posibilidad de ampliar el grupo de candidatos para estos puestos a fin de maximizar la capacidad de contratar a las personas más calificadas.	1
La misión de investigación consideró que, puesto que se había puesto en duda la credibilidad de las autoridades libanesas que llevaban a cabo la investigación, debería iniciarse una investigación internacional independiente para determinar la verdad.	0
Instar a las organizaciones humanitarias y de desarrollo a tomar medidas apropiadas para prevenir la EAS por parte de su personal, incluida la capacitación de concientización previa al despliegue y en el teatro de operaciones y, en el caso de los actores de las Naciones Unidas, para promover y garantizar el cumplimiento, incluso por parte del personal civil de las fuerzas de paz de las Naciones Unidas. y otras misiones pertinentes, con el Boletín del Secretario General sobre medidas especiales de protección contra la explotación y el abuso sexuales (ST/SGB/2003/13).	1
78. La fuerza armada sudanesa es una fuerza armada convencional con el mandato de proteger y mantener la seguridad interna.	1
56. Es alentador que se hayan logrado avances constantes en las cuatro esferas prioritarias del mandato de la UNMIT, incluidas iniciativas de diálogo sobre cuestiones nacionales críticas, nuevos avances en la reanudación de las responsabilidades policiales primarias por parte de la PNTL, la promulgación del paquete legislativo de seguridad nacional, el Plan de Desarrollo Estratégico Plan y el Plan Estratégico del Sector Justicia para Timor-Leste.	0
Según la jurisprudencia, en caso de duda también se debe establecer si (a) un conjunto de personas es percibido y de hecho tratado como perteneciente a uno de los grupos protegidos, y además (b) se consideran pertenecientes a uno de los grupos protegidos. de tales grupos.	0
Alentando en este contexto a las partes a demostrar una mayor voluntad política hacia una solución, incluso ampliando el debate sobre las propuestas de cada uno,	1
12. Mientras tanto, se lograron nuevos avances hacia el establecimiento de una "célula de fusión de inteligencia" en el marco del mecanismo tripartito. Los días 16 y 17 de agosto, una delegación de los Estados Unidos, acompañada por oficiales militares rwandeses, ugandeses y congoleños, visitó Kisangani para evaluar los avances hacia su establecimiento.	0
Por supuesto, el primer uso de la remisión por el Consejo de Seguridad en virtud del Estatuto de Roma (resolución 1593 (2005)), que dio lugar a la emisión de órdenes de arresto contra dos sospechosos, surgió de la recomendación de remisión al Consejo de Seguridad hecha por la Comisión Internacional de Investigación sobre Darfur.	0
56. La policía y las fuerzas de seguridad de la República Popular Democrática de Corea emplean sistemáticamente violencia y castigos que constituyen graves violaciones de los derechos humanos para crear un clima de miedo que impida cualquier desafío al actual sistema de gobierno y a la ideología. sustentarlo.	0
Cuba comparece nuevamente ante el Consejo de Seguridad para denunciar y condenar enérgicamente la complicidad y responsabilidad absoluta del Gobierno de Estados Unidos en la liberación de este individuo.	0
En este sentido, el Consejo de Seguridad enfatiza que poner fin a la impunidad es esencial en los esfuerzos de una sociedad en conflicto y posconflicto para llegar a un acuerdo con los graves crímenes del derecho internacional cometidos en el pasado y para prevenir futuros crímenes graves según el derecho internacional.	1
El terrorismo debe entenderse en primer lugar como un delito, injustificable bajo cualquier circunstancia. Sin embargo, también es una manifestación de agravios, articulados de manera inhumana, aborrecible e inaceptable.	1
El Consejo y los países que aportan contingentes y policías escucharon exposiciones informativas del Subsecretario General de Operaciones de Mantenimiento de la Paz, Edmond Mulet, el Asesor Militar Adjunto Abhijit Guha y el Asesor de Policía interino Andrew Carpenter.	1
Los miembros del Consejo subrayaron que la MINUEE se estableció por invitación de ambas partes y estaba dispuesta a ayudarlas en la implementación de los Acuerdos de Argel.	1
"El Consejo de Seguridad subraya que la estabilidad y la seguridad siguen siendo fundamentales para los esfuerzos de reconstrucción política y económica del Gobierno de Transición y la comunidad internacional.	1
Así lo demuestran los recientes incidentes de indisciplina del DIS, en particular el presunto asesinato de un civil a manos de un comandante del DIS en Farchana el 22 de marzo.	0
28. Varios Estados de la región africana subrayaron su determinación de garantizar que las medidas destinadas a proteger al público de actos terroristas se adoptaran dentro de la ley y de conformidad con sus obligaciones en virtud del derecho internacional.	1
"El Consejo de Seguridad reconoce que el terrorismo no será derrotado únicamente mediante la fuerza militar, medidas de aplicación de la ley y operaciones de inteligencia, y subraya la necesidad de abordar las condiciones que favorecen la propagación del terrorismo, incluida, entre otras, la necesidad de fortalecer esfuerzos para la prevención exitosa y la resolución pacífica de conflictos prolongados, y la necesidad de promover el estado de derecho, la protección de los derechos humanos y las libertades fundamentales, la buena gobernanza, la tolerancia y la inclusión para ofrecer una alternativa viable a aquellos que podrían ser susceptibles a ataques terroristas. reclutamiento y radicalización que conduce a la violencia.	1
El flujo de armas desde Etiopía hacia los señores de la guerra y luego hacia BAM ayuda a explicar otra fuente de armas pequeñas y municiones disponibles en BAM.	0
165. Once Estados son partes del Convenio sobre la Financiación del Terrorismo, y seis de ellos han penalizado adecuadamente la financiación del terrorismo.	1
"El Consejo de Seguridad acoge con satisfacción la resolución A/RES/64/289 de la Asamblea General que establece la Entidad de las Naciones Unidas para la Igualdad de Género y el Empoderamiento de las Mujeres (ONU Mujeres), que estará plenamente operativa en enero de 2011.	1
5. Así como Al-Qaida seguirá siendo una amenaza residual durante algún tiempo en el Afganistán, también seguirá teniendo algún impacto en el resto del mundo.	0
h) Continuar intensificando los esfuerzos para crear conciencia entre los parlamentarios y otras autoridades de alto nivel;	1
4. Exhorta a los Estados a que adopten medidas enérgicas y decisivas para cortar las corrientes de fondos y otros activos financieros y recursos económicos a personas y entidades asociadas con la organización Al-Qaida, Usama bin Laden y/o los talibanes, teniendo en cuenta, según corresponda , códigos y normas internacionales para combatir la financiación del terrorismo, incluidos aquellos diseñados para prevenir el abuso de organizaciones sin fines de lucro y sistemas de remesas informales/alternativos;	1
24. El Comité considerará la información de la Dirección Ejecutiva con respecto a su continuación prestando estrecha atención a la resolución 1624 (2005) en su diálogo con los Estados Miembros; su trabajo con los Estados miembros para desarrollar, de conformidad con sus obligaciones en virtud del derecho internacional, estrategias que incluyan la lucha contra la incitación a actos terroristas motivados por el extremismo violento y la intolerancia; y su facilitación de asistencia técnica para la implementación de la resolución 1624 (2005).	1
La actividad es parte de un diálogo continuo entre el Programa de Seguridad y Estado de Derecho de las Naciones Unidas y el Gobierno Federal de Transición sobre cuestiones relacionadas con las minas y el apoyo a los procesos que garantizarán que conozca los instrumentos jurídicos internacionales pertinentes y pueda considerar participar en ellos. .	1
Exhortar a todas las partes interesadas a garantizar que la protección, los derechos y el bienestar de las mujeres y las niñas afectadas por los conflictos armados se integren específicamente en todos los procesos y acuerdos de paz y en los planes y programas de recuperación y reconstrucción posconflicto.	1
Al 1º de octubre de 2005, los efectivos de la UNOMIG ascendían a 121 observadores militares y 12 agentes de policía (véase el anexo).	0
:: El Consejo de Seguridad puede ser más eficaz a la hora de alentar a los Estados a hacer más para investigar y enjuiciar violaciones graves del DIH. ¿Cómo se puede evaluar esto? ¿Cómo puede el Consejo "incentivar" a los Estados a actuar contra la impunidad?	1
En el caso de África, el Consejo abordó la grave situación en la frontera entre Ruanda y la República Democrática del Congo, revisó el continuo estancamiento político entre Etiopía y Eritrea, evaluó la implementación del embargo de armas a Somalia y reforzó los esfuerzos para reactivar el estancado proceso político en Costa de Marfil.	0
2. Decide también que todos los Estados, de conformidad con sus procedimientos nacionales, adoptarán y harán cumplir leyes apropiadas y eficaces que prohíban a cualquier agente no estatal fabricar, adquirir, poseer, desarrollar, transportar, transferir o utilizar armas nucleares, químicas o biológicas y sus medios vectores, en particular con fines terroristas, así como los intentos de realizar cualquiera de las actividades anteriores, participar en ellas como cómplice, ayudarlas o financiarlas;	1
74. Los Estados miembros de la Unión Europea también estaban obligados a tipificar como delito la "provocación pública" de conformidad con las enmiendas introducidas en 2008 a la Decisión Marco de la Unión Europea de 2002 sobre la lucha contra el terrorismo.	0
Aunque los combates habían cesado, las tensiones seguían siendo elevadas y no se podía descartar que se produjeran nuevos enfrentamientos.	0
Ambas partes aún no habían retirado sus fuerzas de la zona, contraviniendo el acuerdo de 20 de junio de 2011.	0
Los objetivos de la reunión fueron iniciar un diálogo con el sector privado; comprender mejor los desafíos que enfrenta la comunidad financiera al implementar el régimen de sanciones; identificar formas de hacer que el cumplimiento sea más sencillo, rentable y eficiente, y generar ideas para mejorar.	1
Recuerda las conclusiones respaldadas por el Grupo de Trabajo del Consejo de Seguridad sobre los niños y los conflictos armados en [el país afectado]..., pide a todas las partes que pongan fin a las graves violaciones y abusos cometidos contra los niños en [el país afectado], insta a... Gobierno que elabore y aplique un plan de acción concreto con plazos determinados para detener el reclutamiento y la utilización de niños, solicita al Secretario General que continúe su diálogo con el... Gobierno a este respecto, y reitera su solicitud al Secretario General para que fortalecer el componente de protección infantil de [la Misión] y garantizar un seguimiento y presentación de informes continuos sobre la situación de los niños en [el país afectado];	1
En cuanto al requisito de que el ataque sea "sistemático", exige el carácter organizado de los actos y la improbabilidad de que se produzcan al azar.	0
En Darfur Meridional, uno de los enfrentamientos más devastadores se produjo el 19 de septiembre, cuando el SLM/A atacó posiciones de las Fuerzas Armadas Sudanesas en la aldea de Shaeria y sus alrededores.	0
63. El número y la escala de los ataques terroristas atribuidos a Al-Qaida demuestran que la red sigue prosperando y teniendo acceso a recursos financieros suficientes para apoyar sus actividades.	1
13. Las pautas mundiales de suministro de armas pequeñas y ligeras han cambiado profundamente en los últimos decenios.	0
Decide que [la misión] tendrá el siguiente mandato: Protección y seguridad a) Protección de los civiles ... - Revisar la estrategia integral para la protección de los civiles y coordinarla con la estrategia de las Naciones Unidas para la protección de los civiles en enlace con el equipo de las Naciones Unidas en el país, a fin de tener en cuenta las nuevas realidades sobre el terreno y las necesidades específicas de los grupos vulnerables, e incluir medidas para prevenir la violencia de género de conformidad con la resolución 1960 (2010) y la resolución 1882 (2009). - Colaborar estrechamente con los organismos humanitarios, en particular en relación con las zonas de tensión y de retorno de las personas desplazadas, para reunir información e identificar posibles amenazas contra la población civil, así como información fiable sobre las violaciones del derecho internacional humanitario y de los derechos humanos, señalarlas a la atención de las autoridades de Côte d'Ivoire, según corresponda, y adoptar las medidas apropiadas de conformidad con la estrategia de protección de todo el sistema de las Naciones Unidas en armonización con la estrategia de protección [de la misión].	1
Las Naciones Unidas estaban examinando la mejor manera de fortalecer las capacidades de lucha contra el terrorismo de las misiones políticas especiales de las Naciones Unidas, las operaciones de mantenimiento de la paz y los equipos de las Naciones Unidas en los países.	1
La implementación de cambios en la estructura policial en Bosnia y Herzegovina necesitará el apoyo de expertos policiales internacionales.	1
Instar a los organismos regionales y/o subregionales pertinentes a desarrollar e implementar políticas, actividades y promoción en beneficio de los civiles afectados por la violencia sexual.	0
El 18 de noviembre, el Consejo celebró una sesión informativa y consultas sobre los informes del Secretario General sobre las actividades de la Misión de Asistencia de las Naciones Unidas para el Iraq (UNAMI) (S/2014//774) y la búsqueda de kuwaitíes y terceros desaparecidos. nacionales del país y bienes kuwaitíes desaparecidos, incluidos los archivos nacionales (S/2014/776).	1
Implementar políticas sobre igualdad de género y empoderamiento de mujeres y niñas.	0
Además, las fuerzas de seguridad sirias han seguido llevando a cabo operaciones a lo largo de la frontera sirio-libanesa, parte de la cual ha sido minada en los últimos meses.	0
"El Consejo de Seguridad sigue profundamente preocupado por la inseguridad y la importante crisis humanitaria en curso en la región del Sahel, que se complica aún más por la presencia de grupos armados, incluidos movimientos separatistas, redes terroristas y delictivas, y el aumento de sus actividades, así como por la continua proliferación de armas desde dentro y fuera de la región que amenazan la paz, la seguridad y la estabilidad de los Estados de esta región y, a este respecto, destaca la importancia de la aplicación de todas las resoluciones pertinentes del Consejo de Seguridad, incluidas las relativas a los embargos de armas.	1
3. En el párrafo 7 del anexo de mi carta de 8 de agosto de 2005 indiqué que la garantía en efectivo que respaldaba las 249 cartas de crédito que habían expirado el 31 de diciembre de 2004 seguiría retenida en la Cuenta de las Naciones Unidas para el Iraq hasta el 30 de noviembre de 2005 para permitir que se realice el pago a los proveedores si se reciben documentos de autenticación que confirmen que los bienes fueron enviados durante el período de validez de la carta de crédito. Sin embargo, durante consultas recientes con las autoridades pertinentes, el Gobierno del Iraq solicitó una prórroga de este plazo para la recepción de documentos de autenticación hasta el 31 de diciembre de 2005 a fin de darles más tiempo para su procesamiento.	1
D. Escuchar más atentamente las voces de las víctimas 112. El concepto de contranarrativa está estrechamente vinculado al reconocimiento cada vez mayor de la importancia de las voces de las víctimas del terrorismo en las estrategias eficaces de lucha contra la incitación.	0
"El Consejo de Seguridad renueva su llamamiento al Gobierno de la República Centroafricana para que reanude los esfuerzos encaminados a reformar las instituciones del sector de la seguridad, que es un elemento crucial del proceso de consolidación de la paz en el país, y para hacer frente a la impunidad generalizada, promover el estado de derecho y aumentar el respeto de los derechos humanos.	1
19. La Ombudsman y el personal de su Oficina siguieron interactuando con representantes del Equipo Especial sobre la Ejecución de la Lucha contra el Terrorismo y la Dirección Ejecutiva del Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo, así como con el Comité contra el Terrorismo. Subdivisión de Prevención de la Oficina de las Naciones Unidas contra la Droga y el Delito y Oficina del Alto Comisionado de las Naciones Unidas para los Derechos Humanos.	0
En este sentido, solicitamos que se haga todo lo posible para que estas reuniones se celebren cada dos meses, tal como se acordó, y que, en la medida de lo posible, los jefes de los servicios de inteligencia y seguridad participen personalmente en estas reuniones. Instamos a todas las partes interesadas, incluido el Centro Africano para el Estudio y la Investigación sobre el Terrorismo, la Unidad de Enlace y Fusión del Sahel y el Comité de Servicios de Inteligencia y Seguridad de África, en estrecha cooperación con la Comisión de la Unión Africana, a proseguir e intensificar su esfuerzos para intercambiar opiniones y asistencia mutua, así como para implementar los aspectos pendientes de las conclusiones operativas de la reunión de los jefes de los servicios de inteligencia y seguridad.	1
Condeno en los términos más enérgicos los ataques reprensibles contra quienes apoyan al pueblo somalí en sus esfuerzos por combatir el crimen organizado que está obstaculizando el desarrollo de su país.	0
▪ Coordinación sistemática, entre los componentes civil y militar de la misión y entre la misión y los actores humanitarios, para consolidar conocimientos sobre la protección de civiles.	0
