en_es_DEEPL	MatCoop
Ambos Gobiernos son socios esenciales para el Comité en su esfuerzo por hacer que el régimen sea más eficaz y esté más centrado contra la amenaza, y ofrecieron muchas sugerencias útiles, además de facilitar al Equipo información detallada sobre los últimos acontecimientos.	1
Reafirma además su determinación de combatir las amenazas a la paz y la seguridad internacionales causadas por actos de terrorismo por todos los medios posibles, de conformidad con la Carta de las Naciones Unidas.	0
54. El cuartel general integrado de la Misión de la MINUSTAH quedó plenamente establecido el 27 de junio.	1
Dispuesto a seguir ayudando a Líbano en la búsqueda de la verdad y a que los responsables de este acto terrorista respondan de su crimen,	1
La relación entre Al Qaeda y los talibanes parece estrecha. En su mensaje de vídeo del 19 de septiembre de 2007, Al-Zawahiri* volvió a referirse al mulá Omar (TI. O.4.01) como el líder supremo, y aunque los talibanes siempre pueden reclutar más soldados rasos, carecen de comandantes experimentados para sustituir a los muchos que han sido asesinados y han recurrido a Al-Qaeda no sólo para recibir adiestramiento, sino también para suplir las carencias.	0
Visitó 30 lugares de incidentes y se reunió con las autoridades locales, en particular con las fuerzas armadas.	0
23. Durante las recientes visitas sobre el terreno a campos de refugiados, emplazamientos para desplazados internos y aldeas cercanas, la MINURCAT registró menos denuncias de abusos contra los derechos humanos.	1
61. Existen varios instrumentos y planes de estabilización (STAREC, Estrategia Internacional de Apoyo a la Seguridad y la Estabilización, islas de estabilidad), pero parece faltar un enfoque común dentro del propio sistema de las Naciones Unidas.	1
Medidas que garanticen la protección y el respeto de los derechos humanos de las mujeres y las niñas, especialmente en lo relativo a la Constitución, el sistema electoral, la policía y el poder judicial.	1
En Wadi Haggam robaron armas a la policía.	0
28. El Consejo está decidido a estudiar sanciones individuales contra quienes violen el embargo de armas en la República Democrática del Congo.	0
En este sentido, un equipo multidisciplinar de las Naciones Unidas visitará próximamente la República Centroafricana, la República Democrática del Congo, Sudán y Uganda para evaluar la amenaza del LRA y hacer recomendaciones para reforzar y coordinar mejor los esfuerzos de las Naciones Unidas para ayudar a abordar el problema del LRA en la subregión.	0
Se denunciaron más violaciones de mujeres durante ataques en los alrededores de Miski, Disa y Umm Baru, en Darfur Septentrional; y Azeoni, Kornoi, Nertete y Mukjar, en Darfur Occidental.	0
Se esperaba que la resolución 1521 (2003) y la resolución 1532 (2004), que pedían la congelación de activos, se pusieran a disposición de un proceso nacional de indemnización de las víctimas, ya que el mandato del Tribunal no incluye la indemnización de las víctimas.	0
El objetivo de esta práctica era reducir las posibles pérdidas de armas en las operaciones de la fuerza naval.	1
No hacer nada con respecto a un grupo tan malvado bajo el desacertado pretexto de que no supone una amenaza para el Gobierno es abdicar de la responsabilidad cardinal de cualquier Estado, es decir, garantizar la seguridad de sus ciudadanos.	0
38. Reafirma que el Equipo de Vigilancia debe distribuir al Comité cada seis meses una lista de las personas incluidas en la Lista de Sanciones contra Al-Qaida que, al parecer, han fallecido, junto con una evaluación de la información pertinente, como el certificado de defunción y, en la medida de lo posible, el estado y la ubicación de los activos congelados y los nombres de las personas o entidades que estarían en condiciones de recibir cualquier activo descongelado, encomienda al Comité que revise esas listas para decidir si siguen siendo apropiadas, y pide al Comité que elimine las listas de personas fallecidas, cuando se disponga de información fidedigna sobre el fallecimiento;	0
Los participantes se comprometieron a apoyar la firma de un acuerdo de paz, pidieron el refuerzo de las capacidades de la MINUSMA y se comprometieron a mejorar la cooperación regional en materia de seguridad para combatir el terrorismo.	1
Sujeto a la disponibilidad de fondos Proporcionar al personal herramientas operativas prácticas para integrar sistemáticamente las cuestiones de género en la labor de reforma del sector de la seguridad; aplicar las recomendaciones derivadas del Foro africano sobre género y gobernanza de 2005 para alcanzar el objetivo de la Unión Africana de que el 30% de los miembros de las asambleas nacionales sean mujeres.	1
2. Fomentar la confianza y aumentar la estabilidad en el Estado anfitrión promoviendo la verdad y la reconciliación mediante:	1
El teniente coronel Falur ordenó a los soldados que devolvieran el fuego.	0
Por lo tanto, se ha limitado a recopilar información fiable sobre personas sospechosas de ser responsables de crímenes en Darfur.	1
UNIFEM, UNFPA Promover estrategias en los países en situación de posconflicto para abordar las dimensiones de género de la reconstrucción mediante evaluaciones de las necesidades y mecanismos de transición.	0
Los Estados deben velar por que su legislación y sus orientaciones sean lo suficientemente flexibles y sólidas para cubrir las nuevas amenazas y mantener su función preventiva.	1
Hubo informes de discusiones entre posibles manifestantes y las fuerzas de seguridad, en algunos casos cara a cara.	1
En su lugar, los Estados deben establecer un marco jurídico claro, completo y coherente que tipifique los actos terroristas como delitos graves, penalice dichos actos en función de su gravedad y ayude a los tribunales a llevar a los terroristas ante la justicia.	0
(a) Pedir a las partes en un conflicto armado que cumplan las obligaciones que les incumben en virtud del derecho internacional humanitario de adoptar todas las medidas necesarias para proteger a la población civil y facilitar el paso rápido y sin obstáculos de los envíos de socorro, el equipo y el personal,	0
A petición del alto mando de las Forces nouvelles, se creó un grupo de trabajo compuesto por las fuerzas imparciales y las Forces nouvelles para elaborar un plan operativo de acantonamiento de sus tropas.	1
Todos menos uno de los 25 Estados miembros de la Unión Europea participan en la Misión (420 policías) junto con nueve Estados contribuyentes no pertenecientes a la UE (52 policías).	1
Recordando la Resolución 1373 (2001), de 28 de septiembre de 2001, por la que se creó el Comité contra el Terrorismo (CCT), y recordando asimismo sus demás resoluciones relativas a las amenazas a la paz y la seguridad internacionales causadas por actos terroristas,	1
En cuanto al asesinato de militares detenidos por los rebeldes, la Comisión ha recibido informes, especialmente del Gobierno, sobre ejecuciones de soldados detenidos llevadas a cabo por los rebeldes.	0
6. Pide también al Comité establecido en virtud de la resolución 1267 (1999) que informe periódicamente al Consejo de Seguridad sobre la aplicación de la presente resolución;	0
71. En sus esfuerzos de rastreo, debería instarse a los Estados miembros a que utilicen, según proceda, el sistema mundial de comunicación policial de INTERPOL "I-24/7" y el Sistema de Rastreo Electrónico de Armas de INTERPOL.	0
Tres Estados han introducido procedimientos que prohíben la extradición de personas que puedan correr riesgo de tortura o persecución.	1
40. Unos 8.490 excombatientes han recibido apoyo para su reintegración por parte del PNUD y sus socios ejecutores en el norte de Sudán.	1
Para ello, se le otorgaron amplios poderes, incluido el acceso sin restricciones a todos los registros de la propiedad de Bosnia y Herzegovina.	1
"El Consejo de Seguridad subraya la importancia de que las partes en el Acuerdo General de Paz avancen rápidamente en el camino a seguir para el referéndum de Abyei, en las cuestiones pendientes del Acuerdo General de Paz y en la resolución de cuestiones críticas posteriores al referéndum de forma pacífica y mutuamente beneficiosa, como la frontera, la seguridad, la ciudadanía, las deudas, los activos, la moneda y los recursos naturales.	0
Las cuestiones relativas a los crímenes de lesa humanidad se evaluaron sobre la base de las definiciones establecidas por el derecho penal internacional consuetudinario y en el Estatuto de Roma de la Corte Penal Internacional.	1
Si el delincuente ha destruido, dañado, transferido, inutilizado o utilizado, en particular consumido o gastado, bienes que podrían ser objeto de decomiso en virtud de los apartados 1 y 2 del artículo 70, o si el delincuente ha impedido de otro modo el decomiso de dichos bienes, el tribunal podrá ordenar el decomiso de fondos hasta el importe correspondiente al valor de dichos bienes; el valor de los bienes que podrían ser objeto de decomiso podrá ser estimado por el tribunal.	0
La representación actual de las minorías en el Servicio de Policía de Kosovo es del 17%, y la de las mujeres del 22%.	1
12. En estrecha cooperación con el Comité establecido en virtud de las resoluciones 1267 (1999) y 1540 (2004) y de conformidad con su mandato, el Comité prestará especial atención a los Estados respecto de los cuales falte información sobre la aplicación de la resolución 1373 (2001) y examinará la mejor manera de abordar la cuestión.	0
60. Es especialmente importante desarrollar intercambios prácticos entre el Consejo de Seguridad y la Asamblea General sobre la contención de los flujos ilícitos de armas y municiones hacia zonas de crisis y conflicto.	0
En un comentario ampliamente difundido dirigido a los ciudadanos de Kulbus, una ciudad que los rebeldes no habían logrado invadir en diciembre de 2003, el Presidente dijo: "Nuestra prioridad a partir de ahora es eliminar la rebelión, y cualquier elemento fuera de la ley es nuestro objetivo ... Utilizaremos al ejército, la policía, los muyahidines y los jinetes para acabar con la rebelión". El Ministro de Justicia declaró a la delegación ad hoc de la Comisión de Desarrollo y Cooperación del Parlamento Europeo durante su visita en febrero de 2004 que "el Gobierno entabló una especie de relación con los Janjaweed.	0
8. La Dirección Ejecutiva, actuando conjuntamente con los donantes y otras organizaciones asociadas pertinentes, intensificará sus enfoques regionales y subregionales para proseguir las iniciativas ya emprendidas o previstas en los ámbitos de la prevención del uso indebido del sector no lucrativo para financiar el terrorismo, la circulación transfronteriza ilícita de dinero en efectivo y otros instrumentos negociables al portador, la mejora de las capacidades de lucha contra el terrorismo de los agentes de policía y los fiscales, el control y la gestión eficaces de las fronteras y la promoción de la cooperación entre las entidades subregionales pertinentes.	1
4. La misión hará hincapié en la importancia de lograr una paz y una seguridad sostenibles y la estabilidad de todos los países de la región.	0
Algunos de los que sufrían graves problemas de salud no disponían de tratamiento médico o dieta adecuados.	0
Como vimos en Malí, esto puede dejar al Estado vulnerable al inicio de un conflicto civil.	0
Acogiendo con beneplácito el establecimiento de la Oficina del Ombudsman en virtud de la resolución 1904 (2009) y la ampliación del mandato del Ombudsman en las resoluciones 1989 (2011) y 2083 (2012), observando la importante contribución de la Oficina del Ombudsman a la hora de proporcionar una mayor imparcialidad y transparencia, y recordando el firme compromiso del Consejo de Seguridad de velar por que la Oficina del Ombudsman pueda seguir desempeñando su función con eficacia, de conformidad con su mandato,	0
Como se ha señalado anteriormente, ha quedado claro que las medidas antiterroristas son más eficaces cuando se aplican en el contexto de una estrategia amplia que incorpora la atención a los factores que contribuyen al extremismo, entre otras cosas garantizando que se impida o disuada de hacerlo a quienes participan en el reclutamiento para grupos terroristas o incitan a cometer actos terroristas.	1
Los miembros del Consejo subrayaron que la MINUEE se creó por invitación de ambas partes, dispuestas a ayudarlas en la aplicación de los Acuerdos de Argel.	0
Si el informe médico corroboraba las alegaciones de la víctima, el caso se enviaba a la policía para que siguiera investigando.	1
7. Hace un llamamiento a todos los Estados para que se abstengan de realizar una explosión nuclear de prueba y firmen y ratifiquen el Tratado de Prohibición Completa de los Ensayos Nucleares (CTBT), con lo que el tratado entrará en vigor en una fecha próxima;	0
Estos activos, por valor de 2.319.386 dólares, elevan el total de activos congelados en los 32 Estados que han comunicado haber tomado medidas a cerca de 91 millones de dólares (al tipo de cambio de junio de 2005), sin contar los activos congelados en cinco Estados que no especificaron cantidades.	0
La mayoría de los niños anteriormente asociados a grupos armados en Nepal han abandonado los grupos armados sin que existan medidas para su recuperación y reintegración, ni un marco para su protección.	1
A tal fin, la Oficina de Información y Administración utilizará el sistema seguro de seguimiento y distribución de documentos en línea recientemente establecido en el sitio web del Comité para distribuir material de la Dirección Ejecutiva a los miembros del Comité y a la Secretaría.	1
Condena en los términos más enérgicos todos los actos de violencia sexual y de otro tipo cometidos contra civiles en conflictos armados, en particular contra mujeres y niños, y se compromete a garantizar que todas las operaciones de apoyo a la paz empleen todas las medidas posibles para prevenir este tipo de violencia y hacer frente a sus repercusiones allí donde se produzca.	0
211. Todos los Estados de esta subregión han creado unidades operativas de inteligencia financiera, aunque algunos siguen trabajando para mejorar su capacidad.	1
(a) Aplicar la legislación nacional adoptada en materia de lucha contra el terrorismo, teniendo presentes las normas internacionales de derechos humanos;	1
562. Hay otra razón más específica por la que los dirigentes políticos y militares del ELS y del MJI no pueden negarse a aceptar la responsabilidad por cualquier delito cometido por sus tropas sobre el terreno si dichos dirigentes se abstuvieron de impedir o reprimir esos delitos.	0
Además, insta a todos los Estados miembros a que, en coordinación con las instituciones financieras internacionales y los organismos de las Naciones Unidas, aumenten su apoyo para hacer frente al creciente impacto político, socioeconómico y financiero de la crisis de los refugiados en los países de acogida.	1
El presidente Al-Bashir pretendía que su promesa del 19 de junio de 2004 de desarmar a los Janjaweed se aplicara sólo a los bandidos, no a las Fuerzas Populares de Defensa, la policía popular u otros miembros de las tribus armados por el Estado para luchar contra los rebeldes.	1
14. El 14 de julio se iniciaron en Argel las negociaciones formales de paz entre el gobierno de Malí y los grupos armados, con la facilitación de un equipo internacional de mediación formado por las Naciones Unidas, organizaciones regionales y países vecinos y dirigido por Argelia. El objetivo de las negociaciones era preservar el alto el fuego y encontrar una solución política al conflicto, salvaguardando al mismo tiempo la integridad territorial de Malí. El 24 de julio, el gobierno de Malí y los grupos armados firmaron un acuerdo preliminar que establecía una hoja de ruta para la continuación de las negociaciones.	0
- Asesorar al Gobierno ..., según proceda, sobre la reforma del sector de la seguridad y la organización del futuro Ejército Nacional, incluido el establecimiento de un mecanismo eficaz de investigación de antecedentes, de conformidad con las normas internacionales,	0
La aplicación de los cambios en la estructura policial de Bosnia y Herzegovina necesitará el apoyo de expertos policiales internacionales.	0
Por último, la amplia diversidad institucional, cultural, étnica y espiritual de varias de las sociedades que experimentan actualmente un cambio tan histórico y profundo puede dar lugar a tensiones específicas y a problemas de seguridad.	0
Con el fin de seguir informando al Consejo de Seguridad y a los posibles socios bilaterales sobre la amenaza a la seguridad en la región de Vakaga, he desplegado un equipo para que lleve a cabo un examen del entorno de seguridad imperante y una evaluación de las amenazas, y compartiré sus principales conclusiones con el Consejo de Seguridad.	1
577. Los tribunales mixtos establecidos en otros conflictos han seguido dos modelos similares pero distintos.	1
El Acuerdo del 12 de diciembre también prevé la liberación anticipada y la repatriación de los prisioneros de guerra y de todas las demás personas detenidas como consecuencia del conflicto armado.	1
Un total de 25 Estados han implantado plenamente controles sobre sus procesos de asilo para evitar abusos por parte de personas que hayan cometido actos terroristas.	1
En ningún momento el Gobierno de la República de Uganda o sus fuerzas armadas han hecho ningún intento abierto o encubierto de entrar en el territorio de la República Democrática del Congo para atacar a los terroristas del LRA.	1
El Consejo recuerda a los Estados que deben velar por que todas las medidas adoptadas para luchar contra el terrorismo respeten todas las obligaciones que les incumben en virtud del Derecho internacional, en particular las normas internacionales relativas a los derechos humanos, los refugiados y el Derecho humanitario.	1
(iii) Cooperación con organizaciones internacionales, incluidos los Comités del Consejo de Seguridad establecidos en virtud de las resoluciones 1267 (1999) y 1373 (2001);	1
Destacados periodistas han sido detenidos arbitrariamente por denunciar cuestiones de derechos humanos, constitucionales y de Estado de derecho.	0
(b) establecer, de conformidad con el artículo 28 de su reglamento provisional, un Comité del Consejo de Seguridad compuesto por todos los miembros del Consejo para llevar a cabo las tareas descritas en el anexo de la presente resolución;	1
Al debatir el papel del Presidente, varios participantes reconocieron dos "trampas" que deben evitarse: en primer lugar, seguir una agenda nacional para dirigir el Consejo hacia intereses específicos; y, en segundo lugar, asumir un estilo de liderazgo excesivamente retraído y formulista.	0
30. La iniciativa de policía de proximidad de la UNMIK ha reforzado los lazos con la comunidad local.	1
"El Consejo de Seguridad toma nota de los efectos perjudiciales de la proliferación de armas, en particular de las armas ligeras, para la seguridad de los civiles, incluidos los refugiados y otras poblaciones vulnerables.	0
(f) En el cumplimiento de su mandato, el Comité estará asistido por la Dirección Ejecutiva del Comité contra el Terrorismo, bajo la orientación política del Pleno.	1
9. Pide al Secretario General que asigne al Grupo de Supervisión establecido en virtud del apartado a) del párrafo 4 de la resolución 1363 (2001), cuyo mandato expira el 19 de enero de 2002, la tarea de supervisar, durante un período de 12 meses, la aplicación de las medidas mencionadas en el párrafo 2 de la presente resolución;	1
Las mujeres fueron retenidas durante tres meses por los Janjaweed y algunas de ellas quedaron embarazadas a consecuencia de violaciones durante su confinamiento.	0
El levantamiento progresivo de la línea verde sigue basándose en una evaluación exhaustiva de la amenaza, en consultas con el centro de mando integrado y en la mejora de la situación general de seguridad, en particular en la baja probabilidad estimada de enfrentamiento militar entre los antiguos beligerantes.	0
86. Los Estados de la subregión deberían (a) Revisar su legislación penal a fin de garantizar que el reclutamiento para actos terroristas y grupos terroristas esté suficientemente tipificado como delito;	1
Además, el Consejo invita al Grupo de Trabajo a que aplique plenamente su conjunto de instrumentos (S/2006/724), entre otras cosas, realizando una visita específica a un país en el plazo de un año, para examinar una situación mencionada en los anexos del informe del Secretario General a fin de cumplir mejor su mandato y mejorar su capacidad para proteger a los niños afectados por los conflictos armados.	0
A continuación, se obligó a los miembros de la tripulación a firmar contratos, redactados por una empresa de Mombasa, que incluían la estipulación de que aceptaban trabajar en un país en zona de guerra: Somalia.	0
Más tarde, en 2006, la Asamblea General adoptó por unanimidad la Estrategia Global de las Naciones Unidas contra el Terrorismo, de gran importancia para reafirmar el compromiso colectivo de la comunidad internacional en la lucha contra la amenaza común del terrorismo.	1
Además de analizar la Lista, el Equipo examina la aplicación de las tres medidas sancionadoras: la congelación de activos, la prohibición de viajar y el embargo de armas.	0
Aunque las partes marfileñas no han respondido formalmente a las propuestas del Facilitador, éstas han constituido la base de debate del grupo de trabajo que está elaborando el marco para la reunificación de las fuerzas armadas.	1
El Comité también acordó dirigir sendas cartas al Representante Permanente de Somalia y al Comisario de Paz y Seguridad de la Unión Africana recomendando una investigación independiente sobre la supuesta venta de armas y munición al mercado de armas somalí por parte de funcionarios del Gobierno Federal de Transición y miembros del contingente ugandés de la Misión de la Unión Africana en Somalia (AMISOM), respectivamente.	0
Hay informes de que las mujeres y las niñas siguen siendo objeto de violencia sexual durante los ataques a sus aldeas, incluido el informe de un reciente ataque a Hamada el 13 de enero de 2005 en el que las mujeres fueron sometidas a violación.	0
"El Consejo de Seguridad está profundamente preocupado por el deterioro de la situación de seguridad en la República Centroafricana, especialmente tras los ataques contra las ciudades de Birao, Ouanda-Djalle y Sam Ouandja.	0
Los miembros del Consejo se mostraron unánimemente preocupados por el estado del proceso de paz y expresaron su esperanza de que la próxima reunión del Grupo de Amigos del Secretario General lo haga avanzar. Otras cuestiones	0
49. La ONUCI siguió llevando a cabo actividades de sensibilización sobre cuestiones de género para el personal militar, la policía de las Naciones Unidas y el personal civil, incluso mediante la difusión semanal de mensajes de sensibilización sobre diversas cuestiones relacionadas con el género.	1
Se adoptarán medidas decididas para prevenir y combatir la violencia de género, incluidos la explotación y los abusos sexuales.	1
Se recomienda que el Comité mejore y, según proceda, institucionalice su cooperación con los mecanismos internacionales de no proliferación, otros órganos de las Naciones Unidas, el Grupo de los Ocho, las organizaciones regionales y subregionales y las zonas libres de armas nucleares, cuando proceda, que podrían aportar un valor añadido a la aplicación de la resolución 1540 (2004) ampliando las relaciones de trabajo oficiales y oficiosas con ellos.	1
El Equipo también participa activamente en el Foro Mundial contra el Terrorismo.	0
35. El 5 de septiembre de 2011, la Comisión de Registro de Partidos Políticos convocó un taller de reforma jurídica, durante el cual los participantes examinaron el mandato de la Comisión y recomendaron, entre otras cosas, revisiones de la Ley de Partidos Políticos de 2002 a fin de otorgar a la Comisión autoridad estatutaria para hacer cumplir el código de conducta de los partidos políticos.	0
27. La Representante Especial del Secretario General y Jefa de la UNMISS declaró que, antes del estallido del conflicto en diciembre de 2013, se había avanzado mucho en cuestiones de protección de la infancia, y que el plan de acción de Sudán del Sur había tenido un éxito significativo.	1
La introducción al informe anual 2007/08, preparada por la delegación de Viet Nam, ha sido elogiada por ofrecer tanto un resumen como un análisis sustantivo de las actividades del Consejo en todas las regiones y sobre cuestiones que van desde la proliferación de armas de destrucción masiva hasta el papel de las organizaciones regionales y subregionales para contribuir al mantenimiento de la paz y la seguridad internacionales.	1
Las medidas para evitar el abuso de los procedimientos de asilo sólo están plenamente desarrolladas y se aplican en un Estado.	1
Según otro Estado, cualquier respuesta global dirigida por el Estado para luchar contra el extremismo debe considerar a las propias comunidades como parte integrante del marco de seguridad nacional.	1
188. Los relatos de testigos presenciales de muchos incidentes publicados en estos informes mencionan que las fuerzas asaltantes van uniformadas, pero hacen una distinción entre los uniformes que llevan los militares regulares y los Janjaweed.	0
152. El caso descrito anteriormente ha llamado la atención, pero el Grupo observó otros ejemplos, no denunciados, de importación de vehículos para uso militar.	0
El Consejo se propone seguir luchando enérgicamente contra la impunidad con los medios adecuados y llama la atención sobre toda la gama de mecanismos de justicia y reconciliación que deben considerarse, incluidos los tribunales y cortes penales nacionales, internacionales y "mixtos" y las comisiones de la verdad y la reconciliación.	1
Ahora que la mediación y las actividades relacionadas con ella han adquirido tanta relevancia en el comercio internacional de armas, es de la mayor importancia que los países promulguen leyes y normativas eficaces que regulen este amplio espectro del corretaje de armas actual.	0
El estancamiento corre el riesgo de aumentar las tensiones políticas y socava el clima de mayor confianza que prevaleció tras las elecciones y la toma de posesión del Presidente Martelly.	0
Seis hombres murieron y fueron enterrados en tumbas individuales.	0
Según los testimonios, miles de miembros de las fuerzas de seguridad podrían haber estado en acción esos días en Abiyán.	0
En cuarto lugar, la piratería frente a las costas de Somalia es un problema internacional que requiere nuestro esfuerzo y contribución colectivos.	0
Considera imperativo que se aclare el paradero de esas personas desaparecidas y que los responsables rindan cuentas.	1
(a) un Grupo de Supervisión en Nueva York de hasta cinco expertos, incluido un Presidente, para supervisar la aplicación de todas las medidas impuestas por las resoluciones 1267 (1999) y 1333 (2000), incluso en los ámbitos de los embargos de armas, la lucha contra el terrorismo y la legislación conexa y, habida cuenta de la relación existente entre la compra de armas y la financiación del terrorismo, el blanqueo de dinero, las transacciones financieras y el tráfico de drogas; y	1
Exige que todas las partes en un conflicto armado adopten inmediatamente medidas apropiadas para proteger a los civiles, incluidas las mujeres y los niños, de todas las formas de violencia sexual, incluidas medidas como, entre otras, aplicar medidas disciplinarias militares apropiadas y defender el principio de responsabilidad del mando, formar a las tropas sobre la prohibición categórica de todas las formas de violencia sexual contra los civiles, desmentir los mitos que alimentan la violencia sexual e investigar a los candidatos a los ejércitos y fuerzas de seguridad nacionales para garantizar la exclusión de quienes estén relacionados con violaciones graves del derecho internacional humanitario y de los derechos humanos, incluida la violencia sexual.	0
Acogiendo con beneplácito el establecimiento de la Oficina del Ombudsman de conformidad con la resolución 1904 (2009) y la función que ha desempeñado desde su creación, observando el importante papel del Ombudsman en la mejora de la imparcialidad y la transparencia, recordando el firme compromiso del Consejo de Seguridad de velar por que la Oficina del Ombudsman pueda seguir desempeñando su función con eficacia, de conformidad con su mandato, y recordando también la Declaración de la Presidencia del Consejo de Seguridad (S/PRST/2011/5) de 28 de febrero de 2011,	0
"El Consejo de Seguridad subraya que un acuerdo político integrador y el éxito del despliegue de la UNAMID son esenciales para restablecer la paz y la estabilidad en Darfur.	1
Debido a la falta de infraestructuras en el país, podría ser necesario establecer un mecanismo para facilitar la administración y distribución de estas ayudas.	0
Apoyo a los hospitales que tratan a víctimas de violación (atención médica y quirúrgica, asesoramiento voluntario y confidencial tras la violación y tratamiento de enfermedades de transmisión sexual).	1
Los miembros del Consejo condenaron los ataques contra el personal de la Operación de las Naciones Unidas en Costa de Marfil (ONUCI) y declararon que los responsables de estos ataques deben rendir cuentas.	0
28. La Representante Especial Adjunta del Secretario General declaró que, desde el estallido del conflicto en diciembre de 2013, se habían recibido informes a través del mecanismo de supervisión y presentación de informes que indicaban que ambas partes del conflicto eran responsables de violaciones y abusos contra los niños, incluidos asesinatos y mutilaciones, reclutamiento y utilización y violencia sexual.	0
"El Consejo de Seguridad reitera que los Estados deben impedir el suministro, la venta o la transferencia, directos o indirectos, al EIIL, al FNA y a todas las demás personas, grupos, empresas y entidades asociados con Al-Qaida, desde sus territorios o por sus nacionales fuera de sus territorios, o utilizando buques o aeronaves de su pabellón, de armas y material conexo de todo tipo, incluidas armas y municiones, vehículos y equipos militares, equipos paramilitares y piezas de repuesto de los artículos mencionados, y asesoramiento técnico, asistencia o formación relacionados con actividades militares, así como sus llamamientos a los Estados para que encuentren la manera de intensificar y acelerar el intercambio de información operativa sobre el tráfico de armas, y para que mejoren la coordinación de los esfuerzos a escala nacional, subregional, regional e internacional.	1
El Presidente Abbas también me ha declarado que "la transferencia ilegal de cantidades sustanciales de armas a los campos de refugiados a través de ciertos grupos palestinos pone en peligro al Líbano y es inútil para la causa palestina."	0
También abordó los peligrosos brotes de violencia en Líbano entre las Fuerzas Armadas libanesas y los pistoleros de Fatah al-Islam en torno a los campos de refugiados palestinos.	0
24. El período de la Administración de Transición de las Naciones Unidas para Timor Oriental (UNTAET) fue de grandes cambios.	1
7. Expresa su firme determinación de considerar la posibilidad de incluir en la lista, de conformidad con la resolución 2161 (2014), a personas, grupos, empresas y entidades asociados con Al-Qaida que estén financiando, armando, planificando o reclutando para ellos, o apoyando de otro modo sus actos o actividades, incluso a través de las tecnologías de la información y las comunicaciones, como Internet, las redes sociales o cualquier otro medio;	0
Vehículos de protección civil, bomberos y Cruz Roja acudieron rápidamente a la zona y actuaron para apagar el fuego, recoger los cadáveres y trasladar a los heridos al hospital.	1
17. Creo que la tarea de descubrir el destino de los desaparecidos kuwaitíes y nacionales de terceros países es urgente y no debe verse influida por factores y consideraciones políticas.	0
Todas estas condiciones dan lugar a agravios o crean condiciones propicias para la explotación por parte de individuos de diversos orígenes, religiones y creencias, decididos a incitar a la comisión de actos terroristas.	0
También se visitaron las estructuras gubernamentales pertinentes, como el principal centro de detención de Abiyán (Maison d'arrêt et de correction d'Abidjan, MACA) y comisarías de policía.	0
90. En el párrafo 4 de la resolución 1624 (2005) se subraya que "los Estados deben velar por que las medidas que adopten para aplicar los párrafos 1, 2 y 3 de la presente resolución se ajusten a todas las obligaciones que les incumben en virtud del derecho internacional, en particular las normas internacionales de derechos humanos, el derecho de los refugiados y el derecho humanitario".	0
El Consejo subraya su voluntad de tomar medidas contra cualquier parte que intente socavar el proceso de paz, incluso no respetando dicho cese de hostilidades u obstaculizando las conversaciones, el mantenimiento de la paz o la ayuda humanitaria.	0
En aquel momento, cientos de miles de albanokosovares habían regresado a Kosovo y empezaban a reconstruir sus vidas. La mayoría de los serbios de Kosovo habían huido de sus hogares. Kosovo era una sociedad de sufrimiento y destrucción generalizados para todas las comunidades. La economía estaba en ruinas.	0
Al mismo tiempo, la Secretaría sigue estudiando todas las opciones para reforzar y potenciar las capacidades operativas actuales de la Misión en el difícil entorno del norte de Malí.	1
Instamos a Israel a que cumpla sus obligaciones con respecto a la población de los territorios ocupados.	0
Insto a Hamás a responder positivamente a estas exhortaciones.	0
Por ejemplo, la célula de Al Qaeda que perpetró los atentados de noviembre de 2003 en Estambul planeó en un principio alquilar una cantera de piedra para obtener dinamita legalmente, aunque posteriormente abandonó este plan y utilizó en su lugar explosivos improvisados.	0
25. Pide a todos los Estados miembros, pero en particular al Gobierno de Afganistán, que informen al Comité si tienen conocimiento de cualquier información que indique que una persona, grupo, empresa o entidad que haya sido excluido de la lista debería ser considerado para su designación con arreglo al párrafo 1 de la presente resolución, y pide además que el Gobierno de Afganistán facilite al Comité un informe anual sobre la situación de las personas supuestamente reconciliadas que hayan sido excluidas de la lista por el Comité en el año anterior;	0
Reiterando su llamamiento a las partes y a los Estados de la región para que cooperen más plenamente con las Naciones Unidas y entre sí y refuercen su participación para poner fin al actual punto muerto y lograr avances hacia una solución política,	1
En este sentido, el Gobierno de Transición debe demostrar su compromiso de colaborar estrechamente con sus socios internacionales para establecer un mecanismo que garantice una gestión saneada, transparente y responsable de las finanzas públicas y hacer frente eficazmente a la corrupción.	1
Los tres centros de intercambio de información establecidos en Sana'a, Mombasa (Kenia) y Dar es Salaam (República Unida de Tanzania) gestionan una red de puntos focales en toda la región, incluida Somalia, que proporcionan información sobre la actividad de la piratería y los movimientos de los dhow.	1
Como ilustra la situación en la zona de Beni, los esfuerzos para neutralizar a los grupos armados que están dispersos y cuentan con el apoyo de las redes criminales locales y de elementos de las FARDC tardan algún tiempo en traducirse en resultados visibles.	1
La situación y el sufrimiento continuos del pueblo palestino siguen siendo una trágica encarnación de las consecuencias de la no aplicación de las resoluciones y de la no ejecución de las decisiones del Consejo de Seguridad.	0
:: Informe al Comité establecido en virtud de la resolución 1540 (2004) después de cada reunión	1
Habiéndose reunido en Argel, a instancias de Argelia, para seguir acercando las posiciones de los movimientos armados del norte de Malí con el fin de crear todas las condiciones para el éxito de las futuras negociaciones con el Gobierno de Malí;	1
