en_es_DEEPL	VerConf
La verdadera instauración del Estado de derecho en la República Democrática del Congo pasa por la formación de un ejército, una justicia y una policía eficaces y democráticos.	1
Sin embargo, mi delegación observa con pesar que la situación de la seguridad sigue siendo preocupante.	1
Egipto vuelve a exigir el fin inmediato de los ataques israelíes contra Gaza.	1
Por consiguiente, el Comité remitirá las recomendaciones al Comité contra el Terrorismo creado en virtud de la resolución 1373 (2001).	0
Por lo tanto, es importante que los Estados no pierdan de vista este elemento del embargo. El Comité tal vez desee recordárselo cuando surja la oportunidad, alentándoles a que presenten para su inclusión en la lista los nombres de quienes proporcionen "asesoramiento técnico, asistencia o capacitación relacionados con actividades militares" (resolución 1617 (2005), párr. 1 c)) en violación de las medidas. 1 (c)) en violación de las medidas.	1
El Comité afirmó que en Baram algunos soldados, así como 13 civiles, fueron asesinados por los rebeldes en el interior del hospital.	0
También aprovecho esta oportunidad para subrayar mi preocupación por los retos que se plantean en el contexto de las elecciones federales y a la gobernación que se celebrarán en Nigeria en febrero de 2015, y los graves riesgos de violencia que podrían producirse, ya sea por los ataques de Boko Haram o por la impugnación de los resultados electorales.	1
Tras hacer un llamamiento para que se profundice en el análisis de los objetivos compartidos por las comunidades de derechos humanos, desarrollo y seguridad, así como por el sistema de las Naciones Unidas y los Estados miembros, la Alta Comisionada subrayó que las violaciones de los derechos humanos son a menudo una de las causas profundas de los conflictos armados, como había ocurrido en Somalia y Bosnia y Herzegovina.	0
"El Consejo de Seguridad reitera su enérgica condena de todas las violaciones del derecho internacional aplicable cometidas contra mujeres y niñas, incluida la violencia sexual y de género y los asesinatos y mutilaciones, en situaciones de conflicto armado y posteriores a conflictos, e insta a todas las partes a que pongan fin por completo a tales actos con efecto inmediato.	1
38. Debido a la urgencia de la situación actual, los esfuerzos de la comunidad internacional deben ser inmediatos, coordinados y decididos.	1
Decide que [la misión] tendrá el siguiente mandato en este orden de prioridad Protección de la población civil g) Apoyar los esfuerzos del Gobierno, junto con los asociados internacionales y los países vecinos, para crear un entorno propicio al regreso voluntario, seguro y digno de los desplazados internos y los refugiados, o a la integración local o el reasentamiento voluntarios.	0
Ningún Estado puede luchar solo contra el terrorismo, ya que el carácter transnacional de la amenaza terrorista exige la cooperación y la coordinación con otros Estados.	0
278. La Comisión también observa que, en varias ocasiones, los Janjaweed han atacado y matado específicamente a niños, como en Kailek y Surra, mencionados anteriormente. La Comisión recibió muchos informes de asesinatos aleatorios y/o selectivos de niños, a veces en circunstancias horribles, como quemándolos o mutilándolos.	0
Sírvanse comunicar al Comité contra el Terrorismo si se ha promulgado el nuevo Código Penal y, en particular, las disposiciones que tipifican como delito el reclutamiento de personas con el fin de cometer actos terroristas.	0
El Grupo de Examen de la Cooperación Internacional del Grupo de Acción Financiera Internacional sobre el Blanqueo de Capitales declaró en junio de 2009 que seis Estados de la subregión presentaban deficiencias en la lucha contra el blanqueo de capitales y la financiación del terrorismo.	1
El 4 de marzo, instó a que se dictaran órdenes de detención contra funcionarios del Estado, provocando la indignación popular y minando las esperanzas de paz y estabilidad.	1
En tercer lugar, en muchas situaciones, el Consejo de Seguridad ha reconocido graves violaciones de los derechos humanos y del derecho internacional humanitario como posibles amenazas a la paz y la seguridad.	1
Además, un equipo de evaluación y coordinación de desastres de las Naciones Unidas se desplegó a principios de diciembre durante un periodo de tres semanas para apoyar al Gobierno en la creación de un centro de operaciones contra el ébola y establecer mecanismos que facilitaran la coordinación entre el Gobierno y los socios.	0
En cuanto al papel del Consejo de Seguridad en las reparaciones, se señaló que en varias ocasiones se había animado al Consejo a adoptar medidas en relación con este aspecto de la rendición de cuentas. Por ejemplo, además de recomendar la remisión de la situación a la CPI, la Comisión Internacional de Investigación sobre Darfur también recomendó que el Consejo estableciera una comisión internacional de indemnización, sugerencia que recibió poca atención y ningún seguimiento por parte del Consejo.	0
21. El Presidente, junto con los Presidentes del Comité del Consejo de Seguridad establecido en virtud de la resolución 1373 (2001) relativa a la lucha contra el terrorismo y del Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004), ofreció dos sesiones informativas conjuntas al Consejo en 2013.	0
La Unidad de Inteligencia Financiera comparte información con sus homólogos extranjeros, tanto directamente como a través de los canales policiales.	0
54. Los datos anecdóticos sugieren que los fondos procedentes del pago de rescates y del tráfico de drogas se mueven a través de las fronteras mediante correos con dinero en efectivo.	0
Pakistán está muy preocupado por la conclusión del informe de que los retos humanitarios y económicos a los que se enfrenta la región del Sahel se han visto exacerbados por las secuelas de la crisis libia.	1
Este Estado señaló que utilizaba los medios de comunicación y programas específicos para promover la tolerancia y el diálogo entre todas las confesiones y nacionalidades étnicas y que muchos de sus Estados constituyentes habían establecido comités o grupos interconfesionales integrados por diferentes líderes religiosos para promover el entendimiento y la tolerancia.	0
Lamento este decepcionante resultado, que contrasta tan marcadamente con la excepcional voluntad política y el compromiso de medios militares que los Estados miembros han demostrado en la lucha contra la piratería.	1
La gran mayoría de los puestos fronterizos de la policía terrestre carecen de las herramientas y el equipamiento necesarios para llevar a cabo sus misiones, y los organismos nacionales de control fronterizo no cooperan suficientemente entre sí ni con sus homólogos de los Estados vecinos.	1
Condenar y pedir el cese inmediato de los ataques contra periodistas, profesionales de los medios de comunicación y personal asociado que operan en situaciones de conflicto armado.	0
Pero persiste el grave peligro de que, como consecuencia de esa decisión -que viola los documentos de las conferencias de Bonn y Berlín-, el país se enfrente a una situación explosiva, plagada de nuevas resistencias armadas y de fragmentación interna de las estructuras de poder.	1
En los informes se han ofrecido diversas explicaciones para esta distinción, entre ellas que las Fuerzas de Defensa Popular del Gobierno, reclutadas en su mayoría entre las tribus árabes, están incluidas en el término Janjaweed, tal y como se utiliza habitualmente en el contexto de este conflicto.	0
6. El 10 de noviembre de 2011, el Comandante del Mando Aliado de la Fuerza Conjunta de Nápoles encomendó al Comandante de la KFOR que prosiguiera las operaciones para mantener y establecer puntos de control de acceso, y eliminar selectivamente los controles de carretera, a lo largo de las principales carreteras de suministro a los puntos de cruce Gate 1 y DOG 31, a fin de crear las condiciones necesarias para restablecer la libertad de circulación sin restricciones y un entorno seguro para todos, de conformidad con la resolución 1244 (1999) del Consejo.	0
Reitero que el personal de las Naciones Unidas nunca debe ser amenazado ni sancionado por hacer su trabajo, que se basa en la Carta de las Naciones Unidas y, en este caso, en un mandato del Consejo de Seguridad.	1
Sin embargo, también es evidente que el mando de las F-FDTL adoptó medidas limitadas para verificar el alcance de la amenaza planteada o utilizar canales no militares para resolver la amenaza percibida. El 25 de mayo, el Alto Mando de las F-FDTL no intentó ponerse en contacto con los mandos operativos de la PNTL ni implicar al Primer Ministro o al Presidente en la resolución de la situación.	1
"El Consejo de Seguridad reitera su grave preocupación por el Estado Islámico en Irak y el Levante (EIIL), el Frente Al Nusrah (FNA) y otras entidades terroristas asociadas con Al Qaida y por el impacto negativo de su presencia, su ideología extremista violenta y sus acciones en la estabilidad de Irak, Siria y la región, incluido el devastador impacto humanitario en las poblaciones civiles que ha provocado el desplazamiento de millones de personas, y por sus actos de violencia que fomentan las tensiones sectarias".	1
Estudio de caso: ataque a una escuela en Tawila, Darfur septentrional	0
Todas las casas del pueblo fueron quemadas. Los cuerpos de las víctimas fueron enterrados en fosas comunes cerca del pueblo.	0
La misión evaluó la preparación institucional, técnica, de seguridad, jurídica y política para las elecciones. Identificó áreas de apoyo y pidió una mayor participación de mujeres y jóvenes, una mayor transparencia institucional y mecanismos para la prevención de conflictos políticos y electorales.	0
13. En cuanto a la recomendación del Equipo de Vigilancia sobre el pago de rescates a entidades incluidas en la Lista (párr. 60), el Comité desea remitirse al párrafo 5 de la resolución 1904 (2009), en la que el Consejo confirmó que los requisitos establecidos en el apartado a) del párrafo 1 de la misma resolución también se aplican al pago de rescates a personas, grupos, empresas o entidades incluidos en la Lista consolidada.	0
"El Consejo de Seguridad advierte solemnemente a los Estados vecinos de la República Democrática del Congo de las consecuencias del apoyo a los grupos rebeldes armados.	1
En este contexto, diré unas palabras sobre la recién aprobada resolución del Consejo sobre Yemen, una condena largamente esperada de los abusos del Gobierno yemení.	1
El 26 de julio, el Consejo emitió un comunicado de prensa en el que condenaba el atentado terrorista contra la Fuerza Provisional de las Naciones Unidas en el Líbano (FPNUL), en el que resultaron heridos seis miembros franceses de las fuerzas de mantenimiento de la paz de las Naciones Unidas. Cuestiones temáticas y de otro tipo	1
La falta general de transparencia para el público en general socava la imparcialidad y credibilidad del proceso en su conjunto.	1
Sin embargo, era dudoso que los contingentes de las FARDC desplegados en la provincia pudieran establecer un control efectivo y sostenido sobre la totalidad de Katanga y limitar significativamente la capacidad de los Mayi-Mayi para hostigar a la población local y explotar ilegalmente los recursos naturales.	0
37. Como parte del esfuerzo de la División por contratar a expertos bien cualificados para formar parte de los grupos, equipos y grupos de vigilancia de las sanciones, y como se hace todos los años, en diciembre se envió a todos los Estados Miembros una nota verbal en la que se solicitaba la presentación de candidatos cualificados para formar parte de la lista de expertos de la División.	0
(b) La aplicación de todas las cuestiones pendientes mencionadas en el párrafo 12 supra, recordando a este respecto que la aplicación concomitante del proceso de identificación y del acantonamiento de las fuerzas, según lo previsto en el programa nacional de desarme, desmovilización, reinserción y rehabilitación firmado en Yamusukro el 14 de mayo de 2005, aceleraría la creación de las condiciones necesarias para la celebración de elecciones libres, justas, abiertas y transparentes;	1
139. Uno de estos grupos es el Movimiento Nacional para la Reforma y el Desarrollo (NMRD). El 6 de junio, el NMRD publicó un manifiesto en el que declaraba que no era parte en el acuerdo de alto el fuego celebrado entre el Gobierno y el SLM/A y el JEM en abril, y que iba a luchar contra el Gobierno.	1
11. Las dos partes han subrayado la importancia de llevar a cabo esta nueva etapa en colaboración con los socios regionales e internacionales a los que han invitado a apoyar sus esfuerzos, que se inscribirán estrictamente en el marco de los objetivos fijados por la comunidad internacional para preservar la integridad territorial y la soberanía de Malí y reforzar su unidad nacional.	0
Para llevar a cabo su plan, pretenden unir varias milicias bajo su control y equiparlas y entrenarlas en Fer Fer (Etiopía) y Waajid (región de Bakool).	0
Al aprobar una operación de las Naciones Unidas, el Consejo debe tener en cuenta el papel esencial de la policía militar y civil para contribuir a la estabilización de las situaciones de crisis y al mantenimiento de la seguridad.	0
Aunque la Iniciativa se concibió como respuesta al crecimiento del tráfico de drogas y de la delincuencia organizada transnacional en África Occidental, las unidades de delincuencia transnacional funcionarán como centros de fusión de las fuerzas del orden para apoyar la capacidad analítica y técnica nacional y regional de respuesta a las amenazas transnacionales.	0
No obstante, la información disponible no presenta una imagen clara de la aplicación de las medidas de seguridad aérea, marítima o de carga, los controles fronterizos o los programas de cumplimiento de la ley establecidos para garantizar que las armas pequeñas no caigan en manos de personas no autorizadas.	1
4. Las filiales de Al Qaeda están evolucionando, a menudo de forma autónoma, con cambios generacionales, geográficos, étnicos, estructurales y operativos evidentes.	0
El potencial de atentados internacionales por parte de AQAP persiste, pero por ahora el impacto de las actividades de AQAP se deja sentir principalmente en Yemen.	0
Se trata de una obligación internacional que los Estados deben cumplir para garantizar justicia a las víctimas de estos deplorables sucesos.	1
33. Muchos partidos políticos de la región de Terai han creado secciones juveniles que participan en la política callejera violenta, y algunos grupos armados que utilizan la violencia política han reclutado a niños.	0
200. La perspectiva gubernamental más coherente sobre el conflicto fue presentada por un comité creado por el ministro del Interior en su calidad de representante del presidente en Darfur.	0
Además, el Consejo reafirma su llamamiento en favor de una mayor integración de la perspectiva de género en todas las operaciones de mantenimiento de la paz, y se congratula de que las políticas de las operaciones de mantenimiento de la paz de las Naciones Unidas promuevan y protejan los derechos de la mujer y tengan en cuenta la perspectiva de género, tal como se establece en la Resolución 1325 (2000).	0
Se han creado en respuesta a denuncias de violaciones del derecho internacional de los derechos humanos y del derecho humanitario en contextos de conflicto, así como en situaciones de altos niveles de violencia, a menudo pero no exclusivamente relacionadas con procesos electorales o políticos, que implican graves violaciones del derecho de los derechos humanos.	1
En consultas plenarias, los miembros del Consejo expresaron su preocupación por el continuo deterioro de la situación humanitaria y condenaron las violaciones del derecho internacional humanitario por todas las partes en el conflicto sirio.	1
"El Consejo de Seguridad alienta a los gobiernos nacionales, a las Naciones Unidas y a las organizaciones regionales y subregionales a que amplíen y profundicen la reserva de expertos civiles para la consolidación de la paz inmediatamente después de los conflictos, incluso de países con experiencia pertinente en la consolidación de la paz después de los conflictos o en la transición democrática, prestando especial atención a la movilización de las capacidades de los países en desarrollo y de las mujeres, como elemento vital para el éxito de las iniciativas de consolidación de la paz de las Naciones Unidas.	0
Reafirmando que el terrorismo en todas sus formas y manifestaciones constituye una de las amenazas más graves para la paz y la seguridad y que todo acto de terrorismo es criminal e injustificable, independientemente de sus motivaciones, del momento en que se cometa y de quien lo cometa, y reiterando su condena inequívoca de Al-Qaida y otros individuos, grupos, empresas y entidades asociados a ella, por los continuos y múltiples actos terroristas criminales dirigidos a causar la muerte de civiles inocentes y otras víctimas, la destrucción de bienes y socavar gravemente la estabilidad,	1
"El Consejo de Seguridad reitera su condena, igualmente enérgica, de todas las violaciones del derecho internacional aplicable que impliquen el reclutamiento y la utilización de niños por las partes en conflictos armados, así como su nuevo reclutamiento, asesinato y mutilación, violación y otros actos de violencia sexual, secuestros, ataques contra escuelas u hospitales y denegación de acceso humanitario por las partes en conflictos armados.	1
El informe señala una serie de casos, sobre todo en el sector de la seguridad, que son motivo de gran preocupación.	1
12. Exige que todas las partes cooperen plenamente con las operaciones de la MONUC y que garanticen la seguridad y el acceso inmediato y sin trabas del personal de las Naciones Unidas y el personal asociado en el desempeño de su mandato, en todo el territorio de la República Democrática del Congo; exige, en particular, que todas las partes faciliten pleno acceso a los observadores militares de la MONUC, incluso en todos los puertos, aeropuertos, aeródromos, bases militares y pasos fronterizos, y, además, que se conceda a los observadores de derechos humanos de la MONUC acceso a los centros de detención y a los centros de reclusión, y pide al Secretario General que informe sin demora de cualquier incumplimiento de estas exigencias;	1
En otros lugares de la región, a lo largo de la Línea Azul, las violaciones habían amenazado con perturbar una precaria estabilidad.	1
Así pues, se ocupa en gran medida de los aspectos de los contextos sociales que pueden favorecer la propagación del terrorismo.	1
Instamos a Israel a detener sus incursiones militares en Gaza.	1
Trece celdas contenían dos detenidos cada una, mientras que siete celdas sólo tenían un detenido cada una.	1
En este contexto, el Primer Ministro Seniora ha solicitado la asistencia y el apoyo continuos de las Naciones Unidas para que dicho diálogo interno resuelva la cuestión de las milicias libanesas y no libanesas en el Líbano de forma plenamente coherente con el Acuerdo de Taif.	0
El Consejo exige el cese inmediato de todos los ataques del ERS e insta al ERS a que libere a todos los secuestrados, se desarme y se desmovilice.	1
9. Exhorta a los Estados miembros a que exijan que las líneas aéreas que operan en sus territorios proporcionen información anticipada sobre los pasajeros a las autoridades nacionales competentes a fin de detectar la salida de sus territorios, o el intento de entrada en ellos o de tránsito por ellos, por medio de aeronaves civiles, de personas designadas por el Comité establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011) ("el Comité"), y exhorta además a los Estados miembros a que comuniquen al Comité toda salida de ese tipo de sus territorios, o todo intento de entrada en sus territorios o de tránsito por ellos, de esas personas, y a que compartan esa información con el Estado de residencia o nacionalidad, según proceda y de conformidad con el derecho interno y las obligaciones internacionales;	0
En cada incidente, las mujeres fueron obligadas a desnudarse a punta de pistola, violadas por los Janjaweed y posteriormente abandonadas desnudas en la carretera.	0
Los Estados deben abstenerse de inhibir a los actores humanitarios en sus esfuerzos por involucrar a los grupos armados no estatales con fines humanitarios, incluida la realización de actividades destinadas a promover el respeto del derecho internacional humanitario.	1
El proceso de revisión ha dado lugar a la confirmación de la inclusión en la lista de todas las personas que, aunque no figuran únicamente por este motivo, son conocidas principalmente por su papel en la justificación ideológica de la violencia relacionada con Al Qaeda ante nuevos reclutas o ante un público más amplio. Y ello a pesar de que las propias medidas sancionadoras apenas inciden, si es que lo hacen, en su herramienta clave: la capacidad de comunicación y persuasión a través de Internet.	1
34. La transparencia es un principio esencial que guía la labor y las actividades del Comité, contribuyendo a aumentar la confianza, fomentar una mayor cooperación y sensibilizar a los Estados, las organizaciones internacionales, regionales y subregionales pertinentes, la sociedad civil y el sector privado respecto de las cuestiones pertinentes a la resolución 1540 (2004), lo que facilita la aplicación de la resolución por los Estados. 35. La transparencia y la divulgación en los medios de comunicación están estrechamente interrelacionadas.	0
Mi Gobierno agradece las numerosas expresiones de condena e indignación que ha generado esta atrocidad. Apreciamos especialmente la rápida reacción del Consejo de Seguridad ante este espantoso crimen.	1
El Presidente Gusmão ordenó a los peticionarios que regresaran al centro de formación de las F-FDTL en Metinaro y participaran en una comisión de investigación que examinaría las alegaciones planteadas en la petición.	1
Durante nuestras conversaciones anteriores, Bélgica había compartido la preocupación expresada por el Secretario General sobre el peligro que la violencia en Iraq supone para una sociedad, unas instituciones y un proceso político que siguen siendo frágiles.	1
21. En numerosas ocasiones, los miembros del Comité han destacado la complementariedad de las funciones de los tres Comités en la lucha contra el terrorismo internacional y la necesidad de un intercambio constante de información entre ellos.	0
En la 6900ª sesión del Consejo de Seguridad, celebrada el 15 de enero de 2013, en relación con el examen por el Consejo del tema titulado "Amenazas a la paz y la seguridad internacionales causadas por actos terroristas", el Presidente del Consejo de Seguridad hizo la siguiente declaración en nombre del Consejo:	0
Pedimos a todos los grupos armados signatarios del Acuerdo de Uagadugú que se desvinculen de los grupos terroristas.	1
A 31 de agosto, más de 29.000 refugiados habían regresado a sus países de origen, entre ellos 11.724 asistidos por el Alto Comisionado de las Naciones Unidas para los Refugiados, y se calcula que 18.000 habían regresado espontáneamente a Liberia.	0
Imponer medidas selectivas y graduadas en respuesta a la difusión por los medios de comunicación de mensajes que inciten al genocidio, crímenes contra la humanidad, crímenes de guerra u otras violaciones graves de la legislación sobre derechos humanos.	0
Como saben, el 12 de diciembre de 2000 fui testigo de la firma del acuerdo entre el Gobierno del Estado de Eritrea y el Gobierno de la República Democrática Federal de Etiopía, que tuvo lugar en Argel en una ceremonia oficial organizada por el Presidente Abdelaziz Bouteflika.	0
Los participantes coincidieron en que la presencia en Yemen de Al Qaeda en la Península Arábiga suponía un importante desafío para una transición pacífica y subrayaron la necesidad de prestar a Yemen un apoyo internacional específico para combatir el terrorismo.	1
A pesar de todo lo anterior, seguimos creyendo que no hay solución militar; al contrario, estamos seguros de que es contraproducente.	1
110. Algunos observadores siguen sin estar convencidos de la importancia de la amenaza, y otros critican la priorización de las amenazas químicas, biológicas, radiológicas y nucleares sobre otros aspectos del terrorismo o tipos de amenaza.	1
Incluso si se diera el caso de que los civiles atacados poseyeran armas, esto no sería necesariamente un indicio de que fueran rebeldes, por lo tanto objetivos legítimos del ataque, o de que participaran activamente en las hostilidades.	0
En esas condiciones, en las que confluyen profundas desigualdades y exclusión política, económica y social, surge un proceso dirigido a transformar el orden imperante y a buscar cambios y alternativas económicas y políticas, que permitan la participación y la apertura de nuevos espacios y medios de expresión, lo que implica, en definitiva, reivindicaciones de derechos fundamentales.	1
El Secretario General Adjunto señaló además que las Naciones Unidas habían detectado un aumento de la retórica acusatoria dirigida por el Gobierno de Sudán del Sur hacia la UNMISS y violaciones del Acuerdo sobre el Estatuto de las Fuerzas de la UNMISS por parte del Gobierno de Sudán del Sur.	1
Condenamos el uso desproporcionado de la fuerza empleado por el ejército israelí en zonas densamente pobladas, que ha causado sufrimiento y pérdidas generalizadas a decenas de civiles palestinos, incluidos niños.	1
Se trata de un aspecto importante porque aumentó enormemente el nivel de frustración y odio de la población objetivo, incluidos los simpatizantes o supuestos simpatizantes de partidos de la oposición y grupos comunitarios, con respecto a la policía y las fuerzas de seguridad.	1
El Coordinador Humanitario ha pedido ayuda humanitaria de emergencia para ayudar a las 20.000 familias a sobrevivir al invierno.	0
La Comisión verificó la presencia de dos fosas en el pueblo, una con los cadáveres de dos hombres y otra con los de siete, todos ellos muertos durante el ataque.	0
Hicimos un llamamiento a nuestra gente para que se uniera a las PDF. Respondieron uniéndose, y empezaron a recibir órdenes del Gobierno como parte del aparato militar del Estado".	0
Deplorando los continuos obstáculos impuestos por el Gobierno de Sudán a la labor del Grupo de Expertos durante el transcurso de su mandato, incluidas las restricciones a la libertad de circulación del Grupo de Expertos y de la UNAMID, y las limitaciones al acceso del Grupo de Expertos a las zonas de conflicto armado y a las zonas en que se han denunciado violaciones de los derechos humanos y del derecho internacional humanitario, al tiempo que toma nota de la mejora de la interacción entre el Gobierno de Sudán y el Grupo de Expertos,	1
Sin embargo, los mecanismos internacionales de derechos humanos han expresado su preocupación por las violaciones presuntamente cometidas por las fuerzas del orden y los servicios de inteligencia en el curso de las investigaciones y los interrogatorios.	1
1. Decide que todos los Estados adopten las siguientes medidas con respecto a las personas y entidades designadas antes de la presente fecha como los talibanes, y otras personas, grupos, empresas y entidades asociados con ellos, según se especifica en la sección A ("Personas asociadas con los talibanes") y la sección B ("Entidades y otros grupos y empresas asociados con los talibanes") de la Lista consolidada del Comité establecido en virtud de las resoluciones 1267 (1999) y 1333 (2000) en la fecha de aprobación de la presente resolución, así como a otros individuos, grupos, empresas y entidades asociados con los talibanes por constituir una amenaza para la paz, la estabilidad y la seguridad de Afganistán, designados por el Comité establecido en el párrafo 30, (en lo sucesivo, "la Lista"):	1
(a) Abstenerse de proporcionar cualquier forma de apoyo, activo o pasivo, a entidades o personas implicadas en actos terroristas, incluso suprimiendo el reclutamiento de miembros de grupos terroristas y eliminando el suministro de armas a terroristas;	1
Todas las delegaciones coincidieron en que la principal amenaza en la región procede de Jemaah Islamiyah (QE.J.92.02.), el Grupo Abu Sayyaf (QE.A.1.01.) y un recién llegado, el Movimiento Rajah Solaiman (no incluido en la lista), que trabaja en estrecha colaboración con el Grupo Abu Sayyaf*.	1
El Consejo exige que el Gobierno de Sudán se retire inmediatamente de la zona de Abyei.	1
Como consecuencia, se ha cruzado una línea en relación con las amenazas a la seguridad de muchos países de dentro y fuera de África, incluidos los miembros de este Consejo, dejando al descubierto sus vulnerabilidades.	1
La Organización de Cooperación Islámica hace un llamamiento para que se ponga fin a la ocupación militar israelí del territorio palestino, incluido Jerusalén Oriental, y a las acciones ilegales de la potencia ocupante que se han cobrado la vida de miles de civiles, han infligido una destrucción masiva y han agravado las dificultades socioeconómicas y humanitarias del pueblo palestino en violación del derecho internacional, incluido el derecho humanitario y de los derechos humanos.	1
En un caso denunciado en Deleba, Darfur Occidental, la víctima fue golpeada hasta la muerte.	0
Cuando las fuerzas internacionales comenzaron a detener a personas, el personal esquelético del sector judicial se encargó de las audiencias previas al juicio y de la detención.	0
A 13 de octubre de 2014, 37 marinos seguían secuestrados por piratas somalíes.	0
También se ha avanzado en el intercambio de información sobre estas personas, en particular a través de la Organización Internacional de Policía Criminal (INTERPOL), así como en la cooperación en materia de seguridad fronteriza.	0
Se siguen recibiendo informes de diversas organizaciones de derechos humanos sobre graves violaciones de los derechos humanos e infracciones del derecho internacional humanitario, como detenciones arbitrarias, asesinatos, tráfico de niños y violaciones en todo el país, tanto en las zonas controladas por las Forces Nouvelles como en las controladas por el gobierno.	0
Condenar y pedir el cese inmediato de las incitaciones a la violencia contra civiles en situaciones de conflicto armado.	1
424. El hecho de que los Janjaweed dominen a la policía es una tendencia que comenzó incluso antes de la crisis actual y que podía detectarse a partir de la información proporcionada por el propio Gobierno.	0
La Representante Especial celebró los esfuerzos del Gobierno de la República Democrática del Congo para proteger a los niños, en particular la firma, el 4 de octubre de 2012, del plan de acción para poner fin y prevenir el reclutamiento y la utilización de niños, la violencia sexual y otras violaciones graves contra los niños por parte de las fuerzas armadas y de seguridad nacionales, la participación del Gobierno en la campaña "Niños, no soldados", y el nombramiento, el 14 de julio de 2014, de un Asesor Presidencial sobre Violencia Sexual y Reclutamiento de Niños.	0
Expresaron su preocupación por el amplio uso de Internet por parte de Al Qaeda y sus asociados, por la irresponsabilidad de algunos medios de comunicación en su cobertura de temas delicados y por el uso terrorista de los teléfonos por satélite.	0
En su último informe sobre la protección de los civiles en los conflictos armados (S/2012/376), el Secretario General indicó que "el pésimo estado de la protección de los civiles ha cambiado poco" y que existe una clara necesidad de traducir los compromisos normativos en mejoras concretas de la protección de los civiles sobre el terreno.	1
El concepto de generar inventarios de referencia organizando una encuesta sobre armas pequeñas en la fase inicial del desarrollo del proyecto está empezando a estar bien establecido y ha demostrado su eficacia en el desarrollo y la evaluación de proyectos.	0
44. El nivel de ratificación de los instrumentos internacionales no ha cambiado desde 2009 y varía ampliamente.	0
236. No se ha contabilizado el número exacto de pueblos quemados y destruidos, pero varias fuentes han estimado el alcance de la destrucción a través de relatos verbales, inspecciones de lugares y otras pruebas.	0
Pero también había preocupación porque, cada vez que se ha producido una señal esperanzadora en Oriente Medio, ha venido acompañada de un aumento de la violencia y la destrucción.	1
Peor aún, las actividades de estos grupos terroristas suponen una grave amenaza para los esfuerzos de las misiones internacionales de consolidación y mantenimiento de la paz, por ejemplo en Somalia y Mali.	1
La situación sobre el terreno es preocupante también en términos humanitarios. El Secretario General confirma que Iraq atraviesa una grave crisis y afirma que la situación sigue deteriorándose.	1
La limitada presencia del ACNUR en los campos y entre los refugiados es otro obstáculo que el país de asilo ha interpuesto al cumplimiento del mandato del ACNUR.	1
Tales posiciones pueden considerarse una participación indirecta en el engaño a la opinión pública y un desconocimiento de la posición del Gobierno sirio en relación con los acontecimientos que tienen lugar en su propio territorio. Se trata de una incitación irresponsable a todo tipo de actos de violencia, dando cobertura internacional a actos terroristas internacionales emprendidos por grupos terroristas contra Siria, sus intereses y su pueblo.	1
Es necesario seguir investigando sobre el impacto de las diferentes formas de comunicación en el riesgo y la amenaza de incitación y, por tanto, de actos terroristas. No obstante, puede afirmarse que la rápida evolución de la tecnología de las comunicaciones ha hecho que, en general, el riesgo de incitación en todo el mundo sea hoy mayor que en 2005.	0
Del mismo modo, 26 Estados han comunicado medidas completas para regular y controlar la importación y exportación de armas y explosivos, mientras que falta información respecto a los 4 restantes.	0
(b) Alentar a los Estados de la subregión a que aprovechen las oportunidades de formación en materia de aplicación de la ley y de otro tipo para mejorar la aplicación de las leyes antiterroristas;	0
El Gobierno afgano ha instado a que el Comité dé una respuesta más flexible a sus propuestas de exclusión de las listas, temiendo que su incapacidad para conseguirlo le prive de un sistema esencial de recompensa para los talibanes que se reconcilien, con el consiguiente riesgo de que vuelvan a los combates.	1
Sudáfrica subraya que, dada la magnitud de estos retos, es necesaria una estrategia global que incorpore la seguridad, los esfuerzos humanitarios, la buena gobernanza y el desarrollo socioeconómico.	1
Los días 3 y 7 de octubre, el Consejo emitió sendos comunicados de prensa en los que condenaba los recientes ataques contra la MINUSMA (SC/11587 y SC/11591).	1
Este fue el caso de Jamal Suliman Mohamad Shayeb, en la localidad de Halouf, en relación con el homicidio de 24 personas, algunas de ellas mujeres y niños, el saqueo de bienes y el incendio de la localidad.	0
Nos aflige especialmente el bajísimo número de retornos de refugiados, que son el indicador más útil para evaluar la situación en la provincia.	1
Señalaron que el hecho de que Etiopía no permitiera avanzar en la demarcación completa, así como las continuas y crecientes restricciones a la labor de la MINUEE, planteaban serias dudas sobre la viabilidad a largo plazo de la Misión.	1
31. Los Estados y muchos actores internacionales acogieron con satisfacción la apertura del proceso de examen exhaustivo e instaron al Comité 1540 a continuar con este enfoque y a aumentar sus ya útiles esfuerzos para lograr la transparencia y la inclusión.	0
De acuerdo con su mandato, el informe establece los hechos y circunstancias relevantes para los incidentes de los días 28 y 29 de abril y 23 a 25 de mayo y otros sucesos o cuestiones relacionados que contribuyeron a la crisis; aclara la responsabilidad de los hechos y recomienda medidas de rendición de cuentas.	0
El 30 de agosto, el Consejo emitió una declaración a la prensa sobre la piratería y el robo marítimo a mano armada en el Golfo de Guinea.	0
15. Desde su creación en junio de 2005, el Tribunal Penal Especial sobre los Sucesos de Darfur ha pronunciado veredictos en cinco casos.	1
