es	QuadClass
"Said Arif está asociado con Al-Qaida o una célula, entidad afiliada, grupo escindido o derivado de ella por ""participar en la financiación, planificación, facilitación, preparación o comisión de actos o actividades ejecutados"" por Jabhet al-Nusra, alias del Frente Al-Nusra para los Pueblos del Levante (QE.A.137.14), ""o realizados en o bajo su nombre, junto con él o en su apoyo"" y ""reclutar para él""."	0
En su resolución 1977 (2011), el Consejo de Seguridad alienta expresamente al Comité establecido en virtud de la resolución 1540 (2004) a recurrir, entre otras fuentes, a expertos pertinentes del sector privado.	4
En todo caso, esos problemas por lo general se habían solucionado mediante la intervención de los equipos de supervisión de los medios de difusión.	0
- El 12 de diciembre de 2014, 200 efectivos de las fuerzas de régimen rodearon el barrio de Fayd situado en la ciudad de Jabla y prohibieron todas las entradas y salidas.	0
:: El 5 de noviembre de 2014, unos aviones de combate del régimen lanzaron cinco ataques aéreos en Kansfra en Idlib.	1
A excepción de un Estado, que ha suministrado muy poca información pertinente, todos los Estados de Asia Oriental son miembros de varias organizaciones regionales y mecanismos para la cooperación internacional en la lucha contra el terrorismo y han procurado fortalecer estas relaciones.	2
Se estableció un programa especial para votantes con necesidades especiales a fin de que ciertas categorías, como quienes permanecían en sus casas por temor, los hospitalizados, los enfermos mentales, los ancianos y los presos, pudieran inscribirse y votar simultáneamente.	2
El sistema judicial sigue aquejado de graves deficiencias técnicas que minan la confianza del público.	0
Al-Qaida seguirá siendo una amenaza residual durante algún tiempo en el Afganistán y también seguirá teniendo cierta influencia en el resto del mundo.	1
i) El establecimiento con carácter de urgencia de una emisora de radio de las Naciones Unidas y la mejora de las actividades de información, medios de comunicación, educación y capacitación de las Naciones Unidas en Côte d'Ivoire, especialmente en cuestiones relacionadas con los derechos humanos, a fin de fomentar un clima de respeto mutuo y tolerancia entre todas las comunidades del país;	2
Aunque la Comisión recibió información de una fuente de que alguien cercano al Sr. Hariri y en quien éste confiaba había manipulado los dispositivos de interferencia antes de la explosión, la Comisión no ha podido corroborar esa información.	2
:: El 16 de noviembre de 2014, unos aviones de combate del régimen atacaron la localidad de Maarat Misreen con un misil y causaron la muerte de cinco personas, entre ellas un niño y una mujer, y destruyeron edificios residenciales.	1
En respuesta a una invitación del Presidente del Consejo Económico y Social, el 3 de mayo el Presidente del Consejo asistió a la reunión de alto nivel del Consejo Económico y Social para analizar la labor de sus grupos consultivos especiales sobre países de África que salen de situaciones de conflicto (Burundi y Guinea-Bissau).	4
Durante el ataque de los Janjaweed a la aldea de Mengarassa, en Darfur occidental, perpetrado en noviembre de 2003, se secuestró a 20 niñas que fueron llevadas al campamento de Ammar.	1
La destrucción afectó concretamente a zonas en las que residían tribus africanas, en particular los fur, los zaghawa y los masalit.	1
El Tribunal Especial para Sierra Leona, primer tribunal de crímenes de guerra desde Nuremberg con sede en el país en que se cometieron las atrocidades, estaba decidido a convertir en una prioridad la divulgación entre el público y la difusión de la justicia.	2
Algunos miembros pidieron que el Consejo contribuyera de manera más significativa a las gestiones encaminadas a lograr que las partes volvieran a la mesa de negociaciones en torno a la solución de dos Estados y dijeron que los asentamientos israelíes menoscababan las perspectivas de paz.	4
"Por tanto, instó al Consejo a que pasara del enfoque de ""según sea necesario"" a un criterio ""más activo"", para aumentar el interés de los no miembros por su labor."	4
En el informe que aprobó el Comité Especial el 10 de marzo de 2000 (A/54/839) figura una serie de recomendaciones relativas a aspectos del Informe del Secretario General sobre la protección de los civiles en los conflictos armados (S/1999/957) y que tal vez pueda servir de referencia en los aspectos que se señalan más abajo.	4
Por consiguiente, la mayoría de las violaciones de los derechos humanos que tuvieron lugar esos dos días pueden describirse como una masacre en que unidades de las fuerzas de seguridad y las fuerzas paralelas que actuaban en coordinación o en connivencia con ellas perpetraron reiteradamente ejecuciones sumarias, torturas, desapariciones y detenciones arbitrarias.	1
Además, muchas víctimas informaron a la Comisión de que no tenían mayor confianza en la imparcialidad del sistema de justicia y su capacidad para someter a la justicia a los autores de los graves crímenes cometidos en Darfur.	3
En algunos casos en que el Comité consideró que la información disponible no era suficiente para adoptar una decisión sobre lo adecuado de mantener una entrada de la Lista, pidió al Equipo que recabara mayor información. Esto fue especialmente cierto en los casos en que se creía que una persona había fallecido pero se carecía de su certificado de defunción o documentación oficial equivalente.	4
En las consultas privadas que siguieron, los miembros del Consejo subrayaron la importancia de que se reanudaran las negociaciones israelo-palestinas y condenaron las acciones unilaterales, en particular la construcción de asentamientos en los territorios ocupados, que socavaban los esfuerzos del Cuarteto para encontrar una solución negociable del conflicto.	4
Los debates y las negociaciones sobre el modo de garantizar la rendición de cuentas por los crímenes con arreglo al derecho internacional han continuado desde hace años en Burundi, inclusive con las Naciones Unidas.	4
La presencia de personas fallecidas en la Lista es un grave obstáculo a su credibilidad, aunque las directrices del Comité estipulan que, para suprimir a una persona fallecida, el Comité necesita un certificado de defunción o un documento oficial análogo, así como una declaración oficial de que no figura en la Lista ningún beneficiario o copropietario legal de cualesquiera activos congelados.	0
a) Alentar a los Estados a fomentar la capacidad de sus regímenes de leyes relativas al blanqueo de dinero y a la lucha contra la financiación del terrorismo, centrándose especialmente en la regulación de los sistemas alternativos de envío de remesas y de las organizaciones sin fines de lucro;	4
El Consejo de Seguridad reconoce la importancia de ayudar a prevenir conflictos futuros haciendo frente a sus causas profundas de manera legítima y justa.	4
2) El infractor será castigado con pena de prisión de 8 a 15 años de duración, junto con el decomiso de bienes si el tribunal lo considera adecuado, o con una condena de carácter excepcional, si con el acto descrito en el párrafo 1 causare lesiones graves.	1
Otra esfera en la que la Dirección Ejecutiva considera que tiene margen para trabajar en el futuro es el mejoramiento de la integración de los enfoques de derechos humanos en los programas contra el terrorismo.	2
- Pedir el estricto cumplimiento por las partes en un conflicto armado de las normas aplicables del derecho internacional humanitario y de los derechos humanos y del derecho de los refugiados, incluso con respecto a:	4
El Consejo le agradece que haya acogido varios cientos de miles de refugiados en los últimos años.	2
"El Comité del Consejo de Seguridad establecido en virtud de la resolución 1267 (1999) relativa a Al-Qaida y los talibanes (en adelante denominado ""el Comité"") ha dado a los Estados Miembros muchas oportunidades de manifestar sus puntos de vista, ya sea de forma directa o por conducto del Equipo de Vigilancia."	4
Sufre además de una comprobada vulnerabilidad a la explotación indebida por los terroristas y quienes los apoyan para financiar actos de terrorismo.	0
La República Popular Democrática de Corea rechaza categóricamente la resolución relativa a los derechos humanos dirigida contra ella, urdida a partir de confabulaciones, infundios e información errónea, e impuesta por los Estados Unidos y otros países hostiles de manera despótica y arbitraria.	3
Las conclusiones de la Comisión confirmaron que las violaciones y la violencia sexual contra mujeres y niñas continuaron durante la huida y en las zonas de concentración de los desplazados.	1
En estrecha cooperación con los Comités del Consejo de Seguridad establecidos en virtud de las resoluciones 1267 (1999) y 1540 (2004) y de conformidad con su mandato, el Comité prestará especial atención a los Estados respecto de los cuales no se disponga de información sobre la aplicación de la resolución 1373 (2001) y examinará la mejor manera de resolver ese problema.	2
El régimen abjasio no ha escatimado esfuerzos para legalizar la imposición de un cambio demográfico como consecuencia de la depuración étnica y ha creado unas condiciones de vida insostenibles para los ciudadanos georgianos que han regresado al distrito de Gali.	1
"En una segunda categoría se encuentran las milicias que adoptan estructuras paramilitares y actúan de forma paralela a las fuerzas regulares, en particular los grupos denominados ""fuerzas de combate"", los muyahidines o los fursan (los jinetes)."	0
El Comité alienta a la Dirección Ejecutiva a que continúe con su análisis de cuestiones regionales y temáticas, con el propósito de informarlo tanto a él como a los Estados Miembros en general, teniendo en cuenta la evolución de la situación mundial y centrándose en temas clave como el uso y el abuso de las nuevas tecnologías de la información y las comunicaciones, la protección de los derechos de las víctimas del terrorismo, los nuevos problemas para el enjuiciamiento de los terroristas, la creación de alianzas estratégicas con los agentes no gubernamentales pertinentes (incluidos los grupos de mujeres y jóvenes, los líderes religiosos, los medios de comunicación y el sector privado), la protección de la infraestructura turística, los secuestros a cambio del cobro de rescates, la lucha contra el extremismo violento y los delitos cometidos para financiar el terrorismo.	4
"La inclusión financiera cumple varios propósitos, ya que reduce las corrientes de capital no controladas y aumenta la capacidad de los órganos encargados de hacer cumplir la ley y los órganos reglamentarios nacionales para ""seguir la pista del dinero""."	0
El último grupo se compone de los nuevos miembros que se han radicalizado o están en proceso de radicalizarse como consecuencia de los acontecimientos mundiales o de la actuación en sus comunidades de extremistas que ya han sido seducidos por el mensaje de Al-Qaida, e incluso a través de páginas o salas de charla en la red.	0
Cuatro Estados han firmado la declaración de intenciones para aplicar el Marco Normativo de la Organización Mundial de Aduanas con miras a garantizar la seguridad de la carga contra su utilización para fines terroristas, y tres ya se encuentran en una etapa avanzada de aplicación.	2
11. Alienta los esfuerzos por garantizar el desarrollo de la energía nuclear con fines pacíficos por los países que deseen mantener o desarrollar sus capacidades en ese ámbito en un marco que reduzca el riesgo de proliferación y respete las normas internacionales más estrictas en materia de salvaguardias y seguridad;	4
A pesar de que ha continuado ejerciéndose presión sobre los dirigentes de ambos grupos, la situación en el Iraq y otras zonas de conflicto ha mantenido al terrorismo en la primera línea de la actualidad internacional, sin que se haya registrado una disminución en el número de nuevos miembros.	0
f) Para cumplir su mandato, el Comité contará con la asistencia de la Dirección Ejecutiva, con la orientación normativa del Pleno.	2
Uno de esos grupos es el Movimiento Nacional de Reforma y Desarrollo (MNRD). El 6 de junio, el MNRD dio a conocer un manifiesto en el que declaraba que no era parte en el acuerdo de cesación del fuego concertado en abril entre el Gobierno, el Movimiento y Ejército de Liberación del Sudán y el Movimiento Justicia e Igualdad, y que iba a luchar contra el Gobierno.	3
Con el fin de verificar con mayor eficacia la aplicación de las resoluciones 1373 (2001) y 1624 (2005) por los Estados Miembros, la Dirección Ejecutiva seguirá haciendo un balance de la labor que llevan a cabo en relación con la aplicación de las resoluciones, utilizando los instrumentos de evaluación revisados de que dispone el Comité (la sinopsis de la evaluación de la aplicación y el estudio detallado de la aplicación); procurando determinar cuáles son los problemas y las necesidades de todos los Estados Miembros y las regiones; y facilitando la prestación de asistencia técnica específica a ese respecto.	2
En los Emiratos Árabes Unidos, la dependencia de la Inteligencia Central de Aduanas introduce información en los perfiles de riesgo que figuran en el sistema electrónico de despacho de aduanas.	2
El 18 de noviembre, el Consejo celebró una sesión informativa y consultas acerca de los informes del Secretario General sobre las actividades de la Misión de Asistencia de las Naciones Unidas para el Iraq (UNAMI) (S/2014//774) y la búsqueda de los nacionales de Kuwait y de terceros países desaparecidos y bienes kuwaitíes desaparecidos, incluidos los archivos nacionales (S/2014/776).	4
Establecimiento de mecanismos judiciales y extrajudiciales de rendición de cuentas en los países que salen de situaciones de conflicto que se ocupen, entre otros, de los delitos perpetrados contra mujeres; apoyo al establecimiento de grupos de magistrados o comisionados con representación equilibrada de ambos sexos en los tribunales o las comisiones de investigación.	2
Una estrategia de estas características debe disponer la forma en la que los Estados podrán, por un lado, adaptar las medidas de lucha contra el terrorismo que hayan aprobado para garantizar la protección de sus infraestructuras de base y sus ciudadanos y, por otro, responder frente a un atentado terrorista, a fin de mitigar los efectos de un incidente tal, asistiendo a las víctimas y estableciendo el orden público.	0
Por invitación del Presidente del Consejo Económico y Social, el Presidente del Consejo asistió a una reunión de grupos consultivos especiales sobre países africanos que salen de situaciones de conflicto (Burundi y Guinea-Bissau).	4
Al propio tiempo, la Presidenta Pillay hacer ver que los magistrados opinan que bien podría conferirse al Tribunal, juntamente con uno de estos mecanismos, una facultad limitada de ordenar el pago de indemnizaciones, con cargo a los recursos de un fondo fiduciario, a las víctimas que comparecen en calidad de testigos en los juicios que se sustancian ante el Tribunal.	0
En su décimo informe, el Equipo recomendó que a fin de aumentar la exactitud de la Lista y el impacto de la inclusión en ella, en el futuro, al tomar contacto con el Estado de residencia en el contexto de la revisión, el Comité solicite toda la información disponible sobre el paradero de las personas o entidades, sus circunstancias y actividades, así como un informe sobre cualesquiera otras medidas adoptadas para impedir que presten apoyo a actividades terroristas (S/2009/502, párr. 24).	4
Su filosofía de gestión está cambiando y se observa una mayor delegación de autoridad, una mayor transparencia en el proceso de adopción de decisiones y un mayor análisis en la planificación y conducción de las operaciones.	0
Asimismo, cuatro Estados han promulgado leyes en que se tipifica como delito que las personas o las organizaciones den cobijo a los terroristas y a quienes los apoyen.	2
Las víctimas de la trata de personas que están sujetas a ordenes de deportación siguen recibiendo asistencia por conducto del programa de albergues del componente de creación de instituciones.	2
b) La plantilla para la Dirección, que estará integrada por personas idóneas y experimentadas que serán funcionarios de la administración pública internacional sujetos a las disposiciones del Artículo 100 de la Carta de las Naciones Unidas, que tengan el más alto grado de eficiencia, competencia e integridad, y teniendo debidamente en cuenta la importancia de contratar al personal de forma de que haya la más amplia representación geográfica posible.	0
No estaba satisfecho con sus observaciones en el lugar del crimen pero esperaba que al día siguiente la situación mejoraría ya que se habrían distribuido las responsabilidades en la reunión celebrada más temprano.	3
Se trata de hechos vinculados a los ataques despiadados de Boko Haram, pero también hay denuncias preocupantes de violaciones de los derechos humanos cometidas por las fuerzas de seguridad.	1
En vista de lo anterior, la Comisión Nacional visitó varias zonas de los estados de Darfur en las que, según algunas denuncias, tenían lugar desplazamientos forzados o actos de depuración étnica.	4
En la República Árabe Siria, la posible relación entre el gran número de combatientes extranjeros afiliados a Al-Qaida y la creación por Jabhat al Nusrah de asociaciones basadas en un idioma común podrían dar lugar a la aparición de nuevas redes de extremistas panárabes y paneuropeas.	0
:: Pedir a las misiones que presten apoyo a los gobiernos anfitriones para hacer frente a la violencia sexual de forma explícita en los procesos de desarme, desmovilización y reintegración, los procesos de reforma del sector de la seguridad y las iniciativas de reforma del sector de la justicia, así como para elaborar y aplicar planes de acción concretos y con plazos determinados para luchar contra la violencia sexual relacionada con los conflictos.	4
La estrategia hace hincapié en el valor que el Comité y su Dirección Ejecutiva agregan a la lucha mundial de las Naciones Unidas contra el terrorismo, y permite informar a distintos sectores del público destinatario acerca de las iniciativas del Comité y las actividades de la Dirección Ejecutiva en todo el mundo.	2
Dadas las preocupaciones mencionadas anteriormente y la continua presencia y actividades de las milicias en el Líbano, mejorar la gestión y el control de las fronteras terrestres del país es fundamental para prevenir el flujo ilegal de armas a los grupos armados.	0
:: Proporcionará información a los Estados Miembros y las organizaciones internacionales que lo soliciten para ayudarlos a presentar ofertas o solicitudes de asistencia más efectivas, según proceda, con miras al cumplimiento de las obligaciones pertinentes con arreglo a las resoluciones 1540 (2004), 1673 (2006) y 1810 (2008), valiéndose de la matriz como instrumento de referencia para facilitar la asistencia técnica	2
El Consejo de Seguridad continúa gravemente preocupado por las actividades en la región del Sahel de organizaciones terroristas, entre ellas Al-Qaida en el Magreb Islámico y el Movimiento para la Unidad y la Yihad en África Occidental, y reitera su firme condena de los recientes atentados terroristas perpetrados en la región.	3
Reafirma su condena inequívoca de todos los actos, métodos y prácticas de terrorismo por ser criminales e injustificables, cualquiera que sea su motivación, en todas sus formas y manifestaciones, dondequiera se cometan y quienquiera que los cometa,	3
:: 22 de agosto de 2005: tres personas resultan heridas en una explosión en un garaje cerca del hotel Promenade en la zona de Al-Zalqa al norte de Beirut.	1
"En la misma resolución, el Consejo también estableció algunas exenciones de las medidas específicas. El 5 de diciembre de 2011, el Consejo de Seguridad aprobó la resolución 2023 (2011), en la que amplió las medidas restrictivas aplicadas a Eritrea en relación con el ""impuesto de la diáspora"" y el sector minero y los servicios financieros de ese país."	2
Desde la presentación de mi informe anterior al Consejo, lamentablemente sólo se han realizado progresos limitados en la aplicación de las disposiciones del Acuerdo de Pretoria sobre el proceso de paz en Côte d'Ivoire (S/2005/270, anexo I), de 6 de abril de 2005, y se han agudizado las grandes diferencias existentes en las posiciones de las partes.	0
Un Estado observó que la mejor manera de lograr este objetivo era inculcar un sentido de deber cívico y el reconocimiento de que la población debe comunicar sus inquietudes a las autoridades encargadas de hacer cumplir la ley.	0
Se han suministrado o se están suministrando a Kenya, Mozambique, Seychelles y la República Unida de Tanzanía sistemas de vigilancia marítima costera y sistemas de comunicaciones para que proporcionen una visión compartida del medio marítimo.	2
Ninguno de los testigos dijo que se hubieran lanzado volantes ni hecho anuncios por la radio o por conducto de los jefes tribales, ni que se hubieran utilizado aviones que volaran a baja altura sobre las aldeas para avisar a la población civil de un ataque inminente.	0
Ese plazo no se cumplió. El 20 de febrero de 2008, el Presidente Gbagbo firmó un decreto en que se formalizaba el establecimiento de un grupo de trabajo encargado de elaborar el marco.	2
Los guardias que vigilaban a la población utilizaban látigos como medio de control y humillación.	1
También pidió que se pusiera fin de inmediato a todo acto de violencia e instó a todas las partes a que actuasen con la máxima moderación y se abstuviesen de tomar represalias, incluidos ataques contra instituciones estatales.	4
Al-Qaida y sus afiliados utilizan componentes militares cuando pueden obtenerlos y civiles en otro caso para construir los DEI.	0
Teniendo en cuenta el regreso de los grupos terroristas, consideraba que la MINUSMA debía disponer de todo el equipo necesario para cumplir su mandato y proteger a la población del norte.	4
a) El jefe de la subdivisión en la Oficina de Asuntos de Desarme realiza un examen sustantivo del proyecto para verificar su coherencia;	2
No obstante, de no ser sumamente transparente -- lo que menoscabaría una de sus ventajas principales -- es improbable que ese mecanismo satisfaga las exigencias de un examen judicial eficaz e independiente.	3
Un alto funcionario del Gobierno a nivel provincial describió cómo el Gobierno, en una campaña inicial de reclutamiento de combatientes, había recurrido también a proscritos árabes y, tal como se ha indicado en otros informes, a personas condenadas por delitos penales.	0
Manifestaron preocupación por el uso amplio hecho de Internet por Al-Qaida y sus asociados, por la actitud irresponsable de algunos medios de difusión demostrada por la forma en que trataban cuestiones delicadas y por el uso de teléfonos satelitales por terroristas.	1
El Consejo de Seguridad acoge con beneplácito también las recientes mejoras introducidas en los procedimientos del Comité establecido en virtud de las resoluciones 1267 (1999) y 1989 (2011), en particular con respecto a la eficaz y valiosa labor de la Oficina del Ombudsman, establecida en virtud de la resolución 1904 (2009).	4
El ataque lanzado por el régimen de Etiopía en el día de hoy es una respuesta malintencionada a las peticiones de Eritrea.	1
A fin de identificar a los autores, la Comisión decidió que debía haber un corpus verosímil de antecedentes congruentes con otras circunstancias corroboradas que tienda a indicar que hay razones para sospechar que una persona está involucrada en la comisión de un crimen.	0
La transformación de la fuerza de la MONUSCO por sí sola no entrañará los cambios necesarios para que la Misión pueda cumplir su mandato con mayor eficacia. Debe cambiar el comportamiento de algunos de los países que aportan contingentes.	0
Por ejemplo, en 2009 Bhután estableció una unidad de fuerzas especiales de elite en su departamento de policía para combatir el terrorismo.	2
El Grupo de las Naciones Unidas para el Desarrollo colabora con los Comités Ejecutivos en aras del objetivo general de lograr la consolidación de la paz y formula políticas, directrices y procedimientos para mejorar la labor de la red de equipos de las Naciones Unidas en los países.	2
Las dos partes en el Acuerdo General de Paz nombraron agentes de coordinación para la cuestión de los niños y el conflicto armado.	2
No obstante, cabe señalar la calidad del apoyo prestado por las fuerzas francesas a la MINUSMA en varias esferas:	2
El jeque Yusuf Indohaade trasladó a milicias del aeródromo de Baledogle a posiciones situadas al noroeste de Jowhar.	0
Mauricio introdujo en 2009 un nuevo sistema de control fronterizo que registra en una base los datos de los pasajeros a su entrada o salida del aeropuerto internacional.	2
Existe material de asesoramiento disponible para ayudar a aplicar prácticas eficaces. En este contexto, destaca el documento sobre mejores prácticas del Grupo de acción financiera sobre el blanqueo de capitales sobre detección y prevención del transporte transfronterizo ilícito de efectivo e instrumentos negociables al portador, y las directrices de la OMA sobre lucha contra el blanqueo de dinero y la financiación del terrorismo.	2
Toda la evidencia concreta que se encontró en el lugar se entregó más tarde a las Fuerzas de Seguridad Interna (General Hisham Aouar) y, por lo que sabía el General Azar, había algunos fragmentos de metal y un revólver.	2
La cuestión de la proporcionalidad obviamente no se plantea en los casos en que no había grupos armados presentes en la aldea, pues el ataque se dirigió exclusivamente contra la población civil.	1
Al faltar dichas directrices, inclusive la determinación de criterios de selección de los casos por investigar y enjuiciar, los comités no dispusieron de orientación en cuanto a métodos adecuados para investigar los crímenes que constituyeran violaciones graves de los derechos humanos.	1
Tras la segunda batalla por el control de Baidoa, Habsade recibió de nuevo apoyo logístico de sus aliados en Mogadishu.	2
Para conseguir una repatriación sostenible y comunidades minoritarias viables, se necesitará un proceso más amplio de descentralización.	0
- Instar a los órganos regionales y/o subregionales competentes a que elaboren y apliquen políticas y realicen actividades y labores de promoción en beneficio de las mujeres y las niñas afectadas por un conflicto armado.	4
Durante el período que se examina, se desplegaron provisionalmente en Kidal activos de aviación de la MINUSMA para llevar a cabo operaciones de reconocimiento y vigilancia de los movimientos de los grupos armados, en particular en el valle de Tilemsi (región de Gao).	2
También dijo que el papel de la MINUSTAH debía ser ayudar a Haití para que volviera a hacerse cargo de su propia seguridad, en vez de que lo hiciera la Misión por tiempo indefinido y reafirmó que la resolución preveía una reducción responsable del componente militar de la MINUSTAH a lo largo del tiempo, que se basaba en una evaluación integral de la situación de seguridad.	4
El Consejo de Seguridad reafirma la importancia del principio de no devolución y del derecho de los refugiados a regresar voluntariamente a [el país afectado], y alienta a los países vecinos de [el país afectado] a que protejan a todas las personas que huyen de la violencia existente en [el país afectado], incluidos [los habitantes de una zona específica de la región]. Insta a todos los Estados Miembros a que, sobre la base de los principios de distribución de la carga, apoyen a esos países en la prestación de asistencia a los refugiados y a las comunidades afectadas ...	4
A partir de ese momento todos los recursos disponibles de las Fuerzas de Seguridad Interna, excepto los que estaban ocupados trabajando en el lugar del crimen, se centraron en la pista de Abu Adass.	0
Los progresos alcanzados en esta esfera permitirán que el año próximo los centros de seguridad pública de la República Srpska y la administración de policía de la Federación de Bosnia y Herzegovina funcionen con una metodología fiscal mejorada.	2
Con el fin de facilitar el examen por el Consejo de Seguridad, cuando corresponda, de las cuestiones relativas a la protección de los civiles en sus deliberaciones sobre el establecimiento, la modificación o la terminación de operaciones de mantenimiento de la paz, los miembros del Consejo sugirieron que se redactara, en estrecha cooperación con el Consejo, un aide-mémoire en el que se enumerasen las cuestiones pertinentes a ese respecto.	4
Si bien el mando de las FFDTL ha hecho hincapié en la importancia de la cadena jerárquica de mando para estudiar las quejas, al parecer no ha habido un procedimiento establecido y detallado que regulase el modo de atender y examinar oficialmente dichas quejas.	3
Instaron una vez más a las partes afganas a que colaboraran en pro de la paz y la creación de un gobierno multiétnico, de base amplia y plenamente representativo.	4
Incursiones, allanamientos y arrestos sin órdenes de detención	1
El Consejo de Seguridad, por su resolución 1575 (2004), de 22 de noviembre de 2004, pidió a los Estados Miembros que, por conducto de la Unión Europea o en cooperación con ella, le informaran sobre la actividad de la misión militar de la Unión Europea en Bosnia y Herzegovina (EUFOR), por los cauces apropiados y al menos cada tres meses.	4
Un Estado observó que, si bien la labor de lucha contra el terrorismo a nivel mundial había debilitado sustancialmente la dirección de la organización Al-Qaida, la amenaza procedía ahora de grupos afiliados a ella pero independientes de la organización básica, así como de personas afectadas por la ideología de esos grupos y por su incitación a la violencia. Varios Estados destacaron que el terrorismo no debe asociarse con ninguna religión, nacionalidad, civilización o grupo y que la amenaza terrorista deriva de fuentes múltiples, incluidos los grupos extremistas de tendencia derechista y xenófoba.	3
El Comité dijo que el Gobierno intentaba proteger a la población civil, que no organizaba operaciones militares contra los civiles y que sólo atacaba a los rebeldes.	2
Cabe recordar que Jean-Pierre Bemba, después de haber desmentido en un principio las denuncias y haberlas caracterizado de campaña de calumnias orquestada por sus enemigos, admitió la veracidad de los cargos y prometió enjuiciar a los presuntos autores de esos delitos.	4
Asimismo, el 8 de mayo de 2006, el Ministro del Interior Lobato ordenó al Comandante de la Unidad de Patrulla Fronteriza (UPF), Antonio da Cruz, que hiciera entrega en su residencia de 15 fusiles de asalto semiautomáticos HK33, que formaban parte de los 180 fusiles HK33 distribuidos legalmente a la UPF.	0
Una solución parcial podría consistir en imponer limitaciones de tiempo para comunicar los motivos. Esto sería coherente con el proceso de la Oficina del Ombudsman en general, a lo largo de todo el cual rigen plazos estrictos.	4
Las unidades de policía constituidas se encargan de proporcionar capacidad antidisturbios, en caso de que se produzcan manifestaciones ilegales o violentas, y de proteger al personal, las instalaciones y las propiedades de las Naciones Unidas en sus respectivas zonas de responsabilidad.	2
Landmine Action también enseña a los residentes a reconocer los artefactos explosivos.	2
Sin duda perecieron en el combate soldados de ambas partes y, con toda probabilidad, primero las fuerzas rebeldes y luego las gubernamentales cometieron actos de represalia.	1
Además, el punto focal encargado de las solicitudes de supresión de nombres de la Lista, establecido en virtud de la resolución 1730 (2006) del Consejo de Seguridad, puede aceptar la solicitud de supresión de un nombre presentada por la familia de una persona listada fallecida, o por su representante, y gracias a ello ha resultado más fácil para los herederos legítimos (no listados) de una persona fallecida conseguir que se tramite su solicitud cuando ningún Estado está dispuesto a actuar en su nombre.	4
"Con ese dinero, paga mensualmente a los miembros de milicia, a su ""círculo próximo"" (asesores y asociados más íntimos) y a los notables del clan, y compra armas."	0
Por otra parte, se propuso también el intercambio de información en materia de cooperación interinstitucional, aplicación de medidas coercitivas, planificación voluntaria de la aplicación y datos cronológicos, entre otras opciones, a fin de que el Comité tenga un mejor conocimiento de las medidas de aplicación adoptadas a nivel nacional de conformidad con lo dispuesto en la resolución 1540 (2004).	4
En nombre del Comité del Consejo de Seguridad establecido en virtud de la resolución 1540 (2004), tengo el honor de comunicarle que el Comité ha acordado celebrar una reunión abierta, según lo previsto en su informe sobre las modalidades para realizar un examen amplio del estado de aplicación de la resolución 1540 (2004) elaborado con arreglo a lo dispuesto en el párrafo 8 de la resolución 1810 (2008) (S/2009/170).	4
Acogiendo con beneplácito la labor que el Gobierno del Iraq sigue realizando en pro de un Iraq federal, democrático, pluralista y unificado donde se respeten plenamente los derechos humanos,	4
Sin embargo, los ataques y los bloqueos generalizados por parte de grupos y partidos políticos y otras agrupaciones armadas y no armadas han perturbado las actividades humanitarias y el acceso a los servicios de salud y educación: buena parte de estos trastornos han ocurrido en el Terai.	1
Esas reuniones también se utilizarán para examinar asuntos generales de interés para la labor del Comité con miras a impulsar un enfoque más creativo y dinámico de la labor de la Dirección Ejecutiva y generar nuevas ideas sobre el modo en que la Organización podría encarar con mayor eficacia la cambiante amenaza terrorista.	4
:: El 15 de noviembre de 2014, unos helicópteros del régimen lanzaron una bomba de barril contra la mezquita Omar ibn al-Khattab en Alepo, y causaron daños importantes.	1
Acogiendo con beneplácito el aumento de la cooperación y el intercambio de información entre la UNAMID y el Grupo de Expertos, facilitado por las directrices del Departamento de Operaciones de Mantenimiento de la Paz y la decisión de la UNAMID de establecer un coordinador para facilitar el intercambio de información con el Grupo de Expertos en relación con el embargo de armas,	4
Son varios los Estados que aún no han puesto en marcha procedimientos para identificar y congelar sin demora los activos de terroristas.	1
Se insta a los Estados a que informen al Comité de las políticas y los controles que están implantando o que ya aplican en estos ámbitos.	0
No obstante, dispone de información suficiente para afirmar que se cometieron actos de violencia contra la vida y la integridad de los detenidos en los incidentes que investigó.	1
Los desvíos ilegales en la frontera administrativa y las actividades de contrabando siguieron siendo un problema durante este período.	1
Se ha informado de que, durante los ataques, los Janjaweed destruían los enseres domésticos, los utensilios utilizados para elaborar los alimentos, los recipientes de agua y otros artículos esenciales para la subsistencia de los habitantes.	1
La Comisión considera que el Ministro del Interior y el Comandante General hicieron caso omiso de los procedimientos institucionales al transferir armas en forma irregular dentro de la institución;	1
El Consejo de Seguridad subraya que la estabilidad y la seguridad siguen siendo fundamentales para las actividades de reconstrucción política y económica del Gobierno de Transición y la comunidad internacional.	4
Dadas las cuantiosas transferencias de remesas de los trabajadores a la subregión y el uso muy difundido en la región de recurrir a mecanismos de transferencia informales no bancarios, reviste importancia prioritaria que se adopten medidas para reglamentar los sistemas alternativos de envío de remesas e impedir la utilización indebida de las organizaciones sin ánimo de lucro para esos fines.	2
El 8 de mayo participantes en una manifestación en Gleno atacaron a dos agentes desarmados de la UIR de la región oriental, según se describe en los párrafos 61 a 63.	1
El General Guéï, antiguo jefe de la junta militar, fue ejecutado junto con siete personas de su entorno.	1
