ar	MatCoop
12 - وفي ما يتعلق بضوابط الحدود والتصدير، بدأ نفاذ قانون ماليزيا للتجارة الاستراتيجية لعام 2010 في 1 كانون الثاني/يناير 2011، واعتمدت فنلندا قانونا جديدا للرقابة على الصادرات.	1
وسرعان ما وضعت حكومة مالي المستشفى تحت الحجر الصحي، وساعدت وحدات الشرطة المشكلة التابعة للبعثة المتكاملة السلطات المالية في توفير الأمن حول المستشفى.	1
69 - استحدثت خمس دول في المنطقة دون الإقليمية قوانين تمكن من تسليم الإرهابيين، فيما أنشأت ست دول آليات فعالة في مجال تبادل المعلومات.	1
مجالات التقييم 25 - أصدرت جميع الدول التي زارتها اللجنة تشريعات تسند إلى سلطاتها في مجالات القضاء والنيابة العامة وإنفاذ القانون الاختصاصات اللازمة لمكافحة الإرهاب.	1
يعيد تأكيد أهمية أن تواصل حكومة [البلد المعني] استعراض قطاع الأمن في [البلد المعني] وإصلاحه، وبخاصة ضرورة تحديد أدوار ومسؤوليات [قوات الأمن الوطني في البلد المعني]، وترسيخ الأطر القانونية وتعزيز آليات الإشراف المدني على المؤسستين الأمنيتين وآليات المساءلة فيهما، ويدعم الجهود التي تبذلها الممثلة الخاصة من أجل التأهيل المهني لقطاع الأمن، ويطلب إلى [البعثة] أن تواصل دعم [حكومة البلد المعني]، على النحو المطلوب، في الجهود التي تبذلها في البلد؛	0
19 - يطلب إلى فريق الخبراء أن يواصل تنسيق أنشطته، حسب الاقتضاء، مع أنشطة العملية المختلطة للاتحاد الأفريقي والأمم المتحدة في دارفور ومع الجهود الدولية الرامية إلى تعزيز العملية السياسية في دارفور، وأن يقدم في تقريريه المرحلي والنهائي تقييما للتقدم المحــرز نحو الحد من انتهاكات جميع الأطراف للتدابير المفروضة بمقتضى الفقرتين 7 و 8 من القرار 1556 (2005)، والفقرة 7 من القرار 1591 (2005)، والفقرة 10 من القرار 1945 (2010)، وللتقدم المحرز نحو إزالة العقبات التي تعيق العملية السياسية، والتهديدات التي تواجه الاستقرار في دارفور وفي المنطقة، وانتهاكات القانون الدولي الإنساني أو الانتهاكات أو التجاوزات في مجال حقــوق الإنســان، بما في ذلك الاعتداءات على السكان المدنيين، والعنــف الجنســي والجنساني، والانتهاكات والتجاوزات الجسيمة الأخرى المرتكبة في حق الأطفال، وسائــر انتهاكات القــرارات المذكــورة أعلاه، وأن يـــزود اللجنـــة بمعلومات عـــن الكيانــات والأفراد الذين يستوفون معايــير الإدراج فــي القائمـــة الــواردة فــي الفقــرة 3 (ج) من القرار 1591؛	1
٥ - وقد حقق المجتمع الدولي نجاحا كبيرا في جهوده لمكافحة القرصنة الصومالية بفضل التعاون الوثيق بين الدول والمناطق والمنظمات وقطاع النقل البحري والقطاع الخاص والمؤسسات الفكرية والمجتمع المدني، وفيما بين كل منها.	1
:: الطلب إلى البعثة بأن تقوم، بالتعاون مع الكيانات المعنية في فريق الأمم المتحدة القطري، بإنشاء وتنفيذ آلية للرصد والإبلاغ على الصعيد القطري بشأن الانتهاكات الخطيرة المرتكبة ضد الأطفال، عملاً بالقرار 1612 (2005).	0
وفي عام 2009، عزز الاتحاد الروسي العقوبات المفروضة على من ساعد أو شارك في نشاط إرهابي (بما في ذلك التجنيد)، وقدم مشروع قانون لتعزيز المسؤولية الجنائية عن الجرائم المتصلة بالإرهاب.	1
24 - ستنظر اللجنة في المعلومات المقدمة من المديرية التنفيذية بشأن مواصلتها إيلاء عناية فائقة للقرار 1624 (2005) في سياق حوارها مع الدول الأعضاء؛ وعملها مع تلك الدول الأعضاء، وفقا لالتزاماتها بموجب القانون الدولي، على وضع استراتيجيات تشمل التصدي للتحريض على ارتكاب أعمال إرهابية بدافع التطرف والتعصب المقترنين بالعنف؛ وتيسيرها لتقديم المساعدة التقنية لتنفيذ القرار 1624 (2005).	0
ولم يتم التقيد بذلك الموعد. وفي 20 شباط/فبراير 2008، وقع الرئيس غباغبو مرسوما يقضي رسميا بإنشاء فريق عامل لوضع هذا الإطار.	1
17 - ونحن نؤمن بأن هذه الخطوات تشكل معا الأساس اللازم للأخذ بنهج استراتيجي إزاء تعزيز قوات السلام في الصومال. ومن شأن هذا النهج أن يكمل التدابير التي اتخذها مجلس الأمن بالفعل لاحتواء النزاع.	1
وإدراكا منه لما يطالب به الشعب اللبناني من تحديد هوية جميع المسؤولين عن التفجير الإرهابي الذي أدى إلى مقتل رئيس وزراء لبنان السابق رفيق الحريري وآخرين، ومحاسبتهم عليه،	0
وإثر تحقيق مضن، تيقنت حكومة الولايات المتحدة من أن أحمد أبو ختالة كان شخصا رئيسيا في تلك الهجمات المسلحة.	1
وإضافة إلى ذلك، نُشر فريق للأمم المتحدة معني بالتقييم والتنسيق في حالات الكوارث في أوائل كانون الأول/ديسمبر لفترة ثلاثة أسابيع لدعم الحكومة في إنشاء مركز عمليات معني بفيروس إيبولا ولإنشاء آليات لتيسير التنسيق بين الحكومة والشركاء.	1
وتوجد قوانين تنظم أنشطة المنظمات الخيرية والمنظمات التي لا تستهدف الربح ولكن لم تقم الدول كلها بمراجعة أطرها القانونية لمنع استغلال قطاع المنظمات التي لا تستهدف الربح في تمويل الإرهاب.	0
37 - وتشجع اللجنة مديريتها التنفيذية على مواصلة التركيز على تنفيذ القرار 1624 (2005)، بسبل منها إيلاء الاهتمام الواجب للمسائل ذات الصلة، مثل دور تكنولوجيات المعلومات والاتصالات الجديدة، وتعزيز الحوار، بما في ذلك على الصعيد الوطني، من أجل تعزيز التسامح والتنوع والشمول، وإقامة شراكات استراتيجية بين الحكومات والأطراف الفاعلة غير الحكومية، وتحديد الأدوار لضحايا الإرهاب، ومنع تخريب المؤسسات على يد الإرهابيين وأنصارهم.	0
ويجمع البرنامج معلومات على المستوى الوطني عن جميع الأشخاص الذين اعتقلوا أو يشتبه في ضلوعهم في جرائم متدنية المستوى من قبيل تزوير بطاقات مصرفية/ائتمانية أو تتعلق بوثائق السفر.	1
وطالما لا تفرض الدول على الأفراد المدرجة أسماؤهم في القائمة الالتزام بحظر السفر، فسيعتبرون أن التحايل على الحظر أمر لا يحمل مخاطر تُذكر.	0
وفي تلك الأثناء، يجرى تعبئة الموارد، بدعم من عملية الأمم المتحدة في كوت ديفوار واليونيسيف وبرنامج الأغذية العالمي، من أجل رد الاعتبار وإعادة إدماج ما مجموعه 511 من الجنود الأطفال، بينهم 204 فتيات أُخلي سبيلهن وسُلّمن لليونيسيف من قبل قيادة القوى الجديدة.	1
ويفرض قرار مجلس الأمن 1373 (2001) بالفعل التزامات على الدول بأن تتخذ إجراءات معينة لقمع الإرهاب ووضع حد لتجنيد أعضاء الجماعات الإرهابية، ومنع تحركات الإرهابيين، وتقديم الإرهابيين إلى العدالة.	1
إن إنشاء وزارتين للعدل والداخلية، في مجتمع منقسم على نفسه إلى حد بعيد، ولا يزال يستجمع قواه بعد انتهاء فترة الصراع، يمكن أن يولّد انطباعا بأنهما تخضعان لسيطرة حزب سياسي واحد أو طائفة إثنية واحدة.	1
وأفيد أن حركة الشباب استطاعت أن تحصل على دعم من الشبكات الإرهابية الدولية الأخرى.	0
في 5 تشرين الثاني/نوفمبر 2014، شنت طائرات النظام الحربية خمس غارات جوية استهدفت بلدة كنصفرة بريف إدلب.	0
:: تأدية دورها كاملا في الحلقات الدراسية والأنشطة الإقليمية التي تسهم في زيادة الوعي وتشجيع تنفيذ القرار 1540 (2004) وزيادة بذل الجهود الرامية إلى إذكاء وعي البرلمانيين وغيرهم من صانعي القرارات الرفيعي المستوى	0
"وأشاروا إلى أن توافر وسائل مناسبة ومرنة لدعم السلام في الفترات الانتقالية ولأنشطة احتواء الأزمات، مثل حماية المدنيين، بمن فيهم موظفو الأمم المتحدة وأفراد المساعدة الإنسانية، ونزع سلاح المقاتلين السابقين وتسريحهم وإعادة إدماجهم، وإنهاء الإفلات من العقاب، وبناء المؤسسات العامة، وإقامة العدل في الفترات الانتقالية، فضلا عن تعزيز حقوق الإنسان وحمايتها، وتعميم مراعاة المنظور الجنساني، كلها أمور لا غنى عنها لضمان إحلال سلام دائم بعد انتهاء الصراع.	1
كذلك ينبغي إلغاء الحصانات الممنوحة حاليا لبعض الموظفين العموميين الآخرين مثل أفراد الشرطة، بالنسبة لانتهاكات حقوق الإنسان.	0
58 - وحتى يتسنى تحقيق العودة المستدامة وإيجاد مجتمعات للأقليات قادرة على الاستمرار، ثمة ضرورة للقيام بعملية تطبيق اللامركزية. وستحسن هذه العملية من قدرة الطوائف غير الألبانية في كوسوفو على حماية هوياتها وسُبل عيشها، وبناء الثقة في المستقبل، وتشجعهم على القيام بدور أكثر إيجابية في مؤسسات كوسوفو الإدارية.	1
كما ستضع الأساس لآلية فعالة لمراقبة الأسلحة النارية، مما يمكن أن يساعد السلطات في إدارة حيازة الأسلحة.	1
الأولى هي أن المحكمة أنشئت وفي الحسبان الجرائم التي يحتمل أن تكون تهديدا للسلم والأمن.	1
وينبغي تطوير قدرات كافية في المجالات الرئيسية لاحتواء الأزمات مدنيا، مثل الشرطة والعدل وسيادة القانون وإعداد العمليات الانتخابية، والمراقبة الانتخابية، والحماية المدنية، والإدارة العامة.	1
وقد أجرى فريق الوساطة مناقشات ثنائية مع الحكومة ومجلس التنسيق الذي يتألف من الحركة الوطنية لتحرير أزواد والمجلس الأعلى لوحدة أزواد والحركة العربية لأزواد، وانضم إليهما أشخاص من مجلس التنسيق الثاني للحركات والقوات الوطنية للمقاومة، وفصيل تابع لائتلاف الشعب من أجل أزواد، من جهة، ومن جهة أخرى، مع الحكومة والجماعات المسلحة لائتلاف الخطة التمهيدية الذي يضم مجلس التنسيق الأول للحركات والقوات الوطنية للمقاومة وائتلاف الشعب من أجل أزواد والفصيل الآخر للحركة العربية لأزواد، فضلا عن أفراد من مجموعة طوارق إمغاد وحلفائهم للدفاع الذاتي (غاتيا) دعاهم ائتلاف الخطة التمهيدية.	0
وتفيد التقارير بأن عناصر تلك القوات قد تشتت في جنوب كيفو، وأن قدرتها على الحركة بحرية في المراكز السكانية ومهاجمة المدنيين أصبحت مقيدة ومع ذلك، لا ينبغي الاستهانة بقدرتها على شن هجمات، لا سيما في ظل محدودية موارد القوات المسلحة لجمهورية الكونغو الديمقراطية وضعف تدريبها العسكري وعدم انضباط بعض وحداتها في تلك الجهة وتواطئها أحيانا مع قادة القوات الديمقراطية لتحرير رواندا.	0
وإني لعلى استعداد للعمل بشكل وثيق مع مجلس الأمن، جماعيا، ومع أصحاب المصلحة، كل على حدة، لإيجاد حل لهذه الأزمة الخطيرة، ولإتمام عملية السلام على نحو سريع، وإعادة تحريك الأنشطة الإنسانية الحيوية في إريتريا.	0
4 - وأُنشئت اللجنة بموجب قرار مجلس الأمن 1518 (2003) المؤرخ 24 تشرين الثاني/نوفمبر 2003 لكي تواصل، وفقا للفقرتين 19 و 23 من القرار 1483 (2003)، تحديد أسماء الأفراد والكيانات الذين ينبغي تجميد أموالهم وغيرها من أصولهم المالية ومواردهم الاقتصادية ونقلها إلى صندوق التنمية للعراق.	1
وتتطلّب أعمال التحقيق والمقاضاة في القضايا التي تدخل فيها عناصر متصلة بطرق الدفع الجديدة مستوى عال من المهارة التقنية وتحرّكا سريعا من جانب السلطات. وهي تتطلّب كذلك أشكالا محسّنة من التعاون الدولي، وخاصة في مجال الاحتفاظ بالأدلة الإلكترونية.	1
والحالة على أرض الواقع مثيرة للقلق أيضا من الناحية الإنسانية ويؤكد الأمين العام أن العراق يمر بأزمة كبيرة، وصرح بأن الحالة آخذة في التدهور.	0
٢١ - وأكدت الحكومة الكونغولية أنها ستتقيد بالموعد النهائي 2 كانون الثاني/يناير 2015.	0
وإضافة إلى ذلك، يطبق الاتحاد الأوروبي نظاما فوق وطني يرمي إلى كفالة تجميد أموال الإرهابيين وأصولهم داخل جميع دوله الأعضاء.	1
إن ما يتعين على الجميع فعله هو رفض الأصوات المتشددة التي تجد راحة في الطرق القديمة، وتعتقد أنه من المستحيل للصرب والألبان تطبيع علاقاتهم بالتوصل إلى حل توفيقي تاريخي.	0
ويتناول هذا المنهج مسائل حقوق الإنسان التي عادة ما تطرح في مختلف مراحل إجراءات العدالة الجنائية في قضايا الإرهاب.	1
إلا أنه وبعد عدد من سنوات الحرب ونتيجة لضغط دولي قوي، دخلت الحكومة وحركة التمرد الرئيسية في الجنوب، وهي الحركة الشعبية لتحرير السودان/الجيش الشعبي لتحرير السودان، في محادثات للسلام في عام 2002.	1
4 - وسعياً إلى مواصلة تعزيز أنشطة الرصد المتعلقة بتنفيذ الدول الأعضاء لقراري مجلس الأمن 1373 (2001) و 1624 (2005)، ستواصل المديرية التنفيذية استعراض جهود التنفيذ التي تبذلها تلك الدول، باستخدام أداتي التقييم المنقحتين الخاصتين باللجنة (وهما استقصاء التنفيذ المفصل والاستعراض العام لتقييم التنفيذ)، وتحديد التحديات التي تواجهها جميع الدول الأعضاء والمناطق واحتياجاتها، وتيسير تقديم مساعدة تقنية محددة الأهداف في هذا الصدد.	1
وبناء على طلب القيادة العليا للقوات الجديدة، أنشئ فريق عامل يتألف من قوات محايدة ومن القوات الجديدة لوضع خطة تشغيلية لتجميع قواتها.	1
"ويشير مجلس الأمن إلى التزام حكومة تشاد، المبين في الرسالة المرسلة إلى رئيس مجلس الأمن والمؤرخة 7 أيلول/سبتمبر 2010 (S/2010/470) بتحمل المسؤولية الكاملة عن أمن وحماية السكان المدنيين في شرق تشاد، بما فيهم اللاجئون والمشردون داخليا والعائدون والمجتمعات المحلية المُضيفة، مع التركيز بشكل خاص على النساء والأطفال، وموظفو الأمم المتحدة وأصولها والعاملون في المجال الإنساني، وفقا لالتزاماتها بموجب القانون الإنساني الدولي وقانون حقوق الإنسان وقانون اللاجئين.	1
إشراك المرأة، وممثلي المجتمع المدني، بواسطة إنشاء لجان متوازنة جنسانيا لمنع نشوب الصراعات.	0
377 - ويحظر التعذيب والمعاملة القاسية بموجب المادة العامة 3 من اتفاقيات جنيف.	1
واستمع المجلس والبلدان المساهمة بقوات وأفراد الشرطة إلى إحاطات قدمها إدموند ميليه الأمين العام المساعد لشؤون عمليات حفظ السلام وأبهيجيت غوها نائب المستشار العسكري، وأندرو كاربنتر المستشار المعني بشؤون الشرطة بالإنابة.	0
ولدى خمس من الدول تدابير كافية لقمع تجنيد الإرهابيين، في حين لا تملك أربع دول أي تدابير من هذا النوع.	1
405 - وحتى في الحالات التي تتحلل فيها دولة ما تحللا شرعيا من بعض أحكام العهد، فإن حظر الاحتجاز غير المعترف به أو احتجاز الرهائن أو حالات الاختطاف، يكتسي صبغة مطلقة.	1
وخلال الشهور الثلاثة الماضية، أجرت وحدة التحقيقات الخاصة المشتركة للبعثة التحقيق في ما لا يقل عن أربع من حالات الادعاء بارتكاب الإعدام بإجراءات موجزة.	1
وبالإضافة إلى ذلك، ستواصل البعثة حماية موظفي الأمم المتحدة وأصولها وللقيام، وفقا لولايتها الحالية، وشريطة توفير الأصول الكافية من الطيران للتصدي لأعمال العنف التي تشكّل تحدّيا أمام حماية المدنيين خلال فترة الانتخابات.	1
٦٧ - وأجدد دعوتي إلى الإفراج الفوري وغير المشروط عن جميع الملاحين الأبرياء المحتجزين كرهائن في الصومال، لكي يتمكنوا من الانضمام إلى أسرهم.	0
وإذ يشيـر إلى الحق في حرية التعبيـر المنصوص عليه في المادة 19 من الإعلان العالمي لحقوق الإنسان الذي اعتمدته الجمعية العامة في 1948 (''الإعلان العالمي``)، وإذ يشيـر أيضا إلى الحق في حرية التعبيـر المنصوص عليه في المادة 19 من العهد الدولي الخاص بالحقوق المدنية والسياسية الذي اعتمدته الجمعية العامة في 1966، وإلى أن أي قيـود تفرض في هذا الصـدد يجـب ألا تتجـاوز القيـود المفروضـة بنص القانـون وأن تكون ضرورية للأسبـاب المبـيـنـة في الفقرة 3 من المادة 19 من العهد الدولي الخاص بالحقوق المدنية والسياسية،	0
والتحديات الاجتماعية والاقتصادية التي تواجه أفغانستان كبيرة.	0
ورحب ممثل إسرائيل باعتماد القرار وأكد على ضرورة بذل المزيد من الجهود من أجل التنفيذ الكامل لأحكام القرار 1701 (2006)، بما في ذلك ما يتعلق منه بنزع سلاح وتفكيك حزب الله وغيره من المليشيات.	0
120 - ولا تزال هناك أنشطة وقعت في شارع ميناء الحصن، سابقة للانفجار، تحتاج إلى مزيد من التحقيق، ويمكن لها أن توضح تفاصيل من مرحلة التخطيط، ومن ثم تقود إلى المرتكبين.	0
وإذ يرحب بإدماج المرأة في بعثات حفظ السلام لتتولى وظائف مدنية وعسكرية ووظائف الشرطة، وإذ يدرك بأن النساء والأطفال المتضررين من النزاع المسلح قد يشعرون بأمان أكثر إذا عملوا مع نساء في بعثات حفظ السلام وأبلغوهن بالانتهاكات، وبأن وجود حفظة سلام من النساء قد يشجع النساء المحليات على المشاركة في القوات المسلحة وقوات الأمن الوطنية، بما يسهم في بناء قطاع أمني يتاح الوصول إليه ويستجيب للجميع، ولا سيما النساء.	1
ويعرب مجلس الأمن مرة أخرى عن دعمه الكامل للقوة المتعددة الجنسيات التابعة للجماعة الاقتصادية والنقدية لوسط أفريقيا، ويدعو إلى مواصلة إعادة تشكيل قوات الدفاع والأمن بجمهورية أفريقيا الوسطى.	0
والواقع أن كثيرا من القوانين السارية في السودان اليوم تتعارض مع معايير حقوق الإنسان الأساسية.	0
38 - قدمت عدة دول في منطقة آسيا دعما فعالا لتطوير مضامين مضادة، بما في ذلك لاستخدامها عبر شبكة الإنترنت لدحض العيوب الفكرية والدينية التي تقوم عليها الأيديولوجيات الإرهابية.	1
واعتُبر الدعم اللوجستي المقدم إلى القوات المسلحة لتنفيذ عمليات مشتركة، وفق سياسة بذل العناية الواجبة في مراعاة حقوق الإنسان، ضرورياً لتنفيذ عمليات عسكرية فعالة والمحافظة على إرادة القوات المسلحة لجمهورية الكونغو الديمقراطية أن تقاتل وأن تتعاون مع البعثة.	1
بــاء - الخطر الذي يشكله تنظيم القاعدة وحركة الطالبان	0
وفي رأي المنسق، وهو رأي يشاطره محاوروه، قد تصبح هذه البعثات محور آلية عملية فعالة تحدد مقاييس مرجعية واضحة للتقدم المحرز في البحث عن المفقودين، على النحو المشار إليه في تقريري الشامل (S/2009/190، الفقرة 16).	0
وحرية حركة قوة الأمم المتحدة وأمن موظفيها وسلامتهم جزء لا يتجزأ من التنفيذ الفعّال لولاية القوة.	1
ويمكن بالتالي بحسب ملابسات كل حالة على حدة، وفي إطار مبدأ العمل الإجرامي المشترك، الاشتباه في أن هؤلاء الأشخاص ارتكبوا جريمة ضد الإنسانية بقتل مدنيين؛ والقيام بالتشريد القسري وجرائم حرب بقيامهم بهجمات عشوائية على المدنيين وتدميرهم أهدافا مدنية.	0
(م) إجراء دراسة عن الطبيعة المتغيرة للتهديد الذي يشكله تنظيم القاعدة وحركة طالبان وعن أفضل التدابير لمواجهته، بما في ذلك بإقامة حوار مع الباحثين والهيئات الأكاديمية المختصة، بالتشاور مع اللجنة، وتقديم تقرير عن ذلك إلى اللجنة؛	0
3 - واصلت البعثة بقيادة مبعوثتي الخاصة بذل جهودها لتعزيز الاستقرار في منطقة الصراع والمضي قدما بالحوار بين الجانبين الأبخازي والجورجي فيما يتعلق بالمسائل السياسية والأمنية، وعودة المشردين داخليا واللاجئين، والتعاون الاقتصادي، على نحو ما أيدته الاجتماعات الرفيعة المستوى لمجموعة الأصدقاء في جنيف التي ترأستها الأمم المتحدة (انظر S/2003/412، الفقرة 3).	1
وشكلت النساء والأطفال 22 في المائة من الخسائر في الأرواح.	0
وفقا للفقرة 32 من هذا القرار، يعمل فريق الرصد بتوجيه من اللجنة المنشأة عملا بالقرار 1267(1999) ويضطلع بالمسؤوليات التالية:	1
ويحث [السلطات الوطنية] على اتخاذ جميع التدابير اللازمة لحماية حقوق الإنسان ووضع حد للإفلات من العقاب والبدء في إجراء تحقيقات لمعرفة هوية مرتكبي مثل تلك الأعمال وإحالتهم إلى العدالة واتخاذ إجراءات لحماية الشهود من أجل ضمان مراعاة الأصول القانونية؛ ويحثها على اتخاذ خطوات للتخفيف من مناخ الخوف الناجم عن القيود المفروضة على حرية التعبير وحرية التجمع؛	0
27 - وفي عدة مناسبات، أعربت عن اقتناعي الراسخ بأن نزع سلاح حزب الله والميليشيات الأخرى يمكن أن يتحقق على أفضل نحو من خلال عملية سياسية بقيادة لبنانية يكون من شأنها تحقيق الهدف النهائي المتمثل في عدم وجود أي أسلحة أو قوات مسلحة في لبنان باستثناء تلك التي تتبع للدولة اللبنانية.	1
كذلك ناقش الرئيس عباس ورئيس الوزراء السنيورة إقامة حوار لبناني - فلسطيني بشأن الرفاه الاجتماعي والاقتصادي، والأمن، وتمثيل اللاجئين الفلسطينيين في لبنان.	0
وفي الوقت نفسه، تذكر الرئيسة بيللاي أن القضاة يرون إمكانية إناطة المحكمة على النحو الملائم، بالاقتران مع إحدى تلك الآليات، بسلطة محدودة بإصدار أمر دفع تعويض من صندوق استئماني إلى الضحايا الذين يمثلون أمامها كشهود في المحاكمات التي تجريها.	1
وقد أصبح من الواضح كما لوحظ أعلاه، أن تدابير مكافحة الإرهاب تكون على أقصى درجة من الفعالية عند تنفيذها في سياق استراتيجية واسعة النطاق تتضمن إيلاء اهتمام إلى العوامل التي تسهم في التطرف، بما في ذلك كفالة منع الضالعين في تجنيد الجماعات الإرهابية أو التحريض على الأعمال الإرهابية أو إثنائهم عن ذلك.	1
ومنح تفويضات التماسية وقرر التدابير التي ينبغي اتخاذها، ولا سيما في مجال المحافظة على مسرح الجريمة.	1
وإذ يدرك الدور الهام الذي تقوم به الترتيبات الإقليمية ودون الإقليمية في منع الحالات التي قد تؤدي إلى الإبادة الجماعية وجرائم الحرب والجرائم المرتكبة ضد الإنسانية وفي التصدي لها، وإذ يشير بصفة خاصة إلى المادة 4 (ح) من القانون التأسيسي للاتحاد الأفريقي،	1
27 - وفضلا عن ذلك اتخذ العديد من الدول تدابير مؤقتة تسمح لمسؤوليها بتنفيذ الجزاءات المفروضة بموجب قائمة صادرة عن مجلس الأمن حتى قبل إتمام عمليات التحقق الوطنية.	1
وقد انتقل العديد من الدول أيضا إلى تعزيز دور وفعالية أجهزته القضائية، التي تُعتبر أساسية لضمان التصدي للتهديدات الإرهابية على نحو يراعي سيادة القانون.	1
وخلال الاجتماع، أيد الطرفان، مبدئيا، النهج الذي تتبعه المفوضية لعودة اللاجئين والمشردين داخليا والأنشطة التي تزمع القيام بها خلال السنتين المقبلتين.	0
إدراج المناظير الجنسانية في تصميم وتنفيذ التقييمات البيئية بعد الصراع.	1
نظرا لأن الإرهاب لا يزال يشكل تهديدا خطيرا وعالميا، بادرت فرنسا، خلال رئاستها لمجلس الأمن في كانون الثاني/يناير الماضي، إلى تنظيم اجتماع على مستوى الوزراء بشأن مكافحة الإرهاب.	0
طلب الحصول على تعاون الدول وعمليات حفظ السلام التابعة للأمم المتحدة والبعثات الأخرى ذات الصلة التي يأذن بها مجلس الأمن في إلقاء القبض على الجناة المزعوم ارتكابهم لأعمال الإبادة الجماعية والجرائم ضد الإنسانية وجرائم الحرب وغير ذلك من الانتهاكات الجسيمة للقانون الدولي لحقوق الإنسان، وتسليمهم.	0
:: يجب على المنظمات الإقليمية ودون الإقليمية أن تساهم في نهج متكامل لمكافحة الإرهاب.	1
وما زالت تيمور - ليشتي تواجه تحديات هامة في الحد من الفقر وإيجاد فرص العمل، لا سيما لسكانها الشباب.	0
ووقعت اشتباكات بين قوات المتمردين والقوات الفرنسية التي ترصد اتفاق وقف إطلاق النار في اليوم الذي كانت فيه البعثة في المنطقة، في دالوا التي تبعد حوالي خمسين كيلومترا.	0
14 - يطلب إلى فريق الخبراء أن يواصل التحقيق في تمويل الجماعات المسلحة والعسكرية والسياسية للهجمات المنفذة ضد أفراد العملية المختلطة للاتحاد الأفريقي والأمم المتحدة في دارفور وفي دورها في تنفيذها، ويشير إلى أن الكيانات والأفراد الذين يقومون بتخطيط هذه الهجمات أو رعايتها أو المشاركة فيها يشكلون تهديدا للاستقرار في دارفور، وأنهم قد يستوفون بالتالي المعايير التي تنص عليها الفقرة 3 (ج) من القرار 1591 (2005)؛	1
وفيما يتعلق بقوات الدفاع التيمورية، ينص مرسوم بقانون على هيكل الجيش، لكن القوانين التي تحكم الانضباط العسكري والمسار الوظيفي في الجيش هي قوانين إدارة الأمم المتحدة الانتقالية في تيمور الشرقية.	1
2 - يقرر أن تتخذ جميع الدول التدابير التالية فيما يتعلق بأسامة بن لادن وأعضاء منظمة القاعدة وجماعة الطالبان وسائر الجماعات والأفراد والمشاريع والكيانات المرتبطة بهم، على النحو المبين في القائمة المنشأة عملا بالقرار 1267 (1999) والقرار 1333 (2000) التي ستستكملها بانتظام اللجنة المنشأة عملا بالقرار 1267 (1999) المشار إليها فيما يلي بـ "اللجنة":	1
40 - يرحب بالإحاطات الدورية التي تقدمها حكومة أفغانستان عن محتوى القائمة، وكذلك عما تحدثه الجزاءات المحددة الأهداف من تأثير في ردع التهديدات التي تستهدف السلام والاستقرار والأمن في أفغانستان، وكذلك عن دعم عملية المصالحة التي تقودها أفغانستان؛	0
وبعد المشاورات غير الرسمية التي عُقدت في 14 كانون الأول/ديسمبر، اتخذ المجلس بالإجماع القرار 1560 (2004) المقدم من الوفد الألماني والذي مدد فيه المجلس ولاية بعثة الأمم المتحدة في إثيوبيا وإريتريا حتى 15 آذار/مارس 2005، ويوافق على التعديلات التي طرأت على البعثة (بما يشمل وجودها وعملياتها، على نحو ما أوصى به الأمين العام في الفقرات من 13 إلى 18 من تقريره)، ويطلب إلى الأمين العام أن يواصل متابعة الحالة عن كثب وأن يستعرض ولاية البعثة في ضوء التقدم المحرز في عملية السلام والتغييرات التي تطرأ على البعثة.	0
بيد أن هذه المواقع تظل بحاجة إلى الحماية. وفي حين أن استعداد قوة كوسوفو لمواصلة حمايتها للمواقع الدينية مسألة ذات أهمية أساسية، لا يمكن بناء حل دائم على القوات العسكرية.	0
ويدرك الفريق أن هناك قوانين وطنية ودولية تضع قيودا على تبادل المعلومات بين الدول، ولكن التعاون الدولي أمر لا بد منه لتنفيذ عملية تجميد الأصول تنفيذا فعالا.	0
وفي حوالي الساعة 00/17 من اليوم ذاته، شاهد شهود من قرية أنكا عددا يتراوح بين 300 و 400 من قوات الجنجويد، يسيرون على الأقدام، و 100 آخرين من الجنجويد، يمتطون الجمال وظهور الخيل، يتقدمون نحو قرية أنكا من جهة قرية باري.	0
وبينما تعتبر استجابة البعض للجنة بطيئة، إلا أن عدد الحريصين على المشاركة في أعمالها آخذ في الازدياد، سواء كانت المشاركة من خلال تقديم الأسماء أو الترويج للآراء المتعلقة بتحديد ميادين جديدة تكون جزاءات مجلس الأمن أو إجراءاته الأخرى قادرة فيها على المساعدة على وقف تدفقات المجندين وخفض احتمالات حدوث المزيد من الهجمات بواسطة الإرهابيين ذوي الصلة بتنظيم القاعدة وحركة الطالبان.	1
73 - ويتعين إدخال تغييرات على آلية تقديم الأسباب، سواء في حالة رفع الأسماء من القائمة أو إبقائها فيها، لضمان التنفيذ في الوقت المناسب والمحتوى الموضوعي الذي يعكس بشكل صحيح تحليل الجهة المستقلة القائمة بالاستعراض واستنتاجاتها.	0
الإطار الزمني - سيتولى الأمين العام تحديد موعد بدء الاستعراض ونسبة التقدم في إعداده والمدة المطلوبة لذلك، استنادا إلى مشاورات يجريها مع المبعوث الخاص، مراعيا الحالة على أرض الواقع.	1
