ar	MatConf
"ويشجع مجلس الأمن هيئات الأمم المتحدة ذات الصلة، وخصوصا المديرية التنفيذية لمكافحة الإرهاب، على تركيز اهتمام متزايد، في تعاون وثيق ضمن إطار فرقة العمل المعنية بالتنفيذ، على القرار 1624 (2005) في حوارها مع الدول الأعضاء لكي تضع، وفقا للالتزامات المترتبة عليها بموجب القانون الدولي، استراتيجيات تشمل مواجهة التحريض بارتكاب أعمال إرهابية بدافع التطرف والتعصب، وعلى تسهيل تقديم المساعدة التقنية لتنفيذها.	0
إن احتجاز هذا المستوى من التمويل سيصيب أي حكومة بالشلل، ناهيك عن سلطة تحت الاحتلال، وإذا لم يتم الإفراج على الفور عن هذه الأموال، فإن هذا الإجراء سيهدد مكاسب بناء الدولة التي حققتها السلطة الفلسطينية، بما في ذلك تعزيز الحكم الرشيد الذي يعود بالنفع على الشعب الفلسطيني وتطوير قوات الأمن التي تحافظ على القانون والنظام في الضفة الغربية.	0
لقد صدر القانون رقم 535/2004 المتعلق بمنع ومكافحة الإرهاب بمرسوم من رئيس رومانيا تحت رقم 994/2004 مؤرخ 24 تشرين الثاني/نوفمبر 2004، وأصبح نافذا ثلاثة أيام عقب ذلك.	0
"ويساور مجلس الأمن القلق البالغ إزاء تدهور الحالة الأمنية في جمهورية أفريقيا الوسطى، ولا سيما في أعقاب الهجمات على بيراو وأواندا - دجالي وسام أواندجا.	1
وقد أحرز تقدم كبير في الجهود المبذولة لمنع الإرهابيين من إساءة استخدام نظم اللاجئين واللجوء.	0
وقام هذا الفريق العامل بتيسير مؤتمر دولي معني باستراتيجيات مكافحة الإرهاب الوطنية والإقليمية، وشارك في ترؤس هذا المؤتمر الذي حدد فيه المشاركون مجموعة من المبادئ التي ينبغي للدول الأعضاء والمنظمات الإقليمية أن تنظر فيها عند وضع استراتيجياتها في هذا الشأن.	0
3 - لا بد من تحديد هويات أفراد فرق الإعدام وتقديمهم إلى العدالة؛	0
19 - وشهدت الفترة المشمولة بالتقرير ورود عدد من الإفادات بشأن أنشطة عسكرية إندونيسية مزعومة في مناطق إيكوسي الحدودية التي لم يفصل فيها.	1
واندلعت اشتباكات عنيفة أيضا بين فصائل مسلحة في مخيم اللاجئين الفلسطينيين عين الحلوة، ولحقت أضرار مادية نتيجة لذلك بمدرسة تابعة لوكالة الأمم المتحدة لإغاثة وتشغيل اللاجئين الفلسطينيين في الشرق الأدنى.	1
فبإمكانها تدريب المجندين والابتكار في التخطيط() للهجمات وتنفيذها. ولا تزال جماعة لَشكر الطيبة (Lashkar-e-Taiba, QE.L.118.05) توفر تدريبات إرهابية متقدمة، بما في ذلك ما يخص الأجهزة المتفجرة يدوية الصنع. ولا يزال تنظيم القاعدة في جزيرة العرب (QE.A.129.10) مصدرا رئيسيا للابتكارات التكنولوجية.	1
وعلاوة على ذلك، يدعو المجلس الفريق العامل إلى تنفيذ مجموعة أدوات عمله تنفيذا كاملا (S/2006/724) وذلك عن طريق أمور منها القيام بزيارة خاصة ببلد بعينه في غضون سنة واحدة، لبحث حالة ترد الإشارة إليها في مرفقي تقرير الأمين العام بهدف إنجاز ولايته على نحو أفضل وتعزيز قدراته على حماية الأطفال المتضررين من النزاعات المسلحة.	0
وفي الجمعية العامة الرابعة والسبعين للمنظمة الدولية للشرطة الجنائية في أيلول/سبتمبر 2005، اتخذت المنظمة القرار AG-2005-RES-05 بشأن التعاون بين الأمم المتحدة والمنظمة الدولية للشرطة الجنائية (الإنتربول)، والذي ينشئ إخطارا خاصا بخصوص الأفراد الموجودين في القائمة الموحدة، يمكن للمنظمة إصداره بناء على طلب من اللجنة، لتنبيه الدول إلى أن جزاءات الأمم المتحدة تستهدف أفرادا معينين.	0
وقد زارت البعثة بعض هذه المناطق وساءها كثيرا مشاهدة البيوت المهدمة والسيارات المحروقة والأشخاص المعدمين.	1
٤٧ - يحث بقوة الدول الأعضاء على تقديم جميع ما يتصل بذلك من معلومات إلى أمين المظالم، بما في ذلك أي معلومات سرّية مهمة، عند الاقتضاء، ويشجع الدول الأعضاء على تقديم ما يتصل بذلك من معلومات في حينها، ويرحب بتلك الترتيبات الوطنية التي أبرمتها الدول الأعضاء مع مكتب أمين المظالم لتسهيل تبادل المعلومات السرية، ويشجع الدول الأعضاء على مواصلة التعاون في هذا الصدد، بسبل من بينها إبرام ترتيبات مع مكتب أمين المظالم من أجل تبادل تلك المعلومات، ويؤكد وجوب امتثال أمين المظالم لأي شكل من أشكال قيود السرية التي تفرضها الدول الأعضاء على ما تقدّمه من معلومات؛	0
وبالمثل، سلمتنا قيادة الوحدة، عملا بالأمر رقم 206/1735 المؤرخ 18 شباط/فبراير 2005، تفويضا مكتوبا من تلك الجهة، رقم 36/2005 تاريخ 18 شباط/فبراير 2005، يتضمن أمرا بإبقاء سيارات موكب الحريري داخل الثكنة، وبسترها بالخيام وبوضعها تحت الحراسة.	1
4 - وفي كوت ديفوار، كان الفريق على اتصال وثيق بالفروع السياسية والشرطية والعسكرية لعملية الأمم المتحدة في كوت ديفوار.	0
وتعود البدايات إلى قيام المجلس بإنشاء المحكمة المخصصة ليوغوسلافيا السابقة في عام 1993، ثم المحكمة المخصصة لرواندا بعد ذلك بعام.	0
والعامل الثالث يكمن في الوجود الضعيف للشرطة. والعامل الرابع يكمن في تدخل الجهات الأجنبية في الحالة في دارفور.	1
وفي نهاية الجولة الرابعة من المفاوضات التي جرت في أواخر تشرين الثاني/نوفمبر، لم يطرأ أي تغيير على مواقف الأطراف بشأن القضايا الرئيسية.	0
أما فيما يتعلق بالشرط الذي يقتضي أن يكون الاعتداء "منهجيا"، فإنه "يتطلب اتسام الأعمال بطابع منظم وعدم احتمال وقوع تلك الأعمال بصورة عشوائية"().	1
وقد تبين للجنة أن تشريد السكان المدنيين عنوة كان منتظما وتم على نطاق واسع وهو عمل يعتبر جريمة ضد الإنسانية.	1
وحصلت اللجنة أيضا على معلومات عن حوادث إضافية عديدة، شملت هجمات على المدنيين وتحققت منها، وذلك استنادا إلى المعلومات والأدلة التي تلقتها في سياق عملها.	1
ومع ذلك فإن العراق لا يزال يواجه قوى الإرهاب التي تضم عناصر أجنبية تنفذ هجمات وأعمال إرهابية مروعة في محاولة منها لعرقلة التطور السياسي والاقتصادي في العراق.	1
وفضلا عن ذلك، استقبله في نواكشوط، في 14 شباط/فبراير، رئيس جمهورية موريتانيا، سيدي محمد ولد شيخ عبد الله، واجتمع مع وزير الشؤون الخارجية والتعاون، محمد سالك ولد محمد الأمين، وغيره من موظفي الحكومة الأقدم.	0
"يناشد مجلس الأمن المجتمع الدولي أن يقدم، عند الاقتضاء، الدعم المالي والفني، فضلا عن التدريب المناسب من أجل تنفيذ القرار 1325 (2000) على الصعيد الوطني، ويناشد منظومة الأمم المتحدة والمجتمع المدني والجهات الأخرى المعنية أن تتعاون وأن تقدم المساعدة إلى الدول الأعضاء وفقا للأولويات الوطنية، ولا سيما إلى الدول المتضررة من الصراعات المسلحة، من أجل وضع خطط العمل الوطنية بشكل سريع، والعمل بشكل وثيق مع الهيئات الوطنية المسؤولة عن تنفيذ هذا القرار بعدة وسائل بما فيها، حيثما كان ذلك مناسبا، من خلال أفرقة الأمم المتحدة القطرية.	0
كما كان تجديد السجون ومراكز الاعتقال، التي كانت في حالة سيئة للغاية، في كوسوفو في مقدمة أولويات إدارة العدالة التابعة للبعثة.	0
وأُحْرِقت أكشاك بيع بمنطقة تايبيسي مرة أخرى في اليوم التالي، وهُوجم أحد أفراد الشرطة الوطنية الذي كان بالمنطقة خارج وقت دوامه الرسمي.	1
وتشمل المشاكل التي جرى تحديدها: الافتقار إلى سياسة واضحة ومحددة جيدا في مجال الجزاءات()، وعدم كفاية تدريب الموظفين، وعدم ترسيخ ثقافة فعالة للامتثال للجزاءات على نطاق المؤسسات، وافتقار تكنولوجيا الفرز إلى الكفاءة عموما.	1
وأفاد الأمين العام المساعد للشؤون السياسية بازدياد هجمات جيش الرب للمقاومة عام 2011، وشدد على خطورة تأثير ذلك على المدنيين والحالة الإنسانية.	1
ويقوم الفريق بتنسيق خطط أسفاره على نحو منتظم مع المديرية التنفيذية للجنة مكافحة الإرهاب، كما نظم إحاطات إعلامية عن الزيارات التي قام بها إلى الدول الأعضاء والمنظمات الدولية لكل من المديرية التنفيذية والخبراء الذين يقدمون الدعم للجنة المنشأة عملا بالقرار 1540 ويتطلع الفريق إلى زيارته المشتركة الأولى مع المديرية التنفيذية إلى إحدى الدول الأعضاء في شباط/فبراير 2006، ويتوقع أن تصبح الزيارات المشتركة أمرا متزايد الحدوث.	0
فالأمر يتعلق بنزاع دام أكثر من نصف قرن ولا يمكن تسويته بين عشية وضحاها.	1
30 - بالنظر إلى تعليق التمويل المتعدد الأطراف، فإن حكومة كوت ديفوار معتمدة على محصول الكاكاو في الحفاظ على قدرتها المالية على الوفاء بديونها وليتسنى لها دفع أجور موظفيها المدنيين بما في ذلك الجيش. وللكاكاو دور مهم في تمويل الجهود التي تبذلها الحكومة للمشتريات العسكرية غير المدرجة في الميزانية أو الممولة من موارد خارجة عن الميزانية، وعلى الرغم من تراجع حجم الإيرادات المحققة من الكاكاو، فإن النسبة المئوية المأخوذة مما هو متوفر لا تزال عالية.	1
وثمة مواد توجيهية متاحة للمساعدة في تنفيذ الممارسات الفعالة. وتجدر الإشارة في هذا الصدد إلى الورقة التي وضعتها فرقة العمل المعنية بالإجراءات المالية المتعلقة بغسل الأموال بشأن أفضل الممارسات في مجال كشف ومنع النقل غير المشروع عبر الحدود للنقدية والصكوك القابلة للتداول والدفع لحاملها والمبادئ التوجيهية التي وضعتها منظمة الجمارك العالمية بشأن إنفاذ تدابير مكافحة غسل الأموال وتمويل الإرهاب.	0
ويؤكد المجلس الحاجة إلى تقديم اﻷفراد الذين يحرضون على استخدام العنف ضد المدنيين أو يكونون سببا في استخدامه ضدهم في حاﻻت الصراع المسلح، أو الذين ينتهكون بشكل آخر القانون اﻹنساني الدولي وقانون حقوق اﻹنسان، إلى العدالة، على نحو مﻻئم.	0
كما شُنت هجمات في عامي 2001 و 2002() لكن حدة الهجمات وكثافتها وتواترها ازدادت بصورة ملحوظة في أوائل عام 2003.	1
ويكمن العنصر الذاتي أو القصد الجنائي في علم الشريك في الجرم بأن أعماله تساعد فاعل الجريمة على ارتكابها().	1
ونظرا إلى أن بعض القبائل لا تمتلك أرضا تقليدية مخصصة لها، ومع تنامي الصراع على الموارد الطبيعية، كانت هناك محاولة منهجية لإخلاء القبائل التي ينظر إليها كقبائل "غير إنقاذية" من أراضيها.	1
فرض إجراءات هادفة وتدريجية لمواجهة ما تبثه وسائط الإعلام من تحريض على الإبادة الجماعية والجرائم ضد الإنسانية وجرائم الحرب وغير ذلك من الانتهاكات الجسيمة للقانون الدولي لحقوق الإنسان.	1
ففي حالات كثيرة، يميل المحاربون الذين يهاجمون القرى "الأفريقية" إلى استخدام نعوت مُحِِطة مثل "عبيد" أو "سود" أو نوبيين أو زورغا، قد توحي بتصور للضحايا باعتبارهم أفرادا في جماعة متميزة.	1
ويدين وفدي بقوة أعمال العنف تلك ويقدم تعازيه لأسرة طبيب الأطفال المتوفى.	0
