ar	VerConf
وفي 29 تشرين الثاني/نوفمبر 2014، أطلقت طائرات النظام الحربية قذيفتين على مسجد الإمام النووي بالرقة فقتلت 11 شخصا، منهم طفل، وجرحت 16 آخرين.	0
وأشارت إلى أن 69 من العاملين في المجال الإنساني قد قتلوا منذ بداية النزاع، واستخدم العنف الجنسي كشكل من أشكال التعذيب، وبقصد الإيذاء والإهانة والتخويف، وكشكل من أشكال العقاب.	0
118 - والإرهاب هو أحد العوامل الدافعة في عدد متزايد من حالات النزاع، وبخاصة في منطقتي الساحل والمغرب العربي.	1
والفريق على دراية بوجود 15 قضية قُدمت في خمس دول أعضاء، وكذلك أمام محكمة العدل الأوروبية، تطعن في تنفيذ الدول الأعضاء لبعض الجوانب المتعلقة بالجزاءات.	0
ويؤكد المجلس من جديد أن وضع برنامج شامل لبناء السلام مع التركيز بوجه خاص على نزع السلاح وتسريح المقاتلين وتأهيلهم وإدماجهم أمر ستكون له أهميته في مرحلة ما بعد انتهاء الصراع في الصومال، كما نص على ذلك بيان رئيسه المؤرخ 28 آذار/مارس 2002 (S/PRST/2002/8).	0
ويتبلور إدراك حقيقي للتحديات التي يواجهها كل بلد بمفرده.	1
والحالة على أرض الواقع مثيرة للقلق أيضا من الناحية الإنسانية ويؤكد الأمين العام أن العراق يمر بأزمة كبيرة، وصرح بأن الحالة آخذة في التدهور.	1
وإذ يؤكد تأييده للمعاهدات المتعددة الأطراف التي ترمي إلى استئصال أو منع انتشار الأسلحة النووية أو الكيميائية أو البيولوجية، وأهمية قيام جميع الدول الأطراف في هذه المعاهدات بتنفيذها على نحو كامل من أجل تعزيز الاستقرار الدولي،	0
(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول والمنظمات دون الإقليمية والمنظمات الإقليمية والمنظمات الدولية والترتيبات المتعددة الأطراف التي تتعامل مع ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملا بقرارات مجلس الأمن 1540 (2004) و 1267 (1999) و 1373 (2001)، والعمل بوجه خاص على تقييم مستوى تبادل المعلومات والتنسيق فيما يتعلق بالزيارات القطرية، وطرح توصيات محددة، حسب الاقتضاء، من أجل تعزيز التعاون.	0
ولا يمكن معالجة ظاهرة المقاتلين الإرهابيين الأجانب عن طريق الوسائل الأمنية وحدها.	0
وبينما تصب الغارات الجوية للنظام وابلا من النيران على المناطق المدنية، فرضت القوات المسلحة السورية الحصار على مدن بأكملها.	0
وقال الممثل الخاص إن المكاسب التي تحققت مؤخرا على صعيد استرجاع الأراضي من تنظيم داعش تبين أن هذه الاستراتيجية، التي تحظى بدعم عسكري دولي، ما فتئت تحرز التقدم.	0
إن جمهورية كوريا الشعبية الديمقراطية ترفض رفضا قاطعا القرار المتعلق بحقوق الإنسان المختلق ضد الجمهورية استنادا إلى مكائد وأكاذيب ومعلومات مضللة والمتخذ رضوخا لقسر الولايات المتحدة وغيرها من البلدان المعادية بطريقة استبدادية وتعسفية.	1
وتشكل هذه التحديات مجتمعة ضغوطا سياسية على الحكومات وتؤثر تأثيرا مباشرا وخطيرا على السلام والأمن والاستقرار في البلدان المعنية.	1
وفي مشاورات مغلقة، قدم المبعوث الخاص إحاطة إلى المجلس بشأن أولوياته، ومشاوراته التمهيدية، وأفكاره في ما يتعلق بسبل المضي قدما. وقال إن بيان جنيف المؤرخ 30 حزيران/يونيه 2014، لا يزال صالحا، وأنه أرسى المعايير العامة للتوصل إلى حل مستقبلي عن طريق التفاوض.	0
وهذه الإجراءات يتم اتخاذها على الرغم من الموقف السلبي الواضح الذي اتخذه الممثل الخاص للأمين العام وتعتبر تحديا للأمم المتحدة ومجلس الأمن.	1
وبموجب الفقرة 8 من القرار نفسه، كلف المجلس اللجنة بتحديد الكيانات والأفراد الذين: (أ) شاركوا في دعم أعمال تهدد السلام أو الأمن أو الاستقرار في الصومال أو وفروا هذا الدعم؛ (ب) انتهكوا الحظر العام الكامل على توريد الأسلحة؛ (ج) عرقلوا إيصال المساعدات الإنسانية إلى الصومال أو الحصول عليها.	0
(ب) معالجة أوجه القصور في تجريم تمويل الإرهاب وضمه إلى غسل الأموال باعتباره جريمة أصلية، ومعالجة القصور في تجميد الأصول التي تخص الإرهابيين وذلك بطرق من بينها بوجه خاص، إرساء ضمانات كافية والنص في إجراءات التجميد على إعفاءات لدواعي إنسانية؛	0
فقد تعرض العاملون في المعونة الإنسانية للمضايقات والاعتداء في كثير من الأحيان أثناء حوادث قطع الطرق.	0
وعلى الرغم من كل ما ذكر أعلاه، ما زلنا نؤمن بأن لا جدوى من الحل العسكري - فعلى عكس ذلك، نحن واثقون أن من شأنه أن يقود إلى نتائج عكسية.	1
كما يدعو مجلس الأمن اللجان الثلاث إلى مواصلة تعاونها مع الفريق العامل المنشأ عملا بالقرار 1566 (2004).	0
ولكن ساد القلق أيضا لأنه لم تلح بارقة أمل في الشرق الأوسط إلا وووجهت بتصاعد العنف والدمار.	1
123 - عندما تشارك المليشيات القوات المسلحة في الهجوم، يمكن القول إنها تعمل تحت السيطرة الفعلية للحكومة، بما يتفق تماما مع مفهوم السيطرة (الذي نص عليه عام 1999 في قضية طاديتش (استئناف)، الفقرات 98-145.	0
وعلى عكس الشائعات الدائرة، فلا يوجد دليل على أن ضباط الشرطة، بمن فيهم الذين أمدتهم قوات الدفاع بالسلاح والملابس الرسمية شاركوا في إطلاق النيران.	0
ويبدو واضحا أن الإرهابيين المدرجين في القائمة ما زالوا قادرين على جمع واستلام الأموال من المتعاطفين معهم من خارج دائرتهم المباشرة.	0
وفي الواقع أن تلك التوجيهات، نظرا إلى تاريخ التدخل الأجنبي، لن تكون محل شك في نظر مختلف قطاعات المجتمع فحسب ولكن يمكن أيضا أن تؤدي إلى تفاقم المشكلة.	1
وأضرب عدد من المحتجزين لدى السلطات المغربية عن الطعام إبان الفترة الممتدة من مستهل آب/أغسطس حتى 29 أيلول/سبتمبر.	0
وتنص الفقرة 2 من المادة 21 من مرفق قرار مجلس الأمن 1757 (2007) على أنه إذا لم تكتمل أنشطة المحكمة الخاصة قبل نهاية ولايتها الحالية، "يُمدد الاتفاق [...] وذلك لمدة (أو مدد) إضافية يحددها الأمين العام بالتشاور مع الحكومة [اللبنانية] ومجلس الأمن".	0
وخلال هذه الفترة، عُزِّزت قاعدة الدعم الخاصة باللجنة وجرى تركيب برامجيات جديدة، الأمر الذي أكسب قاعدة البيانات فعالية مزيدة.	0
وسيتعين على هذه المنظمات الإقليمية - وبخاصة الاتحاد الأوروبي - أن تؤدي في المستقبل أبرز الأدوار في كوسوفو.	0
يعرب عن القلق لأن النقل غير المشروع للأسلحة الصغيرة والأسلحة الخفيفة وتكديسها المزعزع للاستقرار وإساءة استخدامها ما فتئ يهدد سلامة حفظة السلام التابعين للأمم المتحدة وأمنهم وينال من فعالية تنفيذهم لولايات حفظ السلام ...	1
الاتحاد الأوروبي يساوره بالغ القلق من دورة العنف الانتقامي المتواصلة في إسرائيل والأراضي المحتلة.	1
36 - وقد أبلغت مصادر رسمية عن مقتل ثلاثة على الأقل من أفراد القاعدة المدرجة أسماؤهم في القائمة.	0
ويثير تغير البيئة في أفغانستان تساؤلات بشأن جماعات آسيا الوسطى التي تعمل هناك حاليا مثل جماعة أنصار الله (غير المدرجة في القائمة)، وهي الجماعة الطاجيكستانية الإثنية المنشقة عن الحركة الإسلامية لأوزبكستان Islamic Movement of Uzbekistan)) (QE.I.10.01).	1
وواصلت أيضا مشاركتها في الأفرقة العاملة المعنية بمنع الجريمة، وساعدت في إنشاء جمعية الشرطيات في المنطقة. وسلمت البعثة لوكالات إنفاذ القانون في زوغديدي معدات وهبتها حكومة سويسرا، مع ادخار كمية مماثلة من المعدات لوكالات إنفاذ القانون في غالي.	0
ويجب على جنود القوة الدولية تنفيذ ولايتهم بشكل تام بهدف القضاء على التهديدات الناشئة عن أفغانستان.	1
وينبغي لنا أن نعترف بكبير قلقنا حول الحالة السائدة في أفغانستان.	1
645- وقد قررت اللجنة أن تحجب أسماء هؤلاء الأشخاص عن المجال العام. ويستند هذا القرار إلى ثلاثة أسباب رئيسية: (أ) أهمية مبدأي المحاكمة العادلة واحترام حقوق المشتبه فيهم؛ و (ب) كون اللجنة لم تمنح سلطة التحقيق أو سلطة توجيه الاتهام؛ و (ج) الضرورة الحيوية لكفالة حماية الشهود من احتمال التحرش أو التخويف.	0
ومما يؤسف له أن نظام العدالة السوداني قد أثبت أنه لا يملك القدرة أو الرغبة بالنسبة للتحقيق مع مرتكبي جرائم الحرب والجرائم ضد الإنسانية في دارفور وإقامة الدعوى عليهم.	1
22 - وفي 25 آب/أغسطس، نُشر في غوما بيان منسوب إلى الجنرال لوران نكوندا، أحد الجناة الرئيسيين في أزمة بوكافو في أيار/مايو 2004، هدد فيه بإسقاط الحكومة الانتقالية.	0
ولا يوجد شك اليوم في أن القصد الحقيقي كان يتمثل في منع نشر تفاصيل أعماله التدميرية الرعناء المرتكبة بأوامر من المخابرات المركزية الأمريكية على الملأ.	1
ومن الواضح أن جميع مؤسسات القانون والنظام في العراق تواجه تحديات جسيمة.	1
ومع ذلك، فبدون قدرٍ كبير من الشفافية - الأمر الذي قد ينال من إحدى الميزات الرئيسية للآلية - فمن غير المرجح أن تلبي هذه الآلية متطلبات إجراء استعراضٍ قضائي فعال ومستقل.	1
وبالرغم من هذه الجهود، لا تزال مسألة الأمن في مقديشو مدعاة للقلق بسبب وجود عدة فصائل من المليشيات فضلا عن المليشيات التي تعمل لحسابها أو المرتبطة برجال الأعمال أو محاكم تطبيق الشريعة.	0
:: اتخاذ تدابير خاصة ترمي إلى حماية المرأة والبنت من التمييز القائم على نوع الجنس والعنف والاغتصاب والأشكال الأخرى للإيذاء الجنسي (توفير سبل الحصول على التعويض القانوني؛ ومراكز الأزمات، والمآوي؛ وبرامج تقديم المشورة وبرامج المساعدة الأخرى؛ وآليات الرصد والإبلاغ).	0
17 - وتسمح الإعفاءات من حظر السفر بالسفر عندما تقرر اللجنة أن هذا السفر له ما يبرره على أساس الحاجة الإنسانية، بما في ذلك الواجبات الدينية، أو عندما تخلص اللجنة إلى أن هذا الإعفاء من شأنه أن يخدم أهداف قرارات المجلس، من أجل تحقيق السلام والمصالحة الوطنية في كوت ديفوار والاستقرار في المنطقة.	0
يشجع [البعثة] على تعزيز تفاعلها مع السكان المدنيين من أجل التوعية والتعريف بولايتها وأنشطتها، وعلى جمع معلومات موثوقة عن انتهاكات القانون الإنساني الدولي وتجاوزات حقوق الإنسان المرتكبة ضد المدنيين.	0
وإذ يرحب بالدور الذي يضطلع به الاتحاد الأفريقي في الجهود المبذولة لتسوية النزاعات في القارة الأفريقية، وإذ يعرب عن دعمه لمبادرات السلام التي يقوم بها الاتحاد الأفريقي، والتي تجرى من خلال المنظمات دون الإقليمية،	0
ويدرك مجلس الأمن أن حقوق الإنسان الواجبة للنساء والفتيات تتعرض للخطر الشديد في حالات النزاع المسلح وفيما بعد انتهاء النزاع، ويلاحظ أن أفراد المجتمع المدني الناشطين في قضايا حقوق الإنسان الواجبة للمرأة يمكن أن يكونوا عرضة للاستهداف في بعض تلك الحالات.	1
2 - رسم بياني يبين خليج لاأونيون وجزيرة كونيخو، التي هي جزء ملحق بقطاع غواسكوران، الذي تم التأكيد على أنه خاضع لسيادة هندوراس بمقتضى حكم محكمة العدل الدولية الصادر في 11 أيلول/سبتمبر 1992، الذي أكده مرة أخرى الحكم الصادر في 18 كانون الأول/ديسمبر 2003، الذي قضي بعدم قبول ملتمس إعادة النظر المقدم من السلفادور بشأن قطاع غواسكوران.	1
4 - ما زال الإرهاب يشكل تهديداً خطيراً للسلام والأمن في جميع أنحاء أفريقيا. فهو عامل محفز في عدد متزايد من حالات النزاع.	0
ولذلك يجب على المجتمع الدولي أن يتخذ الإجراء اللازم لمنع إسرائيل من الاستمرار في مسلسل التدمير المدان الذي باشرته في غزة، وأن يؤكد على رفض كافة هذه الممارسات الإسرائيلية التي تمثل انتهاكا للقانون الدولي والقانون الدولي الإنساني.	1
وأهاب المحاورون، من أحزاب المعارضة والمجتمع المدني في جميع أنحاء البلاد، بالمجتمع الدولي أن يحول دون إدخال تغيير على الدستور. وارتأى الشركاء الدوليون أن النقل السلمي للسلطة شرط أساسي لسلام البلد واستقراره في المستقبل.	0
وثمة حاجة إلى زيادة فعالية تنفيذ القرار 1624 (2005)، الذي يشجع على الحوار والتفاهم بين الأديان والثقافات بغية التصدي للتحريض على الأعمال الإرهابية بدافع التطرف والتعصب.	0
ويقوم المجلس بانتظام بإعادة تأكيد مطالبته الدول بتنفيذ الحظر الساري على الأسلحة، والتذكير بها وتكرار ذلك حيث إن تنفيذ الحظر لا يزال يطرح تحديات كبيرة.	1
وليس لدى مرشح حركة التغيير الديمقراطي إمكانية تذكر أو أي إمكانية للوصول إلى وسائط الإعلام في زمبابوي؛ وهو ممنوع من تنظيم الحملات بحرية؛ وأفادت تقارير بأن حافلات وسيارات الحملات قد استولت عليها الدولة، بزعم أن تسجيلها غير القانوني.	1
وبناء عليه، ستخضع التعاملات التي تحوم حولها شكوك تتعلق بتمويل الأعمال الإرهابية لنفس نظام الإبلاغ والتوقيف المتبع بخصوص المعاملات المشتبه في ارتباطها بغسل الأموال.	0
لقد لاحظنا الحذر الذي أبداه الأمين العام وبعثة التقييم الفني فيما يتعلق بإصلاح القطاع الأمني، ولا سيما فيما يختص بالشرطة الوطنية لتيمور - ليشتي.	1
تواجه السلطات، في إقليم معقد وحيوي فيما يخص صون السلم والأمن الدوليين، مصاعب كبيرة وقيودا عند استجابتها لمطالب وتطلعات شعب متحمس للإصلاح.	1
وبالتالي، فإننا نشعر بخيبة الأمل لأن تقرير الأمين العام (S/2011/540) أوصى فقط بتخفيض جزئي للزيادة في القوات.	1
حاء منع الاستغلال والاعتداء الجنسيين من طرف أفراد الأمم المتحدة والأفراد ذوي الصلة وشركاء الأمم المتحدة، والتصدي لهما؛	0
ويسجل الوفد الروسي بالغ أسفه وانشغاله إزاء المعلومات المتعلقة باستمرار أعمال العنف في دارفور.	1
المساءلة يحث حكومة [البلد المتأثر] على ضمان التنفيذ التام لـ "سياستها القاضية بعدم التسامح إطلاقا" إزاء انتهاكات قواعد الانضباط وانتهاكات حقوق الإنسان، بما في ذلك أعمال العنف الجنسي والعنف الجنساني، التي ترتكبها عناصر من [القوات المسلحة]، ويحث كذلك على التحقيق بصورة شاملة في جميع التقارير المتعلقة بالانتهاكات المذكورة بدعم من [البعثة]، وعلى تقديم جميع الجناة إلى العدالة في إطار إجراءات قوية ومستقلة؛	1
وشدّد العديد من أعضاء المجلس على أن القرار 2118 (2013) لم ينفّذ تنفيذا كاملا بعد وأنه ينبغي للمجلس مواصلة الرصد اليقظ للجهود الرامية إلى القضاء على برنامج الأسلحة الكيميائية في الجمهورية العربية السورية حتى يتحقق ذلك بالفعل، فضلا عن إنهاء استخدام الأسلحة الكيميائية بشكل ينتهك أحكام القرار 2118 (2013).	1
"يعرب مجلس الأمن عن قلقه العميق إزاء الآثار المترتبة على أزمة اللاجئين التي أفرزها النزاع الدائر في سوريا والتي تهدد الاستقرار في المنطقة برمّتها.	1
فبناء على أسباب موضوعية، تدفع السلطات القضائية الوطنية بإحدى الحجتين التاليتين أو كلتيهما لدحض مطالبات التعويض: أولا، إن الحق في جبر الضرر على النحو الوارد في القانون الإنساني الدولي، ليس حقا نافذا من تلقاء نفسه، ووحدها دولة موطن الضحية تملك هذا الحق مباشرة()؛ وثانيا، هناك اتفاق سلام يمنع المطالبات الفردية.	1
وقد وضعت بعض الدول استراتيجيات وطنية لمكافحة الإرهاب، غير أن مستوى التنفيذ يحتاج إلى تحسين وينبغي إيلاء مزيد من التركيز إلى الجوانب الوقائية، ويشمل ذلك على وجه الخصوص التصدي للتحريض على الإرهاب وللتهديد المتمثل في الاستقطاب إلى التطرف الذي يؤدي إلى التطرف العنيف.	0
(ب) حرية الوصول إلى جميع الأماكن والمنشآت ذات الصلة بعمل اللجنة؛	0
وقد طُلب إليه خلال الاجتماع مع قاضي التحقيق المساعدة في تصوير الفيلم الذي يوثق نقل مركبات الموكب في 14 شباط/فبراير 2005، ولكن لم ترد أية إشارة أخرى إلى نقل مركبات الموكب من مسرح الجريمة.	0
وإنني أدين بشدة أي استخدام للمواد الكيميائية السامة من جانب أي طرف من الأطراف في النزاع الدائر في سوريا.	1
وأشار وكيل الأمين العام أيضا إلى أن الأمم المتحدة رصدت زيادة في الخطاب الاتهامي الذي تطلقه حكومة جنوب السودان في حق البعثة، وفي انتهاكات الحكومة لاتفاق مركز قوات البعثة.	1
وإذا لم تضطلع البعثات بمسؤولياتها إزاء حماية المدنيين، فإن ذلك سيضر بمهام أخرى قد تكون البعثة كلفت بها، ناهيك عن الخسائر في الأرواح والمعاناة التي ستتبع ذلك.	1
في السياقات التي تفتقر فيها النظم القضائية الوطنية إلى القدرات اللازمة وتكون لا تزال منهكة من جراء النزاع، تشكل الآليات شبه القضائية المخصصة فيما يبدو حلا مناسبا - بل ضروريا - للتعامل بحياد مع تدفق الدعاوى المتصلة بالنزاع كما أنها تتيح للأفراد سبلا محددة للجبر.	0
"ويشيد مجلس الأمن بالجهود المستمرة التي يبذلها فريق الاتصال المعني بالقرصنة قبالة سواحل الصومال بغية تنسيق الجهود الدولية في مختلف جوانب مكافحة القرصنة.	0
(أ) مواصلة تذكير الدول الأعضاء بالتزامها بتسليم المجرمين أو محاكمتهم وفقا للصكوك الدولية لمكافحة الإرهاب السارية التي هي طرف فيها وتذكير الدول بالتزامها بضمان عدم التعامل مع الادعاءات بوجود بواعث سياسية كأسباب لرفض طلبات لتسليم الإرهابيين المشتبه بهم؛	1
وإنني أدين بأشد العبارات الاعتداءات المشينة التي تستهدف أناسا يقدمون الدعم إلى الشعب الصومالي في مكافحة الجريمة المنظمة التي تعرقل تنمية بلده.	1
وفي مشاورات المجلس بكامل هيئته، أعرب أعضاء مجلس الأمن عن القلق من التدهور المستمر للحالة الإنسانية، وأدانوا انتهاكات القانون الإنساني الدولي التي يرتكبها جميع أطراف النـزاع السوري.	1
وإذ يرحب بإنشاء مكتب أمين المظالم عملا بالقرار 1904 (2009) وبتعزيز ولاية أمين المظالم في القرار 1989 (2011)، وإذ يلاحظ الإسهام الهام الذي يبذله مكتب أمين المظالم في توفير قدر إضافي من النزاهة والشفافية، وإذ يشير إلى التزام مجلس الأمن الراسخ بكفالة تمكين مكتب أمين المظالم من مواصلة الاضطلاع بدوره بفعالية وفقا للولاية المسندة إليه، وإذ يشير أيضا إلى البيان الرئاسي الصادر عن مجلس الأمن في 28 شباط/فبراير 2011 (S/PRST/2011/5)،	0
ونحث إسرائيل على التقيد بالتزاماتها فيما يتعلق بالسكان في الأراضي المحتلة.	1
ويتطلب تحديد اتجاه واضح لعمل اللجنة ومديريتها التنفيذية بطبيعة الحال توجيهات محددة متعلقة بالسياسات تتصل بكافة الجوانب الرئيسية لولاية اللجنة.	1
وما من شك أن بنية وتطوير الإدارة العامة في تيمور - ليشتي ما زالا يشكلان تحديا هاما ويجب أخذه في الحسبان.	1
(أ) تقييم تطور المخاطر والتهديدات؛	1
وتقر اللجنة أيضا بضرورة معالجة مسألة إتاحة سبل الانتصاف للأشخاص الذي عانوا من جراء أحداث نيسان/أبريل وأيار/مايو.	0
يكرر تأكيد ندائه للسلطات الوطنيةأن تضع حدا للإفلات من العقاب، من خلال تدابير منها تقديم مرتكبي الانتهاكات الجسيمة لحقوق الإنسان وللقانون الإنساني الدولي إلى العدالة دون تأخير، وأن تأخذ في الحسبان، عند اختيار مرشحين لشغل المناصب الرسمية، بما في ذلك المناصب الرئيسية في القوات المسلحة والشرطة الوطنية وسائر الدوائر الأمنية، الأعمال السابقة للمرشحين من حيث مراعاة القانون الإنساني الدولي والقانون الدولي لحقوق الإنسان.	1
ونعتقد أن الصومال يواجه تحديا شبيها بتحدي عداء الماراثون، لأنه يجب الانتهاء من صياغة الدستور بحلول 20 نيسان/أبريل واستكمال اعتماده في 22 أيار/مايو.	1
ويهدف المشروع الثالث إلى إعادة تأهيل مركز الشرطة في جنوب غالكايو، الذي يعد المركز الرئيسي للتحقيقات المتعلقة بمكافحة القرصنة في غالمودوغ.	0
15 - منذ تقديم تقريري المؤرخ 2 كانون الثاني/يناير 2008 إلى مجلس الأمن (S/2008/1)، أزالت عملية الأمم المتحدة في كوت ديفوار جميع مراكز المراقبة وعددها 17 التي كانت قد أنشأتها على طول الخط الأخضر، تمشيا مع أحكام اتفاق واغادوغو، فيما عدا اثنين.	0
وإذ يساوره القلق إزاء ازدياد حدة النزاعات ومدتها واستعصائها على الحل بسبب وجود المقاتلين الإرهابيين الأجانب، وكذلك إزاء إمكانية أن يشكل هؤلاء المقاتلون تهديدا خطيرا لدولهم الأصلية، والدول التي يعبرونها والدول التي يسافرون إليها، وكذلك الدول المجاورة لمناطق النزاعات المسلحة التي ينشط فيها المقاتلون الإرهابيون الأجانب والتي تعاني من أعباء أمنية جسيمة، وإذ يشير إلى أن التهديد الذي يشكله هؤلاء المقاتلون قد يطال جميع المناطق والدول الأعضاء، حتى البعيدة منها عن مناطق النزاعات، وإذ يعرب عن بالغ القلق إزاء استخدام المقاتلين الإرهابيين الأجانب لأيديولوجيتهم المتطرفة في تشجيع الإرهاب،	1
غير أنه في بور - أو - برانس، أدى تزايد ملحوظ للعنف والإجرام، بما في ذلك عمليات الاختطاف، إلى نشوء شعور عام بالقلق الشديد خلال أيار/مايو وحزيران/يونيه.	0
7 - ومن شأن اعتماد البرلمان لقانون الانتخابات أن يمكن اللجنة الانتخابية المستقلة من وضع الجدول الزمني الانتخابي والمضي قدما في تنظيم الانتخابات.	0
ومن ثم، وعلى غرار الفئة السابقة من الجرائم، فأي جريمة ترتكبها المليشيات لا تحرك فحسب المسؤولية الجنائية لمرتكب الجريمة وإنما تحرك أيضا مسؤولية السلطات الرئاسية لهذه المليشيات في السودان إذا كانت الأخيرة قد أمرت بارتكاب تلك الجرائم أو خططت لارتكابها أو تقاعست عن منعها أو قمعها (مفهوم مسؤولية الرئيس).	0
وإذ يلاحظ مع القلق استمرار ما يمثله تنظيم القاعدة وسائر المرتبطين بها من أفراد وجماعات ومؤسسات وكيانات من خطر على السلام والأمن الدوليين، وإذ يؤكد من جديد تصميمه على التصدي لجميع جوانب ذلك الخطر، وبالنظر إلى مداولات لجنة القرار 1267 بشأن توصية فريق الرصد المنشأ عملا بالقرار 1267 الواردة في تقريره الحادي عشر المقدم إلى لجنة القرار 1267 بأن تعامل الدول الأعضاء المدرجين في القائمة من حركة الطالبان والمدرجين فيها من أفراد وكيانات القاعدة والمرتبطين بها معاملة مختلفة،	0
وإذ يعرب المجلس عن قلقه إزاء جميع الانتهاكات والإساءات التي تمس بحقوق الإنسان، فإنه يدعو السلطات الليبية إلى أن تحقق فيها وأن تقدم إلى العدالة مرتكبي جميع هذه الأعمال، بما فيها تلك المرتكبة ضد الأطفال.	0
وأفادت وكيلة الأمين العام أيضا أن أعمال العنف وانتهاكات حقوق الإنسان مستمرة يوميا. وهي تشمل استخدام تنظيم داعش التعذيب والقتل والاغتصاب والاسترقاق، وقيام جماعات المعارضة، بما فيها جماعات مصنفة كمنظمات إرهابية، بمعاقبة المدنيين وشن الهجمات على مرافق الخدمات المدنية، وقيام الحكومة بهجمات جوية، بما في ذلك إلقاء البراميل المتفجرة، على المناطق المدنية ومخيمات المشردين داخليا والمنشآت المدنية.	0
ولكننا نلاحظ أنه بدون توفر عدالة وقطاع أمني قويـين، يمكن تهديد السلام النامي والاستقرار.	1
وركز أعضاء اللجنة على أن التاريخ يُظهر بأن الدول التي ترتكب مثل هذه الجرائم ضد شعوبها كانت مصدرا دائما لعدم الاستقرار وانعدام الأمن لجيرانها.	1
ويشكل كذلك الحضور الضعيف للمفوضية في المخيمات وفي صفوف اللاجئين عقبة أخرى يضعها بلد اللجوء أمام اضطلاع هذه المؤسسة بولايتها.	1
- أنه يلزم على وجه السرعة تعزيز التدابير الرامية إلى كشف ووقف تدفق التمويل والأموال للأغراض الإرهابية؛	1
كما يجب أن تحجم إسرائيل عن اتخاذ إجراءات أحادية في القدس من شأنها أن تغير الوضع القائم أو تقوض الثقة.	1
47 - ولم يطرأ أي تغيير ملحوظ فيما يتعلق بحالة استنفار حزب الله وقدراته، حيث يوجد بحوزته ما يزيد على 000 12 قذيفة()، حسب ما أفادت به قيادة الحزب نفسها.	0
جيم - الدعم المقدم إلى الأشخاص المتضررين من النزاع	0
وفي الوقت نفسه، تتمثل العناصر الأساسية الأخرى في عملية بناء المؤسسات هذه في تعزيز سيادة القانون من خلال زيادة فعالية الجهاز القضائي ونزاهته وأدائه العام، وتعزيز مؤسسات إنفاذ القانون بغية الحد من الجريمة المنظمة والعنف الإثني وتقديم كل المجرمين إلى العدالة.	1
وتجنباً لموجة جديدة من العنف، يتعين على الطرفين والمجتمع الدولي المبادرة إلى العمل فوراً.	1
تدريب أفراد حفظ السلام يطلب إلى الأمين العام أن يكفل توفير التدريب المناسب لموظفي الأمم المتحدة، المشتركين في أنشطة صنع السلام وحفظ السلام وبناء السلام في مجال القانون الإنساني الدولي والقانون الدولي لحقوق الإنسان والقانون الدولي للاجئين، بما في ذلك الأحكام المتعلقة بالأطفال ونوع الجنس، ومهارات التفاوض والاتصال والوعي الثقافي والتنسيق المدني - العسكري ويحث الدول والمنظمات الدولية والإقليمية ذات الصلة على ضمان إدراج التدريب المناسب في برامجها المتعقلة بالموظفين المشتركين في أنشطة مماثلة.	0
18 - في 31 كانون الأول/ديسمبر 2002، ذهب فريق تحقيق خاص تابع للبعثة إلى منطقة بِني للتحقيق في الادعاءات القائلة بوقوع انتهاكات خطيرة لحقوق الإنسان - إعدامات تعسفية، واغتصاب، وتعذيب، وحالات اختفاء قسري - في بلدة مامباسا وفي القرى الواقعة على محور مامباسا/مانجينا ومحور مامباسا - إرِنغِيتي.	0
وكما تنص على ذلك السوابق القضائية ذات الصلة() فإن ''قضية المسؤولية عن ارتكاب جريمة غير الجريمة المتفق عليها في الخطة المشتركة لا تثار، وفقا لملابسات الحالة، إلا إذا (أ) كان من المتوقع ارتكاب مثل تلك الجريمة من قبل أحد أفراد المجموعة، (ب) وقام المتهم بمحض إرادته بتلك المجازفة``.	0
15 - واستبدل تنظيم القاعدة في العراق (QE.J.115.04) في الآونة الأخيرة اسمه بالدولة الإسلامية في العراق والشام، من أجل إضفاء الشرعية على عملياته في الجمهورية العربية السورية والانفصال عن اسم تنظيم القاعدة.	1
وعلى الرغم من توفر أدلة كثيرة تدعم ذلك، فلم تبدِ حكومة الولايات المتحدة قط أية نية لمحاكمة لويس بوسادا كاريلس على أنشطته الإرهابية.	1
يطلب إلى الأمين العام أن يواصل تقديم المساعدة إلى حكومة [البلد المعني] في إقامة المؤسسات الأمنية الانتقالية، بما فيها قوات الشرطة [الوطنية] وقوات الأمن الوطنية، وأن يواصل دعم حكومة [البلد المعني] في وضع استراتيجية أمنية وطنية تجسد احترام سيادة القانون وحماية حقوق الإنسان وتشمل خططا لنزع السلاح والتسريح وإعادة الإدماج، وبناء القدرات في مجالي العدالة والسجون، وكذلك الإطار القانوني والمتعلق بالسياسة العامة الذي يحكم عمل قواتها الأمنية، بما في ذلك آليات الإدارة والفرز والرقابة.	0
