ar_en_DEEP	MatCoop
The Council also adopted a presidential statement (S/PRST/2011/17) in which it stressed the need to improve communication between the Security Council, troop- and police-contributing countries, the United Nations Secretariat and other stakeholders in order to enhance the spirit of partnership, trust, cooperation and mutual trust, and to ensure that the Council Security from the perspectives of those working in the field when making decisions on peacekeeping mandates.	1
405 - Even in cases where a State has legitimately derogated from certain provisions of the Covenant, the prohibition of unacknowledged detention, hostage-taking or kidnapping is absolute.	1
During the reporting period, the mission's police component focused on training the South Sudan Police Service in referendum security and assisting the Service in developing its plans for referendum security.	1
Since the categories of international crimes have been included in another part of the report, it is sufficient here to briefly mention the various ways of participating in the commission of international crimes that give rise to individual criminal responsibility.	0
We must reject any attempts to undermine the sovereignty and territorial integrity of Somalia.	0
Despite this progress, numerous visits by the Committee and workshops held in the region demonstrated that regional cooperation on counter-terrorism matters needs to be further strengthened. 184 - States of the subregion should:	1
The Mission and the United Nations country team are providing coordinated support to the law's implementation process in all its aspects, including to the Minister of State for the Promotion of Equality, who is leading efforts to develop the implementation plan, and to civil society to raise awareness of the law.	1
In addition, four countries have introduced legislation that criminalizes providing safe haven to terrorists and those who support them, whether individuals or organizations.	1
They were all armed and were all pointing their rifles at us.	0
But how can this be achieved when the two agreements and the authority of the law continue to be disdained? When our land remains occupied by force and our people are displaced from their cities and villages? In fact, how can all possible arrangements of mutual benefit and normalization begin when sovereign territories are neither respected nor demarcated?	0
Prominent journalists have been detained for expressing their opinions on issues of human rights, the constitution and the rule of law.	0
This forest is now under the surveillance of the national army.	0
Thanks to the establishment of the Joint Mission Analysis Cell, the Mission has been able to significantly increase its capacity to analyze and exchange information throughout the Mission. However, the mission continued to lack access to reliable tactical information.	1
By its resolution 1425 (2002), the Council established a group of experts on Somalia and then established a successor monitoring group in its resolution 1519 (2003).	1
Accordingly, transactions suspected of financing terrorist acts will be subject to the same reporting and arrest system used for transactions suspected of being linked to money laundering.	1
This guide is designed to be a source of information on counter-terrorism best practices, model laws, and available assistance programs.	0
Despite the continued pressure on the leadership of the two groups, the situation in Iraq and other conflict areas has placed terrorism at the forefront of global attention, and there has been no decrease in the recruitment of new individuals.	0
However, many of these countries have barely begun to develop dedicated counter-terrorism capabilities.	1
They can train recruits and innovate in planning and executing attacks. Lashkar-e-Taiba (Lashkar-e-Taiba, QE.L.118.05) continues to provide advanced terrorist training, including on improvised explosive devices. Al-Qaeda in the Arabian Peninsula (QE.A.129.10) remains a major source of technological innovation.	0
Non-EU member states work independently to develop legislative frameworks to combat terrorism and to integrate the crimes stipulated in international counter-terrorism instruments into their domestic laws.	1
Mr. Malik wanted to send UN police officers accompanied by Colonel Rees to meet Brigadier Ruak. Colonel Rees refused, believing that more police officers in blue shirts would aggravate the situation.	0
They informed the mission that a draft amnesty law covering political prisoners detained in Serbia would be submitted to the Parliament of the Federal Republic of Yugoslavia as soon as possible.	1
In Nyakundi, well over 2,000 people were reported killed; Residents fled into the forest.	0
On the other hand, death squads and militias composed of independent elements spread terror and commit acts of execution and kidnapping.	0
A senior government official who participated in the recruitment process told the Commission that tribal leaders were receiving donations and gifts for their recruitment efforts and according to the number of people they were able to recruit.	0
The program had begun to note interconnections and develop pencil drawings that might be of interest to other countries, and the team commended the way in which findings were being shared at the international level.	1
The military component of the operation will continue to implement its new concept of operations, cooperate with the Licorne force to help the parties implement the facilitator's proposals for the reintegration of Forces Nouvelles personnel into the national police and the army and prepare contingency plans for possible stabilization interventions in order to prevent acts of violence aimed at disrupting the operation. peace.	0
The group will create and maintain an online data repository to collect unedited documents submitted by contact group participants, which reflect their views on international efforts since 2008 to combat piracy off the coast of Somalia, and make those documents available to researchers, analysts and policy makers.	1
For example, in a unique move, the United Nations Fact-Finding Mission on the Gaza Conflict () used public hearings as part of its investigative methodology to ensure an inclusive process, allow victims to have their voices heard where they had not previously been able to do so, and uphold their rights to truth and access to justice.	1
The state has imposed blatantly discriminatory restrictions on women with the aim of perpetuating the gender stereotype of Korean women as pure and innocent beings.	0
Within the framework of this scheme, great efforts were made to cover eligible minorities.	1
2. This report covers the period from 1 July to 31 December 2014. It gives an overview of developments and trends of events in the West African region, and presents the activities undertaken by the Office in the areas of good offices and capacity-building at the subregional level to address cross-border and multi-faceted threats to peace and security, good governance, and respect for the rule of law and human rights. Taking into account gender considerations.	1
Initial measures 39. Solving a crime of this magnitude requires strong administrative capacity, clearly defined roles, strong coordination and access to sufficient competencies, manpower, equipment and means of assistance.	0
However, after a number of years of war and as a result of strong international pressure, the government and the main rebel movement in the south, the Sudan People's Liberation Movement/Army, entered into peace talks in 2002.	1
4. The Committee is also concerned with classifying, from the point of view of international criminal law, the violations of international human rights law and international humanitarian law that it may establish. This legal classification is implicitly required for the other tasks he has set for the Security Council Committee, namely (a) to determine whether such violations amount to genocide, and (b) to identify the perpetrators of those violations.	1
The following is a brief overview of those reports, illustrating the framework of the fact-finding mission and investigations undertaken by the Committee. In the sections that follow this overview, individual incidents will be presented according to the type of violation or international crime identified.	1
- Allowing a number of Yugoslav and Serb military and police personnel to return to Kosovo and Metohija (paragraphs 4, 6 and 10 of Annex 2 and paragraph 4 of the Military Technical Agreement).	1
For example, Europe has the European Union and the Schengen Agreement; The Economic Community of West African States (ECOWAS); the Southern African Development Community, in Africa; The Association of Southeast Asian Nations() as well as the Commonwealth of Independent States(); The North American Free Trade Agreement in North America (); Central American Integration System, in Central America(); The Andean Community and MERCOSUR, in South America, are moving towards merging to create the Community of South American States.	1
Call on all relevant parties to ensure that issues relating to the protection, rights and well-being of women and girls affected by conflict, specifically, are included in all peace processes, peace agreements and post-conflict recovery and reconstruction plans and programmes.	0
:: Assessing progress in the peacebuilding process before considering decisions on the United Nations withdrawal and/or transition from one form of engagement to another, which could include: (a) the level of support and commitment of the international community; (b) ways to strengthen the capacity of United Nations country teams to enable them to continue supporting long-term peacebuilding efforts in countries on the agenda; and (c) the opportunities and risks that peace consolidation presents to specific countries.	1
In all of these locations, the team was informed that there had been no recent recruitment attempts, but that the situation could change if conflict erupted again in CÃ´te d'Ivoire.	1
While most Ivorian stakeholders, including President Gbagbo and Prime Minister Soro, made positive comments about the operations of the mobile courts, the opposition Rally of Republicans complained that many Ivorians were unable to access the mobile courts, particularly in the Western Region, due to The presence of militias, even if they are inactive.	0
The police fired tear gas to disperse supporters of both parties who were throwing stones in the streets.	0
53 - INTERPOL is also in the process of establishing its own electronic weapons tracing system to assist national law enforcement agencies in tracking the illicit transfer and use of firearms.	1
âThe Security Council requests the Secretary-General to strengthen cooperation between the United Nations and the member States of the Economic and Monetary Community of Central Africa with a view to facilitating and strengthening initiatives to address cross-border insecurity in the subregion and to put an end to violations by armed groups of the territorial integrity of the Central African Republic.	1
They are widely used in inter-state conflicts and are the weapons of choice in civil wars, acts of terrorism, organized crime and guerrilla warfare.	0
60. Decides to extend the mandate of the current Monitoring Group based in New York, established pursuant to paragraph 7 of resolution 1526 (2004), and the mandate of its members for an additional period of 30 months, in order to assist the Committee in implementing its mandate and to support the Ombudsman, and that the Group, under the supervision of the Committee , with the responsibilities stipulated in Annex I, and requests the Secretary-General to make the necessary arrangements for this purpose;	1
The European Union stressed the need for any national Somali military force to be established within the framework of the national plan to achieve security and stability, and in a manner consistent with the statement of the President of the Security Council of 14 July 2005.	0
The Security Council calls on the Transitional Government of National Unity to begin working immediately with the International Committee for Support to the Transition and the United Nations Organization Mission in the Democratic Republic of the Congo to establish mechanisms to enhance coordination, with a view to accelerating security sector reform, adopting basic laws and preparing for elections.	1
A sanctions regime is only effective to the extent that it is well understood, especially by Member States, whose participation is crucial in contributing to strengthening the list and ensuring that it is followed by appropriate enforcement.	1
The Security Council reaffirms the importance of the principle of non-refoulement and the right of refugees to return voluntarily to the [affected country], and encourages countries neighboring the [affected country] to protect all persons fleeing violence in the [affected country], including [people from a specified area In the region]. Urges all Member States, based on burden-sharing principles, to support these countries in assisting refugees and affected communities...	0
17. The Office of Information and Management will continue to expand and update the Committee's website and increase the number of links available to the websites of the United Nations and other entities with counter-terrorism mandates.	1
Meanwhile, the transitional government of the Democratic Republic of the Congo is still considering issuing international arrest warrants against leaders of armed groups in Ituri.	0
Most States have enacted laws establishing national aviation security authorities and implementing aviation security standards, but few have provided information on the implementation of the relevant annexes to the Convention on International Civil Aviation.	1
27. Due to, for several reasons, including the wide expanse of Western Sahara, it was not possible to obtain a comprehensive picture of the number of mine/explosive remnants of war incidents in the Territory.	1
14. The Committee, together with its Working Group on Assistance, continues to work to improve the effectiveness of the Committee's assistance mechanism.	1
27 - Providing sustainable alternatives for former combatants is an essential aspect of the process of disabling armed groups.	1
First, the Security Council has recognized in several resolutions that international law considers that when grave violations of international human rights law and serious violations of international humanitarian law are committed that would constitute crimes under international law, states have a duty to investigate these acts and initiate judicial prosecution against the person who committed them. It is claimed that he is responsible for those violations, whenever there is sufficient evidence to prove this.	1
187. With the exception of a few cases, there is no military justification related to any specific activity by rebel forces for the reported incidents. This reinforced the impression among observers that the civilian population had been knowingly and deliberately targeted in order to achieve common or specific goals and interests of the government and the Janjaweed militias.	0
The following sections provide a description of the Commission's factual findings regarding patterns of attacks on civilians in the three states of Darfur.	0
17 - I believe that the task of revealing the fate of missing Kuwaitis and third-country nationals is an urgent task and should not be subject to political factors and considerations.	0
Three countries have established a legal framework that addresses maritime security conditions and have partially implemented the international mandatory standards related to port and ship security set forth in the International Code for the Security of Ships and Port Facilities.	0
The effective functioning of the Court is a prerequisite for reversing the prevailing state of impunity in Darfur.	1
Members of the rebel groups were named as suspects of engaging in a common criminal trend to commit international crimes and as persons potentially responsible for failing to prevent or suppress the commission of crimes committed by the rebels, despite their knowledge of them.	0
Where possible, governments work with their regions to encourage them to develop appropriate domestic counter-terrorism laws, but improvements to these frameworks are needed in many cases.	1
IX. Benchmarks 59. The benchmarks jointly set by the Malian authorities, MINUSMA and the United Nations country team focus on three priority tasks identified in Security Council resolution 2164 (2014), namely security, stabilization and protection of civilians; Supporting the process of national political dialogue and national reconciliation; Providing support to re-establish state authority throughout the country, rebuilding Mali's security sector, promoting and protecting human rights, and providing humanitarian aid.	1
At the 7109th meeting of the Security Council held on 12 February 2014, in the context of its consideration of the item entitled âProtection of civilians in armed conflictsâ, the President of the Security Council issued the following statement on behalf of the Council:	0
Following a visit by Margot Wallstrom, my Special Representative on Sexual Violence in Conflict, to Angola and the Democratic Republic of the Congo, she made a statement on 16 March calling on both countries to investigate allegations of sexual violence that occurred in the context of expulsions and to take practical action to prevent them from occurring. These crimes.	0
She also visited 30 sites where incidents had occurred and met with local authorities, particularly the armed forces.	0
The first is that some countries do not appear to have done enough to ensure implementation of the embargo; The second lies in the different ways in which states interpret their obligations. The third relates to the scope of the arms embargo and its connection to the continuous change in methodologies for achieving its goals.	0
11 - Based on a two-track investigation, one of which was Lebanese and the other carried out by the United Nations, a unified, complementary investigation emerged, which was carried forward, side by side, by both the Committee and the Lebanese authorities.	1
At the end of the reporting period, AMISOM consisted of a protection force of 4,100 personnel, 634 military observers and 862 police officers, as well as international civil servants.	1
This includes those who are determined to be of pivotal importance in the ideological indoctrination and recruitment of suicide bombers.	0
(b) Actively participate in the work of the Counter-Terrorism Implementation Task Force established to assist Member States in their implementation of the Global Strategy.	1
No eyewitnesses reported that leaflets were distributed, warnings were given on the radio or by tribal elders, or that planes flew at low altitudes over villages to warn civilians of an imminent attack.	0
119. In light of this situation, the Group has taken several initiatives to carry out its mandate of monitoring the travel ban and proposing recommendations for its improvement. These include increasing contacts with Member States and key international organizations; Conduct investigations into the use of forged travel documents by terrorists and find ways to improve national and international systems; Holding regular discussions with INTERPOL on ways to enhance coordination between the United Nations and INTERPOL; Investigate the emerging trend of free movement and visa-exempt areas, and their connection to UN sanctions; The relationship of practices related to refugees and asylum seekers to United Nations efforts to combat terrorism.	1
Women and children, particularly girls, have been affected by new violence and conflicts resulting from the proliferation of militias and armed groups, in some cases linked to violent extremism, while many protracted conflicts remain unresolved.	0
9. Indeed, the situation of human rights defenders throughout the country represents another cause for serious concern. Many of them are vulnerable to harassment, arbitrary arrest and unjustified detention.	0
1 - Expresses its determination to take appropriate steps to further develop cooperation between the United Nations and regional and subregional organizations in the maintenance of international peace and security, in accordance with Chapter VIII of the Charter of the United Nations, and invites regional and subregional organizations capable of preventing conflicts or maintaining peace. To place these capabilities within the framework of the United Nations system of standby arrangements;	1
As demonstrated above, this approach benefits from its increased understanding of the continuing challenges of countering terrorism, which it has gained from its effective dialogue with States, including within the framework of country assessment visits. The Executive Directorate continues to make specific referrals for technical assistance that meet specific needs in the countries it visits. It does so on a targeted basis to donors that have been deemed responsive, either because they are involved in programs currently being implemented in a specific country or because they have a keen interest and strong capacity in the relevant technical area.	1
(c) Encourage States to increase the exchange of information among border control authorities at the regional level, and to strengthen border security at points of entry to prevent the illicit cross-border movement of persons, goods and weapons/explosives.	0
The improvement of relations between Chad and Sudan, and the vigilance of the National Security Forces and the Joint Border Security Forces, were also noted as important factors contributing to this.	1
Israel must also refrain from taking unilateral actions in Jerusalem that would change the status quo or undermine confidence.	0
As of February 1, the petitioners have not received any response. On 3 February, the petitioners abandoned their barracks, leaving their weapons behind. They gathered in Dili and sought to meet the president on February 7.	1
73. Changes are needed to the reasoning mechanism, both for delisting and for remaining on the list, to ensure timely implementation and substantive content that properly reflects the analysis and conclusions of the independent reviewer.	0
The team believes that Al-Qaeda is still diversifying its threats, as a group of affiliated elements with weak ties to Al-Qaeda has emerged, and independent extremist individuals and cells have emerged guided by Al-Qaedaâs ideology.	0
Incidents caused by cluster munitions dropped by NATO forces have decreased significantly as a result of a change in strategy that has significantly accelerated the elimination of accessible cluster explosive units.	0
:: Relations with other bodies of the United Nations, including the Secretary-General and his office, and other subsidiary bodies of the Security Council working in the field of counter-terrorism.	1
35 - In mid-March, Brigadier General Ruak announced the retroactive demobilization of 594 soldiers, effective March 1.	1
232 - The estimated population affected by the conflict in Darfur, added to the number of refugees in Chad (1.65 million displaced persons, 627,000 people affected by the conflict in other ways, and 203,051 refugees) amounts to a staggering figure of approximately 2.5 million people affected in one way or another - the majority of whom The great number of people displaced from their homes.	0
All States have taken steps to regulate the production, sale and transfer of weapons and explosives, but only four States are fully implementing these measures.	1
17 - Exemptions to the travel ban permit travel when the Committee determines that such travel is justified on the basis of humanitarian need, including religious duties, or when the Committee concludes that such an exemption would serve the objectives of Council resolutions, in order to achieve peace and national reconciliation. In CÃ´te d'Ivoire and stability in the region.	1
In accordance with the review it carried out mentioned above, the Group has practically proven the incorrectness of the June 2005 report of the International Crisis Group, which was widely reported to be that the helicopter destroyed by the French in Yamoussoukro on 6 November 2004 was Guinean. .	1
In 2009, Tunisia, followed by Libya in 2010, expanded the scope of obligations in the field of combating money laundering and combating the financing of terrorism by including certain commercial institutions and non-financial professional communities within the framework of the obligation to pay due diligence to verify the identity of customers, maintain records, and report suspicious transactions.	1
Since these groups are groups designed as an internal mechanism to enhance expertise, continuity and contribution to the main activities of the Executive Directorate, they will initially be established in the following functional areas:	1
At the request of the Alliance of Patriots for a Free and Sovereign Congo, MONUSCO supported the efforts of this coalition to integrate into the armed forces.	1
Almost half of these people are still missing, and many of them are feared dead.	0
We therefore urge the members of the Council and the Group of Friends of Haiti to view positively these recommendations made by the Secretary-General.	0
As at 31 August, more than 29,000 refugees had returned to their homelands, including 11,724 refugees with assistance from the United Nations High Commissioner for Refugees and some 18,000 refugees who had spontaneously returned to Liberia.	1
The Court of First Instance’s push to issue an arrest warrant against a head of state on March 4, 2009, sparked massive popular reactions and dealt a new setback to hopes for peace and stability.	0
In this context, Council members stressed the need to draw lessons from the armed confrontation that followed the presidential elections held in the country in 2010.	0
In July 2005, 93 per cent of detainees were in pre-trial detention centers and the figure may now be higher.	0
A number of communications resulted merely in an exchange of opinions and/or statements of facts.	1
86 - Seven countries have developed strategies to combat terrorism and created the institutions necessary to implement them.	1
The Special Court for Sierra Leone, the first war crimes court since the Nuremberg trials to be based in the country where the atrocities occurred, is determined to prioritize public awareness and dissemination of justice.	1
âThe Security Council encourages national Governments, the United Nations and regional and subregional organizations to expand and deepen civilian expertise in peacebuilding in the immediate aftermath of conflicts, including experience gained in countries with experience in peacebuilding or democratic transition in the post-conflict period.â With special attention to mobilizing the capabilities of developing countries and women, as this is of great importance to the success of the United Nations in its peacebuilding endeavors.	1
2 - The criminal shall be punished with imprisonment for a period of three to ten years.	0
However, concerns remain for the 2.3 million people still living in a crisis situation.	0
32 - Requests the Secretary-General to include in his reports to the Council on the situation in specific countries more comprehensive and detailed information on the protection of civilians in armed conflict, including on protection-related incidents and actions taken by parties to the conflict to implement their obligations to respect and protect civilian populations, and to It includes information specifically relating to the protection needs of refugees, internally displaced persons, women, children and other vulnerable groups;	1
13. At the conclusion of the meeting, the parties approved the communication prepared by my Personal Envoy, contained in Annex I to the present report, and reiterated their commitment to continue negotiations in Manhasset at a date to be determined by mutual agreement.	0
This includes those detained by the National Security and Intelligence Services in a secret detention facility in Khartoum, which the Commission discovered and inspected.	0
(d) An advocacy visit by the Chair of the Counter-Terrorism Committee or the Executive Director (or both), possibly accompanied by one or more members of the Committee, aimed at raising public awareness of the threat of terrorism and focusing high-level political attention, within the Government or Parliament concerned, on The importance of implementing resolution 1373 (2001) (eg by adopting or passing counter-terrorism legislation);	1
The Security Council welcomes the Secretary-Generalâs intention to visit the Sahel region, later this year, alongside the President of the World Bank Group, and looks forward to briefing the Security Council following this visit.	0
11. In the same informal consultations, the Committee heard, in a video conference, a briefing by, at its request, two representatives of the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo, which addressed the Missionâs mandate with regard to monitoring sanctions, and to tracing and marking of weapons in particular.	1
Many of the reports relate to the abduction of women.	0
Some 1.8 million people have been forcibly displaced as refugees or internally displaced persons and are in need of protection.	0
Acknowledges the harmful impact of the proliferation of arms, in particular small arms, on the security of civilians resulting from the fueling of armed conflict, and encourages [the Mission] to continue its efforts in providing assistance to the Government of the [affected area] with regard to the process of disarmament of civilians, in particular by strengthening the capacity of the authorities Local authorities will help deter inter-communal conflicts and monitor forced civilian disarmament initiatives to prevent disarmament operations that could exacerbate the state of insecurity in the [affected area].	1
âThe Security Council bears in mind the need to continue discussing with international, regional and subregional organizations and arrangements the issue of exchanging experiences and lessons learned in the areas covered by resolution 1540 (2004), and the availability of programs that can facilitate the implementation of the resolution and the areas in which they can provide assistance, by means of Including appointing a focal point or coordinator for the implementation of resolution 1540 (2004).	0
It calls for adherence to international law and for all parties to implement their obligations and the road map in order to achieve the vision of two states living side by side in peace and security.	0
Three days later, Al Jalil purchased 25 AK-47 assault rifles, 2 anti-aircraft guns, 6 PKM machine guns, 4 RPG-2 rocket launchers, and ammunition.	0
59. As part of the Mission's ongoing efforts to increase local capacity-building and in order to ensure cost savings, the Mission proposed converting eight international posts and four United Nations Volunteer posts to national posts in the 2008-2009 fiscal year. A recommendation was also made to establish an archives unit, consisting of an international staff member and a national General Service staff member.	1
The common objective element (knowledge of the systemic nature of forced displacement) lies in the fact that the displacement clearly amounts to a government policy that the relevant government authorities and the Janjawid have been following.	0
(i) Facilitating research into areas covered by the three resolutions that require further study, including analysis of trends and methods of terrorism at the global and regional levels, and analysis of counter-terrorism measures;	1
As will be explained below, the Committee has collected very basic materials that it believes provide support for the use of the term âJanjaweedâ within the limited framework of the Committeeâs mandate, as a general term to describe Arab militias operating under the command of the Sudanese government authorities, or with their support, or in collusion with them or condoning them. Which benefits from impunity for its actions.	1
2 - The Republic of Croatia, as the Chair of the Counter-Terrorism Committee of the Security Council and one of the first States to encourage the establishment of the Global Counter-Terrorism Alliance, strongly condemns international terrorism in all its forms and manifestations, and, taking into account the danger of terrorism merging with other threats to international peace and security - such as the proliferation of weapons of mass destruction, transnational organized crime and cyberterrorism - urges that international cooperation become stronger to suppress this contemporary scourge.	0
The Committee strongly recommends that Member States establish such national bodies in order to coordinate and discuss counter-terrorism issues. Third - failure to submit reports	0
42 - Before the security forces began their action, those who were able to take to the streets saw that no one had started the march or acted in a threatening or provocative manner.	0
Where the allegations are proven true and the victim identifies the rapist, it is recommended that the case be referred for prosecution to the local public prosecutor's office.	1
Furthermore, measures exempting from the Covenant must not discriminate on grounds of race, colour, sex, religion or social origin.	1
The meeting also recommended that the assembly of fighters, the disarmament and dismantling of militias be expedited and that the government ensure appropriate funding for the process of assembly and reintegration of former combatants.	1
Panel discussions, briefings, publications, reports to the Security Council, staff capacity strengthening, and five regional consultations on gender mainstreaming in the program of work on illicit small arms and light weapons.	1
Providing support to hospitals treating rape victims (medical and surgical care, confidential voluntary psychological treatment after rape, treatment of sexually transmitted diseases).	1
1 - Pursuant to paragraph 4 of Security Council resolution 1956 (2010) which requires the Government of Iraq to report to the Security Council no later than 1 May 2011 on progress towards the transition to a post-Development Fund for Iraq mechanism, we wish to inform the Security Council that the Government of Iraq has completed the procedures to ensure a full and effective transition to a post-Development Fund for Iraq mechanism. These procedures have taken into account the following:	1
But despite this increased presence, the hazelnut harvest season led to a sudden spike in criminal activity, including three shootings, one of which was fatal, four kidnappings and forty armed robberies.	0
26. On a smaller scale, the Forces Nouvelles use the natural resources under their control to finance their military activities and for their personal gain. Cocoa smuggled into Ghana and Togo crosses the northern region, and Forces Nouvelles units collect tolls along the routes they control. In addition to cotton and diamonds, which will be discussed below, the production of timber, gold, sugarcane, and coffee contributes to the New Forces' economy, from which its army benefits.	0
10. The measures taken by States cover prohibited activities by non-State actors as set out in paragraph 2 of resolution 1540 (2004) with respect to nuclear, chemical and biological weapons and their means of delivery, and controls on related materials, in accordance with paragraph 3 of the resolution. ).	0
Decides to entrust [the mission] with the following mandate in the order of priorities set out below: Protection of civilians (g) Support the efforts of the Government, together with international partners and neighboring countries, with a view to creating appropriate conditions for the safe, voluntary and dignified return of internally displaced persons and refugees, or voluntary integration or resettlement at the level the local.	1
For example, the Al-Qaeda cell that carried out the November 2003 bombings in Istanbul had originally intended to rent a quarry so that it could obtain dynamite legally, but it abandoned that plan and used improvised explosives instead.	0
6. In Mali, terrorists almost destroyed the infrastructure of the State, affecting the stability of the country and the entire region. Al-Qaeda in the Islamic Maghreb, the Group for Oneness and Jihad in West Africa, and Ansar Dine are still active in northern Mali, with repercussions affecting neighboring countries. They have jeopardized the presence and activities of MINUSMA and its activities.	0
15 - There is a serious danger posed by the increasing use by terrorist groups and individuals of modern information and communications technologies for recruitment, incitement and fundraising, often across international borders.	0
In their comments, Council members expressed grave concern over recent developments, stressed the need to establish border security mechanisms, and called on both parties to take steps to normalize their relations.	0
In accordance with international jurisprudence, one can also, in case of doubt, determine: (a) whether a group of persons is, in fact, seen and treated as belonging to a protected group, and (b) whether this group sees itself as being covered by one Of these groups ().	1
In addition to other reliable information, the Commission recorded the testimony of persons arrested in the context of the conflict in Darfur and currently detained in Khartoum, relating to the torture and inhuman and degrading treatment to which they were subjected.	0
Ensure effective coordination and implementation of mine action policy and guidelines for mine action programmes. Inter-Agency Working Group on Disarmament, Demobilization and Reintegration (chaired by the Department of Peacekeeping Operations and UNDP) The Working Group provides strategic advice including on training modules, policies and strategies; It administers and reviews the guidelines developed by the United Nations in the field of disarmament, demobilization and reintegration; Develops and manages the United Nations Resource Center on Disarmament, Demobilization and Reintegration; It facilitates the planning of disarmament, demobilization and reintegration operations among the various United Nations agencies involved.	1
7 - Parliamentâs adoption of the electoral law would enable the Independent Electoral Commission to set the electoral timetable and move forward with organizing the elections.	1
On 8 July 2004, an Additional Protocol was adopted in Addis Ababa establishing the necessary mechanisms and bodies for the implementation of the Convention.	1
It can be said that the town of Kalbus was a military target, as the camp located there attests.	0
The Assistant Secretary-General reported that armed groups continued to spread terror among the population in areas under their control by committing killings, kidnappings, torture, ill-treatment and other gross human rights violations, including the destruction of homes and the seizure of property, and he also reported continued allegations of of volunteers and government-controlled human rights violations.	0
3 - Urges Member States as a matter of priority to ratify, accede to or implement relevant international conventions, such as the Single Convention on Narcotic Drugs of 1961, as amended by the Protocol of 1972, the Convention on Psychotropic Substances of 1971 and the United Nations Convention against Illicit Traffic in Drugs Psychotropic Substances Act 1988, the United Nations Convention against Transnational Organized Crime 2000 and its Protocols, the United Nations Convention against Corruption 2003, and the international conventions and protocols against terrorism;	0
The Committee cannot agree with the Government's position that statistics related to the work of the committees indicate a rate of incidence of rape that is much lower than the rate reported by other sources such as the United Nations, the African Union, and other national and international organizations.	0
59 - All countries have policies to combat terrorism, and most of these policies demonstrate their awareness of the existence of Al-Qaeda and the Taliban, although it is possible that the interest of many countries is not primarily focused on the unified list.	1
The United Nations system is implementing joint programming initiatives under the support strategy with good results, although there is a need to strengthen the link between the various programs and the Government's stabilization efforts.	1
Recognizing that the Security Councilâs consideration of the issue of the protection of journalists in armed conflict is based on the urgency and importance of this issue, and recognizing the valuable role that the Secretary-General can play in providing further information on this topic,	0
65. Integrated planning to guide United Nations engagement and operations in support of implementation of the mandate before and after the referendum period was completed in July, and UNMIS and the United Nations country team established structures to coordinate identified priorities.	1
Likewise, the Security Council Committee established pursuant to resolution 1518 (2003) maintains a non-binding and non-exclusive list of âmoney and financial assetsâ and âeconomic resourcesâ, noting that the latter phrase includes âassets of any kind, whether physical or intangible, movable or immovable property, which is not moneyâ().	1
Determining that the situation in Afghanistan constitutes a threat to international peace and security in the region,	0
Recalling the responsibilities of States to end impunity and prosecute those responsible for genocide, crimes against humanity, war crimes and other heinous crimes against civilians, and noting with concern, in this regard, that only a limited number of perpetrators of acts of sexual violence have been brought to justice At the same time, while recognizing that national justice systems can be significantly weak in conflict and post-conflict situations,	0
The evidence before the committee proves that Member of Parliament Leandro Isaac was involved in some way in the incident. As a result of this incident, a National Police Force officer was killed, and two National Defense Forces soldiers were injured.	0
Rehabilitation approaches vary across countries, but greater attention is being paid to sharing experiences and establishing best practices in this field.	1
In implementation of the plan, the two intend to unify the various militias under their control and equip and train them in Far Far (Ethiopia) and Wajid (Bakool Region).	1
(c) Destroying public installations or transportation and communications networks, including information networks, fixed installations on the continental shelf, power and water stations, medical facilities and other important facilities, or public places and property, or causing damage to any of them with the aim of endangering human life, Or undermine the safety of any facilities, networks or places, or expose property to the risk of serious damage;	0
Urging relevant regional and/or subregional bodies to develop and implement policies, activities and advocacy in the interest of internally displaced persons and refugees.	1
Endorsing the work already undertaken by the Committee established pursuant to resolution 1540 (2004), henceforth referred to as the 1540 Committee, in accordance with its fifth program of work,	0
23 - The United Nations Observer Mission in Georgia and the CIS peacekeeping force continued regular coordination visits, weekly quadripartite meetings, information exchange and joint patrols.	1
All States in the subregion have established in their legislation relevant crimes adequate jurisdiction to prosecute terrorism-related crimes.	1
Lists containing the names and serial numbers of the weapons were drawn up, but the recipients did not sign their receipt of the weapons.	0
First, while Sierra Leone is the most advanced member of the West Africa Coast Initiative, the slow pace of progress elsewhere is hampering intelligence sharing and early warning.	0
Develop a unified system for managing and monitoring cases of gender-based violence; Develop a checklist for senior managers on the High Commissionerâs five commitments to refugee women.	1
In the immediate aftermath of the explosion, the security, military, and civil defense agencies, as well as the Red Cross, rushed to the crime scene to perform their duties.	0
