ar_en_GOOGLE	VerCoop
The Council urges the United Nations Organization Stabilization Mission in the Democratic Republic of the Congo, the United Nations Integrated Peacebuilding Office in the Central African Republic, the United Nations Mission in South Sudan and other United Nations actors in the LRA-affected area to continue to work with regional powers. and non-governmental organizations to encourage defections and support disarmament, demobilization, repatriation, resettlement and reintegration efforts throughout the LRA-affected area.	1
The Georgian leadership is firmly committed to the peaceful settlement of the ongoing conflict on its territory, appreciating the importance of ethnic integration and integration, and the importance of protecting human rights and freedom.	1
23. As noted above, the Executive Directorate has developed particularly strong relationships with some regional and subregional organizations, including the Caribbean Community and the Inter-American Committee against Terrorism of the Organization of American States, in the Americas; The African Center for Studies and Research on Terrorism, the African Union, the Anti-Money Laundering Task Force in Eastern and Southern Africa, the Economic Community of West African States, the Capacity Building Against Terrorism Program of the Intergovernmental Authority on Development, the Intergovernmental Task Force to Combat Money Laundering in West Africa, and the Community Southern African Development Development, in Africa; The Committee of Experts on the Evaluation of Measures to Combat Money Laundering and the Financing of Terrorism, the Council of Europe, the European Union, the European Agency for Judicial Cooperation, and the Organization for Security and Cooperation in Europe; The Shanghai Cooperation Organization and the Commonwealth of Independent States in Europe; the Pacific Islands Forum in the Pacific; The Asian Development Bank, the Association of Southeast Asian Nations, and the South Asian Association for Regional Cooperation in Asia.	1
The situation in Syria is of deep and growing concern to the United Nations.	0
(b) Criminalizing the intentional provision or collection by nationals of these States of funds, by any means, directly or indirectly, on or in their territories to be used in terrorist acts, or in the knowledge that they will be used in terrorist acts;	0
After explaining that the transition process takes time, he stressed the need for joint political action against armed opposition groups that threaten any peace process.	1
Another speaker reiterated that due consideration should be given to Member States directly concerned or specifically affected by the conflict, by giving them the opportunity to make a formal statement.	1
13. The Committee will organize a special meeting open to all members and other relevant stakeholders with a view to commemorating the tenth anniversary of the adoption of resolution 1373 (2001) and the establishment of the Committee, in accordance with resolution 1963 (2010).	1
11 - Requests the Secretary-General to include in his next report a comprehensive assessment of the Missionâs disarmament, demobilization and reintegration and disarmament, demobilization, reintegration, resettlement and repatriation programmes, and to provide, in close coordination with his Special Envoy to the Great Lakes Region, recommendations on possible adjustments Their introduction is needed to increase their effectiveness, resources and coordination with the military component of the mission;	1
I have the honor to recall Security Council resolution 1606 (2005) of 20 June 2005, in which the Council requested me to initiate negotiations with the Government of Burundi and consultations with all Burundian parties concerned on how to implement the recommendations contained in the report of the evaluation mission (see S/2005/158 ) Establishing a mixed fact-finding committee and a special chamber within the court system in Burundi. I was also requested to submit, by 30 September, a report to the Council on implementation details, including costs, structures and timeframe.	1
The expert group recommended, inter alia, the establishment of an independent international mechanism entrusted with concurrent tasks to monitor the domestic accountability process and conduct independent investigations.	1
The Analytical Support and Sanctions Implementation Monitoring Team established pursuant to Security Council resolution 1526 (2004), whose mandate was extended by Security Council resolution 1904 (2009) relating to Al-Qaida, the Taliban and associated individuals and entities, has the honor to transmit its eleventh report, in accordance with resolution 1904 (2009). ).	1
He also referred to the attack on the base of the United Nations Multidimensional Integrated Stabilization Mission in Mali, in Kidal, on 7 October.	0
Recalls the conclusions endorsed by the Security Council Working Group on Children and Armed Conflict in [the country concerned]â¦, calls upon all parties to desist serious violations and attacks against children in [the country concerned], and urges the Governmentâ¦ to prepare and implement a plan Concrete, practical and time-bound action to stop the recruitment and use of children, and requests the Secretary-General to continue to engage in dialogue with the Government... in this regard, and reiterates its request to the Secretary-General to strengthen the child protection component of [the Mission] and to ensure continued monitoring of the situation of children in [the country concerned] ] and reporting it;	1
69. The Panel examined the landing of an AN-124 aircraft carrying 392 tons of cargo from Belarus on 16 October 2004, i.e. shortly before the embargo. The plane continued its journey to LomÃ©, Togo, and the flight was connected to Darkwood (see case study 1 below).	0
26 - The United Nations Alliance of Civilizations has established programs in Africa to prevent the sowing of extremism. One such program focuses on local communities in Nigeria and targets youth, women and community leaders to facilitate dialogue and interaction among members of different groups.	0
This guide is designed to be a source of information on counter-terrorism best practices, model laws, and available assistance programs.	1
This is evident in the groups fighting in Somalia, Yemen, the Syrian Arab Republic, and Nigeria.	0
29. The Committee encourages the Executive Directorate to continue its analysis of regional and thematic issues, including for the purposes of providing briefings to the Committee and all members, taking into account the evolving global situation and focusing on key topics such as the use and abuse of new information and communications technologies, the protection of the rights of victims of terrorism, and emerging challenges related to prosecution Judicial issues of terrorism, establishing strategic partnerships with relevant non-state actors (including women and youth groups, religious leaders, media and the private sector), protecting tourism infrastructure, kidnappings for ransom, and addressing violent extremism and crimes that finance terrorism.	1
The budget I proposed for that mission for the full twelve-month period from 1 July 2005 to 30 June 2006, including election support requirements and additional civilian police personnel authorized by the Council in its resolution 1621 (2005), is being prepared and will be provided That budget will be submitted to the General Assembly soon for its review and action.	1
The Directorate and the African Center facilitated an initiative to promote the use of international databases by countries in the Sahel region in order to enhance coordination, information exchange and cooperation between police and border authorities.	0
:: Consider how more effective implementation of the Women, Peace and Security Program can contribute to improving security for all and achieving lasting peace	0
Furthermore, Ms. Blamey introduced three child delegates participating in the Children&#39;s Forum, Wilmot from Liberia, Eliza from Bosnia and Herzegovina and Jose from East Timor, who spoke of their personal experiences and described the situation of children suffering from armed conflict and called for an end to wars.	1
87 - This mixed control over the Somali marine environment has led to the creation or strengthening of three important sources that generate income for local administrations, which are as follows: (a) the export of a group of basic commodities from Somalia, including large commercial quantities of coal, (b) the arrival of ships Unrestricted foreign fishing for Somali marine resources and fisheries, (c) widespread incidents of piracy.	0
Emphasizing that safe havens for terrorists remain a source of serious concern and that all Member States must cooperate fully in the fight against terrorism in order to find any person who supports, facilitates the financing, planning, preparation or commission of terrorist acts, provides safe haven, participates in or Trying to participate in that, not granting safe haven to that person, and bringing him to justice based on the principle of either extradition or trial,	1
Urges troop- and police-contributing countries to take appropriate action to prevent sexual exploitation and abuse by their personnel, including conducting awareness-raising training before deployment and in the field and promoting the Secretary-General&#39;s Bulletin on Special Measures for Protection from Sexual Exploitation and Abuse (ST/SGB/2003/13 ) and ensure compliance therewith.	1
When international forces began arresting people, the small number of judicial sector staff organized preliminary hearings and detention hearings.	0
The Council stresses the need for all parties to commit to respecting and maintaining the security and civilian character of camps for refugees and internally displaced persons.	1
48. To be effective, it is essential to initiate a freeze on all targeted assets held by a listed individual or entity once such designation has occurred.	0
This is what makes the Iranian leadership&#39;s irresponsible threatening rhetoric even more disturbing.	0
These children were seen wearing uniforms and carrying weapons in and around the rebel camps.	0
One of the soldiers sustained a minor injury to his finger as a result of a grenade explosion.	0
The Security Council looks forward to being informed of the mission&#39;s conclusions and recommendations.	1
Emphasizes the responsibility of the United Nations country-level monitoring and reporting task forces and United Nations country teams, each according to their mandate, to ensure effective follow-up to Security Council resolutions relating to children and armed conflict, and to monitor progress and report back to the Secretary-General, in close cooperation with his/her relevant Special Representative children and armed conflict, and ensuring a coordinated response to issues related to children and armed conflict;	1
The Mission is conducting its own investigations and supporting the efforts of the National Police in investigating the incident.	0
The Council reaffirms that the development of a comprehensive peacebuilding programme, with a particular focus on disarmament, demobilization, rehabilitation and integration of combatants, will be important in the post-conflict phase of Somalia, as stated in the statement of its President of 28 March 2002 (S/PRST /2002/8).	1
The MDC candidate has little or no access to the media in Zimbabwe; He is prohibited from organizing campaigns freely; Campaign buses and cars were reportedly seized by the state, allegedly because of their illegal registration.	0
(a) The Chief of the Branch in the Office for Disarmament Affairs shall conduct a technical review of the project to determine its consistency;	0
(c) Encouraging States to take measures to prevent the misuse of money transfer networks by those involved in the financing of terrorism.	1
34 - Transparency is a fundamental principle guiding the work and activities of the Committee, helping to strengthen confidence, encourage greater cooperation, and raise awareness among States, relevant international, regional and subregional organizations, civil society and the private sector on issues related to resolution 1540 (2004), thus facilitating the implementation of the resolution by States. 35. Transparency and media communication are closely interlinked.	1
The incident in northern Mitrovica has clearly shown that, despite the Security Council&#39;s mandate regarding the reconstitution of UNMIK, the EU Rule of Law Mission in Kosovo is increasingly moving away from the principle of status neutrality, undermining the existing international presence. .	0
Further urges the Secretary-General to strive to increase the role and contribution of women in United Nations field operations, especially among military observers, civilian police and human rights and humanitarian assistance personnel.	1
Our policy of proactive action has long-term goals, which are to bring Abkhaz society out of its isolation and introduce it to democratic values and principles that recognize the basic human rights of internally displaced persons and refugees, most importantly the right to return to their homes regardless of their ethnic origins. Creating an environment based on trust and mutual respect.	0
9. The listed Al Haramain Foundation (USA) (QE.A.117.04) has filed a new lawsuit against the Government in the Federal District Court in Oregon, in addition to a previous lawsuit that is pending in the United States. Al Haramain Foundation says that the United Statesâ decision to impose sanctions against it is arbitrary and not based on material evidence, and also violates its right to a due process trial (by failing to explain the factual basis for the governmentâs action and relying on secret evidence that the Foundation has not seen), and its right to protection. From unreasonable search and seizure (based on the decision to freeze her assets), and her right to freedom of expression, association, and freedom to practice religion. Al Haramain also says the government&#39;s refusal to allow it to use frozen assets to pay for its lawyers is a violation of its right to due process.	0
Overall, the Commission has collected very substantial material and testimony that tends to confirm the killing of thousands of civilians in the context of attacks on villages.	0
Calls upon all parties to the conflict to immediately take appropriate measures to protect civilians, including women and children, from all forms of sexual violence, in line with resolution 1820 (2008);	0
She announced that the Secretary-General had received a request from East Timor to become a member of the United Nations, and looked forward to the Council considering this request.	1
In the UAE, the Central Customs Intelligence Unit feeds risk estimates into the electronic customs clearance system.	0
We are deeply concerned that unless all sides exercise a strong will to stop acts of terrorism and violence, the peace process will not be successful.	0
It is unfortunate that this position has not changed despite the Committee&#39;s many attempts to cooperate.	0
True establishment of the rule of law in the Democratic Republic of the Congo requires the formation of an army and the establishment of an effective and democratic justice system and police force.	0
Consistent reports indicate that people were detained for more than the maximum legal period.	0
âThe Security Council considers sanctions to be an important tool in the fight against terrorism, and stresses the importance of the immediate and effective implementation of relevant resolutions, in particular Security Council resolutions 1267 (1999) and 1989 (2011), as a key tool in the fight against terrorism.	0
None of the countries in the region has reviewed the activities of the non-profit business sector or assessed the risks of its use in financing terrorism.	0
Council members agreed that the root causes of the conflict must be addressed and that there is a need for coordinated responses involving all relevant United Nations bodies.	1
The participants pledged to support the signing of a peace agreement, called for strengthening the capabilities of the integrated mission, and committed to strengthening security cooperation at the regional level to combat terrorism.	0
There are several factors working against them, but if they succeed, the threat of terrorism will increase even more.	0
464 - The Committee made recommendations in the areas of security, humanitarian aid, strengthening the social structure, services and development, opening police stations equipped with sufficient supplies to quickly respond to crises, and seizing weapons in the hands of suspects.	1
I have the honor to transmit herewith the report of the Security Council Committee established pursuant to resolution 2048 (2012) concerning Guinea-Bissau, which contains a summary of the activities undertaken by the Committee during the period from 1 January to 31 December 2014.	1
Four countries have fully criminalized the recruitment of terrorists, while the rest have done so either partially or not at all.	1
47 - There has been no noticeable change regarding Hezbollah&#39;s state of alert and its capabilities, as it has more than 12,000 missiles in its possession, according to what the party&#39;s leadership itself reported.	0
The President informed the Council that, during the Committee&#39;s consultations, the Monitoring Team had briefed on its findings with regard to the recovery of Somali assets abroad, and had discussed the issue of the international naval force&#39;s ban on coal and weapons on the high seas and within Somalia&#39;s territorial waters.	1
10 - Emphasizes the urgent necessity of the full and immediate implementation of this resolution with respect to foreign terrorist fighters, and stresses the particular and urgent necessity of implementing this resolution with respect to foreign terrorist fighters associated with ISIS, the Al-Nusra Front, and other Al-Qaeda cells or groups associated with it, splintered from it, or affiliated with it, identified by the Committee, and expresses its willingness to consider including in the list, pursuant to resolution 2161 (2014), individuals associated with Al-Qaida who commit the acts identified in paragraph 6 above;	0
âThe Security Council also reaffirms the need to combat, by all means and in accordance with the Charter of the United Nations, threats to international peace and security resulting from terrorist acts.	1
484. During their discussions with the Committee on their methodology, the Rape Investigation Committees emphasized the broad publicity of their mandate.	1
The mission headed to Daloa by land with a military escort from government forces.	0
(e) Submit a comprehensive program of work to the Committee for review and approval, as appropriate, detailing the activities it envisages to implement in discharging its responsibilities, including proposed travel, by the Monitoring Team, in close coordination with the Executive Directorate of the Counter-Terrorism Committee and the Group of Experts of the Committee established pursuant to the resolution 1540, to avoid duplication and enhance synergies;	1
âThe Security Council calls on the countries of the region to continue to assist each other, to the greatest extent possible, in preventing, investigating, prosecuting and punishing drug trafficking and related transnational organized crimes, and to bring to justice, in accordance with international law, all Whoever finances, plans, supports or commits these acts.	1
In this regard, we would like to repeat what we said on previous occasions, which is that the most dangerous thing this investigation faces is the continued exploitation of some parties, in our region or outside it, of the investigation proceedings to jump to preconceived political conclusions that are not relevant to the requirements of the investigation and are not based on evidence. And solid evidence.	0
Council members are concerned by reports of a Congolese armed forces attack on Equator Province, and have called for an immediate end to the fighting and for all parties to exercise restraint.	0
31. The allegations of the presence of armed demonstrators and elements of rebel groups prepared to attack the security forces or overthrow the President could not be independently verified, as the Commission did not receive any conclusive or reliable evidence in this regard.	0
283. Based on the investigations conducted by the Commission, and based on the pattern of air attacks it established, the Commission is of the view that military forces bear responsibility for a very large number of indiscriminate air attacks that claimed the lives of many civilians.	0
One speaker called for close scrutiny of the work of experts who assist sanctions committees by going to the field to examine the situation on the ground.	1
Following its meeting on 8 September 2010, the Working Group adopted its conclusions on children and armed conflict in Colombia (see S/AC.51/2010/3).	1
Develop a gender action plan in the department to integrate a gender perspective into conflict prevention, peacekeeping and peacemaking activities.	1
(c) Encouraging States to enhance their border security at points of entry with a view to preventing persons, goods and weapons/explosives being illicitly transported across borders, as well as the physical cross-border transfer of currencies and nominal securities. south america	1
Under international law, Israel is obligated, as the occupying state, to protect Palestinian civilians, especially children, and is obligated to preserve civilian property.	0
In practice, both committees reached their conclusions regarding real property rights for the purposes of restitution and not to provide compensation, in accordance with the political will that favors the return of those displaced by ethnic discrimination and sectarian fighting to their places of origin rather than adopting other durable solutions.	0
Urging humanitarian and development organizations to take appropriate action to prevent sexual exploitation and abuse of their personnel, including conducting awareness-raising training before deployment and in the field, in the case of United Nations actors, and promoting the Secretary-Generalâs Bulletin on Special Measures for Protection from Sexual Exploitation and Abuse ( ST/SGB/2003/13) and ensure adherence to it, including by civilian staff of United Nations peacekeeping operations and other relevant missions.	1
117 - It is noticeable, especially after the international community became aware of the impact of the actions of the Janjaweed, that the reactions of the Government of Sudan to the use of this name seemed to tend towards denying the existence of any links between the state and the Janjaweed. Most officials used to attribute the actions of the Janjaweed to âarmed banditsâ, ârogue elementsâ, or even to the Sudan Liberation Army or the Justice and Equality Movement.	0
In seeking to frame its discussions in September, the Council should request the Secretary-General to inform it of the scope of the problem posed by foreign terrorist fighters, its implications for ongoing conflicts and the efforts of the United Nations to address it.	0
39. The Group participated, within the framework of the Global Counter-Terrorism Forum, in the workshop on good practices in counter-terrorism initiative held for the justice sector in Abuja, and in the meeting of the Sahel Working Group held in Oran, Algeria, in June 2013, in order to strengthen Sanctions system and risk assessment in the region.	0
Three countries have established a legal framework that addresses maritime security conditions and have partially implemented the international mandatory standards related to port and ship security set forth in the International Code for the Security of Ships and Port Facilities.	1
The Council supports the idea of establishing a unit within the Secretariat to help establish the rule of law, and looks forward to receiving the Secretariatâs proposals on implementing the recommendations contained in paragraph 65 of the Secretary-Generalâs report on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616 ).	1
We are particularly concerned about the lack of training for mid-level civil servants, in addition to the significant problems that continue to surround the judicial field.	0
However, the Office believes that we should not wait for the court to complete judicial procedures before victims of crimes whose perpetrators are on trial can obtain assistance.	1
Under this amendment, which is in line with the provisions of Article 5 of the Council of Europe Convention on the Prevention of Terrorism, violators are subject to a prison sentence of 30 years.	0
(e) Authorizing the establishment of independent newspapers and other media; allowing citizens to freely use the Internet and social networks, international communications, radio and television broadcasts and foreign publications, such as the popular culture of other countries; and abolishing compulsory participation in mass organizations and ideological indoctrination courses;	0
205. The Committee recommends that consideration be given to expanding the pool of candidates for these positions in order to maximize the capacity to recruit the most qualified personnel.	1
Likewise, the unit leadership, pursuant to Order No. 206/1735 of February 18, 2005, handed us a written authorization from that authority, No. 36/2005 of February 18, 2005, containing an order to keep the cars of Haririâs convoy inside the barracks, cover them with tents, and place them under guard. .	0
The three clearinghouses established in Sana&#39;a, Mombasa (Kenya) and Dar es Salaam (United Republic of Tanzania) operate a network of coordination centers throughout the region, including Somalia, and provide information on piracy activity and dhow movements.	0
295. In addition, given the politically discriminatory nature of the systematic and widespread killing of civilians, such acts may very well constitute the crime of persecution, which falls within the crimes against humanity.	0
He asked key questions to guide the discussion on the Council&#39;s role in ensuring accountability, including the following: What lessons can be learned and good practices can be identified from the Council&#39;s efforts to ensure criminal responsibility? What are the challenges facing the various fact-finding mechanisms? How can greater importance be given to redress in order to achieve accountability? What additional steps can the Council take to ensure accountability for violations committed in armed conflicts?	1
Reiterates the importance of complying with the relevant provisions of international humanitarian law, human rights law and refugee law and providing appropriate training for personnel involved in peacemaking, peacekeeping and peacebuilding activities in the legal area, including provisions relating to children and gender, as well as negotiation and communication skills and awareness cultural, civil-military coordination and sensitivity in the prevention of HIV/AIDS and other infectious diseases, requests the Secretary-General to disseminate appropriate guidance and ensure that United Nations personnel receive appropriate training, and urges Member States concerned, as appropriate and to the extent feasible , to disseminate appropriate instructions and ensure the inclusion of appropriate training in its programs for employees involved in similar activities.	1
In international meetings, the team was able to judge states&#39; awareness of the sanctions regime without states being prepared for it.	1
On 21 December, the Council heard in open session a briefing by the Chairman of the Committee established pursuant to resolution 1737 (2006) and the Permanent Representative of Colombia, Nestor Osorio, on the work of the Committee in the period from 1 September to 18 December 2011.	1
Four countries specifically introduced measures to suppress terrorist recruitment.	1
Not long ago in May this year, during the Council&#39;s discussion (see S/PV.6314) of the Secretary-General&#39;s report on UNMIK (see S/2010/169), we drew the attention of the international community to the fact that the situation The region is far from stable and raises particular concern.	0
Many international experts, organizations and agencies in the field of counter-terrorism also believe that it is important to monitor commercially available dual-use systems and items that could be used in terrorist attacks.	1
56 - Encourages Member States, when reversing a decision to freeze the assets of a deceased individual or an entity that has been notified or determined to no longer exist after being delisted, to take into account the obligations set out in resolution 1373 (2001), and, in particular, to prevent the exploitation of assets The decision to freeze it was cancelled, in order to achieve terrorist objectives.	1
As I said previously, the double standards when confronting terrorism and terrorist groups is another important matter of deep concern and seriously undermines what the international community is doing in the collective fight against terrorism.	0
However, the failure to intervene effectively to restore stability in that country truly threatens the effectiveness of the international community, as well as the cost of enormous resources.	0
57 - The self-interest of those who oppose the establishment of a real government has remained one of the constant facts, and the monitoring team revealed in its two previous reports the details of this basic problem that Somalia suffers from. This problem still exists, and the main topic of this report has become the continuing trend towards an escalation in the potential for violence to erupt within a pattern based on protecting entrenched vested interests.	0
Emphasizes that all parties and armed groups in [the affected country] have the responsibility to take appropriate steps to protect the civilian population of the country, consistent with international humanitarian law and international laws relating to human rights and international refugees, in particular, by avoiding indiscriminate attacks on populated areas or excessive use For strength in it.	0
âThe Security Council reiterates the need to increase ongoing cooperation among the committees entrusted with counter-terrorism mandates established pursuant to resolutions 1267 (1999), 1989 (2011), 1988 (2011), 1373 (2001) and 1540 (2004) and their respective expert groups.	1
At the same time, the Assistant Secretary-General said that everyone must condemn the inflammatory statements made by armed groups threatening to obstruct voting in the regions of eastern Ukraine and to hold their own elections on 2 November, in violation of the Constitution and national law.	0
At the 7109th meeting of the Security Council held on 12 February 2014, in the context of its consideration of the item entitled âProtection of civilians in armed conflictsâ, the President of the Security Council issued the following statement on behalf of the Council:	1
53 - The United Nations has begun planning to hold a technical meeting on capacity development in South Sudan in order to coordinate the approach.	1
I transmit to you herewith, on behalf of the Chairperson of the Commission, Nkosazana Dlamini-Zuma, the statement adopted by the Peace and Security Council at the conclusion of the meeting (see enclosure).	1
106 - UNOCI also agreed, on 21 February 2005, to allow the Air Force of CÃ´te d&#39;Ivoire to conduct two ground tests of engines and systems; This is for one hour on the last Wednesday of every month, for its Mi-24P (TU-VHO) aircraft, provided that it is not armed, and is outside its hangar at the Abidjan Air Base, and under the supervision of the United Nations Operation in CÃ´te dâIvoire.	1
âThe Security Council recognizes the support provided by bilateral and multilateral actors, including the African Union, the European Union, the Organization of Islamic Cooperation, the League of Arab States, and subregional organizations such as the Economic Community of West African States, the Sahel-Saharan Community, the Intergovernmental Authority on Development and the Union The Maghreb, as part of the efforts aimed at combating terrorism in Africa, calls on the international community and the United Nations system to strengthen their cooperation with subregional bodies concerned with combating terrorism, such as the African Center for Studies and Research on Terrorism.	1
Most of those taken away were executed.	0
The Committee will endeavor to ensure that national reports, visit reports and other relevant information are fully exchanged by the committees and expert groups, including with regard to organized visits to States and other official travel and technical assistance.	1
13. The Committee reiterates that States must ensure that any measures taken for the purpose of combating terrorism comply with all their obligations under international law, and adopt such measures in accordance with that law, in particular human rights law, refugee law and humanitarian law.	1
Some countries have the ability to freeze funds and assets linked to terrorism without delay, although this ability is often limited.	0
106 - All States except one State met the deadline set by the International Civil Aviation Organization for the issuance of machine-readable travel documents.	0
The report covers developments since my previous report on the mission, dated 30 July 2010 (S/2010/409), on the security and humanitarian situation in eastern Chad and north-eastern Central African Republic; Progress achieved in implementing the tasks and standards contained in the second and third paragraphs of Security Council resolution 1923 (2010); and implementing the missionâs mandate, including preparations for its withdrawal.	0
âThe Security Council recognizes the need to systematically monitor and report on progress achieved in the protection of civilians in armed conflicts.	1
74. Within the current program of work, significant progress has been made in raising awareness among parliamentarians through two activities organized in Geneva with the participation of the Inter-Parliamentary Union, and in Saint Petersburg, Russian Federation, with the participation of parliamentarians from the CIS countries.	1
In some recent cases, such as those in CÃ´te d&#39;Ivoire and Libya, the Council welcomed the commissions of inquiry established by the Human Rights Council. This demonstrated the close connection between concrete actions aimed at promoting peace and security and the protection of human rights.	1
:: Increase cooperation and coordination with the Counter-Terrorism Committee and its Executive Directorate, with the committee established pursuant to Resolution 1540 (2004) and with all international agencies or organizations that have accumulated specialized experience and expertise in the field of combating terrorism.	0
Building confidence and enhancing stability by consolidating truth-finding and reconciliation mechanisms	0
:: Highlighting the importance of the Women, Peace and Security Program in addressing discrimination, human rights violations and obstacles that prevent protection for refugees, internally displaced persons and stateless women and girls, and justice for them at all stages of the displacement cycle	1
For example, a large number of these violations relate to death, torture, personal injury, mental anguish and distress, hostage-taking, and loss and damage to real and personal property.	0
The Lebanese Government also reported that the Lebanese Armed Forces had also increased their presence, established checkpoints, and tightened surveillance measures around the locations of Palestinian armed groups based in the Syrian Arab Republic and located south of Beirut and in the Bekaa Valley. On October 7, the Lebanese army carried out raids in the Bekaa Valley on the sites of Palestinian armed groups headquartered in Syria, and weapons were seized during those campaigns.	1
50 - Recalls its decision that when a State that requested inclusion on the List submits a request to remove a name from the List, the requirement for States to take the measures set out in paragraph 1 of this resolution with respect to the individual, group, institution or entity in question expires after sixty days, unless The Committee has not decided by consensus before the expiry of that sixty-day period that those measures remain in force in relation to the individual, group, entity or institution; Provided that, in the event that no consensus is reached, the President shall, at the request of a member of the Committee, submit the issue of a decision on the delisting of the individual, group, institution or entity to the Security Council for decision within a period of sixty days; It should also be taken into account, in the event of such a request, that the requirement for States to take the measures set out in paragraph 1 of this resolution remains in effect during that period with respect to the individual, group, institution or entity until the Security Council decides on the matter;	0
It also recommends that the Government of Nepal make a clear commitment to the reintegration of children associated with armed forces and groups, and strengthen the legal protection of children by criminalizing their recruitment and prosecuting violators of children&#39;s rights.	1
The effects of shells fired from helicopters were easily distinguishable.	0
The authorities agreed that people of Albanian descent were victims of social and institutional discrimination and recognized that confidence-building measures, such as the integration of ethnic Albanians into the local police force and increasing representation in political institutions, would go a long way towards alleviating tensions and bringing stability to the region. Over a longer period.	1
(b) Encouraging States to take measures to protect the non-profit sector from abuse through terrorist financing;	1
The establishment of two ministries of Justice and Interior, in a society that is so divided within itself and is still gathering strength after the end of the conflict, could create the impression that they are controlled by one political party or one ethnic sect.	0
Therefore, the Committee will refer those recommendations to the Counter-Terrorism Committee established pursuant to resolution 1373 (2001).	1
On November 15, 2014, regime helicopters dropped an explosive barrel on the Omar bin Al-Khattab Mosque in Aleppo, causing severe damage to it.	0
âThe Security Council stresses the need to address the root causes of the conflict in the eastern Democratic Republic of the Congo in a sustainable manner, and reiterates its support for the implementation of the commitments set out in the Peace, Security and Cooperation Framework for the Democratic Republic of the Congo and the region, which is fundamental to achieving lasting peace and security in the Great Lakes region.	1
In its resolution 1977 (2011), the Security Council explicitly encouraged the Committee established pursuant to resolution 1540 (2004) to draw on, among other sources, relevant private sector expertise.	1
- Establishing a mechanism for transparent administration and good governance, by combating fraud and corruption.	0
The attack forced many civilians to seek refuge outside the town, and the Sudanese Armed Forces suffered dozens of deaths and injuries while the SPLM/A escaped with quantities of weapons, ammunition, fuel and other supplies. On 29 September, the same town of Tawila came under another attack when government police and units of the Sudanese Armed Forces entered the town and later entered the adjacent Dali camp for internally displaced persons, where they opened fire on civilians indiscriminately and without cause.	0
Reaffirming its commitment to a political settlement of the conflicts in the former Yugoslavia, in a way that preserves the sovereignty and territorial integrity of all states there within their internationally recognized borders,	1
According to the World Bank, there is no factor more undermining the investment climate than the lack of armed security.	0
&#39;&#39;The Security Council reiterates that States are obligated to prevent the supply of weapons and related materiel of all types, including weapons and ammunition, military vehicles and equipment, paramilitary equipment, and spare parts necessary for the aforementioned, to the Islamic State in Iraq and the Levant and the Al-Nusra Front. and other individuals, groups, institutions and entities associated with Al-Qaeda, from its territory or by its nationals outside its territory, or using its aircraft or ships flying its flag, and preventing the provision of technical advice, assistance or training in relation to military activities. The Council also reiterates its calls for States to find ways to ensure To intensify and accelerate the exchange of practical information related to arms trafficking and enhance coordination in efforts made at the national, subregional, regional and international levels.	0
Reaffirming the commitment of Member States to freeze without delay the funds and any financial assets or economic resources of persons who commit, attempt to commit, participate in or facilitate the commission of terrorist acts; or to entities owned or controlled, directly or indirectly, by such persons; or to persons and entities acting on behalf of, or at the direction of, such persons and entities, including funds derived from or monies generated by property owned by such terrorists and associated persons and entities;	1
8 - Emphasizes the importance of providing safe and unhindered access for humanitarian personnel providing assistance to civilians in armed conflict, and calls on all concerned parties, including neighboring States, to fully cooperate with the United Nations Humanitarian Coordinator and United Nations agencies in providing these means, and calls on States and the Secretary-General to inform him of information relating to the deliberate deprivation of such access in violation of international law and where such deprivation may constitute a threat to international peace and security, and in this regard expresses his readiness to consider such information and to take appropriate steps where necessary;	1
These operations contribute to enhancing the Mission&#39;s image, supporting the implementation plan developed by the Office of the High Representative, and building capacity for local authorities and law enforcement agencies.	0
A September 2005 study of foreign-born terrorists who worked in the United States found that about two-thirds of them engaged in fraud to enter or remain in the country, and more than a third were later charged with forging a passport or visa or providing incorrect information to an immigration officer. ().	0
8. The Committee will commence its activities on a date determined by the Secretary-General, which will be formally communicated to the Government of Pakistan.	1
Violent clashes also broke out between armed factions in the Palestinian refugee camp of Ain al-Hilweh, and material damage was caused as a result to a school belonging to the United Nations Relief and Works Agency for Palestine Refugees in the Near East.	0
The Committee recognizes that the failure to submit reports may be an indication of a general âlack of enthusiasm for reportingâ due to the large number of reports that Member States must submit to the Committee, the Counter-Terrorism Committee, the Committee established pursuant to resolution 1540 (2004) and other United Nations bodies.	0
Attacks against civilians, including acts of sexual violence, by foreign and Congolese armed groups and elements of the Armed Forces of the Democratic Republic of the Congo (FARDC) continue.	0
72 - Requests the Committee to submit, through its Chairman, at least once a year, an oral report to the Council on the status of the overall work of the Committee and the Monitoring Group, as appropriate, at the same time as the Chairman of the Counter-Terrorism Committee and the Chairman of the Committee established pursuant to resolution 1540 ( 2004) their reports, and expresses its intention to hold informal consultations, at least once a year, on the work of the Committee, on the basis of the reports submitted by the President to the Council, and also requests the President to provide periodic briefings to all interested Member States;	1
