ar_en_GOOGLE	VerConf
Within the framework of the non-State actors project of the United Nations Integrated Peacebuilding Office in Sierra Leone, the Commission continued to play a key role in implementing programs to build the conflict mitigation and conflict resolution capacity of political parties, including their women and youth wings.	0
29. Meanwhile, the efforts of the UNOCI police component to advise the Government of National Reconciliation on the restructuring of the Defense and Security Forces of CÃ´te d&#39;Ivoire and to assist in the restoration of civilian policing throughout the country were hampered by the uncooperative attitude of local authorities and the lack of a plan A comprehensive reform of the Defense and Security Forces of CÃ´te d&#39;Ivoire, and the lack of agreement between the Ivorian parties regarding the deployment of CÃ´te d&#39;Ivoire police and gendarmerie personnel in the north.	1
Mr. Al-Bayan called on the Council not to neglect the important role that internally displaced women can play in negotiating peace, ensuring their human rights, and achieving development in post-conflict situations.	0
The dissident group of parliamentarians rejected the Garowe process and put forward a proposal to move the presidential elections forward from July to April 30 this year.	1
President Al-Bashir took diplomatic retaliatory measures against the Kenyan decision and threatened to impose economic and trade sanctions.	1
The detainee has the right to appeal this decision before a judge. However, there are no guarantees that you will be able to obtain assistance from a lawyer immediately.	0
110- Some observers remain unconvinced of the importance of this threat, while others criticize the prioritization of chemical, biological, radiological or nuclear terrorism over other aspects of terrorism or other types of threat.	1
In the statement, President Abbas also expressed his full support for the measures taken by the Government of Lebanon in recent weeks to ban the carrying of weapons outside Palestinian refugee camps, to stop the illegal transfer of weapons and personnel, and to assert its exclusive right to use force and extend its authority over all of the countryâs territory.	0
Accordingly, transactions suspected of financing terrorist acts will be subject to the same reporting and arrest system used for transactions suspected of being linked to money laundering.	0
As this partial list demonstrates, there is a clear trend by the international community towards the use of commissions of inquiry and fact-finding missions in the context of accountability efforts.	0
The Commission also established that the government armed forces, the State Security Service and military intelligence are responsible for the unlawful imprisonment and detention of civilians.	1
âThe Security Council supports the adoption of the indicators contained in the report of the Secretary-General (S/2010/498), including by relevant United Nations entities, for use as an initial framework for monitoring the implementation of its resolution 1325 in situations of armed conflict, post-conflict situations and other situations relevant to the implementation of the resolution.â 1325, as appropriate, taking into account the specificity of each country.	0
In this context, the European Union reminds Israel of its commitment to ensuring full and safe access to humanitarian organizations, including the United Nations Relief and Works Agency for Palestine Refugees in the Near East.	1
âThe Security Council expresses its deep concern about the repercussions of the refugee crisis resulting from the ongoing conflict in Syria, which threatens stability in the entire region.	1
67. I renew my call for the immediate and unconditional release of all innocent seafarers held hostage in Somalia, so that they can reunite with their families.	1
15 - The military observers of UNOMIG continued their assigned tasks by conducting daily ground patrols, maintaining communications with local authorities and coordinating with the collective peacekeeping force of the Commonwealth of Independent States, as well as with law enforcement agencies on both sides.	0
The spread of misinformation exacerbated identity-based discrimination and stigma, sparking violence within and between communities.	0
I also remember how unacceptable it was for Israelis to talk about the 1967 borders, and for a long time it was almost inconceivable to suggest evacuating Israeli settlements.	1
The main elements of his statement as well as the exchange of views that took place among members of the Working Group are contained in the summary included in the relevant conclusions (S/AC.51/2013/3).	0
Concerns expressed by this group included the challenge posed by al-Qaeda strife, terrorist use of the Internet, the glorification of terrorism through the media, the open-ended nature of sanctions, the need to support rehabilitation programmes, and the sharing of technical and operational intelligence.	0
9. Requests the Secretary-General to continue to report regularly, at least every three months, on the situation in the Democratic Republic of the Congo and on the activities of MONUC, and to provide the Security Council, with the same regularity, with specific updates on the military situation;	0
Therefore, Greece insists on the need to clarify the sixth preambular paragraph - urging the Council “to make progress towards the resumption of negotiations to reach a comprehensive settlement” - as it should be emphasized once again that those negotiations should take place between the two communities.	1
:: Reports of the Secretary-General: on the safety and security of humanitarian personnel and the protection of United Nations personnel (A/68/489), the protection of civilians in armed conflict (e.g. S/2013/689), and relevant reports on the mandates of the Security Council ( For example, report of the Secretary-General on Somalia (S/2014/140).	0
The following sections provide a description of the Commission&#39;s factual findings regarding patterns of attacks on civilians in the three states of Darfur.	0
One speaker stated that this was due to the frustration and isolation of many Member States regarding the work of the Council.	1
We condemn in particular any attempt to force the Mission into any kind of so-called joint governance, as well as any interference with the unilateral powers of the Special Representative.	1
âThe Security Council is deeply concerned about the deteriorating security situation in the Central African Republic, in particular following the attacks on Birao and Ouanda-Djali and Sam Ouandja.	0
The main Palestinian factions in Lebanon expressed concern about the incidents and distanced themselves from Fatah al-Islam.	1
Reaffirms its categorical condemnation of all acts, methods and practices of terrorism as criminal and unjustified, whatever their motives and in all their forms and manifestations, wherever and by whomever they are committed,	1
It also points to the growing problem in Afghanistan and the border region between Afghanistan and Pakistan and the continuing threat in North Africa, without recording any decline in activity elsewhere.	1
He rejected both declarations of independence at the moment of his birth.	1
From our previous discussions, Belgium shared the Secretary-General&#39;s concern about the danger that the violence in Iraq poses to a society, institutions and political process that is still fragile.	1
On 7 December, the Council heard a briefing from the President of the International Tribunal for the Former Yugoslavia, Theodor Meron, and the President of the International Criminal Tribunal for Rwanda, Khalida Rashid Khan. The two highlighted the contributions made by these two courts to international criminal law, but warned that limited resources, the lack of cooperation by States in critical areas, as well as continuing difficulties in staffing, threaten the successful completion of their work by the two courts.	1
At the same time, the issue of ensuring that counter-terrorism measures comply with human rights obligations remains a major topic of discussion in this subregion.	1
Using cross-functional teams at the country level to work with refugee communities to identify concerns and develop programming to address gender-based violence; Generating initiatives from refugees themselves in this area; Support pilot projects to address gender-based violence, including projects directed at protecting men and boys; Disseminate and implement guidelines on sexual and gender-based violence against refugees, returnees and displaced persons.	0
At this moment, Qassam rocket fire is still being deliberately directed from Gaza against the civilian population, targeting and terrorizing innocent civilians as they sleep in their bedrooms, sit in their living rooms, or take their children to school.	1
States should refrain from obstructing humanitarian actors in their efforts to engage non-State armed groups for humanitarian purposes, including activities aimed at promoting respect for international humanitarian law.	1
In the letter, the Committee drew attention to the principle of command and superior responsibility stipulated in international criminal law, and urged the Supreme Commander to prevent and suppress crimes against humanity, and to ensure that perpetrators are prosecuted and brought to justice.	1
âThe Security Council renews its call on the Government of the Central African Republic to revive efforts to reform security sector institutions, which constitute an essential element of the peacebuilding process in the Central African Republic, to address the rampant phenomenon of impunity, to strengthen the rule of law and to increase respect for human rights.	0
Recognizing also the Committee&#39;s simultaneous recommendation that there is a need to continue providing international assistance to the Lebanese authorities and to assist them in uncovering all the secrets of this terrorist act, and that it is necessary for the international community to make a sustained effort to establish a program of assistance and cooperation with the Lebanese authorities in the field of security and justice,	0
While neither side appears ready to return to war, there is a worrying pattern of escalation and destabilization that could lead to a large-scale confrontation that could put more civilian lives at risk.	1
Accountability Urges the Government of the [affected country] to ensure the full implementation of its âzero tolerance policyâ regarding breaches of discipline and human rights violations, including acts of sexual and gender-based violence, committed by members of the [armed forces], and further urges that Comprehensive in all reports of the aforementioned violations with the support of [the Mission], and to bring all perpetrators to justice under strong and independent procedures;	1
44. During the reporting period, the security situation in north-eastern Central African Republic continued to be plagued by ethnic conflict, banditry and cross-border criminal activity. These remained the most prominent threats to security and stability in the Vakaga and Upper Koto regions.	0
Likewise, the Security Council condemns terrorism in all its forms and manifestations, regardless of its form or who commits it.	1
Clashes took place between rebel forces and French forces monitoring the ceasefire agreement on the day the mission was in the area, in Daloa, about fifty kilometers away.	1
12 - Refers to its resolution 2161 (2014) and its requirement that all States must ensure that no funds, financial assets or economic resources are made available, directly or indirectly, for the benefit of the Islamic State in Iraq and the Levant, the Al-Nusra Front, or other individuals, groups, institutions and entities. associated with Al-Qaeda, through its nationals or any persons present in its territories, and reaffirms the requirement of its resolution 1373 (2001) that all States prohibit their nationals or any persons or entities within their territories from making available any funds, financial assets, economic, financial or other resources of relevant services, directly or indirectly, for the benefit of persons who commit, attempt, facilitate or participate in terrorist acts, or for the benefit of entities owned or controlled, directly or indirectly, by such persons, or persons and entities that operate In the name of or at the direction of such persons;	1
Note that the failure of the police force leadership to punish the attacks that occurred on May 23 and 24, in which some police officers were involved, is due to the collapse of the chain of command, the existing partisan discord, and the limited accountability in the past.	1
Just yesterday, the Prime Minister of Georgia announced a detailed plan to resolve the conflict in another breakaway region of Georgia, the former Tskhinvali/South Ossetia region.	0
Concerned by the increase in intensity, duration and intractability of conflicts due to the presence of foreign terrorist fighters, as well as by the possibility that these fighters may pose a serious threat to their States of origin, the States they transit and the States to which they travel, as well as States neighboring areas of armed conflict in which foreign terrorist fighters are active and which suffering from serious security burdens, noting that the threat posed by these fighters may affect all regions and Member States, even those far from conflict zones, and expressing deep concern about foreign terrorist fighters using their extremist ideology to encourage terrorism,	1
The resolution reiterates the importance of fulfilling those obligations and stresses that neither party should undertake any activity that conflicts with those obligations under the roadmap or prejudges final status negotiations.	1
24 - Urges Member States, in response to the demonstrated progress achieved by the parties in restructuring their law enforcement institutions, to intensify their efforts to provide training, equipment and related assistance to local police forces in Bosnia and Herzegovina, on a voluntary funding basis and in coordination with the International Police Force;	0
Despite these challenges, we cannot fail to acknowledge that approximately 50 percent of the Afghan people live in areas where responsibility for security has been transferred to the Afghan security forces.	1
In this context, Prime Minister Siniora requested that the United Nations continue to provide assistance and support, enabling this internal dialogue to contribute to finding a solution to the issue of Lebanese and non-Lebanese militias in Lebanon in full consistency with the Taif Agreement.	0
I urge the Government to ensure access of United Nations personnel to all places of detention in Darfur.	0
Recalling its resolution 2133 (2014) and the publication by the Global Counter-Terrorism Forum of the âAlgeria Memorandum on Best Practices for the Prevention of Abductions of Persons for Ransom and Deprivation of their Profitâ by terrorists, and strongly condemning incidents of kidnappings of persons and hostage-taking committed by terrorist groups for any purpose , including for the purpose of raising funds or extracting political concessions, Expressing its determination to prevent kidnappings and hostage-taking committed by terrorist groups, and to ensure the safe release of hostages without paying ransom or making political concessions, in accordance with applicable international law, and calling upon All States should work to prevent terrorists from benefiting directly or indirectly from ransom payments or political concessions, and to ensure the safe release of hostages, and reaffirming the need for all States to cooperate closely during incidents of kidnapping and hostage-taking committed by terrorist groups ,	1
Africans have clearly expressed their concerns about the situation in Zimbabwe.	1
(a) Develop a more integrated approach and more effective mechanisms to ensure strong cooperation and intelligence-sharing between relevant counter-terrorism agencies at the national and international levels;	0
The Mission decentralized its communications functions to improve coordination locally, while preparatory work prior to the arrival of the Union Force facilitated the transition process.	0
The mission met with a wide range of international and Ivorian stakeholders, including President Gbagbo, Prime Minister Soro, the Chief of Staff of the Defense and Security Forces of CÃ´te d&#39;Ivoire, the Chief of Staff of the Forces Nouvelles, representatives of political parties and the heads of national institutions responsible for implementing key operations under the Ouagadougou Agreement.	0
We are also concerned about the situation of those involved in the reconstruction of the country.	1
My delegation strongly condemns these acts of violence and extends its condolences to the family of the deceased pediatrician.	1
14. The Executive Directorate will strengthen its engagement with international, regional and subregional organizations around the world in order to assist them in developing and/or implementing appropriate plans of action in the context of counter-terrorism and engage them more directly in meeting the capacity-building needs of States identified by the Committee through implementation assessments. Initial and country visits.	0
The Council stresses its readiness to take action against any party seeking to undermine the peace process by any means, especially by not adhering to this cessation of hostilities or obstructing the talks, the peacekeeping process, or the provision of humanitarian aid.	1
96. The Committee noted that the National Security Forces Act, as amended in 2001, gives the security forces wide-ranging powers, including the power to detain without charge or without access to justice for a period of up to nine months.	1
As for the military aspects of security sector reform, the government has made clear that it wants to rely largely on bilateral aid to build the military&#39;s capabilities.	1
This indicates the success of the sanctions regime and indicates that a large number of Taliban members appear to have changed their behavior.	0
Attacks against civilians, including acts of sexual violence, by foreign and Congolese armed groups and elements of the Armed Forces of the Democratic Republic of the Congo (FARDC) continue.	0
The review process resulted in the inclusion of all individuals who, although not included exclusively on this basis, were identified primarily for their role in providing ideological justifications to recent recruits or the wider public for Al-Qaida-related violence. This is despite the fact that the penal measures themselves have little, if not no, impact on their main tool: the ability to communicate and persuade via the Internet.	1
These activities are part of an ongoing dialogue between the United Nations Rule of Law and Security Program and the Transitional Federal Government on mine-related issues and support processes that will ensure that this Government is aware of the existence of relevant international legal instruments and considers the possibility of participating in them.	0
Some concerns were expressed - not long ago by several presidential candidates - about the integrity of the recording.	1
The Special Representative stressed the importance of political progress, particularly in the state-building process, and welcomed the ongoing reconciliation process and the establishment of interim administrations.	0
The decision to expel humanitarian workers, silence others with the threat of expulsion, or attempts to restrict the freedom of movement of the African Union-United Nations Hybrid Operation in Darfur falls within the framework of this policy of limiting the international community&#39;s monitoring capacity.	1
405 - Even in cases where a State has legitimately derogated from certain provisions of the Covenant, the prohibition of unacknowledged detention, hostage-taking or kidnapping is absolute.	0
44. According to the Mine Action Service, âImprovised explosive devices constitute a dangerous and unique weapon system, due to their versatility, adaptability and method of use.	0
We are therefore disappointed that the Secretary-General&#39;s report (S/2011/540) recommended only a partial reduction in the troop increase.	1
4. Following the adoption of resolution 1595 (2005), extensive consultations took place on the establishment, staff and logistical support of the Independent International Commission of Inquiry. On 26 May 2005, a small advance team headed by Detlev Mehlis arrived in Beirut.	0
This remains a source of constant concern to us.	1
(h) Participate effectively in all activities undertaken within the framework of the implementation of and support to the United Nations Global Counter-Terrorism Strategy, including within the Counter-Terrorism Implementation Task Force, which was established to ensure overall coordination and coherence in its counter-terrorism efforts The United Nations system, in particular through its relevant working groups;	0
We strongly condemn the criminal attacks that the terrorist group Boko Haram continues to carry out in northern Nigeria and in neighboring countries.	1
B - The danger posed by Al-Qaeda and the Taliban	1
Accordingly, the Guidelines were transmitted to the International Labor Organization for review and possible action.	0
The Committee&#39;s visits to the region demonstrated the need for countries to increase the implementation of laws to prevent the illicit cross-border movement of cash and negotiable bearer securities by establishing risk indicators and building capacity in the field of detection methodologies.	0
485 - It is disappointing that the committees limited themselves to the crime of rape, and did not address cases in which other forms of sexual assault occurred, including attempted rape.	0
âThe Security Council recalls all its resolutions and statements on combating terrorism, reiterates its strong condemnation of terrorism in all its forms and manifestations, regardless of the perpetrators, place and purposes, and expresses its determination to use all means to combat terrorism in all its forms and manifestations, in accordance with the Charter of the United Nations and international law, including That includes international human rights law, international refugee rights law and international humanitarian law, as appropriate.	1
29. The deployment of the Mission&#39;s police is being adjusted with a view to maximizing its resources directed towards the electoral process.	0
It may be recalled that, in its letter dated 28 February 2012 (S/2012/126), the Government of Eritrea had urged the Security Council to shoulder its responsibilities and take appropriate measures against these countless unlawful acts of aggression and occupation.	1
87 - This mixed control over the Somali marine environment has led to the creation or strengthening of three important sources that generate income for local administrations, which are as follows: (a) the export of a group of basic commodities from Somalia, including large commercial quantities of coal, (b) the arrival of ships Unrestricted foreign fishing for Somali marine resources and fisheries, (c) widespread incidents of piracy.	0
Timor-Leste continues to face important challenges in reducing poverty and creating employment opportunities, especially for its young population.	1
Let&#39;s be frank: these reports from the press, human rights groups and civilians on the ground raise serious concerns about the nature and scope of the conflict.	1
Police and security services should be authorized to use special investigative techniques - taking due account of human rights considerations - in terrorism-related investigations and in the collection of evidence for counter-terrorism cases.	0
As these complications continue and this behavior completely contradicts what is required to reach a just solution, we must ask: How can we achieve a successful conclusion to the peace process in 2009? We believe that the responsibility falls on the Quartet and the Security Council to establish a practical mechanism to address these issues, in a situation where one party repeatedly refuses to respond to calls and fulfill its obligations, thus throwing us into a cyclical process with no end in sight.	1
But now, what Afghanistan has achieved is beginning to be eroded by serious challenges facing the country in its security and stability.	1
In consultations with the full Council, members of the Security Council expressed concern about the continuing deterioration of the humanitarian situation and condemned violations of international humanitarian law committed by all parties to the Syrian conflict.	1
Strongly condemns the continuing forms of discrimination and violence against women and girls, in particular violence aimed at preventing girls from enrolling in schools...	1
âThe Security Council recognizes the need to prevent and suppress the financing of terrorism and terrorist organizations using, inter alia, the proceeds of organized crime, including the illicit production and trafficking of drugs and their chemical precursors, and the importance of continuing international cooperation in pursuit of this.	0
However, it is unacceptable for Israel to use its legitimate security concerns as a justification for imposing measures that affect an entire population in an arbitrary manner and in violation of international humanitarian law.	1
“The Security Council affirms that the RCD/Goma faction will be held accountable for any executions carried out outside the judicial system, including among members of civil society or detainees in its detention centers in Kisangani.	1
Because Hezbollah maintains close relations with a number of countries in the region, especially with the Islamic Republic of Iran, and this has been publicly acknowledged by the Secretary-General of the militia himself, I call on these countries to encourage the transformation of the armed group into a purely political party and to disarm it, in accordance with the provisions stipulated in The Taif Agreement and Resolution 1559 (2004), in the best interest of regional peace and stability.	1
On November 5, 2014, regime warplanes launched five air strikes targeting the town of Kansafra in the Idlib countryside.	0
The Committee also agreed to send letters to both the Permanent Representative of Somalia and the African Union Commissioner for Peace and Security recommending an independent investigation into reports that officials from the Transitional Federal Government and individuals from the Ugandan contingent of AMISOM, respectively, sold arms and ammunition to Somalia arms market.	0
Deeply concerned about the threat posed by terrorism and the risks of capture by non-State actors**, such as parties identified on the United Nations list established and monitored by the Committee established under Security Council resolution 1267 (1999), and parties to which resolution 1373 (2001) applies, Nuclear, chemical and biological weapons and their means of delivery, or the development, trade or use of such weapons and means,	1
Commending the progress made to date by the Counter-Terrorism Committee, established by the Security Council, pursuant to paragraph 6 of resolution 1373 (2001) and acting under Chapter VII of the Charter, in carrying out its important responsibility of monitoring the implementation of that resolution,	1
It is clear that all institutions of law and order in Iraq face serious challenges.	1
11 - In theory, any import of light weapons would require an exception from the group in Abuja.	0
Preventing illegal border crossings is vital to combating terrorism, drug trafficking and commercial smuggling.	1
Fighting was again reported on 22 and 23 July in Al-Waq between the same two tribes, resulting in 32 deaths and over 60 injuries.	0
We took note of the concern regarding the implementation of the joint statement of 2 April 2009, which was referred to in the report.	1
Based on objective reasons, national judicial authorities advance one or both of the following arguments to refute claims for compensation: First, the right to reparation as stated in international humanitarian law is not an enforceable right on its own, and only the victimâs home state directly possesses this right. ; Secondly, there is a peace agreement that prevents individual claims.	1
We condemn all ethnically motivated acts and crimes committed in Kosovo.	1
At the same time, Cuba condemns suicide bomb attacks and other acts against Israeli civilians, who are innocent victims of the cycle of violence driven by their government&#39;s policy. We also reject the use of these scattered actions to cast doubt on the legitimate exercise of self-defense by the Palestinian people, and to justify activities, which are widely or selectively committed against the Palestinian population.	1
&#39;&#39;The Security Council supports the six-party talks, and calls for their accelerated resumption in order to achieve the verifiable and peaceful denuclearization of the Korean Peninsula, and to maintain peace and stability on the Korean Peninsula and in the Northeast Asian region.	0
We express our deep concern about the plight of the Palestinians in the Gaza Strip.	1
18. In its fourteenth report, the Group discussed the risk of attacks by regional Governments and the international community by Al-Shabaab (S/2013/467, para. 10), the Al-Qaida East Africa affiliate based in Somalia.	1
As the Secretary-General&#39;s report (S/2004/634) makes clear, tackling the problem is a difficult challenge.	1
In addition, many victims told the Committee that they had little confidence in the impartiality of the Sudanese justice system and its ability to prosecute those responsible for serious crimes committed in Darfur.	1
At the same time, other essential elements of this institution-building process are strengthening the rule of law by increasing the effectiveness, integrity and overall performance of the judiciary, and strengthening law enforcement institutions with a view to reducing organized crime and ethnic violence and bringing all criminals to justice.	1
68. Officials&#39; opinions differ on the effectiveness of terrorist training materials available on the Internet, as theoretical guidance, no matter how complete and accurate, requires some degree of practical training or practical experience to help overcome operational obstacles.	0
Thanks to the proximity of the Pakistani border, this force has manpower, tools and shelter.	0
The High Representative/Special Representative has made it clear that, given the failure of the Republika Srpska authorities, in particular the Ministry of the Interior, to arrest persons accused of war crimes, and the failure of Bosnia and Herzegovina to join the NATO Peace Partnership, the Commission will be entrusted with the task of making recommendations for the establishment of a single and effective police structure For the whole of Bosnia and Herzegovina.	1
However, there is still a long way to go to bring about real and sustainable change in terms of outcomes and results achieved on the ground.	0
Under these circumstances, in which huge disparities and political, economic, and social marginalization combine, a process has emerged that seeks to bring about change in the prevailing system, and seeks to bring about economic and political change and find alternatives that allow participation and open new areas and means of expression, which include, in short, demands related to basic rights.	1
âThe Security Council affirms that Member States that are going through the post-conflict phase should address in their national strategies, in consultation with, among others, civil society and its womenâs organizations, the special needs and priorities of women and girls, in order to improve their economic and social conditions, their participation in income-generating activities, and their opportunities to obtain income.â Education and basic services.	0
âThe Security Council recognizes the importance of helping to prevent future conflicts by addressing their root causes in a legitimate and just manner.	0
&#39;&#39;It reaffirms that terrorism in all its forms and manifestations constitutes one of the most serious threats to peace and security, and that any terrorist acts are criminal and cannot be justified, regardless of their motives, whenever they are committed and by whomever they are committed.	0
2 - During the reporting period, persistent disagreement continued between the parties regarding how to reach a mutually acceptable solution to enable the people of Western Sahara to exercise their right to self-determination.	1
Both parties to the Comprehensive Peace Agreement appointed a coordinator for children and armed conflict.	0
Al-Qaeda in the Islamic Maghreb&#39;s arsenal could now include advanced anti-aircraft weapons coming from Libya, although it is unlikely that these weapons are still operational.	1
In its initial report, the Committee highlighted the similarities as well as the differences between the two mandates, noting in particular that although it identified some violations that led it to conclude that international crimes had been committed in Libya, assessing individual criminal responsibility is at the heart of the role assigned to the International Criminal Court.	1
Four countries have comprehensively criminalized the financing of terrorism, while three countries have not done so at all.	1
Reaffirming the need for all parties to armed conflict to respect the humanitarian principles of humanitarian considerations, neutrality, impartiality and independence in order to ensure the provision of humanitarian assistance and to ensure the safety of civilians receiving such assistance and the security of humanitarian personnel and United Nations and associated personnel,	0
Although these contacts have been constructive, direct negotiations without preconditions, in which the two parties are expected to submit proposals regarding territory and security within 90 days, have not yet taken place.	1
Further violence occurred in Comoro Market, with one civilian killed, eight people injured by firearms, and four other people seriously injured.	0
Condemn acts of incitement to violence against civilians in situations of armed conflict and call for an immediate cessation of such acts.	1
The Bir Lahlou team&#39;s position was reinforced with additional military observers from the Tifariti team site and remained in close contact with the Polisario Front.	0
:: Prohibition of hostage taking.	0
The joint mission met with a number of national and international stakeholders, including representatives of civil society, traditional and religious leaders, opposition parties, and the military establishment.	0
216 - Based on the findings reached by the committee and the Lebanese investigation so far, and on the basis of the material and documentary evidence collected, and the evidence reached so far, there is consistent evidence indicating Syrian and Lebanese involvement in this terrorist act.	1
In particular, I would like to stress, as stated in the report, that the Taliban continue to represent a real threat to the reconstruction and stability of the country, and that containing that organization is crucial.	1
17 - Demands that all parties to the Goma and Nairobi processes respect the ceasefire and implement their obligations effectively and in good faith, and calls on all members of armed groups to immediately lay down their arms and surrender themselves, without further delay and without preconditions, to the Congolese authorities and the United Nations Organization Mission in the Republic of the Congo democracy for their disarmament, repatriation, resettlement and/or reintegration, as appropriate;	0
7 - Notes with concern the media monitoring reports prepared by the United Nations Operation in CÃ´te d&#39;Ivoire and the media outlets referred to in those reports as incitement to violence and the resumption of internal conflict, and affirms that it remains prepared to impose sanctions against anyone who obstructs the electoral process, specifically the work of the Electoral Commission Independent and other relevant actors, and announce and certify the results of the presidential and parliamentary elections;	1
When the status of the region is determined, it will be expected that the European Union will play a more important role. This relates to the police and justice, where its presence will have to continue, although this presence will be smaller and more specialized. This is to monitor and support the standards process, which will be gradually integrated into the processes established by the European Union itself; Focus efforts on capacity building.	0
“The Security Council expresses deep concern about the state of tension prevailing in the states of Blue Nile and South Kordofan.	1
Furthermore, there is concern that active arms-for-drug trafficking in Afghanistan could lead to the financing of terrorism in neighboring countries of Central Asia through the activities of cash couriers.	1
Two civilians were killed, four people were injured by gunshots, and two people were seriously injured.	0
It is clear that Minister Ramos-Horta raised the general issue of arms distribution.	1
However, it is important to remember that, beyond these confidence-building measures, the Ivorian government remains responsible for ensuring the safety and security of its citizens. On September 6, a group of young patriots in Abidjan attacked Issa Diakite, the Minister of Territorial Administration.	0
âThe Security Council is deeply concerned about attacks on humanitarian workers, which constitute a violation of the rules of international law.	1
Ensure effective coordination and implementation of mine action policy and guidelines for mine action programmes. Inter-Agency Working Group on Disarmament, Demobilization and Reintegration (chaired by the Department of Peacekeeping Operations and UNDP) The Working Group provides strategic advice including on training modules, policies and strategies; It administers and reviews the guidelines developed by the United Nations in the field of disarmament, demobilization and reintegration; Develops and manages the United Nations Resource Center on Disarmament, Demobilization and Reintegration; It facilitates the planning of disarmament, demobilization and reintegration operations among the various United Nations agencies involved.	0
The addition of these names also demonstrates the Committee&#39;s continuing interest in the threat posed by the Taliban to international peace and security.	1
All countries have introduced laws to prevent and suppress the movement of terrorists across borders, and 4 countries have taken practical steps to pursue criminals.	0
These measures are being taken despite the clear negative position taken by the Special Representative of the Secretary-General and are considered a challenge to the United Nations and the Security Council.	1
In his presentation of the report, the Assistant Secretary-General stressed the risk that the security situation could deteriorate, despite the prevailing calm in the region, in particular as a result of the Sudanese authoritiesâ inclusion of Abyei as an electoral district in the 2015 presidential elections.	1
30. At the same time, I fully support the African Union&#39;s plans to take the lead in conducting an assessment of the mission, in November, with a view to examining the future peacekeeping needs of the region.	0
Consider referring cases involving genocide, crimes against humanity or war crimes to the International Criminal Court.	0
(e) Conduct joint patrols with riot control units of the National Police to improve the security situation in the event of civil unrest.	0
Except in cases where an individual is caught red-handed committing a crime, law enforcement officials must serve a warrant for the person&#39;s arrest or detention.	0
But how can this be achieved when the two agreements and the authority of the law continue to be disdained? When our land remains occupied by force and our people are displaced from their cities and villages? In fact, how can all possible arrangements of mutual benefit and normalization begin when sovereign territories are neither respected nor demarcated?	0
5 - Decides that Member States must, in accordance with international human rights law, international refugee law and international humanitarian law, prevent and suppress the recruitment, organisation, transfer or processing of individuals who travel to a State other than their resident or nationality for the purpose of committing, planning or preparing terrorist acts or participating in, providing or receiving training in acts of terrorism, and financing the travel and activities of such individuals;	0
The Financial Action Task Force&#39;s 2008 report on patterns of money laundering and terrorist financing through the real estate sector indicates the possibility of terrorist financing schemes related to the real estate sector.	1
The police component of the operation also provides technical support and advice to the Integrated Command Center on security sector reform.	0
195 - Recognizing the importance of this subregion as a âtransitâ area, most States have enacted legislation on asylum, traveler movements, and the prevention and suppression of cross-border movements of terrorists.	0
144 - States are responsible under international human rights law to ensure that human rights and fundamental freedoms are protected and preserved at all times, both in times of war and in times of peace.	0
Although Osama bin Laden and Ayman al-Zawahiri (QI.A.6.01) did not officially consider Al-Shabaab to be part of Al-Qaida, they expressed keen interest in developments in Somalia and made it one of the gathering points where recruits from around the world met for training. Paramilitary and indoctrination.	1
The Monitoring Group notes, however, that the absence of a stable central government in Somalia and the current high level of risks of large-scale hostilities have seriously hampered any serious capacity-building efforts at the country level and may even be completely stalling for the time being.	1
38 - The proliferation of weapons outside the authority of the state, coupled with the continued presence of militias possessing large quantities of weapons, constitute a source of great concern to me with regard to the stability of Lebanon.	1
Measures to assist people whose family members have been killed, the acknowledgment by government authorities of their responsibility, and their clarification of the nature of the measures that must be taken in order to avoid the commission of violations again appear to be of fundamental importance to society.	0
12 - Demands that all parties cooperate fully with MONUC operations and ensure the security and prompt and unimpeded access of United Nations and associated personnel to their destinations when carrying out their mandate throughout the territory of the Democratic Republic of the Congo, and in particular requests that all parties provide access to MONUC military observers To all destinations, including all ports, airports, runways, military bases and border crossings, and that, in addition, the Mission&#39;s human rights monitors be granted access to prisons and integration centres, and requests the Secretary-General to report without delay any failure to comply For these demands;	1
The remarks made by Deputy Prosecutor Bensouda focused on the role and impact of the International Criminal Court in strengthening the investigation and prosecution of serious crimes of concern to the international community.	0
It reiterates its call on all parties to the conflict to completely and immediately cease all acts of sexual violence, and also reiterates its call on these parties to undertake specific and time-bound commitments to combat sexual violence, including, among other things, issuing clear orders through their chain of command prohibiting sexual violence, holding accountable for violations of these orders, and stipulating To prohibit sexual violence in codes of conduct, military field operations manuals or similar, and to undertake specific commitments to investigate alleged assaults in a timely manner and to fulfill those commitments; Further calls upon all relevant parties to armed conflicts to cooperate within the framework of these commitments with staff of United Nations missions concerned with monitoring their implementation, and calls upon the parties to appoint, as appropriate, a high-level representative responsible for ensuring the implementation of these commitments;	1
