ar_en_DEEPL	VerCoop
Urge humanitarian and development organizations to take appropriate action to prevent sexual exploitation and abuse by their personnel, including, in the case of United Nations actors, conducting predeployment and field awareness training, and promoting and ensuring compliance with the Secretary-General's Bulletin on special measures for protection from sexual exploitation and sexual abuse (ST/SGB/2003/13), including by civilian personnel of United Nations peacekeeping operations and other relevant missions.	1
The Committee strongly recommends that Member States establish such national bodies to coordinate and discuss matters relating to counter-terrorism. III. Non-reporting	1
He was motivated by the need to ensure that the Council's actions against Al-Qaida and the Taliban remained relevant to the threats and that the objectives of the sanctions were sufficiently well-defined for Member States to take action against them.	0
She also referred to important precedents set by the Council, notably the establishment of commissions of inquiry for Bosnia and Herzegovina, Rwanda and Darfur, which paved the way for the establishment of the International Tribunal for the Former Yugoslavia and the International Criminal Tribunal for Rwanda, and the Council's referral of the situation in Darfur to the International Criminal Court (ICC).	0
42. At the request of Working Group II of the Contact Group on Piracy off the Coast of Somalia and with the support of the Government of Italy, UNICRI organized two informal expert working group meetings in 2013 to draft a set of guidelines, standards and best practices regarding the use of privately contracted armed security personnel on board commercial vessels for use by private sector companies and interested Governments.	1
On 10 November, the Council was briefed in closed consultations by the Deputy Permanent Representative of Luxembourg to the United Nations, Olivier Maes, on behalf of the Chairman of the Security Council Committee established pursuant to resolution 1718 (2006) concerning the Democratic People's Republic of Korea, on the work of the Committee during the period from 5 August to 9 November. The briefing was provided in accordance with paragraph 12 (g) of resolution 1718 (2006).	1
Organize a comprehensive training course for all country representatives on humanitarian issues with a focus on gender awareness.	0
Demands that all armed groups, in particular elements of [the designated armed group], prevent the recruitment and use of children, further demands that all parties protect children released or otherwise separated from armed forces and armed groups and consider them as victims, and emphasizes the need to pay particular attention to the protection, release and reintegration of all children associated with armed groups.	0
In fact, Azerbaijan itself is in violation of those resolutions, which urge the parties concerned to continue negotiations within the OSCE Minsk Group, as well as through various contacts among themselves.	0
Law enforcement efforts to combat cross-border crime have also been strengthened, and can be adapted to combat terrorism as appropriate.	0
The absence of such guidelines, including criteria for selecting cases for investigation and prosecution, has deprived the commissions of necessary guidance on the appropriate ways to investigate crimes that constitute gross human rights violations.	0
Measures to prevent abuse of asylum procedures are only partially in place in only five countries.	0
Later in 2006, the General Assembly unanimously adopted the Global Counter-Terrorism Strategy, which was of great importance in reaffirming the collective commitment of the international community to address the threat of terrorism, which threatens everyone.	0
The establishment of the Joint Mission Analysis Cell has significantly increased the Mission's ability to analyze and share information throughout the Mission. However, the Mission continued to lack access to reliable tactical information.	0
45. The Committee reaffirms its responsibility to include the implementation of Council resolution 1624 (2005) in its dialogue with Member States and to help build capacity in this regard, including by disseminating best legal practices and promoting information-sharing.	1
The Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004) and extended by Security Council resolution 1904 (2009) concerning Al-Qaida and the Taliban and associated individuals and entities has the honour to transmit its eleventh report, in accordance with resolution 1904 (2009).	1
89. The former Prime Minister also indicated that he had taken the opportunity during the meeting to discuss with the Minister of the Interior the need for a group of civilians to assist the Police Reserve Unit and PNTL, but there was no discussion about providing this group with weapons or uniforms.	1
âThe Security Council requests the Special Representative of the Secretary-General for Burundi, in close cooperation with the Special Representative of the Secretary-General for the Democratic Republic of the Congo, to establish the facts and report to the Council as soon as possible.	1
452. In Article 31 of the National Security Law, an order was issued by the Director-General that a security officer can arrest, search, detain and interrogate a person. He has three days in which to provide the detainee with the reasons for his arrest and detention.	0
Several interlocutors reported that some neighboring countries play a destabilizing role.	0
From this money, he pays the salaries of militia members, people close to him (advisors and close associates), clan elders, and buys weapons.	0
Recognizing the need for civilian and military leaders, in accordance with the principle of command responsibility, to demonstrate commitment and political will to prevent sexual violence, combat impunity and enforce accountability, and that failure to do so could suggest that sexual violence during conflict is tolerated.	0
- There is an urgent need to strengthen measures to detect and stop the flow of financing and funds for terrorist purposes.	0
Recalls that [the opposing side] has a special responsibility to protect returnees and facilitate the return of the remaining displaced population, and requests that further measures be taken by [United Nations bodies] to create conditions conducive to the return of refugees and internally displaced persons ..., to develop their skills and increase their self-reliance, while fully respecting their inalienable right to return to their homes in safety and dignity.	1
The published figures are unconfirmed, but the committee's evidence suggests that nine people were killed and three injured in the shooting.	0
These meetings will also be used to review systemic issues important to the work of the Committee with a view to encouraging a more innovative and dynamic approach to the work of the Executive Directorate and generating new ideas on how the Organization can more effectively address the growing terrorist threat.	1
All countries in the subregion are members of the International Criminal Police Organization (INTERPOL) and have established INTERPOL National Central Bureaus.	0
Almost two years after the last briefing on the situation in the Great Lakes region (LRA-affected areas), the Council held a private meeting on July 21, 2011, to discuss the ongoing threat to regional security posed by the Lord's Resistance Army (LRA).	0
Convinced that it is unacceptable, in principle, that anyone anywhere should escape responsibility for an act of terrorism for any reason whatsoever, including as a result of their own obstruction or lack of honest cooperation with the investigation.	0
After visiting Angola and the Democratic Republic of Congo, Margot WallstrÃ¶m, my Special Representative on Sexual Violence in Conflict, issued a statement on March 16 calling on both countries to investigate allegations of abuses of sexual violence that occurred in the context of expulsions and take concrete action to prevent such crimes.	1
Training of peacekeeping personnel Requests the Secretary-General to ensure that technical support is provided, both predeployment and in the field, to troop- and police-contributing countries to [the mission], including orientation and training of military and police personnel on the protection of civilians from threats and appropriate measures, including in the area of human rights, sexual violence and gender issues.	1
169. The evidence obtained by the Commission establishes that Prime Minister Alkatiri was informed of the alleged transfer of weapons to civilians no later than May 21.	0
Deploring that the Taliban continue to provide safe haven to Usama bin Laden and allow him and others associated with him to operate a network of terrorist training camps in Taliban-controlled territory and to use Afghanistan as a base for sponsoring international terrorist operations.	0
They do not necessarily differentiate between taking action against those on the list and taking action against all those they consider to be terrorists in general.	0
The Security Council also notes the importance of close cooperation within and between all government agencies and with international organizations in combating terrorism and incitement to terrorism.	1
However, the Caribbean states have adopted the Caribbean Treaty on Mutual Legal Assistance in Serious Criminal Matters (including offenses related to terrorism, financing of terrorism, money laundering and drug trafficking).	0
The evidence before the Commission establishes that Member of Parliament Leandro Isaac was involved to some extent in the incident. As a result of the incident, a PNP officer was killed and two FDN soldiers were injured.	0
16. The new pattern of joint exploration/exploration missions undertaken under the Technical Subcommittee appears to be a promising approach to accelerating practical progress on the ground.	0
On November 9, 2014, regime helicopters dropped barrel bombs on Dael city, killing six people, including two children, and damaging residential buildings.	0
Reaffirming its resolution 1540 (2004) and the need for all States to implement fully the measures contained therein, and calling upon all Member States and all international and regional organizations to cooperate actively with the Committee established pursuant to that resolution, including in the context of the comprehensive review provided for in resolution 1810 (2008).	0
âThe Security Council encourages relevant UN bodies, in particular CTED, in close cooperation within the framework of the CTITF, to focus increased attention on resolution 1624 (2005) in their dialogue with Member States to develop, in accordance with their obligations under international law, strategies that include countering incitement to commit terrorist acts motivated by extremism and intolerance, and to facilitate technical assistance for their implementation.	1
Security Council Committee established pursuant to resolution 1718 (2006) Sanctions List	0
Welcoming the establishment of the Permanent National Independent Electoral Commission, recalling the need for its members to be nominated through an independent and inclusive process, and recalling the importance that preparations for the elections scheduled for 2010 build on the spirit of reconciliation and dialogue enshrined in the Burundian Constitution that led to the successful completion of the transition.	0
As a result, the line has been crossed regarding security threats to many countries in Africa and beyond, including member states of this Council, exposing their vulnerabilities.	0
The Council also calls on the United Nations and the African Union to jointly investigate the LRA's logistical networks and potential sources of illicit financing, including alleged involvement in elephant poaching and related smuggling.	0
The Security Council reaffirms the principle of non-refoulement of refugees as enshrined in relevant instruments of international law, welcomes recent efforts by neighboring countries [of the affected State] to support the voluntary return of refugees in safety and dignity and urges host States to continue to provide international protection to [those] refugees in need of it.	1
During the reporting period, there was one shooting, four robberies, three abductions and one demonstration. On July 9, a UNOMIG vehicle was hit by a stone thrown by a local resident in Zugdidi town.	0
In March 2004, in the village of Dobo in North Darfur: âThey set everything on fire and stole our belongings.	0
:: Prohibition of arbitrary deprivation of liberty Prohibit arbitrary deprivation of liberty; corporal punishment; collective punishment; and the passing and carrying out of death sentences without prior trial before an ordinary court duly constituted according to law affording all the legal safeguards generally recognized as non-derogable.	0
On the morning of May 24, eight armed forces soldiers on a surveillance patrol in the hills were attacked and surrounded by a group of armed men from a higher position.	0
The purpose of the special meeting was to take the first step towards deepening regional awareness of the sanctions regime and to encourage enhanced cooperation between the Committee and the countries of the Sahel and Maghreb region.	0
âThe Security Council recognizes the important role of the Secretary-General's good offices, and encourages the Secretary-General to continue to use mediation wherever possible to help resolve disputes peacefully, and to work closely and coordinate with relevant regional and subregional organizations in this regard, as appropriate.	1
In addition, on June 25, the Council of Elders presented the Transitional Government with a roadmap outlining priorities for the successful continuation of the transition process, namely: Public Security, Justice, Elections, Political Governance, and Economic Measures.	1
In resolution 1820 (2008), the Council encouraged the Secretary-General, in consultation with women and women-led organizations, to develop effective mechanisms to protect women and girls from violence, including, in particular, sexual and other forms of gender-based violence, in and around refugee and internally displaced persons camps.	1
20. Relevant in this regard is the encouragement by the Security Council in its resolution 1963 (2010) for the Executive Directorate to discuss with Member States, with their consent, the possibility of developing, in accordance with their obligations under international law, comprehensive and integrated national counter-terrorism strategies that pay attention to the factors that lead to terrorist activities, as well as the Council's emphasis in the same resolution on the important role that regional and subregional organizations can play in combating terrorism, in particular by enhancing the capacity of Member States to fully implement resolution 1373 (2001) and facilitating the provision of technical assistance.	1
16. Reiterates the importance of all Member States submitting to the Committee for inclusion on the Committee's list names of members of Al-Qaida and the Taliban or associated with Osama bin Laden and individuals, groups, undertakings and entities associated with them, unless to do so would compromise investigations or enforcement actions.	1
Cuba once again comes to the Security Council to denounce and strongly condemn the complicity and absolute responsibility of the United States government for the release of this person.	0
(a) The deliberate killing, beating, abduction, disappearance, forced labor and recruitment of Ethiopian civilians.	0
:: Reports of the Secretary-General Reports of the Secretary-General: On the safety and security of humanitarian personnel and protection of United Nations personnel (A/68/489), protection of civilians in armed conflict (e.g., S/2013/689), and relevant reports on Security Council mandates (e.g., S/2014/140).	1
This invitation, as well as the cooperation received by the Special Rapporteur during his visit, highlighted the commitment of the Government of Burkina Faso to ensure that its counter-terrorism efforts are consistent with international human rights laws and standards.	1
(m) To conduct a study on the changing nature of the threat posed by Al-Qaida and the Taliban and on the best measures to counter it, including through dialogue with relevant researchers and academic bodies, in consultation with the Committee, and to report thereon to the Committee.	1
(e) The inaugural meeting of the International Contact Group on Libya to be held in Addis Ababa on December 3, 2014. The Heads of State supported the efforts of neighboring States and the Special Representative of the Secretary-General for Libya to create the conditions for a dialogue among all Libyan parties, with the exception of known terrorist groups.	1
âThe Security Council emphasizes the urgent need to demobilize and disarm all illegal armed groups.	1
It also recommends that the Government of Nepal make a clear commitment to the reintegration of children associated with armed forces and groups, and strengthen the legal protection of children by criminalizing their recruitment and prosecuting child rights violators.	1
We also agreed that the parties should re-establish the much-needed genuine dialogue and proceed without delay with the dismantling of militias, the disarmament, demobilization and reintegration of combatants and the holding of free, fair and credible elections.	1
âThe Security Council recalls its support for the Secretary-General's efforts to establish the Special Tribunal for Lebanon as soon as possible as a means of ending impunity in Lebanon and preventing further assassinations.	1
This guide is designed to serve as a source of information on counterterrorism best practices, model laws, and available assistance programs.	1
It also arrested 15 Ivorian Air Force pilots and technicians, all from the Russian Federation, Ukraine and Belarus.	0
He emphasized the need to promote dialogue within the framework of the TFIs and encouraged his interlocutors to use their influence to that end.	1
âThe Security Council requests the Secretary-General to support efforts to mobilize the necessary resources for the implementation of the YaoundÃ© Summit Outcome and to strengthen national and regional capacities, in close consultation with the Gulf of Guinea States, relevant regional organizations and other United Nations entities.	1
65. Major Reinado and 11 of his men arrived in the area from Aileu that morning, accompanied by civilians and 10 reserve unit officers armed with automatic rifles.	0
6. The decline of Al-Qaida is attributable, on the one hand, to the ongoing international campaign to limit its influence and, on the other, to the organization itself.	0
In order to facilitate the Council's deliberations on the establishment, change or termination of peacekeeping operations and to facilitate due consideration, as appropriate, of issues relating to the protection of civilians, Council members suggested that a note containing a list of issues of importance in this regard be drafted in close cooperation with the Council.	1
13. Global patterns of supply of small arms and light weapons have changed profoundly over the past few decades.	0
Lebanese security teams (police and army) worked hand-in-hand with the Commission's security team to ensure the safety and security of the Commission's personnel and premises.	0
I have the honour to transmit herewith the report of the Security Council Committee established pursuant to resolution 1521 (2003) concerning Liberia, containing an account of the Committee's activities during the period from 1 January to 31 December 2014. The report, which was adopted by the Committee, is being submitted in accordance with the note by the President of the Security Council of March 29, 1995 (S/1995/234).	0
It should be borne in mind that the provision of capabilities such as better information, rapid response capabilities and critical enablers, while providing better protection for civilians, often have significant resource and field support implications or may require a wider range of troop- and police-contributing countries.	0
Ivorian security forces arrested several national and international journalists (who were soon released due to external pressure) and threatened them in the course of their work.	0
I encourage the Government of Iraq to expedite further practical steps towards fulfilling its obligations under paragraph 14 of Security Council resolution 1284 (1999).	1
However, financial institutions and other implementation bodies do not seem to have taken note of this yet, and the Panel recommends that the Committee and States find ways to draw attention to this issue more broadly.	1
84. Four States have signed a letter of intent committing to implement the SAFE Framework of Standards to Secure and Facilitate Global Trade to ensure that shipments are not used for terrorist purposes, three of which are at an advanced stage of implementation.	0
He telephoned the acting head of the Beirut Metropolitan Police, Major General Naji Malaeb, and informed him about the phone call from Mr. Nammar and asked him to check with Judge Mezher whether he was aware of this decision.	1
13. The progress made in the past 10 years had resulted in the weakening of some of the terrorist networks that had plagued the international community since September 2001.	0
42. Al-Qaida, its affiliates and individual financiers continue to exploit formal and informal financial systems to move funds across borders and finance their activities.	0
:: Request UNAMI, in collaboration with relevant entities of the United Nations country team: :: Request the Mission, in collaboration with relevant entities of the United Nations country team, to establish and implement a country-level monitoring and reporting mechanism on grave violations against children, pursuant to resolution 1612 (2005).	1
Calls upon the UN Secretary-General to continue to provide his good offices and, where appropriate, to explore other high-level diplomatic mechanisms to promote dialogue between the parties concerned, including on the underlying causes of the conflict.	0
59. Some States in this region are implementing the 2005 European Union Strategy for Countering Radicalization and Terrorist Recruitment, which aims to âdisrupt the activities of networks and individuals to recruit people to terrorism; ensure that the voices of moderate public opinion prevail over those of extremism; and galvanize action to promote security, justice, democracy and opportunity for allâ.	0
Moreover, the Monitoring Team's interaction with Member States and the Committee could change dramatically if it became a referee in the listing and delisting decision-making process.	0
The third and final panel was based on the assumption that while individual criminal responsibility allows those accused of violations to be brought to justice and can have a deterrent effect, in the vast majority of cases it does not provide redress for victims of violations.	1
294. Given the limits of its mandate, the Commission was unable to confirm with certainty the number of civilian casualties in Darfur.	0
Some Council members expressed concern that conditions have not yet allowed for investigations into crimes committed by the rebels to begin.	1
30. Potential dangers in the process of bringing non-signatory parties to the negotiating table include parties insisting on unrealistic preconditions for negotiations. Another risk is the intransigence of the parties towards and during the negotiations. These risks can be mitigated by unifying the international community's positions on the peace process and maintaining close dialogue with the parties. Another risk is the establishment of initiatives for parallel peace processes by regional and/or international partners that could undermine this element of the framework.	0
1. Commends the continued efforts of the African Union, in particular President Olusegun Obasanjo of Nigeria, Chairperson of the African Union, President Thabo Mbeki of the Republic of South Africa, the African Union Mediator, the Economic Community of West African States and regional leaders to promote peace and stability in CÃ´te d'Ivoire, and reiterates its full support for these efforts.	1
The mission assessed the institutional, technical, security, legal, legal and political readiness to organize the elections. The mission identified areas where support was needed and called for enhanced participation of women and youth, improved institutional transparency and mechanisms to prevent political and electoral conflicts.	1
17. We believe that these steps together form the basis for a strategic approach to the reinforcement of the peace forces in Somalia. Such an approach would complement the measures already taken by the Security Council to contain the conflict.	0
23. As noted above, the Executive Directorate has developed particularly strong relationships with some regional and subregional organizations, including the Caribbean Community and the Inter-American Committee against Terrorism of the Organization of American States, in the Americas; the African Centre for the Study and Research on Terrorism; the African Union; the Eastern and Southern Africa Anti-Money-Laundering Group; the Economic Community of West African States; the Intergovernmental Authority on Development Capacity-Building Programme against Terrorism; the Intergovernmental Action Group against Money-Laundering in West Africa; and the Development Community	1
In addition, many victims have told the Commission that they have little confidence in the impartiality of the Sudanese justice system and its ability to prosecute those responsible for serious crimes committed in Darfur.	0
In particular, he recommends that the Committee amend paragraph 6 (i) of its guidelines to automatically review each year the names of individuals confirmed dead, in addition to any names selected by the Committee from the set of entries that have not been updated for four years or more, unless a Committee member specifically requests that the name of a reportedly deceased person not be considered.	1
âThe Security Council reiterates its support for the establishment of a core group with the task of continuously mobilizing the international community and increasing consultation among key stakeholders to enhance the coordination and effectiveness of assistance to Haiti, and to contribute to the definition of a long-term development strategy aimed at promoting lasting peace and stability in that country.	1
Under the principle of joint criminal enterprise, they may be held responsible for war crimes committed by others during the attacks, namely the killing of civilians, destruction of civilian objects, and looting.	0
The Security Council notes with appreciation the urgent initial steps taken by the Government of Rwanda to address this situation and encourages the Government of Rwanda to continue its cooperation with the United Nations and relevant international organizations to ensure that these combatants are permanently demobilized and dealt with in accordance with relevant international law, with particular attention to children and women among them.	1
âThe Security Council attaches great importance to the role played by the Organization of African Unity (OAU) and welcomes its decision to establish an international panel of eminent persons to investigate the genocide in Rwanda and surrounding events (S/1998/461).	0
27. The mission recalls the Council's readiness to support the efforts of the transitional authorities to combat impunity in the Democratic Republic of the Congo.	1
The Russian Foreign Ministry's note includes a proposal that CIS member countries take similar steps and withdraw from the regime of restrictions imposed on Abkhazia in 1996.	1
The Panel believes that one of the Committee's greatest strengths is that it operates by consensus, and that resorting to the voting procedures of the Security Council at the Committee level would undermine an important working practice.	1
The Assistant Secretary-General reported that armed groups continued to terrorize the population in areas under their control by committing killings, abductions, torture, ill-treatment and other serious human rights violations, including the destruction of homes and seizure of property, and also reported continuing allegations of human rights violations by some volunteer battalions under government control.	0
The relevant bodies of other international legal instruments - including the Council of Europe's Convention on the Prevention of Terrorism - have begun to consider related issues such as incitement, recruitment and training for terrorism.	0
Welcoming the role of the African Union in efforts to resolve conflicts on the African continent, and expressing its support for peace initiatives undertaken by the African Union and through subregional organizations.	1
The Council could also explicitly require Member States to prevent listed individuals and entities from accessing, establishing or maintaining military or terrorist training facilities within their borders, thereby extending the scope of the arms embargo to include training and recruitment comprehensively.	1
In this regard, an understanding was reached with both parties on the possibility of reviewing military agreements to better respond to what is happening on the ground.	1
The Acting Assistant Secretary-General provided a briefing on political developments in Ukraine, including the holding of parliamentary elections on October 26, and the elections held by the rebels in Donetsk and Lugansk on November 2, which the Secretary-General and many in the international community denounced.	0
At its first thematic special session on the global food crisis, the Human Rights Council focused on the interaction of the crisis with human rights violations.	1
The Security Council met at ministerial level on September 22 to consider civilian aspects of conflict management and peacebuilding.	1
States should develop a clear, complete, and consistent legal framework that categorizes terrorist acts as serious criminal acts, punishes them according to their seriousness, establishes jurisdiction, and assists courts in bringing terrorists to justice.	0
During the election period, other destabilizing activities are expected to take place in this region.	0
1. Condemns violent extremism, which can lead to terrorism, sectarian violence and the commission of terrorist acts by foreign terrorist fighters, and demands that all foreign terrorist fighters lay down their arms and completely cease committing terrorist acts and participating in armed conflicts.	0
25. Requests all Member States, and in particular the Government of Afghanistan, to report to the Committee any information received indicating that there is reason to consider applying the provisions of paragraph 1 of this resolution to a delisted individual, group, undertaking or entity, and further requests the Government of Afghanistan to provide the Committee with an annual report on the status of individuals reportedly reconciled and delisted by the Committee in the previous year.	1
29. It was recognized that, as part of its activities, the Committee should continue to raise awareness about multilateral treaties whose objective is to prevent the proliferation or eliminate weapons of mass destruction so as to contribute to their universalization.	1
Today, as mentioned before, there is a protracted, non-internationalized armed conflict in Darfur between government authorities and organized armed groups.	0
19. Strongly condemns all acts of sexual and other forms of violence committed against civilians in armed conflict, in particular against women and children, and undertakes to ensure that all peace support operations apply all feasible measures to prevent such violence and address its impact wherever it occurs.	0
(a) The crime scene was in a state of chaos not only during the first few hours after the explosion, when the main focus was on putting out the fire, rescuing the injured and searching for the missing, but also, unfortunately, during a much longer period, unnecessarily.	0
To this end, it has been given wide-ranging powers, including unhindered access to all property records in Bosnia and Herzegovina.	0
First, she urged the Security Council to further recognize and prioritize human rights in its resolutions and presidential statements.	1
Invite States and regional and sub-regional organizations to provide technical assistance to local police, judicial and correctional personnel (e.g. mentoring and legislative development).	0
We call on the Palestinian Authority to do everything in its power to stop these attacks.	0
I call on donors to contribute generously to the demining activities of the Landmine Action Organization, given their importance in creating a safe environment for the local population and UN military and civilian personnel in Western Sahara.	1
Irregular movement of weapons among security forces	0
âThe Security Council notes with concern that the above-mentioned threats may threaten the security of countries on its agenda, including post-conflict states, and encourages coordinated action by the United Nations as well as by Member States to combat these threats.	1
(b) To establish, in accordance with rule 28 of its provisional rules of procedure, a Committee of the Security Council consisting of all the members of the Council to undertake the tasks set out in the annex to the present resolution.	0
Counter-terrorism strategy: Coordination among law enforcement agencies	0
15. Since my report of 2 January 2008 to the Security Council (S/2008/1), UNOCI has dismantled all but two of the 17 observation posts it had established along the Green Line, in line with the provisions of the Ouagadougou Agreement.	0
(b) Encourage States to provide relevant officials with the necessary training to implement the counter-terrorism legal framework in areas such as investigation, prosecution, sentencing and extradition.	0
5. As the Maoists prepared to move their forces to the cantonment sites, they embarked on a recruitment campaign that culminated in November 2006.	0
A more coordinated approach might have allowed for better use of UNODC's shared resources within the intervention.	0
The international community should now be willing to act with the same determination to protect the interests of Kosovo Serbs and other minority communities.	1
:: Strengthening cooperation in bringing terrorists to justice: Strengthening cooperation in bringing terrorists to justice, including cooperation in the prevention, investigation and prosecution of terrorism and crimes	0
Stresses that effective disarmament, demobilization and reintegration programmes for children, building on best practices identified by UNICEF and other relevant child protection actors, are vital to the well-being of all children recruited or used by armed forces and groups, in violation of applicable international law, and are critical to achieving sustainable peace and security, and urges national governments and donors to ensure that such community-based programmes are adequately resourced and funded in a timely and sustainable manner.	1
15. Pursuant to resolution 2129 (2013) and with the assistance of the Executive Directorate, the Committee will continue to work closely with Member States, including during country visits, to develop comprehensive and integrated counter-terrorism strategies and identify available good practices, elements and standards.	1
At the request of the President, UNMEER established a small office in Bamako, which became operational on November 26, led by an Ebola crisis manager to support the Government in containing the outbreak and enhancing its preparedness. On December 13, the last known Ebola patients were allowed to leave the hospital.	1
Given that, for most purposes, the United Nations needs one common message on counter-terrorism, it is appropriate for the Task Force to take the lead in this regard, but CTED will also need to maintain its independent public character and ensure transparency regarding its actions, as appropriate.	1
The signatories also pledged to conduct an open and fair election campaign and to establish a parliamentary committee on corruption during the next session of parliament.	1
Meanwhile, the first two formed police units were deployed on August 5 and 22, respectively.	0
Repeated clashes between FARDC soldiers and armed groups active in the area have resulted in numerous civilian casualties.	0
Boko Haram has exploited the porous border between Nigeria and Cameroon and kidnapped foreign nationals in Cameroon.	0
(b) Encourage States in the subregion to utilize law enforcement and other training opportunities to enhance the implementation of counter-terrorism laws.	1
During the discussions, and in the light of the change of leadership on both sides over the past two years, the parties agreed on the need to reaffirm their commitment to the non-resumption of hostilities and the safe and dignified return of internally displaced persons and refugees, initially to the Gali district within its old borders, as emphasized in the Yalta Declaration of the Georgian and Abkhaz sides (see S/2001/242, annex, and S/2001/401, para. 6).	1
388. The Commission has also found cases of looting by rebel movements, particularly during attacks on police stations and other Government installations, where the rebels looted weapons from the Government.	0
Moreover, given the high rates of intermarriage, it is difficult to distinguish them in terms of their external physical features from the members of the tribes they are allegedly attacking.	0
On behalf of the Security Council Committee established pursuant to resolution 1540 (2004), I have the honour to inform you that the Committee has agreed to hold an open meeting, as envisaged in its report on the modalities for considering a comprehensive review of the status of implementation of resolution 1540 (2004) in accordance with paragraph 8 of resolution 1810 (2008) (S/2009/170).	1
However, further steps are needed to criminalize the illicit manufacture, possession and trafficking of small arms, light weapons and explosives.	0
30. On March 18, the commanders of the Presidential Guard and the Presidential Security Division sent a letter to the Minister of Internal Security declaring that the areas around the Presidential Palace were a âred zoneâ and that anyone caught there would be considered an enemy combatant and would be treated as such, i.e., shot without warning.	0
UNAMIR is discussing with some Rwandan combatant leaders and the transitional government the technical modalities of repatriation, and has publicized the Rwandan government's decision not to prosecute any returning combatant who was 14 years old or younger at the time of the 1994 genocide.	1
4. I am pleased to recall that many of the provisions of Security Council resolution 1559 (2004) have been implemented since its adoption on September 2, 2004. Presidential and parliamentary elections were held in a free and fair manner. The Syrian Arab Republic withdrew its troops and military assets from Lebanon in April 2005. Lebanon and the Syrian Arab Republic established full diplomatic relations in 2009.	0
The European Union condemns such acts of violence perpetrated by the Maoists, for which the Nepalese people have endured enormous suffering and hardship.	0
Strengthening the protection of civilians in armed conflict is at the heart of the United Nations Security Council's work on the maintenance of peace and security.	1
Members of the Committee were of the view that the current contents and format of the âchecklistâ should be reviewed with a view to redesigning it, if necessary, and studying its efficiency on a pilot basis at a later date.	1
When addressing the situation in Haiti within the UN framework, almost all attention is almost always focused on so-called security issues, which in practice minimizes the urgent attention needed to the country's serious structural, economic and social problems.	0
7. Calls upon all States to comply with the provisions of this resolution notwithstanding the existence of any rights or obligations conferred or imposed by any international agreement or contract entered into or any license or authorization granted prior to the date of entry into force of the measures imposed in paragraph 4 above.	1
It has therefore been limited to collecting credible information on individuals who may be suspected of being responsible for committing crimes in Darfur.	0
13. Encourages the Government of Burundi to continue its efforts to expand respect for and protection of human rights, including through the establishment of an independent national human rights body, taking into account the Paris Principles set out in General Assembly resolution 48/134, and further encourages it to put an end to impunity and to take the necessary measures to ensure that its citizens fully enjoy their civil, political, social, economic and cultural rights without fear or intimidation, as enshrined in the Constitution of Burundi and provided for in international human rights instruments, including those ratified by Burundi.	1
(y) To consult with representatives of relevant international organizations, including the International Air Transport Association, the International Civil Aviation Organization and the World Customs Organization, with a view to promoting awareness of and compliance with the travel ban and the arms embargo.	1
10. Encourages all Member States to submit to the Committee established by paragraph 30 below (âthe Committeeâ) for listing the names of individuals, groups, undertakings and entities participating, by any means, in the financing or support of acts or activities described in paragraph 3 above.	1
âThe Security Council reaffirms that the conflict in Afghanistan cannot be resolved by military means and that the only way to peace and reconciliation is through a negotiated political settlement aimed at installing a broad-based, multi-ethnic, representative government acceptable to all Afghans.	1
(a) Mamadou CissÃ© (close to the Rassemblement des RÃ©publicains) and Tareen, a sergeant in the navy, since 20 September 2002.	0
Ultimately, when conditions are deemed favorable, these institutions and companies should join forces with relevant governments to coordinate efforts to adopt a coordinated plan to develop the country, provide livelihoods for the population, and improve human rights.	1
14. However, international human rights bodies and others have also raised concerns that some measures to counter incitement may be excessive and overreaching, infringing on human rights, including the right to freedom of expression and the right to non-discrimination. This would be counterproductive as it creates the risk of excluding certain communities from international counter-terrorism efforts.	0
The Team also continued to play an active role in the development of measures to combat the financing of terrorism through its participation in plenary sessions of the Financial Action Task Force on Money Laundering (FATF) and meetings of FATF-like regional bodies.	0
I am particularly concerned about the instability that could arise if the political and socio-economic situation continues to deteriorate.	0
The Committee duly completed its review before the new deadline.	0
Adopt a presidential statement that, inter alia, reaffirms international solidarity in the fight against terrorism and urges Member States to show greater vigor in their counter-terrorism efforts.	1
Adopt a participatory assessment approach to ensure that returning IDWGs participate in and influence the development of reintegration strategies and programs; improve gender-sensitive reintegration metrics on issues such as constitutional reform and electoral processes; develop gender-differentiated indicators for data.	1
9. Invites States that have not yet ratified the instruments of international humanitarian law, human rights law and refugee law to consider doing so and to take appropriate legislative, judicial and administrative measures to fulfill their obligations under these instruments.	1
Reiterates the importance of strengthening, within a comprehensive framework, the functionality, professionalism and accountability of [the affected country's] security sector through appropriate screening, training, mentoring, coaching, preparation and empowerment efforts, for both women and men, in order to accelerate progress towards the goal of self-sufficiency and ethnic balance in [the affected country's] security forces that provide security and ensure the rule of law throughout the country.	1
