ar_en_TRANSFORMERS	VerConf
While we are pleased that more than 10 million Afghan voters have been registered, we are concerned that there has been insufficient voter registration in the southern and south-eastern parts of Afghanistan due to security concerns.	1
The main Palestinian factions in Lebanon expressed concern about the incidents and distanced themselves from Fatah al-Islam.	1
In this regard, we are particularly concerned about the continuing lack of progress in the areas of minority freedom of movement, sustainable returns and the related representation of minorities in government structures and in the public sector as a whole.	1
The multi-ethnic nature of Kosovo and Metohija, which is described in the report, has been ignored, and the judicial system that has been established in Kosovo and Metohija is most evident from this disregard (para. 57).	1
Many Sudanese were imprisoned or forced to live in exile after the coup.	0
:: Prosecute those who finance, plan, support or facilitate terrorist acts, with particular reference to the principle of "aut dedere aut judicare," in accordance with international law, including human rights law	1
In its initial report, the Committee had identified similarities as well as differences between the two States, noting in particular that although it had identified some of the violations that had led it to conclude that international crimes had been committed in Libya, the assessment of individual criminal responsibility was at the heart of the role of the International Criminal Court.	1
The Court &apos; s Trial Chamber &apos; s decision to issue a warrant for the arrest of a Head of State on 4 March 2009 triggered a major public reaction and set hopes for peace and stability a new setback.	1
The Information and Management Office will oversee the preparation of end-of-cycle evaluations through e-PAS for all staff of the Directorate and will assist all staff participating in the new voluntary network exchange initiative in promoting mobility by increasing lateral mobility of staff in networked groups, as in the case of the political, peace and security occupational network.	0
Recognizing also the Commission &apos; s concurrent recommendation that there is a need for continued international assistance to and assistance to the Lebanese authorities in the detection of all concealments of this terrorist act, and that it is essential that the international community make a sustained effort to establish a programme of assistance and cooperation with the Lebanese authorities in the field of security and justice,	0
&apos; The Security Council expresses its growing concern at the serious threats posed by drug trafficking and related transnational organized crime activities to international peace and stability in West Africa and the Sahel region as referred to in the United Nations integrated strategy for the Sahel.	1
35. On 5 September 2011, the Electoral Parties Registration Commission held a workshop on legal reform, during which participants reviewed the mandate of the Commission and recommended, inter alia, revisions to the Political Parties Act 2002 to give the Commission legal authority to enforce the code of conduct for political parties.	0
At the police headquarters, the nervous intervention of the Minister of the Interior, including the withdrawal of weapons from the armoury, contributed to an atmosphere of panic.	1
The decision to expel humanitarian workers and silence others by threatening to expel, or attempts to restrict the freedom of movement of UNAMID, comes within the framework of this policy of limiting the monitoring capacity of the international community.	1
Documentation of best practices on thematic issues and functional areas; desk reviews and best practices workshops; and establishment of an electronic knowledge and data exchange network among gender advisers.	0
The Panel confirmed that the immediate task to be performed was to circulate the Doha Document to ensure its acceptance by the population of Darfur as a whole and to persuade the remaining armed groups to sign it.	0
As I said earlier, double standards in addressing terrorism and terrorist groups is another important matter of deep concern and seriously undermines the international community &apos; s collective fight against terrorism.	1
2. The Republic of Croatia, as the Chairman of the Counter-Terrorism Committee of the Security Council and one of the first States to promote the establishment of the Global Alliance against Terrorism, strongly condemns international terrorism in all its forms and manifestations and, taking into account the danger of terrorism combining with other threats to international peace and security - such as the proliferation of weapons of mass destruction, transnational organized crime and cyberterrorism - urges that international cooperation be strengthened to suppress this contemporary scourge.	1
As the report of the Secretary-General (S/2004/634) makes clear, addressing the problem is a difficult challenge.	1
Cuba once again comes to the Security Council to condemn and strongly condemn the complicity of the United States Government and its absolute responsibility for the release of this person.	1
It was important to formally prosecute cases of domestic violence and sexual abuse in accordance with the new Criminal Code.	1
The forest is now under the control of the national army.	0
483. The commissions have rejected many cases on the grounds that their interrogation of victims revealed that the crime complained of did not amount to rape, since there had been no penetration, or that the complainants had confused rape with persecution, and had wrongly complained about other forms of assault or violence, such as beatings.	1
Reiterating its grave concern at the continuation of hostilities by militias and foreign armed groups in the eastern part of the Democratic Republic of the Congo and at the threat they pose to the holding of elections in the Democratic Republic of the Congo,	1
The regime &apos; s besieged areas continue to be shelled daily, resulting in the slaughter of civilians without any interest or media coverage.	0
However, Government authorities and other sources indicate that M23 combatants have destroyed civil registration records in the provinces.	0
7. Expresses its strong determination to consider including in the list of individuals, groups, undertakings and entities associated with Al-Qaida, pursuant to resolution 2161 (2014), those who finance, arm, organize or recruit persons for them, or otherwise support their actions or activities, including through information and communication technologies, such as the Internet, social media or any other means;	0
118. Information provided to this survey shows that, in the view of many States, incitement to commit acts of terrorism continues to pose a serious threat and threat in many parts of the world, albeit to varying degrees.	1
The use of other weapons, such as swords, has also been observed, albeit less frequently.	0
Further development in this direction could jeopardize efforts to reform and build the country and, in the long run, threaten peace and stability throughout the region.	1
A transformation of the Mission &apos; s force alone will not lead to the changes needed to implement its mandate more effectively; this must include a change in the behaviour of some troop-contributing countries.	1
On 19 August (World Humanitarian Day), the United Kingdom, in its capacity as President of the Security Council, will hold an open meeting of the Council, in the form of a briefing, on the protection of humanitarian workers, under the agenda item on the protection of civilians in armed conflict.	0
The MDC candidate has little or no access to the media in Zimbabwe; it is forbidden to campaign freely; and campaign buses and cars are reported to have been seized by the State, allegedly for illegal registration.	1
2. Building confidence and enhancing stability within the host State by promoting truth and reconciliation through:	0
Recognizing that the consideration by the Security Council of the issue of the protection of journalists in armed conflict is based on the urgency and importance of this issue, and recognizing the valuable role that the Secretary-General can play in providing further information on this subject,	0
We are concerned about the deterioration of the living standards of the people as a result of the difficulties faced by the country in 2008, particularly as a result of the global food crisis and the damage caused by the hurricanes that struck the island.	1
Even though in most cases the Government may not have been involved in the destruction, its involvement in the attacks during which the destruction took place and the presence of its forces in the place of destruction are sufficient to make it a partner in the responsibility for such destruction.	0
During the reporting period, the Government did not take any measures against these non-approved national police officers.	1
24. On 13 March, following the adoption by the Security Council of its resolution 2136 (2014) on 30 January, the Secretary-General appointed six individuals with expertise in arms, armed groups, customs/flight, finance, natural resources and regional issues to serve on a group of experts until February 2015 (see S/2014/183).	0
3. Complexities in conflict prevention and resolution	0
Uganda does not support any Congolese militia as alleged by the Permanent Representative of the Democratic Republic of the Congo.	1
The Commission was unable to confirm the Government &apos; s claim that wounded soldiers and civilians had been killed inside the hospital building.	1
The application of these prohibitions has also benefited from the misperception of the targeted persons, making them more vulnerable to identification and less inclined to travel with a false identity.	0
Recalling the presidential statement of the Security Council of 9 May 2011 (S/PRST/2011/9), in which the Council notes that Osama bin Laden will no longer be able to commit acts of terrorism,	1
All States have introduced laws to prevent and suppress the cross-border movement of terrorists and four have taken practical steps to prosecute criminals.	0
The gap between the progress made in building the Palestinian State and the persistent and firm stalemate on the political track has been described as heartbreaking.	1
9. The Mwanza talks of 14 May 2000 between the Presidents of Rwanda and Uganda, who agreed to demilitarization, followed.	0
(j) Illegal arrests, arbitrary treatment in Eritrean prisons, inhuman treatment, poor nutritional conditions and housing in concentration camps;	0
However, the system continues to face a range of judicial obstacles, albeit before the Committee can prove the effectiveness of the Ombudsman mechanism.	1
On 7 May 2005, General Michel Awn returned after 14 years in exile, forming the "free national current" to participate in the legislative elections that began on 29 May and ended after four rounds on 19 June.	0
61. The existence and functioning of State institutions, the police and the national army in these areas vary widely.	0
It further urges all Member States, in coordination with international financial institutions and United Nations agencies, to increase their support to address the increasing political, social, economic and financial implications of the refugee crisis in host countries.	0
We urge Israel to abide by its obligations with regard to the population in the occupied territories.	1
The technical investigation concluded, inter alia, that the damage observed in the front of the aircraft appeared to indicate that a large number of high-energy objects had penetrated the aircraft &apos; s body from outside.	0
The common objective element (knowing the systematic nature of forced displacement) lies in the fact that displacement clearly amounts to a government policy that the relevant government authorities and Janjaweed have consistently pursued.	0
Determining that the situation in the Democratic Republic of the Congo continues to constitute a threat to international peace and security in the region,	1
Members of the Council expressed their grave concern at the appalling human rights violations and crimes against humanity mentioned in the report.	1
The impasse could increase political tensions and affect the growing atmosphere of confidence that prevailed following the elections and the inauguration of President Martelly.	1
It is also surprising that no members of the parallel forces have been arrested or prosecuted for these crimes.	0
Indeed, the lack of detail has shown that the INTERPOL-United Nations Security Council Special Notices, which are the main tool for providing information on listed persons to law enforcement agencies, existed for 309 of the 488 names at the beginning of the review; the number now stands at 361 and is likely to increase.	1
Moreover, the gap between President Gbagbo &apos; s position and his ruling party, on the one hand, and those of opposition forces, on the other, remains acute.	1
At the same time, the Assistant Secretary-General felt that all should condemn the inflammatory statements made by armed groups threatening to block voting in areas in eastern Ukraine and to hold their own elections on 2 November, in violation of the Constitution and national law.	1
Following the consultations, the President of the Council made a statement to the press, in which the members of the Council called on the Ivorian authorities and all parties concerned to put an end to the obstacles to the freedom of movement of the impartial forces and urged all parties to exercise responsibility and restraint so that the next electoral campaign could be conducted in a secure and planned atmosphere.	0
"The Security Council notes with deep concern the postponement of the first round of the presidential elections, which were scheduled for 29 November 2009 in accordance with the communiqué issued by the Permanent Consultative Framework of the Ouagadougou Political Agreement on 18 May 2009, which was endorsed by all Ivorian political actors.	1
1. On 26 July 2005, the Security Council adopted resolution 1612 (2005) on children and armed conflict.	0
The new democratic Government of Pakistan has inherited a terrible legacy of political, economic and security challenges.	1
In the view of the delegation of Togo, all these issues require urgent action to prevent the Sahel from falling into total insecurity, which would be very detrimental to its development.	1
I encourage the Congolese authorities to hold accountable those responsible for the mass rape and looting committed in Walikale in July and August 2010.	1
Calls upon all States to take urgent action to fully implement resolution 1373 (2001) and to assist each other in doing so, and underlines the obligation of States to deny financial, safe haven and all other support to terrorists and those who support terrorism,	1
The head of the family stated that, during the attempt to flee their home, they had met six Arab men who had raped his 25-year-old daughter in front of his eyes and the eyes of his wife and young children.	0
Other documentary material had also to be collected and analysed to identify issues that contributed to the crisis; the Commission would subsequently verify the information contained therein and the reports, and would investigate further facts by interviewing witnesses, officials and other persons in positions of authority, as well as persons detained in police custody or in prison, and by visiting places where crimes were alleged to have been committed or other events.	0
9. The Al-Haramain Foundation (United States of America) (QE.A.117.04) on the List has instituted a new lawsuit against the Government in the Federal District Court of Oregon, in addition to a previous one that is still pending in the United States. Al-Haramain states that the decision of the United States to impose sanctions against it is arbitrary and is not based on material evidence, and also violates its right to due process (by failing to explain the factual basis of the Government &apos; s action and relying on secret evidence not brought to its attention), its right to protection from unreasonable search and confiscation (based on the decision to freeze its assets), and its right to freedom of expression, association and religion. Al-Haramain further states that the Government &apos; s refusal to allow it to use frozen assets to pay for its lawyers violates its right to due process.	1
The September 2013 attack on the "Wistgit" trading centre in Nairobi, Kenya, demonstrates the capabilities of Al-Shabaab, even after its retreat in Somalia.	0
ISIL and all other parties to the conflict continued to kill and injure the population and to destroy villages, towns and cities with impunity.	0
European Union arrest warrants are an effective alternative to traditional extraditions, allowing direct contact with those concerned and empowering judicial authorities.	0
Let us speak frankly: these reports from the press, human rights groups and civilians on the ground raise serious concerns about the nature and scope of the conflict.	1
We were prevented from even condemning the violence and supporting a peaceful plan developed by Syria's neighbours.	1
Allegations of disappearances and detentions in areas controlled by the Mouvement national de CÃ´te d &apos; Ivoire	0
Timor-Leste continues to face important challenges in reducing poverty and creating employment opportunities, particularly for its young population.	1
The Committee continued to consider three further requests for exemption, the first relating to the proposal of a United Nations specialized agency for technical assistance to the Islamic Republic of Iran; the second concerned a request received from a State from the Islamic Republic of Iran Mine Action Centre, in which cooperation with that State in mine action was proposed; and the third related to a request received from a Member State of the Islamic Republic of Iran for the training of its armed forces.	0
President Abbas further told me that "the illegal transfer of large quantities of weapons to refugee camps through some Palestinian groups threatens Lebanon and does not serve the Palestinian cause."	1
Another delegation was of the view that the active protection of civilians should not be confused with the neutralisation of armed groups through offensive activities.	1
The Security Council expresses its particular concern at the withdrawal by [neighbourly State] of the recognition of the status of refugees to a large number of refugees and the consequent cessation of assistance to them... [the affected State] decisions in this regard may mean the involuntary return of tens of thousands of persons to an area that is neither safe nor ready for reception.	1
We condemn the excessive use of force by the Israeli army in densely populated areas, which inflicts widespread suffering and losses on large numbers of Palestinian civilians, including children.	1
But there can be no mistake that my country is also prepared to resist its ever-lost declaration of independence, as long as a settlement is not on the horizon.	1
Decides hereby, having received the request of the [State concerned], to establish an international tribunal for the sole purpose of prosecuting persons responsible for acts of genocide and other serious violations of international humanitarian law committed in the territory of [the State concerned] and nationals of [the State concerned] responsible for acts of genocide and other similar violations committed in the territory of neighbouring States, between [two dates].	0
The Council supports the idea of establishing within the Secretariat a unit to assist in the establishment of the rule of law and looks forward to receiving the Secretariat &apos; s proposals on the implementation of the recommendations contained in paragraph 65 of the report of the Secretary-General on the rule of law and transitional justice in conflict and post-conflict societies (S/2004/616).	0
If missions do not fulfil their responsibilities with regard to the protection of civilians, this would be detrimental to other tasks that the mission may have been mandated to do, not to mention the loss of life and suffering that will follow.	1
We note that civil society organizations have expressed serious concern in this regard.	1
The report mentions a number of incidents, particularly in the security sector, which are of serious concern.	1
6. Al-Qaida &apos; s decline is due, on the one hand, to the ongoing international campaign to limit its influence and, on the other, to Al-Qaida itself.	0
Israel must refrain from unilateral actions in Jerusalem that would alter the status quo or undermine confidence.	1
16. Despite the military defeat of M23, Congolese and foreign armed groups, including ADF, FDLR and several Mayi-Mayi groups, continue to pose a threat to the civilian population and to stability and development in general in the eastern Democratic Republic of the Congo and the Great Lakes region.	1
4. In CÃ´te d &apos; Ivoire, the Group was in close contact with the political, police and military branches of UNOCI.	0
In this regard, another participant noted the high costs of peacekeeping operations and regretted the Council &apos; s lack of military expertise.	1
(v) Encourage all States, under paragraph 8 of resolution 1977 (2011), to prepare, on a voluntary basis, with the assistance of the Committee established pursuant to resolution 1540 (2004), as appropriate, national implementation action plans, setting out their priorities and plans for the implementation of the key provisions of resolution 1540 (2004), and to submit such plans to the Committee;	0
Despite those challenges, we cannot fail to acknowledge that nearly 50 per cent of the Afghan people live in areas for which responsibility for security has been transferred to the Afghan security forces.	1
I cannot stress enough the threat posed by the unavailability of military helicopters to the operational effectiveness of the Force.	1
Training of peacekeeping personnel requests the Secretary-General to ensure that appropriate training is provided to United Nations personnel involved in peacemaking, peacekeeping and peace-building activities in international humanitarian, human rights and refugee law, including provisions on children and gender, negotiation and communication skills, cultural awareness and civil-military coordination, and urges States and relevant international and regional organizations to ensure that appropriate training is included in their programmes for personnel involved in similar activities.	0
Arrangements are being considered for UNDP and UNHCR to establish and administer a successor trust fund for DIS, if that is the wish of the Government and potential donors, so that the necessary national structures and capacities can be assured.	0
"The Security Council notes the detrimental impact of the proliferation of weapons, especially small arms, on the security of civilians, including refugees and other vulnerable populations.	0
Reiterating its call upon the parties and States of the region to cooperate more fully with the United Nations and with each other and to strengthen their engagement in order to end the current impasse and to make progress towards a political solution,	0
But how can that be achieved when the two agreements and the authority of law continue to be flouted; when our territory remains occupied by force and our people are displaced from its cities and villages? Indeed, how can all possible arrangements of mutual benefit and normalization begin when sovereign territories are not respected and demarcated.	0
Demands that all parties put an end to violence and attacks on civilians, peacekeepers, humanitarian assistance and other violations of human rights and international humanitarian law...	1
- Stresses the need to provide the appropriate level of military expertise for Security Council resolutions;	0
Salah Sulaiman Ayash, a 33-year-old driver in the medical rehabilitation system in Rif Dimashq, was shot dead by government forces while attempting to enter Zebdin on 27 November 2014.	0
Further demands that the parties to the conflict immediately cease all violations and abuses committed against children and requests the Secretary-General to ensure that: (a) the situation of children continues to be monitored and reported on, including in the context of the reports referred to in paragraph 14 above, including through close cooperation with child protection actors; and (b) dialogue with the parties to the conflict with a view to preparing and implementing time-bound action plans to end the recruitment and use of children and other violations committed against children under international humanitarian law and international human rights law;	1
However, the Operation has also demonstrated the magnitude of the challenges that Liberia &apos; s security sector continues to face, particularly with regard to logistics, communications and the mobility of the police and the Immigration Service.	1
The Mission trained more than 20 human rights organizations on monitoring techniques and, with the financial support of OHCHR and the Embassy of Canada, facilitated the production and dissemination of awareness-raising materials for more than 30,000 people and civil society organizations.	0
The attackers were described as wearing the same khaki uniforms as Government soldiers and were armed with G-3 Kalashnikov rifles and rocket launchers.	0
"The Security Council reaffirms its condemnation of all targeted assassinations of Lebanese leaders, particularly since October 2004, and demands an immediate end to the use of intimidation and violence against representatives of the Lebanese people and institutions.	1
(v) Working with relevant international and regional organizations to promote awareness of and compliance with the measures;	0
However, it is unacceptable that Israel invokes its legitimate security concerns as justification for imposing measures that affect an entire people in an indiscriminate manner and in violation of international humanitarian law.	1
However, there is a need for the will of the United States to place Middle East peace in its priorities, going beyond the disregard and absence that has lasted for almost seven years and has exacerbated the situation in the region.	1
It will reaffirm the zero-tolerance policy and the need for troop-contributing States to take the necessary disciplinary and judicial measures and provide the victims with full care.	0
144. While the Commission is aware that the Commander of the Defence Force was facing a collective strike of individuals and the need to maintain discipline of the Force, it notes the significant discrepancies between the actions he has taken and those provided for by law." On 16 March, the Commander of the Public Defence Force declared that the petitioners should be considered civilians as from 1 March.	1
44. The level of ratification of international instruments has remained stable since 2009, although it varies considerably.	0
Of 168 children, 135 were abducted for recruitment purposes, while 33 were abducted for participation in cultural and political programmes or for other reasons.	0
With regard to the disarmament, demobilization and reintegration of ex-combatants, the parties agreed that the Chiefs of Staff of the National Armed Forces of CÃ´te d &apos; Ivoire and the Forces nouvelles would meet on 7 July to finalize the timetable for the disarmament, demobilization and reintegration process to be launched by the end of July.	0
8. The Committee, in close cooperation with the Committee established pursuant to resolution 1267 (1999) and the Committee established pursuant to resolution 1540 (2004), and in line with its mandate, will pay particular attention to States that are late in submitting relevant information to it and will discuss how best to address this issue.	0
Although the period of the official electoral campaign has not yet begun, opposition parties and civil society have expressed concern about the disruption of political activities by national authorities, in particular the police.	1
On 18 March, the leaders of the Presidential Guard and the Presidential Security Brigade addressed a letter to the Minister of Internal Security declaring that the areas around the Presidential Palace were "red zone" and that anyone arrested would be considered an enemy combatant and would be treated as such, that is, shot without warning.	1
Stressing that terrorism can be overcome only through a sustained and comprehensive approach involving the active participation and cooperation of all States and international and regional organizations to prevent, weaken, isolate and paralyse terrorist threats,	0
Boko Haram exploited the porous border between Nigeria and Cameroon and abducted foreign nationals in Cameroon.	0
It also continued to encourage the Monitoring Team to further improve its role in the process of strengthening the capacity of Member States to fully implement the sanctions regime imposed by the Security Council on Al-Qaida and the Taliban and associated individuals and entities, and in this regard encouraged the Committee to cooperate between the Monitoring Group and the Executive Directorate of the Committee established pursuant to resolution 1373 (2001), which is undertaking the task of integrating the systems into capacity-building initiatives within the framework of Security Council sanctions.	0
She reiterated the Secretary-General &apos; s condemnation of any use of chemical weapons by any party to the Syrian conflict and reiterated his call for the perpetrators of any such acts to be brought to justice.	1
Like the other speakers who spoke before us, and in line with the statement made by High Representative Ashton, we condemn the work that led to the death of Mr. Dzikovic and the wounding of several others during the protests in northern Mitrovica on 2 July.	1
It seems that real change will most likely come from popular protests, not from planned violence in hiding.	0
Frequent calls from groups for contributions and allegations that they are unable to launch attacks because they lack money have encouraged the continued focus on adding funders to the list.	1
I continue to believe that the complex security challenges in Somalia cannot be addressed within the capabilities of any regular United Nations peacekeeping force, and that the multinational force is the right instrument for stabilizing Mogadishu.	1
It is part of a song that is constantly being repeated before this Council and that does not increase its validity. It ignores both Palestinian responsibilities and Israeli rights. It does not recognize the excessive difficulties faced by Israeli forces in trying to protect their citizens and minimize the harm done to the lives of Palestinians, while the terrorists they face do not pay more attention to the lives of Palestinians than to the lives of Israelis.	1
Council members condemned the attacks on UNOCI personnel and stated that those responsible should be held accountable.	1
Thus, the role of the Council in providing compensation to victims of violations of international law may be practical and effective.	0
"The rivalry between opposing political forces casts doubt on the country's recent democratic success and threatens its progress towards lasting stability" (S/2011/540, para.	1
"The Security Council stresses the importance of exploring the potential and existing capacities of regional and subregional organizations in the area of peace and security, including, inter alia, conflict prevention, confidence-building, conflict resolution, peacemaking, peacekeeping and post-conflict peace-building, and welcomes regional dialogue and the promotion of common regional standards and common regional approaches in conflict resolution and other peace and security issues.	0
The mission took the position that it was "out of sight but not out of sight," as it was prepared to intervene if the situation deteriorated, and contingency plans had been developed for the deployment of reserve forces if necessary.	0
All these Janjaweed identified by the Commission as perpetrators are suspected of indiscriminate attacks on civilians, which is a war crime.	0
Support theme groups in post-conflict contexts, in collaboration with gender advisers to peacekeeping missions and with United Nations country teams, agencies, funds and programmes.	0
That leadership states that these children are orphaned as a result of the conflict and that the Sudan Liberation Army provides care for them.	0
The Committee also conducts periodic reviews of the names of individuals reported dead and entities reported to have ceased to exist.	0
Thirdly, in several cases, the Security Council has recognized that serious violations of human rights and international humanitarian law pose possible threats to peace and security.	1
The Government has not taken the necessary administrative and legislative action to combat the situation of corruption in the Provisional Institutions.	0
As the militias of these groups maintain close links in the region, I expect the Government of the Syrian Arab Republic to engage constructively in this process.	0
"The Security Council remains deeply concerned about the security situation in the Central African Republic.	1
It is clear that the Commission will not be able to perform these functions if it has not previously identified: (a) whether violations amount to international crimes and, if so, (b) the category of crimes under which violations fall (war crimes, crimes against humanity, genocide or other crimes).	1
A similar obligation is assumed by the rebels for all crimes they may have committed, whether or not the perpetrators have been identified and punished.	0
The recent advisory opinion of the Council of Scientists condemning drugs and other related activities could be very useful in discouraging opium poppy production.	1
Reaffirming also its resolutions 1368 (2001) of 12 September 2001 and 1373 (2001) of 28 September 2001, and reiterating its support for international efforts to eradicate terrorism, in accordance with the Charter of the United Nations,	0
80. Four States have comprehensive counter-terrorism laws.	0
17. On 7 January 2003, the Military Order Court sentenced 30 of the 150 persons initially accused of involvement in or involvement in the assassination of the late President Laurent DÃ©sirÃ© Kabila or the commission of any of the two acts.	0
However, failure to intervene effectively to restore stability in that country is indeed threatening the effectiveness of the international community as well as the enormous resources it costs.	1
'The Security Council stresses that any attempt to destabilize Chad by force is unacceptable.	1
This has raised serious tensions with local communities, as well as threats to MONUC by some former CSCE military commanders who are now integrated into the Congolese army.	1
38. The proliferation of weapons outside the authority of the State, along with the continued presence of militias with large quantities of weapons, is a major concern to me with regard to Lebanon &apos; s stability.	1
Stresses the importance of ensuring access by relevant organizations, as appropriate, to all prisons and places of detention in [the affected country], and calls for full respect for relevant international law, including humanitarian and human rights law...	0
Reports indicate that the intensity of the attacks and atrocities perpetrated in any village has spread a degree of fear among the inhabitants of neighbouring villages who survived the attacks, also causing them to flee to areas of relative security.	1
The negative impact of the Libyan situation, which poses a threat to continued peace and stability in the region, will grow, and China expresses its deep concern in this regard.	1
While it is important to prevent terrorists from carrying out their attacks, terrorism is clearly invincible by security measures alone, and many members of the international community expect the Security Council to develop measures that limit the means by which Al-Qaida disseminates its message and to promote programmes aimed at undermining it.	1
In other words, the National Commission was fully aware of serious allegations of crimes committed in Darfur.	1
2. Calls upon the Syrian Government to implement clearly all the commitments it has agreed to fulfil in the initial understanding and as stipulated in resolution 2042 (2012), namely: (a) to halt the movement of troops towards population centres; (b) to cease all use of heavy weapons in those centres; and (c) to complete the withdrawal of military concentrations in and around population centres, as well as to withdraw their troops and heavy weapons from population centres to return to their barracks or temporary deployment sites to facilitate a continued ceasefire;	1
Recalling its previous resolutions on international terrorism and the threat it poses to Afghanistan, in particular resolutions 1267 (1999), 1333 (2000), 1363 (2001), 1373 (2001), 1390 (2002), 1452 (2002), 1455 (2003), 1526 (2004), 1566 (2004), 1617 (2005), 1624 (2005), 1699 (2006), 1730 (2006), 1735 (2006), 1822 (2008), 1904 (2009), 1988 (2011) and 1989 (2011) and the relevant statements of its President,	0
Based on a thorough analysis of the information gathered during the Commission &apos; s investigations, the Commission found the responsibility of the Government of the Sudan and the Janjaweed militias for serious violations of international human rights and humanitarian law that constitute crimes under international law.	1
"The Security Council reiterates the need for increased cooperation among the committees mandated to combat terrorism established pursuant to resolutions 1267 (1999), 1989 (2011), 1988 (2011), 1373 (2001) and 1540 (2004) and their respective expert groups.	0
There was an intense oral argument between Colonel Reese and Mr. Malik.	1
With regard to paragraphs 46, 48 and 49 concerning the arms embargo and border control, the fact is that arms smuggling is from Lebanon to Syria, where everyone knows that there are certain groups in Lebanon involved in attempts to destabilize Syria by supplying armed terrorist groups in Syria with arms and funds to undermine Syria's stability.	0
As stated in Security Council resolution 1535 (2004) and the report of the Counter-Terrorism Committee on its revitalization (S/2004/124), the Counter-Terrorism Committee looks forward to establishing a close and cooperative relationship with the Executive Director and his staff with a view to strengthening the Committee's capacity to effectively monitor the implementation of resolution 1373 (2001).	0
12. Invites the Committee, working in cooperation with the Committee established pursuant to resolution 1373 (&quot; the Counter-Terrorism Committee &quot;) to inform the Council of further action that States may take to implement the measures set out in paragraph 1 above;	0
This was illustrated by recent incidents of indiscipline in DIS, in particular the alleged killing of a civilian by a DIS commander in Farchana on 22 March.	1
We are confident that these groups will not be able to undermine the electoral process at the national level.	1
I must inform you with deep concern once again today that despite the considerable efforts of UNAMID, the security situation in Darfur has not improved significantly.	1
During these arrests, the victims were often subjected to terrible ill-treatment, theft of their property and looting of their homes, and in some cases were executed without trial.	0
There is no doubt today that the real intention was to prevent the public dissemination of the details of his reckless acts of destruction committed under the orders of the United States Central Intelligence.	1
In West Africa, UNOWA played a prominent role in supporting efforts to implement the ECOWAS Regional Action Plan to address the growing problem of illicit drug trafficking, organized crime and drug abuse in West Africa.	1
