ar_en_TRANSFORMERS	MatConf
In December 2003, Janjaweed and Government forces attacked the village of Nuri, near the town of Morni, Western Darfur.	1
"The Security Council reiterates its concern at the increasing link, in many cases, between terrorism, transnational organized crime, illicit drugs, money-laundering and illicit arms trafficking, stresses the need to strengthen coordination of efforts at the national, subregional, regional and international levels in order to strengthen a global response to the serious challenge and threat to international peace and security, and encourages the United Nations Office on Drugs and Crime to continue its work in this regard in cooperation with other relevant United Nations entities.	0
Non-profit organizations manage large budgets, move funds through jurisdictions legally and very easily, and thus can provide a relatively secure global framework through which they can be detected with minimal risk, and simply allow the number of beneficiaries of large non-profit organizations to transfer funds with little risk, especially where non-profit organizations have a semi-autonomous status that allows them to carry out their activities outside regulators and law enforcement authorities.	1
There was further violence in the Comoro market, a civilian was killed, eight people were shot and four others were seriously injured.	1
Expressing its concern at the continuing reports, including those contained in the [relevant report of the Secretary-General], of human rights abuses and international humanitarian violations, including against women and children, as well as reports of increased incidents of sexual violence, in particular by armed men, stressing the importance of investigating such alleged violations and abuses by all parties, regardless of their status or political affiliation [...], reaffirming that those responsible for such violations must be held accountable and must be brought to justice regardless of their political affiliation, while respecting the rights of detained persons, and urging the Government to increase and accelerate its efforts to combat impunity,	0
The National Commission also found evidence that the armed forces had shelled some areas where some members of the opposition were seeking refuge, killing civilians.	1
The increase in the military and police capabilities available to MINUSTAH will be in addition to the Haitian National Police and 3,600 local electoral security assistants (see S/2005/313, para. 10).	1
Among them was a 15-year-old boy who was arrested in November 2004 in Nyala, Northern Darfur, when he was returning home from work.	1
In conclusion, Lieutenant General Singha explained that since March 2012, UNDOF had witnessed fighting between opposition groups and the Syrian army in the area of separation, in clear violation of the mandate.	1
Similarly, the full deployment of the civilian police component of the Mission, as mandated by the Security Council, remains unresolved.	0
12. The Minister of Justice noted progress in the reform of the judiciary, including progress towards the establishment of the Constitutional Court, the Court of Cassation and the Council of State as envisaged in the Constitution, and stressed the importance of establishing courts in each of the 145 provinces to effectively restore State authority and adjudicate disputes at the local level.	0
In addition, the Panel exchanged information with experts of the 1540 Committee, with experts on Somalia and Liberia, as well as with relevant non-governmental and academic organizations.	0
32. Welcomes the periodic briefings by the Government of Afghanistan on the content of the List and the impact of targeted sanctions on deterring threats to peace, stability and security in Afghanistan, as well as supporting the Afghan-led reconciliation process;	0
The group had strong links with Al-Qaida in the Arabian Peninsula and had provided training in Somalia for terrorist personnel from Nigeria and countries close to its borders.	1
Haqqani Network (TE.H.12.12) continues to be directly involved in terrorist attacks in Afghanistan.	1
There was an intense oral argument between Colonel Reese and Mr. Malik.	0
They were all armed and were all pointing their guns at us.	1
If missions do not fulfil their responsibilities with regard to the protection of civilians, this would be detrimental to other tasks that the mission may have been mandated to do, not to mention the loss of life and suffering that will follow.	0
19. The civilian contractors working for MINUSMA were also targeted by extremist groups. On 12 October, armed elements stopped a rented truck with a contract and destroyed clearly marked cargo without harm to its driver. On 6 November, a civilian contractor was hit by an explosive device 40 kilometres south of Almostrat (Gao region), injuring three people. On 8 November, armed elements stopped two civilian trucks rented for MINUSMA, robbed their drivers and threatened to burn the trucks if the drivers continued to work for MINUSMA.	1
The extent and magnitude of the events related to the conflict in Darfur make it difficult to establish the facts and to gather reliable probative elements in order to identify the suspected perpetrators, which cannot be taken seriously.	0
By its resolution 733 (1992), the Security Council imposed a general and complete arms embargo on Somalia and, by resolution 751 (1992), established a committee to oversee the implementation of the embargo.	1
In very few cases, the rebels were also reported to have committed looting during an attack on a village, particularly in Western Darfur.	1
Furthermore, minors are not always separated from adults and some prisoners are still subject to prolonged periods of pretrial detention, sometimes for 10 years.	1
We would also like to express our concern that the recurrence of such incidents could lead to an unstable situation in the region, which makes it difficult to achieve a peaceful solution to the Kosovo situation, acceptable to both parties.	0
(a) Victims who have suffered serious physical injury or physical or mental ill-health as a result of serious crimes;	1
It takes note of the dispatch by the Department of Peacekeeping Operations of a fact-finding mission to Chad and the Central African Republic to assess how the United Nations can assist those countries in addressing the current instability.	0
"The Security Council commends the efforts under Operation Atalanta of the European Union, the operations of the Protection Coalition (Allied Protector) and the Ocean Shield of the North Atlantic Treaty Organization (NATO), led by NATO member States, and the Combined Maritime Forces Joint Task Force 151, led by Denmark, India, Japan, Malaysia, Pakistan, the Republic of Korea, New Zealand, Singapore, Thailand, Turkey and the United States, and the efforts of other States acting in their national capacity in cooperation with and among Somali authorities to suppress piracy and protect vulnerable ships crossing the waters off the coast of Somalia, and expresses its appreciation for the efforts of Member States, including China, India, Japan, Malaysia, the Republic of Korea, the Russian Federation and the Republic of Korea, which have deployed vessels and/or aircraft in the region, as described in the report of the Secretary-General (S/2012/783).	0
Even if civilians under attack possess weapons, this is not necessarily an indication that they are insurgents, and therefore legitimate targets of attacks, or that they are actively involved in hostilities.	1
Prominent journalists were detained for expressing their views on human rights, the Constitution and the rule of law issues.	1
All of this requires a strong war against the unarmed actors, whose presence poses a threat and an obstacle to the full exercise of sovereignty by the Afghan State.	0
34. Despite continued United Nations advocacy, nine children remain in detention in Bamako detention centres for their alleged association with armed groups in Mali, in violation of the Protocol on the Release, Reunification and Reintegration of Children Associated with Armed Forces and Groups in Mali, signed by the Government in July 2013.	1
Since the 1990s, its clients have abducted a number of people from Chinese territory, including citizens of China and the Republic of Korea, and at least one former Japanese citizen.	1
It expresses its deepest sympathy and condolences to the victims of this heinous act of terrorism and their family members, and to the Government and people of Pakistan.	1
52. Reiterates the need to strengthen the ongoing cooperation between the Committee, the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004), as well as their respective expert groups, including, as appropriate, by enhancing the exchange of information and coordination on country visits in accordance with their respective mandates, facilitating and monitoring technical assistance and relations with international and regional organizations and agencies, as well as on other issues of concern to all three Committees, expresses its intention to provide guidance to the Committees on areas of common interest with a view to better coordinating their efforts and facilitating such cooperation, and requests the Secretary-General to make all necessary arrangements so that the groups can work as soon as possible in a common place;	0
Development of gender guidelines for disarmament, demobilization and reintegration; security arrangements for disarmament sites within disarmament, demobilization and reintegration areas with particular attention to women &apos; s needs; organization of meetings with ex-combatants and those associated with fighting forces to assess needs and reintegration mechanisms.	0
The Special Coordinator reported that overall calm continued in southern Lebanon, despite some security incidents during the reporting period, including the firing of rockets into Israel from southern Lebanon during the Gaza conflict in July and August, and two serious security incidents in the Shab'a Farms area (Sector East).	1
The political debate is likely to be protected and consolidated, with numerous electoral-related judicial appeals already filed.	0
It noted that 69 humanitarian workers had been killed since the beginning of the conflict, and sexual violence had been used as a form of torture, for the purpose of abuse, humiliation and intimidation, and as a form of punishment.	1
116. The Monitoring Group continues to view the travel ban as an important sanction against Al-Qaida and the Taliban, while noting the ingenuity of terrorists who attempt to cross national borders without being detected.	1
- Terrorists must also be prevented from exploiting other criminal activities such as transnational organized crime, trafficking in illicit drugs and drugs, money-laundering and illicit arms trafficking;	1
As to the requirement that the attack be "systematic," it "required that acts of an organized nature and that they are unlikely to occur indiscriminately."	1
One important element is that attacks in a number of villages attacked and burned by militias avoided the annihilation of the entire population who did not escape and instead selectively killed groups of young people.	1
(a) On 14 October 2002, the editors-in-chief of two newspapers close to the Front populaire ivoirien (FPI) (&quot; Notre Fois &quot; and &quot; L &apos; Actuel &quot;) were assaulted and the editor-in-chief of the newspaper Le Nouveau Reveil and members of his team were physically assaulted;	1
The Internet has helped Al-Qaida to have a greater impact on the public than the relatively few operations that it has been able to implement, thus thwarting some aspects of the intended impact of the embargo.	1
There are also widespread and confirmed allegations that some members of the Janjaweed have been integrated into the police.	1
(b) To establish, in accordance with rule 28 of its provisional rules of procedure, a Committee of the Security Council consisting of all the members of the Council to carry out the tasks set out in the annex to the present resolution;	0
The Information Integrated Unit subsequently consolidated and analysed the data collected and began training infantry units on information awareness and information exchange procedures to enhance the flow of information within the integrated mission force.	0
56. All but one State has taken some steps to establish a comprehensive legal framework to combat terrorism that includes terrorism-related offences.	0
The Commission was also assured that, following the attack on Tawilla in February 2004, a group of some 30 female students had been abducted by Janjaweed and detained in the Aywa camp, where they had been repeatedly raped.	1
Large amounts are now less likely, although their availability is not a critical factor in the success of the attacks.	1
Background information 2014 marks the fifteenth anniversary of the commencement of the work of the Security Council on the protection of civilians in armed conflict.	0
Accordingly, the Secretary-General considered the recent events in Zimbabwe to be "unfortunate."	0
These two elements are: first, the criminal act of killing, causing physical and mental harm and deliberately imposing conditions of life that can lead to material loss; and, secondly, on the basis of the moral standard, the existence of a protected group targeted by the perpetrators of criminal conduct.	1
The Government of Lebanon has informed me that the Lebanese Armed Forces have also detained and deported a number of Palestinian infiltrators with Syrian identity documents.	1
In order to achieve lasting regional peace, all destructive forces must be dealt with comprehensively and disarmed by force.	0
39. Within the framework of the Global Counter-Terrorism Forum, the Group participated in the Workshop on Good Practices in Counter-Terrorism Initiative for the Justice Sector held in Abuja and in the meeting of the Sahel Working Group held in Oran, Algeria, in June 2013, to strengthen the sanctions regime and assess risk in the region.	0
The number of publicly executed politically motivated executions appears to have increased until the end of 2013.	1
11. In theory, any importation of light weapons requires an exemption from ECOWAS in Abuja.	1
The provisions of Act No. 656/2002 on preventing and combating money-laundering are in line with the provisions of Directive No. 2001/97/EC of the European Parliament and Council of 4 December 2001, amending Council Directive No. 91/308/EEC on preventing the use of the financial system for money-laundering.	0
By December, the Conduct and Discipline Unit would replace the Office for Addressing Sexual Exploitation and Abuse and would consider cases of sexual exploitation and abuse and other forms of misconduct.	0
76. All parties to the conflict (the Government of the Sudan, SLA and JEM) have recognized the conflict as an internal armed conflict.	1
Some Member States also expressed concern over the tensions that had occurred at Al-Haram Al-Sharif/Mountain of the Temple in Jerusalem over the past weeks and called on the parties to avoid unilateral steps that undermined the prospects for peace.	0
The memorandum of the Russian Ministry of Foreign Affairs contains a proposal that the member countries of the Commonwealth of Independent States take similar steps and withdraw from the regime of restrictions imposed on Abkhazia in 1996.	0
126. The Group investigated the delivery chain for these vehicles to determine whether those involved had prior knowledge that the Ivorian Ministry of Defence would be the end user.	0
The Mission continued to provide technical assistance in reviewing prisoners &apos; files in order to draw the attention of the judicial authorities to cases of prolonged pretrial detention, with a view to reducing overcrowding in prisons.	0
10. Further requests the Working Group, established in accordance with paragraph 9, to consider the possibility of establishing an international fund to compensate victims of terrorist acts and their families, which could be financed through voluntary contributions, and which may consist in part of assets seized from terrorist organizations, their members and sponsors, and to make recommendations thereon to the Council;	0
The Council authorized the deployment of ONUB, which would consist of a maximum of 5,650 military personnel, including 200 observers, 125 staff officers and up to 120 civilian police, as well as an appropriate number of civilian personnel, and, for the initial period of six months, for the deployment of ONUB, effective June 2004, would initially consist of the current troops of the African Mission in Burundi (AMIB).	1
As on previous occasions, the Special Adviser warned against the actions of "spoilers" who were undermining the transition process in Yemen and threatening its peace, security and stability. The country was now at a critical juncture. He described the progress of the Houthis militias, which had invaded Sana'a and occupied several public buildings, and, in addition, reported an increase in the number of Al-Qaida attacks in the Arabian peninsula, some of which were linked to the overall political and security situation, and expressed concern about the situation in the south of the country.	1
119. The evidence before the Commission indicates that up to 9 persons were killed and 3 seriously injured by firearms during the armed confrontation in Taci Tolu/Tibar, as described in paragraphs 67 and 68 above.	1
(c) Destroying or damaging public installations or transportation and communications systems, including information networks, fixed installations on the continental shelf, power and water stations, medical and other important facilities, or public places and property, with a view to endangering human life, damaging the safety of any installations, networks or places or endangering property;	1
From the outset, efforts must be made to ensure coordination with law enforcement and other national authorities; to develop appropriate national legal frameworks; and to strengthen the capacity of judicial and law enforcement systems.	0
The potential increase in man-portable air defence systems (MANPADS) of Al-Qaida-affiliated groups in Africa and the ongoing conflict in the Syrian Arab Republic could create a threat in the future during 2013.	1
This points to the success of the sanctions regime and indicates that a large number of members of the Taliban appear to have changed their behaviour.	1
Supporting the call of the Envoy for the Syrian Government to implement immediately and clearly all elements of the Envoy &apos; s six-point proposal in its entirety in order to achieve a sustained cessation of armed violence in all its forms by all parties;	0
The Operation &apos; s military component will continue to implement its new concept of operations and cooperate with the Licorne force to assist the parties in implementing the Facilitator &apos; s proposals for the reintegration of Forces nouvelles personnel into the national police and army and to prepare contingency plans on possible stabilization interventions to prevent violence aimed at disrupting the peace process.	1
All States of the region are members of the Organization of American States (OAS), which provides regional mechanisms for cooperation at the policy and operational levels.	0
The Mission has decentralized its communications functions to improve coordination locally, while preparations prior to the arrival of the Transitional Force have facilitated the transition.	0
The Russian Federation believes that priority should be given to further strengthening the international legal basis for combating terrorism, in particular by universalizing the existing counter-terrorism conventions, by acceding to them by all States Members of the United Nations.	0
At that meeting, the parties agreed to continue to cooperate on matters related to the conduct of a railway survey and the return of refugees and internally displaced persons.	0
The actions of some Arab groups have led to the forcible deportation of those non-Arab communities.	1
In order to combat this situation, it is important that the perpetrators of crimes be brought to justice more firmly, and when perpetrators remain free, there is a sense of impunity.	1
12. The Committee will continue to organize special meetings and events on topics and issues of common interest and concern to Member States with a view to maximizing the impact of relevant decisions and maintaining the international community &apos; s commitment to combating terrorism.	0
Natural resources in southern Africa, cross-border crime and the availability of small arms in the context of past conflicts can make that region appalled to money-laundering, international criminal organizations, drug trafficking and terrorist groups.	1
The regime arrested some 47 individuals believed to have been forcibly recruited into the regime forces.	1
Council members expressed concern at the increase in piracy and armed robbery at sea and reports of hostage-taking in the Gulf of Guinea, and at the adverse effects of this activity on security, trade and economic activities in the subregion.	1
While WHO and MINUSMA supported the Government &apos; s tracking process, IOM deployed personnel to border crossings to enhance the monitoring and tracking of passengers between Guinea and Mali and to sensitize the local population to Ebola. At the request of President Keita, I established on 22 November a support centre for the United Nations Mission for Ebola Emergency Response in Mali, which works in coordination with and is supported by MINUSMA. UNICEF, in coordination with WHO, strengthened its response in support of the Ministry of Health in relation to water, sanitation and hygiene programmes.	0
JEM noted that the fact that no Arab woman had been raped and no Arab village had been destroyed was evidence that the Government was specifically targeting African tribes.	1
27. In addition, the Committee decided that the list of items, materials, equipment, goods and technology related to ballistic missile programmes contained in the annex to its previous report (S/2014/253) would override the previous list (see S/2012/947), and would be subject to the measures imposed by the Security Council in paragraphs 8 (a), (b) and (c) of resolution 1718 (2006).	0
- On 19 September, following the explosion of a vehicle hit by a mine in Aglhok, six wounded Chadian battalion personnel were evacuated by helicopter and transported to the Chinese level II medical care facility in Gaoo.	1
Request that reports of the Secretary-General on situations in specific countries include sexual violence as specific parts of such reports, including data disaggregated, to the extent possible, by sex and age of victims; and request the development of mission-specific strategies and action plans to prevent and respond to sexual violence as part of a broader strategy for the protection of civilians.	1
37. Under the Stabilization and Reconstruction Plan and the Support Strategy, eight State facilities were handed over to national authorities, including police and administrative facilities in Masisi and Rutshuru provinces in North Kivu; police, administrative and judicial facilities in Walungu territory in South Kivu; and a maritime training centre for the Ituri district border police.	0
All these Janjaweed identified by the Commission as perpetrators are suspected of indiscriminate attacks on civilians, which is a war crime.	1
Other provisions of the Criminal Code, such as unauthorized arming (art. 185), development, production or possession of prohibited means of warfare (art. 185a), may also apply.	1
Unfortunately, that position had not changed despite the Committee &apos; s numerous attempts to cooperate.	0
That night, an Eastern police officer broadcast a statement on the radio blaming General Commander Martins and his deputy Babu for the death of the Rapid Response Unit officer.	0
On 18 November 2014, the regime &apos; s helicopters dropped two barrel bombs on Ma &apos; ar Shamarin town, killing six civilians, including four children and two women.	1
No State applies adequate measures to protect non-profit organizations from the financing of terrorism.	1
Terrorists in the region are believed to rely mainly on conventional weapons.	1
One delegation expressed concern that, although the Council had included Marine Ocean Management on the list, its vessels continued to operate, including landing in foreign ports, and suggested that the Committee remind Member States of their obligation to enforce such listing, including by detaining vessels and freezing their assets.	0
For example, States in the Sahara region have found it difficult to deal with mobile terrorist training camps run by Al-Qaida in the Islamic Maghreb (listed as QE.T.14.01).	1
However, terrorism will continue to be its supporters, especially in places where public political protests are not successful, and although Al-Qaida will never be widely accepted, attacks will continue.	1
Large-scale operations may have taken place in fewer numbers than al-Qa'idah leaders would like, but the arrest or killing of suspected Al-Qaida-related terrorists in more than 40 countries around the world since the Group &apos; s last report in November 2006 (S/2007/132) suggests a great deal of planning for terrorist operations.	1
On 5 November 2014, the regime &apos; s warplanes launched five air strikes targeting the town of Kafhra in rural Idlib.	1
However, Bin Laden has been able to take advantage of modern contacts to enquire many Muslims as spiritual leaders that make violence seem a kind of glory and a duty rather than terrorism.	1
285. The Commission also found that the rebels had killed civilians, but there were few incidents and deaths.	1
In this regard, the Security Council encourages all States in the region to sign and implement the Code of Conduct as soon as possible and calls upon them to take further effective measures at the national level to combat piracy and armed robbery at sea in the Gulf of Guinea.	0
"The Security Council remains deeply concerned about the security situation in the Central African Republic.	0
231. In addition, UNHCR reported that, as of 15 November 2004, 203,051 persons from the Darfur region reside in 11 camps and other refugee sites in eastern Chad, along the border with the Sudan.	1
One of those concerns must be highlighted, namely, the deterioration of the security situation in recent weeks and months.	0
Last Sunday, on the occasion of the 21st anniversary of Hamas, Hamas leader Haniyah refused to remain in office until the internal division was resolved.	0
Joint criminal action to commit international crimes	1
Consider the application of targeted and graduated actions against parties to armed conflict that threaten peace, attack or obstruct the work of United Nations peacekeeping and other missions concerned, and violate applicable international humanitarian and human rights law.	1
With regard to the discussion of the procedural amendment, the Group agrees that any reform of the legal character of the system sought by the Council in recent years should be strengthened by adding more items including the words'related to &apos; in resolution 1617 (2006), introducing the system of narrative summaries of reasons for listing, and reviewing the mechanisms of resolution 1822 (2008), for example.	0
125. The implementation of resolution 1373 (2001) in Central Asia has been hampered by several factors: proximity to the conflict in Afghanistan (drug production fuelled terrorist activities and contributed to the popularization of arms trade with drugs); illegal cross-border cash couriers (a potential source of terrorist financing); the circulation of surplus arms (as a result of political unrest and the region); the remoteness and inadequate protection of borders, coupled with the lack of human and material resources to ensure effective border control; and the large number of migrant workers (which in turn leads to increased recourse to informal remittance systems, also a potential source of terrorist financing).	1
The programme will not apply to individuals considered to be international criminals or terrorists, such as members of Al-Qaida.	0
In Eastern and Southern Africa, the organization supports the National Customs Law Enforcement Network, which enables countries to record and analyse information on suspicious shipments and persons (including counter-terrorism-related aspects).	0
It is common knowledge that the use of cash couriers is one of the main means of transferring illicit funds, money laundering and the financing of terrorism.	1
The objectives of the meeting were to initiate a dialogue with the private sector; to better understand the challenges faced by the financial community in implementing the sanctions regime; to identify ways to make compliance more simple, cost-effective and efficient; and to develop ideas for improvement.	0
(e) The Committee attaches great importance to coordination with experts from other subsidiary bodies of the Security Council dealing with counter-terrorism in the preparation of visits and in the streamlining of reporting procedures;	0
In his view, "the village is a small area, which is difficult to divide into parts, and the entire village becomes a military target."	1
2. Reiterates that it is the primary responsibility of the authorities in Bosnia and Herzegovina to achieve greater success in the implementation of the peace process and that the continued willingness of the international community and major donors to assume the political, military and economic burden of implementation and reconstruction efforts will be determined by the compliance and active participation of all authorities in Bosnia and Herzegovina in the implementation of the Peace Agreement and the rebuilding of a civil society, in particular in full cooperation with the International Criminal Tribunal for the Former Yugoslavia in strengthening joint institutions and facilitating the return of refugees and displaced persons;	0
62. Stronger United Nations involvement is recommended to address the root causes of conflict, including by supporting natural resource management initiatives and conflict resolution and prevention mechanisms.	0
President Abbas further told me that "the illegal transfer of large quantities of weapons to refugee camps through some Palestinian groups threatens Lebanon and does not serve the Palestinian cause."	0
One speaker stressed that coherence of action by committees and working groups, particularly those dealing with counter-terrorism, should be maintained, as well as reaffirmed in Security Council resolutions.	0
Market stalls were completely destroyed and livestock looted.	1
"The Security Council urges States and international organizations, as well as the private sector, to exchange evidence, information and intelligence, as appropriate, for anti-piracy law enforcement purposes, including with a view to ensuring the effective prosecution of suspects and imprisonment of convicted pirates, and consolidates current and future initiatives in this regard.	0
"The Security Council stresses that peace and security in the world are indivisible and, taking into account the interdependence and interdependence of the world, reaffirms that terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security and that any acts of terrorism are criminal and unjustifiable, whatever their motivation, wherever and by whomever committed.	0
16. The Executive Director will ensure that each international, regional and subregional organization has a focal point within the Office, including the need to liaise with the Office of the United Nations High Commissioner for Human Rights and other relevant organizations on issues related to human rights and counter-terrorism.	0
States shall bring to justice, in accordance with international law and in particular on the basis of the principle aut dedere aut judicare, anyone who finances, arranges, supports or commits terrorist acts or provides safe haven to terrorists;	0
However, although the Group does not consider that online paramilitary technical advice poses a threat comparable to field training, its potential is increasing as the quality of the advice provided improves.	1
During the month of February, more than 20 acts of armed robbery were reported on the side of the road along the Guiglo Du̩kou̩ axis, while 10 armed attacks were reported in Bangolo, and on 23 March 2008, a soldier of the Defence and Security Forces of C̫te d &apos; Ivoire was killed in Du̩kou̩ by unidentified armed gangs.	1
The programme requires ex-combatants to return openly, renounce weapons and agree to respect the legitimacy of the Government, the rule of law and the community monitoring mechanism, as well as other measures according to the individual concerned.	0
324. The Commission and its team shared extensive evidence of displacement and conducted a large number of interviews with internally displaced persons in Darfur and refugees in Chad.	0
"The Security Council recalls its resolutions and the statements of its President on post-conflict peacebuilding, in particular statements S/PRST/2009/23, S/PRST/2010/20, S/PRST/2011/2 and S/PRST/2011/4, and reaffirms the crucial importance of peacebuilding as a basis for sustained peace and development in the aftermath of conflict.	0
Within one week of the Committee &apos; s adoption of policy guidance in a particular area, the Executive Directorate should develop a plan for the implementation of the guidance and submit it to the Committee for approval.	0
Six men were killed and buried in one graveyard.	1
Reports of attacks against women included, but were not limited to, rape.	1
6. Current armed conflicts are the main reason why people flee their homes and are currently the most common cause of food insecurity.	1
For example, the Al-Qaida cell that carried out the November 2003 bombings in Istanbul originally intended to rent a stone quarry so that it could legally acquire dynamite, although it had abandoned the plan and used improvised explosives instead.)	1
Welcoming the establishment of the Office of the Ombudsman pursuant to resolution 1904 (2009) and the strengthening of the mandate of the Ombudsman in resolution 1989 (2011), noting the important contribution of the Office of the Ombudsman to the provision of additional integrity and transparency, recalling the firm commitment of the Security Council to ensure that the Office of the Ombudsman can continue to play its role effectively in accordance with its mandate, and recalling also the presidential statement of the Security Council of 28 February 2011 (S/PRST/2011/5),	0
Women and children, especially girls, have been affected by emerging violence and conflict caused by the proliferation of militias and armed groups in some cases associated with violent extremism, while many protracted conflicts remain to be resolved.	1
Recalls the prohibition of the forced displacement of civilians in situations of armed conflict under circumstances that violate the obligations of the parties under international humanitarian law.	1
Mr. Le Long Minh (Viet Nam): Terrorism is a source of concern shared by all States Members of the United Nations and the international community as a whole.	0
The Academy will be an important institution to implement the new training curriculum and support the implementation of the road map for the rebuilding of the civilian police force.	0
He also held meetings with investigators from the Special Court for Sierra Leone and continued to meet with the Group of Experts established pursuant to resolution 1533 (2004) on the flow of arms to the Democratic Republic of the Congo.	0
Regional and bilateral mechanisms for law enforcement cooperation, such as early warning and intelligence cooperation mechanisms, have been put in place.	0
States have also strengthened the implementation of necessary counter-terrorism measures at the institutional level.	0
Recalling its previous resolutions on international terrorism and the threat it poses to Afghanistan, in particular resolutions 1267 (1999), 1333 (2000), 1363 (2001), 1373 (2001), 1390 (2002), 1452 (2002), 1455 (2003), 1526 (2004), 1566 (2004), 1617 (2005), 1624 (2005), 1699 (2006), 1730 (2006), 1735 (2006), 1822 (2008), 1904 (2009), 1988 (2011) and 1989 (2011) and the relevant statements of its President,	0
405. Even in cases where a State has legitimately dissolved certain provisions of the Covenant, the prohibition of unrecognized detention, hostage-taking or abductions is absolute.	0
Furthermore, further research is needed to demonstrate that these programmes are producing real positive results with regard to the possibility that these individuals may in future commit other acts of terrorism or incite others to commit such acts.	0
Kenya, Mozambique, Seychelles and the United Republic of Tanzania have been or are being provided with coastal maritime surveillance and communication systems to provide a "common image" of the maritime area.	0
43. As the demonstration was scheduled to end at 1 p.m. on Friday, 28 April, it was clear that there had been a significant change in the situation of the masses gathered in front of the Government Palace since the early morning.	1
Capacity-building and longer-term stabilization activities should be transferred to the country team to the extent possible in areas where it has a comparative advantage.	0
