es_en_GOOGLE	VerCoop
Above all, it urges them to strictly respect the deadline set for holding democratic elections before November 2015.	1
He gave rogatory commissions and stipulated the measures that should be taken, especially to preserve the scene of the events.	0
It also recommends that, of the people who received weapons from the F-FDTL on May 24 and 25, only those who subsequently used them in criminal activities be prosecuted.	0
Therefore, the participating States undertake to support programs to reduce armed violence with a development and human rights perspective.	1
16. Reiterates to all States the importance of submitting to the Committee the names of members of the Al-Qaida organization and the Taliban or associated with Osama bin Laden and other individuals, groups, companies and entities associated with them, for inclusion in the Committee list, unless this jeopardizes the conduct of investigations or the imposition of coercive measures;	1
The International Organization for Migration (IOM) continued to support the development of the national police migration service through an extensive capacity-building programme, providing legal support to review immigration and asylum legislation, and assisting in the implementation of an information system on border management.	0
The competent authorities have requested that the deadline of 31 October 2005 for submitting the official request for modification by the Government of Iraq be extended to 31 December 2005 in order to take full account of communication problems between the competent authorities and suppliers regarding the extension of shipping deadlines and validity periods of letters of credit.	1
Disturbing reports indicate that a limited number of children unofficially released from cantonments have been forcibly re-recruited by the Maoist army or CPN-Maoist organisations. During the reporting period, 12 cases were documented.	0
In this context, Prime Minister Seniora has called for continued United Nations assistance and support for such internal dialogue to resolve the issue of Lebanese and non-Lebanese militias in Lebanon, in full compliance with the Taif Agreement .	1
A confrontation ensued, in which the police had to intervene and where they resorted to the use of tear gas.	0
The exchange of operational information is hampered by a lack of operational and institutional capacity, as well as linguistic problems.	0
f) To fulfill its mandate, the Committee will have the assistance of the Executive Directorate, with the regulatory guidance of the Plenary.	0
Use of the Internet for terrorist purposes to provide training on explosives	0
The Council emphasizes that no attempt to destabilize Lebanon should prevent the holding without delay of a free and fair presidential election in accordance with Lebanon&#39;s constitutional rules, without foreign interference or influence and with full respect for democratic institutions.	1
5. Confirms that paragraph 1(a) applies to economic resources of all types, including, but not limited to, those used to provide Internet or related services in support of those on the List, as well as other persons , groups, companies or entities associated with the Taliban that constitute a threat to the peace, stability and security of Afghanistan;	1
International partners and human rights defenders unanimously condemned the Government&#39;s decision to expel the Director of the United Nations Joint Human Rights Office following the publication of the human rights report on violations allegedly committed by the police in Operation Likofi.	0
These figures do not take into account the likely involvement of listed groups or individuals in attacks claimed by non-listed groups, such as Tehrik-e-Taliban in Pakistan or Al-Shabaab in Somalia.	0
While intending to discuss in depth the issue of cooperation with relevant international and regional organizations in April 2007, the Committee supported the Monitoring Team&#39;s recommendation to invite, as appropriate, representatives of those organizations to meet with the Committee with a view to an exchange of views that could be mutually beneficial.	1
The Security Council strongly supports efforts to promote national dialogue, reconciliation and broad political participation in order to ensure unity, peace, security and stability in Iraq.	1
On 3 and 7 October, the Council issued press statements condemning the recent attacks against MINUSMA (SC/11587 and SC/11591).	0
It has already set important precedents calling for the establishment of fact-finding mechanisms to investigate alleged violations, provide reparations to victims, and promote individual criminal responsibility.	0
In conclusion, and agreeing with most reports from other sources on the matter, the Commission found that the majority of the looting was carried out by the Janjaweed and, in some cases, by Government forces.	0
In this regard, he considered it important that the deployment of the additional UNMISS force be completed.	0
d) Prevent those who finance, plan, facilitate or commit acts of terrorism from using their territory for these purposes, against other States or their citizens;	0
As we saw in Mali, this can lead to the state being vulnerable to the emergence of civil conflict.	0
From the point of view of international criminal law, such violations of international humanitarian law undoubtedly constitute large-scale war crimes.	0
In that sense, we want to go further and say that we believe that the only way to improve security and stability in Somalia is to enable the Somali security forces to control the most violent insurgents and to allow the Government to expand its areas of authority as much as possible if peace negotiations fail.	0
On 18 July 2011, the Council held a closed session with troop- and police-contributing countries to the African Union-United Nations Hybrid Operation in Darfur (UNAMID).	0
Based on its own investigations and the pattern of airstrikes it has determined, the Commission is of the opinion that the military is responsible for a large number of indiscriminate airstrikes that caused the death of numerous civilians.	0
b) Address shortcomings in the criminalization of terrorist financing and the freezing of terrorist assets and strengthen surveillance of the non-profit sector and alternative remittance systems;	0
Furthermore, the comprehensive review recognized that States had taken a considerable number of measures to implement resolution 1540 (2004) and fulfill their obligations, although it was also found that States had taken fewer measures in some areas, such as weapons biological resources, delivery systems, national control lists, access to related materials and financing of prohibited or illicit proliferation activities.	0
Reaffirms the importance of the Government of [the affected country] continuing to review and reform the country&#39;s security sector, in particular the need to delineate the roles and responsibilities of the [affected country&#39;s national security forces], strengthen legal frameworks and improve the civilian oversight and accountability mechanisms of both security institutions, supports the work carried out by the Special Representative of the Secretary-General to promote the professionalization of the security sector and requests [the Mission] to continue providing the support requested by the Government of [the affected country] for the initiatives it undertakes in the country;	1
The United Nations Global Counter-Terrorism Strategy advocates the promotion of dialogue, tolerance and understanding between civilizations, cultures, peoples and religions, as well as the establishment of relevant educational and public awareness programmes.	1
The Council encourages the establishment or strengthening, as appropriate, of subregional or regional mechanisms for cooperation, coordination and information exchange, in particular cross-border customs cooperation and information exchange networks, with a view to preventing, combating and eradicating trade illicit use of small arms and light weapons across borders.	1
Calls for effective international action to curb illicit flows of small arms to conflict zones.	1
Calls upon all stakeholders, including Member States, United Nations entities and financial institutions, to support the development and strengthening of the capacity of national institutions and local civil society networks for advocacy work , protection and rehabilitation of children affected by armed conflict and ensure the viability of local child protection initiatives.	1
- Encourage United Nations peacekeeping missions and other relevant missions authorized by the Security Council, as appropriate and on a case-by-case basis, to support national mechanisms to address issues of housing, land and property or for national authorities to establish such mechanisms.	1
A. Recruitment and use of children by armed forces and armed groups The Task Force on Children and Armed Conflict in Nepal, established pursuant to Security Council resolution 1612 (2005), monitored the recruitment of children by the Maoist army and CPN-Maoist affiliated organizations during the post-ceasefire recruitment campaign that reached its peak in November 2006.	0
In this context, I will now refer to the resolution on Yemen recently adopted rather belatedly by the Council, which constitutes a condemnation of the abuses committed by the Yemeni Government.	0
The Security Council recognizes the need for humanitarian agencies to maintain ongoing interaction with all parties to armed conflicts for humanitarian purposes, including activities aimed at ensuring respect for international humanitarian law.	1
The leaders welcomed the statement of the President of the Security Council of 14 July 2005 and expressed support for the initiative of my Special Representative. However, they also used the occasion to express their concern that President Yusuf and Prime Minister Gedi might seek an armed confrontation with them.	1
The President informed the Council that, during the Committee&#39;s consultations, the Monitoring Group had presented to the Committee its findings on the recovery of Somali assets abroad and had discussed the issue of charcoal and weapons interceptions. by international maritime forces on the high seas and in the territorial waters of Somalia.	1
Acts of torture perpetrated by the civilian population	0
In the opinion of the Coordinator, which is shared by his interlocutors, this modality could become the center of an effective operational mechanism that would establish clear parameters to achieve progress in the search for the missing, as indicated in my full report (S/2009/190 , para.	1
Several members of the Group expressed their strong support for resolution 2185 (2014) and the first briefing by the heads of police components as an important basis for the Group&#39;s work on the police aspects of peacekeeping operations .	1
The Committee continued to cooperate with the International Criminal Police Organization (INTERPOL), including through special notifications from INTERPOL and the Security Council to communicate to national sanctions enforcement authorities the names of persons or entities are subject to measures imposed by the Council (see paras. 32 and 34).	0
We are all deeply concerned about the deteriorating security situation in Côte d&#39;Ivoire, as the Council perhaps realized in my statement this morning.	0
The Council also invites the Working Group to fully implement its modalities of work (S/2006/724), including by visiting a specific country within one year to examine one of the situations mentioned in the annexes to the report of the Secretary-General in order to better fulfill its mandate and strengthen its capacity to protect children affected by armed conflict.	1
In its recommendations, the National Commission proposed administrative and judicial measures, in particular that the causes of the conflict be studied and that the administrative deficiencies, one of the factors that had aggravated it, be resolved.	1
Furthermore, the European Union has established a supranational regime to ensure that all its member states freeze funds and assets associated with terrorism.	0
Use of a participatory evaluation system to ensure that returned and internally displaced women and girls can influence the implementation of reintegration strategies and programs and their content, refinement of reintegration evaluation parameters that take into account the gender in relation to issues such as constitutional reform and electoral processes; indicators disaggregated by sex.	1
To this end, one of the instruments at the disposal of Member States is the United Nations Register of Conventional Arms. This Registry includes data provided by States on international arms transfers and also information on military stocks, national production acquisitions and relevant policies.	0
MINURCAT attempted to visit the sites where the attacks occurred, but were denied access by local leaders.	0
Notes that the human rights due diligence policy has been developed, encourages the [Mission] to fully implement it, and requests the Secretary-General to include in his reports the progress made in the implementation of this policy;	1
Determining that the situation in Afghanistan constitutes a threat to international peace and security in the region,	0
A military advisor from the Department of Peacekeeping Operations (DPKO) answered questions from Council members.	1
I must say that the topic you have set for our debate today, while exciting, is a great challenge.	0
The Council considers that the expansion of rule of law activities is fundamental to peacebuilding strategies in post-conflict societies and highlights the role of the Peacebuilding Commission in this regard. Peace.	1
a) Encourage States to build the capacity of their anti-money laundering and anti-terrorist financing law regimes, with a particular focus on the regulation of alternative remittance systems and non-profit organizations ;	1
The Committee will consider, based on the Executive Directorate&#39;s proposal, the adoption of a communication strategy aimed at promoting the visibility of the role and activities of the Committee and the Executive Directorate in the fight against terrorism.	1
In addition, the International Civil Aviation Organization and the International Maritime Organization, as well as non-governmental industry associations such as the International Air Transport Association, have established and periodically updated standards for the conduct of their members and for the carriage of dangerous cargoes, including shipments of ammunition and explosives.	0
Further research is needed on the effects of different forms of communication on the risk and threat of incitement and, therefore, of terrorist acts being committed. However, the rapid evolution of communications technology in general has arguably increased the risk of incitement worldwide compared to 2005.	1
Although none of them reported cases of rape to the UNAMID investigation team, the truth is that Sudanese armed forces and military intelligence personnel were present in the village during the investigations.	0
Some concerns have been expressed about the fairness of registration, most recently raised by several presidential candidates.	0
The Security Council emphasizes the importance of a coordinated international response to the causes of conflict, recognizes the need to develop effective long-term strategies and emphasizes the need for all United Nations bodies and agencies to adopt preventive and take measures in their respective spheres of competence to assist Member States and regional and subregional organizations to eradicate poverty, strengthen development cooperation and assistance and promote respect for human rights and fundamental freedoms.	1
At the beginning of the conflict, most of the fighting appears to have occurred in Northern Darfur and northern Western Darfur, gradually extending into Southern Darfur in the final months of 2004.	0
This is the essence of CÃ´te d&#39;Ivoire&#39;s humanitarian traditions: a society with a strong democratic spirit, yearning for the rule of law and respect for the human rights of all, without discrimination based on nationality or origin.	1
56. Encourages Member States, when unfreezing the assets of a deceased person or of an entity that has been reported or confirmed to have ceased to exist as a result of its delisting, to remember the obligations imposed in resolution 1373 (2001) and, in particular, prevent unfrozen assets from being used for terrorist purposes;	1
Reaffirms that it condemns all activities that incite violence against civilians in situations of armed conflict, also reaffirms that it is necessary to bring to justice those who incite such violence or provoke it by other means and declares that it is willing, by authorizing missions, to consider, where appropriate, taking measures in response to media broadcasts that incite the commission of acts of genocide, crimes against humanity and serious violations of international humanitarian law.	1
Since my report to the Security Council of 2 January 2008 (S/2008/1), UNOCI has eliminated 15 of the 17 observation posts it had established along the green line, in accordance with the provisions of the Ouagadougou Agreement.	0
In this regard, the Security Council urges the authorities in charge of the transition period to quickly take measures to effectively combat impunity and promote justice by prosecuting those responsible.	1
To date, the Council has not requested that the Secretary-General report to the Council on his efforts, as he was invited to do in presidential statements in 2009 and 2010, aimed at incorporating the issue of drug trafficking as a factor in drug trafficking strategies. conflict prevention, conflict analysis, evaluation and planning of integrated missions and support for peacebuilding.	1
2. Decides that all States shall take the following measures with respect to Osama bin Laden, members of the Al-Qaida organization and the Taliban and other individuals, groups, enterprises and entities associated with them listed on the list prepared pursuant of resolutions 1267 (1999) and 1333 (2000), which will be updated periodically by the Committee established pursuant to resolution 1267 (1999), hereinafter referred to as &quot;the Committee&quot;:	0
The Council underlines the need for the new government, when formed, to engage with the international community and use the transition period constructively with a view to reconciliation, stability and reconstruction.	1
In the short term, the focus would be on border and natural resource control in Ituri, restriction of movements of the Alliance of Democratic Forces/National Army for the Liberation of Uganda in North Kivu, control of abandoned areas by the FDLR following joint MONUC and FARDC operations, and assistance to the Congolese national police to ensure the safety of the population in South Kivu.	0
Despite the decision taken in 2006 by the National Dialogue, and confirmed in its subsequent sessions, there has been no progress regarding the dismantling of the PFLP-CG, based in Damascus, or the military bases of Fatah al- Intifada in Lebanon.	1
Some of these children were recruited into the Maoist army in violation of the Comprehensive Peace Agreement, while others were recruited by affiliated organizations of the CPN-Maoist. About 30% of those children were released after spending a few days with the CPN-Maoist and about 20% were later found in Maoist army cantonments.	0
It is unacceptable that attempts are made to destabilize the internal situation in Lebanon by carrying out political assassinations.	0
The mission will discuss with the Ugandan authorities how to find a solution to the conflict, including the implementation of the amnesty law for members of the Lord&#39;s Resistance Army who have not committed the most serious violations of human rights and humanitarian law. international, in the context of recent attempts at negotiation and the procedures established by the International Criminal Court to prosecute those responsible for serious violations of human rights and international humanitarian law.	1
This two-pronged approach (using restrictions applicable throughout the Schengen area to exclude listed persons from outside the area, while maintaining national restrictions to limit the movement of listed foreigners within of the area) can serve as a model for other States in established or developing regions where borders have been eliminated or where visas are not required.	1
b) Work with States and the UNODC Terrorism Prevention Branch to promote best practices and facilitate capacity-building and training of members of the judiciary, law enforcement agencies and other officials competent public bodies with respect to the procedures for requesting and providing assistance in criminal investigations and in judicial assistance and extradition;	1
Expressing its determination to facilitate compliance with counter-terrorism obligations arising from United Nations resolutions,	1
Discussions and negotiations on how to ensure accountability for crimes under international law have continued for years in Burundi, including with the United Nations.	1
that the Office of the Ombudsman has been established pursuant to resolution 1904 (2009) and that its mandate has been expanded in resolutions 1989 (2011) and 2083 (2012), noting the important contribution made by the Office of the Ombudsman in the task of improving impartiality and transparency, and recalling the strong commitment of the Security Council to ensure that the Office of the Ombudsman can continue to perform its role effectively, in accordance with its mandate,	1
The Committee&#39;s website is an indispensable transparency tool to enhance public awareness on issues relevant to resolution 1540 (2004).	1
It was agreed that Somalia, the region and the international community needed to pay more attention to capacity-building activities in the fight against piracy, with a view to maximizing the progress that naval forces had made.	1
The ranks of the petitioners and their supporters increased considerably beginning on the second day of the protest, particularly with the arrival of members of the group known as Colimau 2000.	1
The only point on which the participants agree is that weapons were not discussed.	1
7. Requests the Secretary-General, upon adoption of the present resolution and acting in close consultation with the Committee, to appoint, in accordance with United Nations rules and procedures, a maximum of eight members, including a coordinator, of the Team of Surveillance, demonstrating one or more of the following areas of competence in relation to the activities of the Al-Qaida organization or the Taliban: counter-terrorism and related legislation; terrorist financing and international financial transactions, in particular banking know-how; alternative remittance systems, charities and the use of courier services; compliance with border regulations, particularly port security; arms embargoes and export controls, and drug trafficking;	1
The main criteria for drawing down MONUSCO should be to reduce the threat to civilians from Congolese and foreign armed groups, establish stronger and more accountable state institutions, and strengthen democratic practices to reduce the risk of instability.	0
7. Notes that such means of financing or support include, among others, the use of proceeds obtained from criminal activities, including the illicit cultivation, production and trafficking of narcotic drugs and their precursors;	0
The Chairman of the Group, JosÃ© Ramos-Horta, led the deliberations on behalf of the Group and reported that during the first stage of its work the Group of Experts would focus on listening to the views of all Member States as collective contributors to peace and security, and the consultations would also include the General Assembly Committees, regional organizations and troop- and police-contributing countries.	1
The Security Council recalls that the arrest warrants issued by the International Criminal Court in respect of Joseph Kony, Okot Odhiambo and Dominic Ongwen, accused of, inter alia, war crimes and crimes against humanity, including murder, rape and kidnapping of children, and calls upon all States to cooperate with the Ugandan authorities and the International Criminal Court to ensure that these orders are carried out and those responsible for these atrocities are brought to justice.	0
Regarding Burundi, the mission had called on armed groups to end all hostilities and to enter into negotiations without further delay leading to a ceasefire.	1
Turkey has launched the National Unity Project to address socioeconomic inequalities in Turkish society that are said to be fueling Kurdish discontent and recruitment of PKK members.	0
The two parties stressed the importance of embarking on this new phase in collaboration with regional and international partners, whom they invited to endorse and support the initiatives undertaken in line with the objectives established by the international community to preserve the territorial integrity and sovereignty of Mali. and strengthen its national unity.	1
The main aspects of his statements, as well as the exchange of views among the members of the Working Group, are reflected in the summary contained in the relevant conclusions (S/AC.51/2013/3).	1
In crisis and post-conflict areas, the solution to the problem of excessive circulation of small arms has to focus -- apart from basic reduction and control measures -- on the establishment of sustainable alternative livelihoods, taking into account taking into account gender and age factors.	0
The Security Council reiterates its firm commitment to the sovereignty, independence, unity and territorial integrity of Syria and all other States affected by the Syrian conflict, and to the purposes and principles of the Charter of the United Nations.	1
Before presenting the results of the Commission&#39;s fact finding and legal qualification, it is useful to explain some aspects of the displacement and destruction in order to give a clear picture of the magnitude and seriousness of the situation.	0
2. Reiterates that the main responsibility for the proper implementation of the Peace Agreement lies with the authorities of Bosnia and Herzegovina themselves and that the willingness of the international community and the main donors to assume the political, military and economic burdens of the implementation of the agreement and reconstruction is subject to all authorities in Bosnia and Herzegovina complying with the Peace Agreement and actively participating in its implementation and in the reconstruction of civil society, fully cooperating in particular with the International Criminal Tribunal for the former Yugoslavia, in the consolidation of mixed institutions and in supporting the return of refugees and displaced persons;	1
4. Notes with concern the close connection between international terrorism and transnational organized crime, illicit drugs, money laundering, illicit arms trafficking and the illicit circulation of nuclear, chemical, biological and other potentially lethal materials , and in this regard highlights the need to promote the coordination of initiatives at the national, subregional, regional and international levels, to strengthen the international response to this serious problem and this major threat to international security;	0
Furthermore, it obliges both parties to immediately release and reintegrate children associated with the armed forces.	0
In September there were violations on both sides, attacks and counterattacks, acts of revenge and reprisals.	0
However, active non-intervention to restore stability in that country already calls into question the effectiveness of the international community and involves enormous amounts of costly resources.	0
Creation of a gender and development unit at Headquarters and a network of gender focal points at national and regional levels.	0
Training of peacekeeping personnel Requests the Secretary-General to ensure that United Nations personnel involved in peacemaking, peacekeeping and peacebuilding activities have appropriate training in international law humanitarian and human rights and refugee law, including child and gender provisions, negotiation and communication skills, cultural awareness and coordination between civilian and military personnel, and urges States to relevant international and regional organizations to ensure that appropriate training activities are included in their programs for personnel involved in similar activities.	0
The Committee also supports the recommendation to more precisely delimit requests for information to States in which the listed person or entity carries out or intends to carry out activities, without imposing too heavy a burden on those States to submit information.	1
In Eastern and Southern Africa, the Organization supports the Customs Anti-Fraud Network, which allows countries to record and analyze information on suspicious persons and shipments, particularly on aspects related to the fight against terrorism.	0
The Executive Directorate will continue to enhance its cooperation with relevant United Nations bodies, including the Analytical Support and Sanctions Monitoring Team established pursuant to Security Council resolution 1526 (2004) and the expert group which assists the Security Council Committee established pursuant to resolution 1540 (2004), as well as various international, regional and subregional organizations, especially in the framework of the Committee&#39;s visits to States.	0
The note proposes that the Security Council launch a formal &quot;strategic review&quot; process to study how the intersection of cross-border crime and terrorism may affect its conflict prevention and resolution work, particularly in Africa, and examine the instruments at their disposal to reduce the strategic space that cross-border crime provides to terrorist groups.	1
Third, in many situations the Security Council has recognized that serious violations of human rights and international humanitarian law are potential threats to peace and security.	0
The Team has discussed possible areas of cooperation with the Counter-Terrorism Unit of the OSCE, the Central Asia Regional Office of the Commonwealth of Independent States and the Regional Counter-Terrorism Agency of the Shanghai Cooperation Organization, and It has established contacts with other regional organizations, such as the Organization of American States, which has created the Inter-American Committee against Terrorism, and the African Union, which has established a counter-terrorism center in Algiers.	0
Of the four States visited, two have not yet approved the bills on the fight against terrorism that they have been preparing for several years.	0
Terrorism is a determining factor in an increasing number of conflict situations, especially in the Sahel region and the Maghreb.	0
In the disarmament campaign carried out in July, 4 young Shilluks lost their lives and 11 were captured and, to date, remain detained by the SPLA; Cases were also reported in which the SPLA had looted houses and stolen livestock.	0
The Security Council welcomes the measures taken by national, international and mixed criminal courts and tribunals against alleged perpetrators of serious crimes against children in situations of armed conflict in violation of applicable international law.	1
As the categories of international crimes have been enumerated elsewhere in the report, it may be sufficient to briefly recall the various forms of participation in international crimes for which a person may incur individual criminal responsibility.	1
Listed groups also need to use force to support their objectives; However, in the areas where these groups are most active, there does not appear to be a shortage of weapons and explosives.	0
It is clear that the failure to ensure accountability, provide reparations and bring about reconciliation can hinder a peace process and post-conflict situation, thereby creating a new threat to peace and security.	0
Finally, much of the information regarding the fate of Mr. Abu Adass points to Syrian officials and Syria, as well as to certain Lebanese officials. Although it is true that little of this information has been independently corroborated, it is important that there is no information that points to other entities as participants in his disappearance or that he was in fact a suicide bomber.	0
Participants in the forum began to define the elements of a national strategy for women&#39;s participation in conflict resolution.	1
The Special Coordinator reported that general calm remained in southern Lebanon, although there were some security incidents during the reporting period, including the firing of rockets into Israel from southern Lebanon during the related conflict. with Gaza that had taken place in July and August and two serious security incidents in the Shab&#39;a farms area (Sector East).	0
A workshop for Member States of the Caribbean Community will be held in July 2009 to draft responses to the three Security Council Committees dealing with counter-terrorism.	0
Members expressed their readiness to review, in due course, updated reports on planning for a smooth transition to a sustainable development assistance framework at the end of the UNOTIL mandate in May 2006.	1
On April 14, 2011, the Coordinator met with Mr. Khaled Al-Jarallah, Undersecretary of the Ministry of Foreign Affairs of Kuwait, who indicated that the task of finding the mortal remains of the Kuwaiti victims should not be &quot;mixed&quot; with what that could happen in the political relations between Iraq and Kuwait.	1
To this end, the Security Council may wish to consider taking strict measures against those who attempt to impede the implementation of these and other key provisions of the Pretoria Agreement, in particular through the imposition of targeted sanctions under resolution 1572. (2004) of the Security Council, November 15, 2004.	0
At the invitation of the President of the Economic and Social Council, the President of the Council attended a meeting of ad hoc advisory groups on African countries emerging from conflict (Burundi and Guinea-Bissau).	1
The Council affirms the need to properly prosecute persons who incite violence against civilians or commit acts of violence against them in situations of armed conflict or those who otherwise violate international humanitarian and human rights law.	1
Indeed, a greater United Nations presence is vital, but for the added value of our Organization to be fully exploited, the necessary means, both in terms of personnel and security, will need to be in place, as Mr. Eide recalled a few minutes ago.	0
If it is decided to prosecute all the people who received weapons for illegal possession, the Commission has reports in which these people are identified.	0
The Council highlights the need to improve cross-border coordination and information exchange between these missions and between the rest of the actors in the region, in order to more effectively anticipate the movements of the LRA and its imminent threats of attack.	1
12. Underlines that the Treaty on the Non-Proliferation of Nuclear Weapons recognizes in Article IV the inalienable right of all parties to the Treaty to develop the research, production and use of nuclear energy for peaceful purposes without discrimination and to in accordance with its articles I and II, and recalls in this context article III of the Treaty on the Non-Proliferation of Nuclear Weapons and article II of the Statute of the International Atomic Energy Agency;	1
Strongly condemns the recruitment and use of child soldiers by parties to armed conflicts in contravention of international obligations applicable to them and all other violations and abuses committed against children in situations of armed conflict.	1
Also causing concern is the rapid deterioration of the economy, aggravated by the continuation of the conflict.	0
However, there is still a long way to go to achieve effective and sustained change in terms of outputs and results on the ground.	1
On behalf of the Security Council Committee established pursuant to resolution 1373 (2001) on countering terrorism, I have the honor to submit the report of the Committee to the Security Council for its in-depth review of the work carried out by the Committee. and its Executive Directorate from 2011 to 2013 (see annex).	0
The Security Council recalls resolutions 1267 (1999) and 1989 (2011), 1373 (2001), 1540 (2004) and 1624 (2005), as well as other applicable international instruments to combat terrorism, highlights the need for their full implementation, renews its call on States to consider becoming parties as soon as possible to all relevant international conventions and protocols and to fully implement their obligations under those to which they are parties, and notes the recommendation of the Committee established pursuant to General Assembly resolution 51/210, noting that more time is needed to achieve substantive progress on outstanding issues, and deciding to recommend that the Sixth Committee, at the sixty-ninth session of the General Assembly, establish a working group with a view to finalizing the process on the draft general convention against international terrorism.	1
The Security Council looks forward to the report of the High-level Panel on United Nations System-Wide Coherence in Development, Humanitarian Assistance and the Environment, and hopes that it will play an important role in ensure a coordinated United Nations approach to women and peace and security.	1
Some of them are suspected of committing various crimes simultaneously.	0
Five States in the subregion have passed laws allowing the extradition of terrorists, and six have established effective information-sharing mechanisms.	0
Several delegations urged the Government of Mali to investigate human rights violations and expressed concern about the release of perpetrators of serious human rights crimes.	1
The three Missions also hope to expand their cooperation for the chartering of high-capacity passenger aircraft for troop rotations; the establishment of a joint regional procurement office; and upgrading the MONUC facility in Entebbe, Uganda, which already serves MONUC, ONUB and UNMIS, to provide transit accommodation for troops and a primary point of entry for shipments to the three Missions, among other functions.	1
:: Reports of the Secretary-General: on the safety of humanitarian personnel and protection of United Nations personnel (A/68/489), on the protection of civilians in armed conflict (e.g. S/2013/689), and relevant reports on Security Council mandates (for example, the report of the Secretary-General on Somalia (S/2014/140).	1
Changes are necessary to the process by which the reasons for de-listing or retention are communicated, to ensure that they are communicated in a timely manner and provide substantive content that adequately reflects the analysis and conclusions of the list. the independent examiner.	1
:: Request missions to support host governments to address sexual violence explicitly in disarmament, demobilization and reintegration processes, security sector reform processes and security sector reform initiatives. justice, as well as to develop and implement concrete, time-bound action plans to combat conflict-related sexual violence.	1
It has established military training camps in the greater Mogadishu area, including in Laanta Buuro and Hiilweyne, and has sent weapons purchased at the Bakaahara arms market to these camps.	0
The continued incorporation of non-Syrian fighters into Jabhat al Nusrah is a cause for concern shared by various national authorities who have been monitoring the problem.	0
b) There was no coordination between all the security bodies present at the scene of the crime;	0
:: Fact-finding mechanisms should be established early enough during a crisis to contribute to the prevention of future violations;	1
We firmly believe that such a visit will greatly contribute to revitalizing the peace process and pave the way for further positive developments in this conflict-torn region.	1
They also stressed that the early election of the new President of Lebanon constituted a critical step for the stability of the country.	1
However, the process has also highlighted how significant the challenges remain in Liberia&#39;s security sector, especially with regard to the logistics, communications and mobility capabilities of the police and immigration service.	0
At the 6900th meeting of the Security Council, held on 15 January 2013, in connection with the Council&#39;s consideration of the item entitled &quot;Threats to international peace and security caused by terrorist acts&quot;, the Presidency made the following statement in Council name:	1
At my request, Prime Minister Seniora and President Abbas met in Paris on 18 October to discuss issues related to the presence of Palestinian refugees in Lebanon.	1
States have also strengthened the application of necessary measures against terrorism at the institutional level.	0
In close cooperation with the committees established pursuant to resolutions 1267 (1999) and 1540 (2004) and in accordance with its mandate, the Committee will pay special attention to States that are overdue in submitting relevant information and will consider the best way to solve that problem.	0
One State has carried out activities to combat the radicalization of militant groups and has supported the production of publications by these groups against extremist ideology. These publications, including one condemning Al-Qaida, have been distributed internationally, including on Internet sites.	1
Since arriving in Nairobi on 27 May 2005, my Special Representative has stressed to subregional leaders and other stakeholders the need to establish a coordinated approach to dealing with Somali leaders and to urge them to engage in dialogue and refrain from further action. military to resolve existing differences in the transitional federal institutions. On June 10 he met in Kampala with President Yoweri Museveni of Uganda and on June 29 he held talks with President Ismail Omar Guelleh of Djibouti, and with the Executive Secretary of IGAD in Djibouti.	1
In addition, it offers improved infrastructure and sanitation, medical support for inmates and staff, and vocational education and training programs in areas such as construction, sewing, carpentry and brick making.	0
The Security Council requests the Secretary-General to support initiatives aimed at mobilizing the necessary resources for the implementation of the results of the YaoundÃ© Summit, as well as the strengthening of national and regional capacity, in close consultation with the Gulf States. Guinea, relevant regional organizations and other United Nations entities.	1
But Eritrea&#39;s provocations have not been limited to declarations of war.	0
Notes that the human rights due diligence policy has been developed, encourages [the Mission] to continue to fully implement it and requests the Secretary-General to report to the Council on progress made in its implementation of said policy;	1
h) Submit, through the Committee, a mid-term report within 90 days following its establishment;	1
There is overwhelming evidence that most of these killings were neither provoked nor necessary to contain the protesters.	0
The success of anti-terrorist measures depends largely on the coordination of the efforts of the international community aimed at repressing the various forms of support for terrorism, especially its financing.	1
The best way to address the problem is to publicize the opportunities that new payment methods create to transfer funds covertly and outside the control of governments.	1
There had been numerous contacts with the Government of Morocco, which, before accepting the resumption of shuttle diplomacy activities, had requested a meeting to clarify issues related to the most recent report of the Secretary-General (S/2014/258) and considered that This would allow the process to advance in the best possible way.	1
The mission will recall that the Council is ready to support the transitional authorities in their fight against impunity in the Democratic Republic of the Congo.	1
The Council also notes with concern that LRA attacks in the Central African Republic have reportedly taken place in locations outside the main area of operations of the African Union Regional Task Force.	0
Likewise, it recommends that further investigation be carried out to find out the possible involvement of Leandro Issac in the crimes committed.	1
