es	MatCoop
15. Declara que está dispuesto a considerar la conveniencia y viabilidad de establecer zonas y corredores de seguridad provisionales para proteger a los civiles y encauzar la asistencia en situaciones en que se cierna sobre la población civil la amenaza de genocidio, crímenes de lesa humanidad y crímenes de guerra;	0
14. Expresa que está dispuesto a considerar toda solicitud adicional de asistencia que le haga el Gobierno del Líbano para que se haga rendir cuenta de sus actos a todos los responsables de este crimen;	1
El Equipo de Vigilancia ha examinado la aplicación del embargo de armas en relación con los métodos utilizados por Al-Qaida y los talibanes en la preparación de sus atentados.	1
El Consejo destaca la conveniencia de seguir creando asociaciones efectivas de colaboración entre las Naciones Unidas y las organizaciones regionales y subregionales pertinentes, a fin de permitir una pronta respuesta a las controversias y crisis incipientes y de reforzar el papel de las Naciones Unidas en la prevención de los conflictos.	1
H. Prevención de los actos de explotación y abuso sexuales cometidos por funcionarios de las Naciones Unidas, personal conexo y asociados y respuesta a esos actos;	1
Por consiguiente, el cambio climático no solo estaba exacerbando las amenazas existentes a la paz y la seguridad internacionales; también constituía en sí una amenaza a la paz y la seguridad internacionales.	0
A este respecto, nos preocupa en especial la falta de avance en materia de libertad de circulación de las minorías, retornos sostenibles y representación importante de las minorías en las estructuras gubernamentales y en el sector público en general.	0
Cuando así lo exigen las circunstancias, los Comités Ejecutivos tratan cuestiones relacionadas con la situación de la mujer en zonas asoladas por los conflictos, incluidas las cuestiones de la violencia por motivos de género y la explotación y el abuso sexuales.	1
En el párrafo 7 de la resolución 1535 (2004), el Consejo de Seguridad insistía en que, para asegurar que el Comité siguiese funcionando eficazmente durante la incorporación de la estructura de apoyo del Comité en la Dirección Ejecutiva del Comité contra el Terrorismo, el Comité seguiría funcionando con su actual estructura de apoyo hasta que, en consulta con el Secretario General, decidiese que su Dirección Ejecutiva estaba en condiciones de funcionar.	0
En todo caso, esos problemas por lo general se habían solucionado mediante la intervención de los equipos de supervisión de los medios de difusión.	1
La protección de la población civil en el este del Chad no consiste simplemente en garantizar la seguridad física de los refugiados, los desplazados y el personal de asistencia humanitaria y proporcionar apoyo logístico y estructuras de paredes rígidas para el DIS.	1
Recuerda, en particular, la obligación de hacer distinción entre la población civil y los combatientes, y la prohibición de atacar de forma indiscriminada y de atacar a civiles y bienes de carácter civil, así como la prohibición de utilizar armas químicas y emplear armas, proyectiles, materias y métodos de hacer la guerra de tal índole que causen males superfluos o sufrimientos innecesarios.	1
Destaca que la existencia de programas eficaces de desarme, desmovilización y reintegración de niños, basados en las mejores prácticas descritas por el Fondo de las Naciones Unidas para la Infancia y otras instancias pertinentes de protección de los niños, es crucial para el bienestar de todos los niños que han sido reclutados o utilizados por fuerzas y grupos armados en contravención del derecho internacional aplicable, y constituye un factor decisivo para la paz y la seguridad duraderas, e insta a los gobiernos nacionales y los donantes a garantizar que dichos programas comunitarios reciban recursos y financiación suficientes de manera oportuna y sostenida.	0
Mientras tanto, el Programa de las Naciones Unidas para el Desarrollo (PNUD) está ejecutando un programa de corto plazo de reinserción dirigido a 5.200 excombatientes y a las comunidades en las que han de reasentarse.	1
La dependencia de inteligencia financiera inició sus actividades operacionales a principios del decenio de 1990. Se estableció una ley destinada a resolver un problema en aumento de blanqueo de dinero por los grupos delictivos organizados, que fue enmendada en 2002 para incluir la supresión de la financiación del terrorismo. Los "agentes del mercado de dinero" fueron obligados a identificar a sus clientes, llevar registros de la identidad de los clientes y de las actividades de las cuentas de los clientes por lo menos durante siete años después de cerrada la cuenta, y a informar a la dependencia acerca de cualquier transacción en efectivo importante (más de 7.000 dólares), operaciones sospechosas, e instrucciones para la transferencia de fondos hacia o desde el país.	1
En consecuencia, se ha limitado a reunir información fiable acerca de las personas de quienes podría sospecharse que son responsables por crímenes cometidos en Darfur.	1
Alentando en este contexto a las partes a que demuestren una mayor voluntad política para llegar a una solución, incluso ahondando en sus deliberaciones sobre las propuestas de la otra parte,	0
En esa ocasión, también presentó información actualizada sobre la amenaza que planteaban los combatientes terroristas extranjeros asociados con el Estado Islámico del Iraq y el Levante y el Frente Al-Nusra, de conformidad con el párrafo 26 de la resolución 2178 (2014).	0
Las fuerzas armadas intervinieron en varias ocasiones para controlar manifestaciones e impedir que los manifestantes se acercaran a la Línea Azul.	0
n) Coordinar y cooperar con el punto focal nacional de lucha contra el terrorismo o un órgano coordinador similar en el país que se visite, según corresponda;	1
Sin embargo, no creemos que la soberanía exija que el Consejo permanezca en silencio cuando los Gobiernos masacran a su propia población, amenazando la paz y la seguridad regionales en ese proceso.	0
La reserva también apoyaría a las unidades de policía formadas desplegadas en la zona.	1
No podemos dejar de expresar nuestra preocupación ante el empeoramiento de la situación de seguridad en regiones que anteriormente gozaban de relativa calma.	0
Debido al brote del Ébola, las instituciones de seguridad de Guinea pasaron a centrarse en contenerlo.	1
Todos los Estados han promulgado leyes para reglamentar la producción, la venta y la transferencia de armas y explosivos.	1
Respecto de la coordinación interna, muchos Estados de Asia han establecido organismos u órganos centralizados cuyo mandato consiste en coordinar las actividades de lucha contra el terrorismo y analizar la información conexa, incluso respecto de la incitación.	1
Recuerda las conclusiones que hizo suyas el Grupo de Trabajo del Consejo de Seguridad sobre los Niños y los Conflictos Armados en [el país afectado], ... exhorta a todas las partes a que pongan fin a las graves infracciones y los abusos cometidos contra niños en [el país afectado], insta al Gobierno ... a que elabore y aplique un plan de acción concreto y con plazos establecidos para detener el reclutamiento y la utilización de niños, solicita al Secretario General que siga dialogando con el Gobierno ... a este respecto, y reitera la solicitud que formuló al Secretario General de que reforzara el componente de protección de la infancia de [la misión] y siguiera vigilando la situación de los niños en [el país afectado] y presentando informes al respecto;	0
La Fuerza sigue aumentando su capacidad antidisturbios con objeto de estar mejor preparada para hacer frente a cualquier resurgimiento de la violencia.	0
Asimismo, en el examen amplio se reconoció que los Estados habían tomado un número considerable de medidas para aplicar la resolución 1540 (2004) y cumplir con sus obligaciones, aunque también se determinó que los Estados habían adoptado menos medidas en algunos ámbitos, como las armas biológicas, los sistemas vectores, las listas nacionales de control, el acceso a materiales conexos y la financiación de actividades de proliferación prohibidas o ilícitas.	1
Es necesario desarrollar una capacidad adecuada en ámbitos fundamentales de la gestión civil de las crisis como la policía, la justicia y el régimen de derecho, la preparación y observación de procesos electorales, la protección civil y la administración pública.	1
No resultó fácil la tarea de operar en ese entorno, pero la FNUOS había evolucionado como misión y había ajustado sus operaciones para responder a los retos que planteaba el entorno de conflicto y enfrentamientos internos que, últimamente, habían aumentado en intensidad y gravedad.	0
Las autoridades de la República Democrática del Congo tienen la obligación internacional de velar por que su país no sea utilizado como base desde donde estos rebeldes ataquen a Uganda.	0
Por ejemplo, en octubre y diciembre de 2003, el JEM atacó Kulbus, en Darfur occidental, como se describe más arriba en el documento, y saqueó las tiendas del mercado.	0
Este estancamiento provoca tensiones políticas y socava el ambiente de cada vez más confianza prevaleciente después de las elecciones y de la toma de posesión del Presidente Martelly.	0
Pide al Secretario General y a los organismos pertinentes de las Naciones Unidas, entre otras cosas, que en consulta con las mujeres y las organizaciones dirigidas por mujeres, y según resulte apropiado, elaboren mecanismos eficaces para proteger de la violencia, en particular de la violencia sexual, a las mujeres y las niñas en los campamentos de refugiados y desplazados internos administrados por las Naciones Unidas, así como en todos los procesos de desarme, desmovilización y reintegración y en los esfuerzos de reforma de la justicia y del sector de seguridad que reciben asistencia de las Naciones Unidas.	0
Reconociendo que el desarrollo, la seguridad y los derechos humanos se refuerzan mutuamente y son vitales para aplicar un enfoque efectivo e integrado contra el terrorismo, y subrayando que asegurar la paz y la estabilidad sostenibles debe ser una de las metas particulares de las estrategias contra el terrorismo,	0
La Comisión confirmó también que tras el ataque a Tawila de febrero de 2004, un grupo de unas 30 estudiantes fueron secuestradas por milicianos Janjaweed y detenidas en un campamento, donde fueron violadas repetidas veces.	0
Unas 20.000 personas han quedado sin hogar en Abidján debido a la destrucción deliberada de los barrios de viviendas precarias.	0
:: Conclusiones y resultados de las actividades efectuadas por las autoridades libanesas en el lugar del delito y zonas adyacentes	1
Tengo el honor de remitir adjunto el informe del Comité del Consejo de Seguridad establecido en virtud de la resolución 1521 (2003) relativa a Liberia, en el que se da cuenta de las actividades realizadas por el Comité entre el 1 de enero y el 31 de diciembre de 2014. El informe, que fue aprobado por el Comité, se presenta de conformidad con la nota del Presidente del Consejo de Seguridad de 29 de marzo de 1995 (S/1995/234).	1
i) Tome medidas inmediatas para asegurar la igualdad de género en la práctica, tales como proporcionar acceso igual a la mujer en la vida pública y el empleo; erradicar las leyes, reglamentos y prácticas discriminatorias de la mujer; adoptar medidas para abordar todas las formas de violencia contra la mujer, incluida la violencia doméstica, la violencia sexual y la violencia sexista ejercida por agentes del Estado o en las instituciones estatales, y responda de manera inmediata y efectiva a la trata de mujeres y aborde las causas estructurales de la vulnerabilidad de la mujer a esos tipos de violencia.	1
Acogiendo con beneplácito la mayor representación de las mujeres en el Parlamento, encomiando a las autoridades [nacionales] y subrayando la necesidad de aumentar su participación en los procesos de adopción de decisiones en la prevención y solución de conflictos,	0
Exhorta a quienes corresponda, de acuerdo con el derecho internacional humanitario, incluidos los Convenios de Ginebra y el Reglamento de La Haya, a que permitan el acceso libre y pleno del personal humanitario a los civiles que necesiten asistencia en situaciones de conflicto armado y pongan a su disposición en lo posible todos los medios necesarios para llevar a cabo sus operaciones, y a que promuevan la seguridad, la protección y la libertad de circulación del personal humanitario, el personal de las Naciones Unidas y su personal asociado y de sus bienes.	1
:: Mejoren la cooperación para enjuiciar a los terroristas, incluida la cooperación en la prevención, la investigación y el enjuiciamiento de terroristas y delitos de terrorismo	1
En ese sentido, el Comité también ha subrayado la importancia de las disposiciones que exigen que la detención se realice en lugares públicamente reconocidos como centros destinados a esos fines y que exista el debido registro de los nombres de los detenidos y los lugares de detención.	0
El 20 de noviembre, la Ministra de Relaciones Exteriores de Australia, Julie Bishop, presidió una reunión informativa sobre el tema "Las operaciones de mantenimiento de la paz: el papel de la policía en las operaciones de mantenimiento de la paz y consolidación de la paz después de los conflictos". Esta fue la primera reunión en la historia del Consejo dedicada a cuestiones de policía.	0
Los contingentes y las fuerzas de policía deberían estar más preparados para cumplir tareas de protección, en particular para prevenir la violencia sexual relacionada con los conflictos.	1
En la Declaración, además de reafirmar la importancia de acelerar los preparativos para la celebración de elecciones en octubre, las partes convinieron en que el desarme y el desmantelamiento de las milicias deberían estar ultimados el 20 de agosto y que la troica integrada por la ONUCI, la Oficina del Primer Ministro de Côte d'Ivoire y la Misión de Mediación de la Unión Africana determinaría qué medidas adicionales era preciso adoptar para acelerar el proceso.	1
Sin embargo, las dos partes siguieron evitando relacionarse directamente y todos los contactos entre las dos fuerzas armadas se dieron a través de comunicaciones escritas y reuniones con la MINURSO.	1
Actualmente el riesgo de defecciones no es muy considerable habida cuenta de la debilidad del gobierno central, pero la situación puede tomar otro giro si las autoridades afganas logran fortalecer su capacidad y reparar su reputación de corruptas e impotentes.	1
La gran extensión de las fronteras, inaccesibles y a menudo abiertas, hace muy difícil su gestión eficaz y se presta a las actividades de grupos delictivos y terroristas transnacionales.	0
Algunos Estados han comenzado a reconocerlo elaborando estrategias nacionales amplias contra el terrorismo que van más allá de la aplicación de la ley para hacer que participen distintos agentes sociales.	1
k) A la luz de los gastos pasados del aparato dirigente, militar y de seguridad, reorganice las prioridades y dedique los recursos disponibles a que los ciudadanos, incluidos los que sirven en las fuerzas armadas, no pasen hambre y alcancen otros niveles mínimos esenciales.	1
En segundo lugar, ha habido una destrucción en gran escala de aldeas en los tres estados de Darfur.	0
La ONUCI también está reclutando personal para su Dependencia de Conducta del Personal.	1
El conflicto armado actual es la causa principal de que las personas abandonen sus hogares y también la causa más común de inseguridad alimentaria.	0
Cuatro Estados han tipificado debidamente como delito la financiación del terrorismo, mientras que tres aún no lo han hecho.	0
Los Estados deben establecer más bien un marco jurídico claro, completo y coherente que tipifique expresamente los actos de terrorismo como delitos penales graves, castigue esos actos según su gravedad y facilite a los tribunales el enjuiciamiento de los terroristas.	0
Exhortamos a Israel a que adopte nuevas medidas para eliminar los puestos de avanzada de los colonos, de conformidad con la hoja de ruta y enfrente la amenaza cada vez mayor del extremismo de los colonos.	0
Amenazas a la paz y la seguridad internacionales causadas por actos terroristas	0
Examinando la pauta de los daños es evidente que se trató de una carga de explosivos de gran potencia.	1
Se han suministrado o se están suministrando a Kenya, Mozambique, Seychelles y la República Unida de Tanzanía sistemas de vigilancia marítima costera y sistemas de comunicaciones para que proporcionen una visión compartida del medio marítimo.	1
El proceso de concesión de ascensos fue gestionado plenamente por el Gobierno, con el apoyo de un comité integrado por cinco expertos internacionales (de Australia, Malasia, Nueva Zelandia, Portugal y Singapur) y el apoyo técnico de la policía de la UNMIT.	0
De conformidad con la orientación normativa del Comité en materia de derechos humanos, la Dirección Ejecutiva seguirá teniendo en cuenta en su labor los aspectos de derechos humanos de las resoluciones 1373 (2001) y 1624 (2005) del Consejo de Seguridad.	1
El Consejo de Seguridad reitera su exigencia de que las fuerzas armadas se sometan plenamente al control civil.	0
Juntos, trabajaremos para que un día las fuerzas iraquíes puedan asumir plenamente la responsabilidad del mantenimiento de la seguridad y la estabilidad en el Iraq.	1
Timor-Leste sigue enfrentándose a importantes retos relacionados con la reducción de la pobreza y la creación de oportunidades de empleo, en particular para los jóvenes.	0
La estructura y la organización de los servicios de inteligencia de Siria y el Líbano en el Líbano en el momento de la explosión, incluidos los protocolos de transmisión de información, ponen de manifiesto una presencia sumamente extendida en la vida cotidiana del Líbano.	0
Mientras que los líderes que están en el Afganistán conservan su prestigio personal y su autoridad histórica como fundadores de Al-Qaida y son más hábiles para sostener la falacia de que existe una justificación religiosa para el terrorismo, Al-Qaida en el Iraq, dirigida por Abu Musab Al-Zarqawi o un sucesor, habiendo sido la autora de una serie de ataques muy notorios, cuenta con una mayor adhesión de quienes ansían participar en acciones violentas.	0
El 7 de abril de 2014, dos expertos de la Oficina de las Naciones Unidas contra la Droga y el Delito (UNODC), el Sr. Clément Gorrissen y el Sr. Simon Davis, perdieron la vida en un atroz ataque en el aeropuerto de Gaalkacyo en Puntlandia (Somalia), cuando se encontraban en una misión relacionada con el rastreo de las corrientes financieras ilícitas derivadas de la piratería.	0
Durante el período examinado, el componente de Policía de la UNMIS se centró en formar al Servicio de Policía del Sudán Meridional en seguridad para el referéndum y en ayudarlo a preparar sus planes de seguridad para el referéndum.	1
Si añadiera a sus responsabilidades un ámbito jurídico enteramente nuevo en relación con las indemnizaciones, el Tribunal no sólo tendría que crear nueva jurisprudencia, sino también que ampliar considerablemente su plantilla y establecer nuevas normas y procedimientos para determinar las indemnizaciones.	1
En el caso de las instituciones bancarias, esta obligación se establece igualmente en el Reglamento No. 1 del Banco Nacional Checo, de 8 de septiembre de 2003.	1
Justamente ayer, el Primer Ministro de Georgia hizo público un plan detallado de solución del conflicto en otra región separatista de Georgia, la región de Tskhinvali/ex Ossetia meridional.	0
A este respecto, durante la aplicación hará falta flexibilidad a fin de asegurar que el marco se ajuste, según sea necesario, para responder a las novedades y los cambios que se produzcan en el contexto.	0
Observando que la situación imperante en la región sigue siendo una amenaza para la paz y la seguridad internacionales,	0
Las unidades de policía constituidas se encargan de proporcionar capacidad antidisturbios, en caso de que se produzcan manifestaciones ilegales o violentas, y de proteger al personal, las instalaciones y las propiedades de las Naciones Unidas en sus respectivas zonas de responsabilidad.	1
Otro participante reiteró que se debía dar la debida consideración a los Estados Miembros involucrados directamente en un conflicto o afectados concretamente por éste, dándoles la oportunidad de formular una declaración oficial.	0
Dadas las preocupaciones mencionadas anteriormente y la continua presencia y actividades de las milicias en el Líbano, mejorar la gestión y el control de las fronteras terrestres del país es fundamental para prevenir el flujo ilegal de armas a los grupos armados.	1
Otras medidas que contribuyen a la polarización de los dos grupos incluyen el conflicto de 1987 a 1989 por el acceso a los pastizales y las fuentes de agua entre los nómadas de origen árabe y los fur, que son sedentarios.	0
La Declaración, recordando al mundo que las víctimas de delitos deben ser tratadas con compasión y respeto, reconoce su derecho a que se les haga justicia, a que se las trate en forma equitativa y a que se les otorgue una reparación en la forma de resarcimiento, indemnización u otras modalidades de asistencia por los perjuicios que hayan sufrido.	1
24. Insta al Grupo Internacional de Trabajo, que recibirá regularmente informes del Grupo de Mediación, y al comité de sanciones establecido en virtud de la resolución 1572 (2004), de 15 de noviembre de 2004, a que realicen una estricta evaluación, supervisión y seguimiento de los progresos logrados en relación con las cuestiones mencionadas en los párrafos 14 a 18 supra;	1
En mi calidad de representante del Presidente en ejercicio de la Unión Africana, tengo el honor de transmitirle adjunto el comunicado relativo a Côte d'Ivoire, emitido por el Consejo de Paz y Seguridad de la Unión Africana, en su 40ª reunión, celebrada a nivel de Jefes de Estado y de Gobierno, en Addis Abeba, el 6 de octubre de 2005.	1
Ayudará al Comité a iniciar un debate para estudiar las necesidades de asistencia técnica de los Estados para aplicar la resolución 1624 (2005) y facilitará la prestación de esa asistencia cuando proceda hacerlo.	1
El Coordinador de la Asistencia Humanitaria de las Naciones Unidas ha hecho un llamamiento de asistencia humanitaria de emergencia para ayudar a que las 20.000 familias puedan pasar el invierno.	1
Insta al [Estado afectado] a facilitar el socorro internacional para el desastre humanitario mediante una suspensión de todas las restricciones que podrían obstaculizar el suministro de asistencia humanitaria y el acceso a las poblaciones afectadas.	1
6. Pide también al Comité establecido en virtud de la resolución 1267 (1999) que presente al Consejo de Seguridad informes periódicos sobre la aplicación de la presente resolución;	0
La explosión que mato al Sr. Hariri y a otras 22 personas se produjo por encima de la calzada.	0
El JEM subrayó que sus normas internas imponían la firme obligación de respetar el derecho internacional humanitario y las normas internacionales de derechos humanos, y que no habían atacado ni atacarían objetivos civiles.	1
Esas acusaciones falsas contradicen la razón y las normas básicas de una actitud profesional. Tengo la seguridad de que el Consejo las desestimará.	0
Los otros elementos cruciales de este proceso de creación de instituciones son el fortalecimiento del imperio de la ley mediante el aumento de la eficiencia, la imparcialidad y el funcionamiento general del sistema judicial, y el mejoramiento de las instituciones de imposición coercitiva de la ley para poner coto a la delincuencia organizada y la violencia étnica y someter a la justicia a todos los delincuentes.	0
Sobre la base del examen inicial que realizó la MINURSO, se desplegó un equipo de examen del personal, y después un equipo de evaluación de la gestión, del Departamento de Operaciones de Mantenimiento de la Paz, con objeto de ultimar las recomendaciones destinadas a reconfigurar la estructura civil a fin de prestar un mejor apoyo a las actividades comprendidas en el mandato actual, asegurar una mayor integración entre los componentes militar y civil y mejorar la gestión de la MINURSO.	0
Mientras los Estados no impongan ninguna obligación a las personas mencionadas en la Lista para que se atengan a la prohibición de viajar, no les parecerá que sea arriesgado tratar de evitarla.	0
La Comisión constató que, si bien todas las partes que participan en el conflicto han cometido crímenes contra la población civil, el Gobierno del Sudán y los Janjaweed son responsables de una abrumadora mayoría de los homicidios de personas civiles cometidos durante el conflicto de Darfur.	0
iv) Preparar y actualizar periódicamente, al menos una vez al mes, un calendario de actividades de divulgación u otras actividades similares, que abarque períodos futuros de por lo menos seis meses y que incluya información sobre otras actividades de los Estados interesados, así como de las organizaciones internacionales, regionales y subregionales pertinentes, del Comité contra el Terrorismo, del Comité establecido en virtud de la resolución 1267 (1999) y de otros órganos de las Naciones Unidas;	0
4. Asesinatos de combatientes enemigos heridos	0
6. Confirma además que las disposiciones del párrafo 1 a) supra se aplica también al pago de rescates a personas, grupos, empresas o entidades que figuren en la Lista relativa a las sanciones contra Al-Qaida;	1
Se ha incrementado el número de agresiones contra las fuerzas de seguridad nacionales e internacionales, funcionarios de las instituciones públicas y personal humanitario. Ha aumentado el número de ataques contra colegios electorales y de amenazas contra los equipos de empadronamiento.	0
El Comité fue establecido en virtud de la resolución 1518 (2003) del Consejo de Seguridad, de 24 de noviembre de 2003, para seguir identificando, en cumplimiento de lo dispuesto en los párrafos 19 y 23 de la resolución 1483 (2003), a las personas y entidades cuyos fondos u otros activos financieros o recursos económicos debían congelarse y transferirse al Fondo de Desarrollo para el Iraq.	1
El Consejo de Seguridad reitera su disposición a imponer sanciones a las personas y entidades que brinden refugio, financien, faciliten, apoyen, organicen, adiestren o inciten a personas o grupos para que cometan actos de violencia o terrorismo contra otros Estados o sus ciudadanos en Somalia o en la región, de conformidad con sus resoluciones pertinentes, y a otras redes regionales, así como a particulares, grupos, empresas y entidades que no rompan todos sus vínculos con Al-Qaida y los grupos asociados, entre ellos Al-Qaida en el Magreb Islámico (AQMI), el `Movimiento para la Unidad y la Yihad en África Occidental' (MUJAO) y Ansar Eddine, de conformidad con la resolución 2083 (2012).	0
Consideramos que, en conjunto, las medidas anteriores ofrecen la base de un enfoque estratégico para reforzar las fuerzas de la paz en Somalia. Este enfoque complementaría las medidas ya adoptadas por el Consejo de Seguridad para contener el conflicto.	1
Los miembros del Consejo, en sus observaciones, expresaron su grave preocupación por los acontecimientos recientes, destacaron la necesidad de establecer mecanismos de seguridad fronterizos, y pidieron a las dos partes que adoptaran medidas tendientes a normalizar sus relaciones.	0
A menudo el PCN-Maoísta ha apuntado expresamente a las niñas y ha conseguido reclutar un gran número, muchas de las cuales se han incorporado a fin de escapar de las restricciones tradicionales.	0
Preocupados por el hecho de que hasta el momento los movimientos armados más importantes hayan estado ausentes de las negociaciones, han instado a que se mantengan los contactos con el Gobierno y los movimientos no signatarios a fin de aumentar la inclusividad del proceso de paz.	1
Los movimientos rebeldes también participaron en actos de saqueo, principalmente contra comisarías de policía con el fin de obtener armas; en unas pocas ocasiones, los rebeldes también robaron bienes privados.	0
El Consejo de Seguridad recuerda también los horrendos ataques terroristas que tuvieron lugar el 11 de septiembre de 2001 en Nueva York, Washington, D.C. y Pennsylvania, y los numerosos ataques perpetrados por la red en todo el mundo.	0
d) Mantendrá un diálogo e intercambiará información con los centros de contacto o coordinadores designados sobre cuestiones relativas a su contribución a la aplicación de la resolución 1540 (2004);	0
Algunos Estados necesitan reforzar sus sistemas judiciales aún más para que los procesos contra el terrorismo se lleven a cabo en total consonancia con el estado de derecho.	1
A fin de responder con eficacia a la naturaleza asimétrica de la amenaza terrorista, es esencial reforzar la cooperación mediante el intercambio permanente de información entre las fuerzas del orden, los órganos encargados de la seguridad fronteriza y los servicios de inteligencia.	1
La ONUCI ha desplegado mayores esfuerzos para concienciar a la población de Côte d'Ivoire del Mandato de los objetivos de la Misión y a fin de contrarrestar los efectos de la actual campaña de descrédito de la Misión.	1
Se presta especial atención al sector de la seguridad y se examinan también los actos del Gobierno, del Presidente y de la UNOTIL.	1
En el marco de la Estrategia Internacional de Apoyo y el Plan de Estabilización y Reconstrucción, se han traspasado a las autoridades nacionales ocho instalaciones estatales, que incluyen instalaciones policiales y administrativas en los territorios de Masisi y Rutshuru, Kivu del Norte; instalaciones policiales, administrativas y judiciales en Walungu, Kivu del Sur; y un centro de adiestramiento náutico para la policía de fronteras en el distrito de Ituri.	1
Recientemente, la Dirección Ejecutiva celebró, junto con el Programa de fomento de la capacidad contra el terrorismo de la IGAD, un seminario para funcionarios de policía, aduanas y relaciones exteriores de los países de la subregión sobre la cuestión del control fronterizo.	1
El Gobierno del Afganistán ha exhortado a que el Comité responda con más flexibilidad a sus propuestas de supresión de nombres de la Lista, porque teme que si no puede conseguir las supresiones perderá un sistema indispensable para recompensar a los talibanes que aceptan la reconciliación y corre el riesgo de que vuelvan a tomar las armas.	0
- Alentar a las operaciones de las Naciones Unidas para el mantenimiento de la paz y otras misiones pertinentes autorizadas por el Consejo de Seguridad, según proceda y considerando cada caso en particular, a que impidan la apropiación y la confiscación ilegales de tierras y bienes pertenecientes a refugiados y desplazados internos y a que velen por la protección de los refugiados y desplazados internos que regresen.	1
El Comité sigue observando y evaluando la evolución de la índole de la amenaza que representan Al-Qaida y sus asociados para la paz y la seguridad internacionales y adaptando el enfoque de sus actividades en consecuencia a fin de responder de manera eficaz y eficiente a esas amenazas.	1
No obstante, es poco probable que los contingentes de las FARDC desplegados en la provincia logren establecer un control efectivo y sostenido en toda Katanga y limitar de forma sustancial la capacidad de los Mayi-Mayi de hostigar a la población local y explotar ilegalmente los recursos naturales.	0
Se convino en que Somalia, la región y la comunidad internacional tenían que prestar más atención a las actividades de fomento de la capacidad en la lucha contra la piratería, con miras a elevar al máximo los avances que habían hecho las fuerzas navales.	0
Su colaboración con las organizaciones regionales y subregionales debería centrarse en facilitar la interacción de las instituciones regionales y nacionales para resolver problemas de aplicación a nivel nacional, conciliando prioridades, armonizando enfoques, prestando servicios de asesoramiento y redacción, y adecuando las solicitudes a las ofertas de asistencia.	1
Actualmente el equipo de las Naciones Unidas en el país entabla un diálogo para revisar el plan de acción, incluidos 168 proyectos, y para institucionalizar aún más la planificación del desarrollo, incluidos también los enfoques basados en la comunidad como el mecanismo de reconciliación y coexistencia pacífica y la programación para la reducción de conflictos dirigida por el PNUD.	0
No obstante, cualquier cambio que se introduzca en los acuerdos tendrá que ser mutuamente aceptable y coherente con el principio de que las fuerzas militares deben mantener el statu quo durante la cesación del fuego, y que ha de permitirse que los observadores militares de la MINURSO gocen de plena libertad de movimientos, de conformidad con los principios básicos del mantenimiento de la paz.	0
Cinco Estados han adoptado medidas apropiadas para reprimir el reclutamiento de terroristas, y cuatro no disponen de ninguna medida a ese respecto.	1
Se trata de una amenaza real, aunque se ha contenido en gran medida gracias a una cuidadosa cooperación en los planos nacional, bilateral y multilateral.	1
Esta Comisión, que será presidida por un miembro internacional, debería estar integrada por personas de reputación internacional establecida, especialistas en derecho (en particular, derecho internacional, responsabilidad extracontractual, o derecho comercial), contabilidad, ajuste actuarial o daños ambientales.	0
Ahora que esta amenaza aumenta, la respuesta de la comunidad internacional debe evolucionar y mantenerse a la par.	0
En el plazo de una semana a partir de la aprobación por el Comité de sus orientaciones normativas en un ámbito determinado, la Dirección Ejecutiva ha de elaborar el correspondiente plan de aplicación y presentárselo al Comité para su aprobación.	0
En esa decisión, y aunque los miembros de las Fuerzas de la Coalición Aliada quedaban expresamente excluidos de la jurisdicción de la Comisión de Indemnización de las Naciones Unidas, se permitió la indemnización respecto a las reclamaciones de los prisioneros de guerra presentadas por efectivos de la Coalición Aliada por pérdidas o lesiones resultantes de los malos tratos infligidos en violación del derecho internacional humanitario.	1
Siete han establecido en su legislación interna su jurisdicción respecto de los delitos pertinentes, cinco han adoptado algunas medidas con ese fin, y respecto de nueve Estados no se dispone de información suficiente sobre la materia.	1
Instando a los Estados a que cooperen plenamente con el Comité contra el Terrorismo establecido en virtud de la resolución 1373 (2001), con inclusión de su recientemente establecida Dirección Ejecutiva, el Comité de Sanciones contra Al-Qaida y los Talibanes establecido en virtud de la resolución 1267 (1999) y su equipo encargado de prestar apoyo analítico y vigilar la aplicación de las sanciones y el Comité establecido en virtud de la resolución 1540 (2004), e instando además a esos órganos a que estrechen la cooperación entre ellos,	0
Trágicamente, el Vicealcaide y un guardia murieron en el ataque, mientras que el Alcaide y un supervisor resultaron heridos.	0
En el vídeo se intercala un nuevo mensaje con secuencias en las que aparece Mustafa Abu Al Yaced, también denominado Jeque Saeed, el jefe de Al-Qaida en el Afganistán, con dirigentes talibanes; extractos de los mensajes de Bin Laden; noticias de televisión; actuaciones de importantes Jefes de Estado y de Gobierno, muchos de ellos de países árabes; funcionarios de la Agencia Central de Inteligencia (CIA); funcionarios de la Organización del Tratado del Atlántico del Norte (OTAN); expertos en lucha contra el terrorismo; religiosos musulmanes; académicos; periodistas; abogados y partidarios occidentales de Al-Qaida.	0
En agosto, en cumplimiento de un acuerdo suscrito por el Gobierno y el grupo armado de la oposición Mouvement pour la démocratie et la justice au Tchad a principios de 2010, 58 niños, incluidas 10 niñas, pudieron reunirse con sus familias.	1
Las Fuerzas Armadas Libanesas informaron a las Naciones Unidas que el deterioro de la situación de seguridad en la República Árabe Siria las había llevado a reforzar las medidas de control de la frontera para prevenir la entrada de armas y personal militar al Líbano y su salida de él.	1
