ar	QuadClass
78 - تعرّضت معظم دول هذه المنطقة دون الإقليمية لهجمات إرهابية نُفذت إما في أراضيها أو ضد رعاياها في أنحاء أخرى من العالم.	1
والدعم اللوجستي المحتمل تقديمه للعملية الانتخابية ستكون له آثار كبيرة من حيث الدعم، ولا سيما في المناطق غير المتأثرة بالنزاع التي قامت البعثة بتقليص وجودها فيها.	0
استعرضت لجنة التحقيق الدولية العديد من التقارير، من مصادر عامة وسرية على السواء، فيما يتعلق بالصراع في دارفور.	0
وبناء على موافقة اللجنة، قادت المديرية التنفيذية في أيلول/سبتمبر 2008 بعثة مشتركة بين اللجنة وفرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب، موفدة إلى مدغشقر.	2
وقد حدد هوية هؤلاء الأفراد شهود عيان شاهدوهم وهم يشاركون في هجوم على قرية، ارتكبت خلاله في الغالب أعمال حرق ونهب وقتل وأحيانا اغتصاب.	1
ويتطلع مجلس الأمن إلى سماع مزيد من التفاصيل بشأن مقترحات الممثل الخاص للأمين العام.	0
:: أن يُضطلع بالتنسيق المنتظم بين العنصرين المدني والعسكري في البعثات، ومع الأطراف العاملة في المجال الإنساني، من أجل توحيد الخبرة الفنية في ميدان حماية المدنيين.	2
وكان الغرض من الاجتماع الاستثنائي اتخاذ الخطوة الأولى نحو تعميق الوعي الإقليمي بنظام الجزاءات وتشجيع تعزيز التعاون بين اللجنة وبلدان منطقة الساحل والمغرب العربي.	0
11 - يأذن للدول الأعضاء، إذ تتصرف بموجب الفقرة 10 أعلاه، بأن تتخذ جميع التدابير اللازمة لتنفيذ المرفق 1 - ألف من اتفاق السلام وكفالة الامتثال له، ويؤكد على وجوب أن تستمر الأطراف في تحمل المسؤولية، على قدم المساواة، عن الامتثال لأحكام ذلك المرفق وأن تخضع بالتساوي، لإجراءات الإنفاذ التي قد تراها قوة تثبيت الاستقرار ضرورية لكفالة تنفيذ أحكام ذلك المرفق وحماية هذه القوة، ويحيط علما بأن الأطراف قد ارتضت اتخاذ قوة تثبيت الاستقرار المتعددة الجنسيات لهذه التدابير؛	4
391 - ومما لا شك فيه أن نهب القرى والاستيلاء على الماشية والمحاصيل وأمتعة الأسر المعيشية وسوى ذلك من الممتلكات الشخصية للسكان على أيدي القوات الحكومية أو المليشيات الخاضعة لسيطرتها يمثل جريمة حرب.	1
وبما أن الميليشيات التابعة لهاتين الجماعتين تحافظ على صلات وثيقة في المنطقة، فأنا أتوقع من حكومة الجمهورية العربية السورية أن تشارك على نحو بنّاء في هذه العملية.	0
وتلزم كتيبة واحدة وموارد كافية لمقر قيادة للقيام بالتالي: تأمين مطار كاليمي؛ وتوفير بيئة آمنة للعملية الانتخابية؛ ومراقبة حظر الأسلحة في المطار والموانئ على بحيرة تنجانيقا - موبا؛ ومنع انتقال العناصر المسلحة من جنوب كيفو إلى كاتنغا؛ ومراقبة مايي - مايي في شمال ووسط كاتنغا وتشجيعهم على الانضمام لعملية الإدماج، أو نزع السلاح والتسريح وإعادة الإدماج؛ وتوفير قدرة إجلاء للبعثة ولموظفي الأمم المتحدة الآخرين الموجودين في شمال كاتنغا وكسايس.	0
2 - وأنشئت المديرية التنفيذية لمكافحة الإرهاب لفتـرة أولية تنتهـي في 31 كانون الأول/ديسمبر 2007، على أن يتم استعراضها استعراضا شاملا من قبل مجلس الأمن بحلول 31 كانون الأول/ديسمبر 2005.	0
عُمم المنظور الجنساني في الاستجابات المنسقة لمنع نشوء الصراعات المسلحة وحالات الطوارئ.	0
وقد أقامت معسكرات للتدريب العسكري في منطقة مقديشو الكبرى بما في ذلك منطقتي لانتا بورو وهيلويني، وأرسلت الأسلحة التي حصلت عليها في سوق بكارا للأسلحة إلى هذه المعسكرات.	0
وإذ يعيد تأكيد أن الإرهاب بجميع أشكاله ومظاهره يشكل أحد أخطر التهديدات التي تحدق بالسلام والأمن الدوليين وأن أي أعمال إرهابية هي أعمال إجرامية وغير مبررة، مهما كانت بواعثها وأوقات ارتكابها، وأيا كان مرتكبوها،	3
82 - ومتابعة لقرارات مجلس الأمن المتعلقة بالأطفال المتأثرين بالصراعات المسلحة، ولا سيما القرار 1612 (2005)، أقيمت شراكة قوية بين الأمم المتحدة والمنظمة الهولندية للتعاون الإنمائي الدولي - الصومال، وهي منظمة غير حكومية، لبدء الإبلاغ والرصد على صعيد المجتمع المحلي في مجال انتهاكات حقوق الطفل وحماية الطفل.	2
وتلقت اللجنة أدلة على تعرض مدنيين للخطف على أيدي قادة هذا المخيم و حجزهم بعدها داخل المخيم حيث يعذبون ويكلفون بأعمال شاقة.	1
ووفقا لاختصاصات اللجنة، يثبت التقرير الوقائع والظروف المتعلقة بالحوادث التي وقعت في 28 و 29 نيسان/أبريل وفي الفترة من 23 إلى 25 أيار/مايو وغيرها من الأحداث أو المسائل ذات الصلة التي أسهمت في نشوب الأزمة؛ ويوضح التقرير المسؤوليات عن الأحداث ويوصي بتدابير للمساءلة.	0
10 - يوصي المدير التنفيذي بإدخال التغييرات التالية على الهيكل الإداري للمديرية التنفيذية، التي ترمي إلى تحسين الاتصالات الشاملة لمختلف الجهات، وزيادة دقة واتساق الوثائق والتقارير التي تعدّها المديرية التنفيذية وزيادة دينامية المديرية التنفيذية وفعاليتها واستجابتها للجنة.	0
الأخطار التي تهدد السلام والأمن الدوليين والتي تتسبب فيها الأفعال الإرهابية	3
الجمهورية التشيكية طرف في هذه الاتفاقية. والاتفاقية لا تقتضي إحداث جرائم جديدة.	0
كما وافقت اللجنة على توجيه رسائل إلى كل من الممثل الدائم للصومال ومفوض الاتحاد الأفريقي للسلام والأمن توصي فيها بإجراء تحقيق مستقل في التقارير الواردة عن قيام مسؤولين من الحكومة الاتحادية الانتقالية وأفراد من الوحدة الأوغندية التابعة لبعثة الاتحاد الأفريقي في الصومال، على التوالي، ببيع أسلحة وذخائر إلى سوق الصومال للأسلحة.	4
وينظر الفريق أيضاً في القلق الدولي المتزايد فيما يتعلق باستعمال الإرهابيين للإنترنت، ويقدم وجهات نظر بشأن هذه المسألة وجميع أنشطة الرصد التي يضطلع بها.	3
3 - طوال الفترة المشمولة بالتقرير، ركز السفير غينادي تاراسوف، المنسق الرفيع المستوى، أنشطته على مهمة بناء الثقة وجسور التعاون بين الكويت والعراق بهدف تعزيز انخراطهما الفعلي في عملية البحث عن الأشخاص المفقودين والمتلكات المفقودة وتشجيعهما على تحقيق تقدم واضح وملموس صوب تنفيذ الأهداف المحددة في الفقرة 14 من قرار مجلس الأمن 1284 (1999).	2
وتوجد لدى غالبية الدول تشريعات لمكافحة غسل الأموال وتدرج أربع من تلك الدول تمويل الإرهاب في تشريعاتها باعتباره جريمة أصلية.	0
"""ويشجع مجلس الأمن الحكومات الوطنية والأمم المتحدة والمنظمات الإقليمية ودون الإقليمية على توسيع نطاق الخبرات المدنية في مجال بناء السلام في أعقاب النـزاعات مباشرة وتعميقها، بما في ذلك الخبرة المكتسبة في البلدان التي لها تجربة في مجال بناء السلام أو التحول الديمقراطي في فترة ما بعد انتهاء النـزاع، مع إيلاء اهتمام خاص لتعبئة قدرات البلدان النامية وقدرات المرأة، لما يتسم به ذلك من أهمية بالغة لنجاح الأمم المتحدة في مساعيها في مجال بناء السلام."	0
وقرار وزارة العدل الذي يخفـف فيه هذا الشرط لتسجيل شكاوى الاغتصاب غير معروف بالنسبة لمعظم وكالات إنفاذ القانون في دارفور.	0
ويبيّن استخدام المتفجرات المصنوعة في البيت قدرة الإرهابيين المرتبطين بتنظيم القاعدة على التكيف في البلدان التي تطبق الحظر على توريد الأسلحة بفعالية.	1
73 - وفي ما يتعلق بموضوع الشفافية والتوعية، يظهر الارتفاع الواضح للغاية في أنشطة التوعية مقارنة بالسنوات السابقة زيادة طلب الدول الأعضاء والمنظمات الدولية لمشاركة أعضاء اللجنة وخبرائها في الأنشطة. وهي تظهر أيضا زيادة طيبة في الوعي بالقرار 1540 (2004) والالتزامات المتصلة به.	0
(أ) كفالة أن يتوافر لدى موظفي الجمارك ما يلزمهم من تدابير عملية وموارد ليتمكنوا من كشف ومنع محاولات نقل العملات والصكوك القابلة للتداول والدفع لحاملها ومحاولات تهريب الأسلحة؛	0
"""ويؤكد مجلس الأمن من جديد كذلك ضرورة العمل بكافة السبل، وفقا لميثاق الأمم المتحدة، على مكافحة الأخطار التي تهدد السلام والأمن الدوليين الناجمة عن الأعمال الإرهابية."	3
وتقوم ولاية اللجنة على البت، من خلال التحكيم الملزم، في جميع ما يقدم من مطالبات عن خسائر أو أضرار أو إصابات من جانب إحدى الحكومتين ضد الأخرى ومواطني أحد الطرفين (وهذا يشمل الأشخاص الطبيعيين والاعتباريين) ضد حكومة الطرف الآخر أو الكيانات الأخرى التي يملكها أو يمارس عليها سلطته، والتي تكون (أ) متعلقة بنزاع موضوع الاتفاق الإطاري، وطرائق تنفيذه، واتفاق وقف الأعمال القتالية، و (ب) ناجمة عن انتهاكات للقانون الإنساني الدولي، بما في ذلك اتفاقيات جنيف لعام 1949، أو غير ذلك من الانتهاكات للقانون الدولي.	0
428- طلبت اللجنة مرارا إلى الحكومة أن تزودها بمعلومات عن الإجراءات القضائية التي اتخذتها لتقديم مرتكبي الجرائم المزعومة في دارفور إلى العدالة.	0
وينبغي أن يكون الممثل الدائم لجمهورية الكونغو الديمقراطية على علم بإجراء أوغندا الخاص بإعلان ستـة قادة من قيادات الحركة الثورية الكونغولية أشخاصا غير مرغوب فيهم، كما ورد في وثيقة مجلس الأمن (S/2005/603).	0
49 - وواصلت الحكومة أيضا جهودها لتقديم المساعدة الغذائية إلى شرائح السكان الضعيفة المفتقرة إلى الأمن الغذائي وذلك بدعم من برنامج الأغذية العالمي عن طريق برنامج تغذية الأم والطفل التابع لوزارة الصحة (000 47 مستفيد) في عام 2010 حتى 30 حزيران/يونيه وبرنامج تغذية المدارس التابع لوزارة التعليم (000 241 مستفيد) وبرنامج الغذاء مقابل العمل (600 مستفيد) الذي يستهدف المجتمعات المحلية المحتاجة للغذاء. وفي 27 أيار/مايو تم افتتاح مصنع لإنتاج الأغذية لتوزيعه عن طريق برنامج تغذية الأم والطفل وذلك بدعم تقني وإداري من برنامج الأغذية العالمي.	2
85 - يوجد بالقوات المسلحة أيضا وحدة عمليات تسمى مخابرات الحدود، يتمثل دورها الأساسي في جمع المعلومات.	0
وحسب ما أفاد المسؤولون الأفغانيون، فإن العدد السنوي للوفيات التي أسفرت عنها أنشطة المتمردين، في عام 2010، يتجاوز العدد المسجل في السنة السابقة بنسبة 50 في المائة، وارتفعت الخسائر المدنية بمقدار الثلث.	1
وقد تشمل هذه الوكالات أجهزة الشرطة والدرك والمخابرات والأمن وبعض الأجهزة الخاصة، وربما تشمل أيضا هيئات عسكرية في بعض الدول.	0
بينما سينصب التركيز في الأمد المتوسط على مراقبة مناطق المناجم والقضاء على الخطر الذي تشكله الجماعات المسلحة بإيتوري وتقييد وجود القوات الديمقراطية لتحرير رواندا في مناطق معينة بالنظر إلى عملية نزع السلاح والتسريح والإعادة إلى الوطن وإعادة الإدماج والتأهيل.	3
وفي تلك المعركة، نقل الجنود الذين أصيبوا إلى برم لتلقي الرعاية الطبية.	0
تؤكد حكومة الجمهورية العربية السورية بأنها ماضية في أداء واجبها في حماية مواطنيها ونزع أسلحة الإرهاب ومحاسبة مرتكبيه، كما تؤكد أنها مضاية في سعيها لإيجاد حل سياسي للأزمة التي تمر بها سوريا بالتعاون مع المبعوث الخاص السيد كوفي عنان، ومن خلال تعزيز الإنجازات الديمقراطية التي بدأتها منذ شهر آذار/مارس من العام الماضي في مختلف المجالات، بما في ذلك إلغاء حالة الطوارئ وإصدار قانون التعددية الحزبية وقانون الانتخابات المحلية وقانون حرية الإعلام والاهتمام بالوضع الاقتصادي للمواطنين وإصدار الدستور الجديد وغيرها من التشريعات التي تهدف إلى تعزيز الحياة السياسية وتعميق التعددية والديمقراطية وتقود إلى إطلاق عملية إصلاح متكاملة.	2
على أنه ليس ثمة ما يدل على أن ذلك يشكل تجنيدا قسريا.	0
وسيكون ذلك أمرا بسيطا بالنسبة للجديد من الأسماء المدرجة، لكن تعديل الأسماء المدرجة بالفعل بما يعكس هذا التفسير قد يشكل عبئا.	0
وقد وقع السودان، لكنه لم يصدق بعد، على البروتوكول الاختياري لاتفاقية حقوق الطفل بشأن إشراك الأطفال في الصراعات المسلحة.	4
19 - وسيواصل مكتب الإعلام والإدارة توسيع موقع اللجنة الإلكتروني وتحديثه وزيادة عدد الوصلات الإلكترونية المتاحة للمواقع الإلكترونية للأمم المتحدة والكيانات الأخرى التي لديها ولايات لمكافحة الإرهاب.	0
وإذ يهيب بجميع الدول العمل معا على نحو عاجل على منع الأعمال الإرهابية والقضاء عليها، بما في ذلك من خلال التعاون المتزايد والتنفيذ الكامل للاتفاقيات الدولية ذات الصلة بالإرهاب،	0
فقد شهدت كينشاسا وغيرها من المناطق في غرب البلد مستويات تهديد منخفضة نسبيا، على الرغم من أن معدلات الجريمة لا تزال مصدر قلق.	3
ولئن كان ثمة انشغال له ما يبرره من إضعاف الجزاءات أو الظهور بمظهر 'لين` تجاه الإرهاب، فإن تحسين إجراءات الشطب من القائمة سيعزز الجزاءات مع إضفاء الإنصاف عليها.	1
ودار جدال شفوي محتدم بين العقيد ريس والسيد مالك.	3
قدم وكيل الأمين العام للشؤون القانونية والمستشار القانوني، نيكولا ميشال، في 2 أيار/مايو إحاطة إلى المجلس بشأن الرحلة التي أجراها مؤخرا إلى لبنان وحث أعضاء المجلس على تلبية الحاجة إلى سد الفراغ والمساعدة على إنشاء المحكمة الخاصة للبنان.	0
"بيد أنه ليس في وسع اللجنة أن تخلص إلى أن تلك الأعمال تشكل جزءا من هجوم ""منهجي"" أو ""واسع النطاق"" ضد السكان المدنيين."	0
(ح) تطوير الدور العالمي للمديرية التنفيذية في الاتصالات الاستراتيجية المتعلقة بمكافحة الإرهاب، بسبل منها تقديم إحاطات إلى الأعضاء كافة، والعمل مع قادة العالم وصناع الرأي العالمي، والتواصل مع وسائط الإعلام وغيرها من الجهات المعنية.	0
4 - يحث المديرية التنفيذية على مواصلة تعزيز دورها في تيسير تقديم المساعدة التقنية في تنفيذ القرار 1373 (2001) بغية زيادة قدرات الدول الأعضاء والمناطق على مكافحة الإرهاب عن طريق تلبية احتياجاتها في هذا المجال، وذلك بالتعاون الوثيق مع فرقة العمل المعنية بالتنفيذ، وكذلك مع مقدمي المساعدة على أساس ثنائي ومتعدد الأطراف، ويرحب بالنهج المركز والإقليمي الذي تتبعه المديرية التنفيذية في هذا العمل؛	2
216 - بناء على النتائج التي توصلت إليها اللجنة والتحقيق اللبناني حتى الآن، وعلى قاعدة الأدلة المادية والوثائقية التي جمعت، والدلائل التي تم التوصل إليها حتى الآن، هناك أدلة متفقة تشير إلى التورط السوري واللبناني في هذا العمل الإرهابي.	3
غير أنه، في حالات الجرائم التي تُرتكب بانتظام أو على نطاق واسع، كنمط من أنماط السلوك الإجرامي، تصبح مسؤولية الرئيس أكثر جدية.	1
وإذ يؤكد مجددا ضرورة الاستعانة بجميع الوسائل، بما يتفق وميثاق الأمم المتحدة، من أجل مكافحة الأخطار التي تسببها الأعمال الإرهابية للسلم والأمن الدوليين،	3
ولكن ذلك لا ينبغي أن يحول الاهتمام عن التنفيذ الكامل للقرار 1559 (2004) وسائر قرارات مجلس الأمن المتعلقة بلبنان، فتنفيذ هذه القرارات يظل الوسيلة المثلى لضمان ازدهار لبنان واستقراره على المدى الطويل كدولة ديمقراطية.	0
ويعتزم المجلس تكثيف جهوده الرامية إلى مكافحة الإفلات من العقاب ودعم المساءلة عن الجرائم الخطيرة التي ترتكب ضد النساء والفتيات وذلك بتوفير الوسائل المناسبة، ويلفت الانتباه إلى مجموعة كاملة من آليات العدالة والمصالحة التي يتعين النظر فيها، بما في ذلك المحاكم الجنائية الوطنية والدولية والمختلطة بأنواعها، ولجان الحقيقة والمصالحة التي يتعين النظر فيها، بما في ذلك المحاكم الجنائية الوطنية والدولية والمختلطة بأنواعها، ولجان الحقيقة والمصالحة، فضلا عن البرامج الوطنية لتعويض الضحايا والإصلاحات المؤسسية والآليات التقليدية لتسوية المنازعات.	2
وإذ يعترف بأهمية مساهمة حظر توريد الأسلحة الذي يفرضه المجلس في مكافحة النقل غير المشروع للأسلحة الصغيرة والأسلحة الخفيفة وفي التخفيف من حدة النـزاعات وتهيئة الظروف المواتية للتسوية السلمية للحالات التي تهدد بالإخلال بالسلام والأمن الدوليين، وإذ يعترف أيضا بإسهام حظر توريد الأسلحة الذي يفرضه المجلس في دعم منع نشوب النـزاعات وبناء السلام بعد انتهاء النـزاع ونزع السلاح والتسريح وإعادة الإدماج وإصلاح قطاع الأمن،	4
تركّزت الملاحظات التي أدلت بها نائبة المدعي العام بنسودة على دور المحكمة الجنائية الدولية وتأثيرها في تعزيز التحقيق في الجرائم الخطيرة التي تثير قلق المجتمع الدولي ومقاضاة مرتكبيها.	2
وكان المرسوم دافعا للمزيد من التطورات فيما يتعلق بإدماج الجماعات المسلحة الكونغولية في القوات المسلحة لجمهورية الكونغو الديمقراطية.	0
وأبدى الأعضاء قلقا بشأن الحالة الأمنية وشددوا على أنها ما لم تُعالج بسرعة وفعالية، فإن عودة الأمور إلى طبيعتها قد تتوقف، مما يقوض الجهود التي تبذلها السلطات من أجل تحقيق الاستقرار.	3
وفي بعض الحالات الأخيرة، من قبيل الحالتين في كوت ديفوار وليبيا، رحب المجلس بلجنتي التحقيق اللتين أنشأهما مجلس حقوق الإنسان. وأظهر ذلك مدى الارتباط الوثيق بين الإجراءات الملموسة الرامية إلى تعزيز السلام والأمن وبين حماية حقوق الإنسان.	4
(ر) التشاور مع دوائر المخابرات والأمن في الدول الأعضاء، بما في ذلك من خلال الملتقيات الإقليمية، بغرض تيسير تبادل المعلومات وتعزيز إنفاذ التدابير؛	4
وقد تردد أن أحد أفراد القوات الموازية، الذي كان يرتدي تي شيرت أبيض وبصحبته ثلاثة من ضباط الشرطة، قد أطلق النيران على المتظاهرين في أثناء فرارهم.	1
وقدم الذين عادوا شهادة موثوقا بها حول وجود عدد كبير من المفقودين في أماكن احتجاز غير رسمية وسرية، يرعاها جهاز الأمن في مواقع مختلفة من منطقة دارفور.	1
يشرفني أن أشير إلى قرار مجلس الأمن 1606 (2005) المؤرخ 20 حزيران/يونيه 2005 الذي طلب فيه المجلس إلي الشروع في مفاوضات مع حكومة بوروندي ومشاورات مع جميع الأطراف البوروندية المعنية بشأن كيفية تنفيذ التوصيات الواردة في تقرير بعثة التقييم (انظر S/2005/158) بإنشاء لجنة مختلطة لتقصي الحقائق ودائرة خاصة داخل نظام المحاكم في بوروندي. وطلب إلي كذلك أن أقدم، بحلول 30 أيلول/سبتمبر، تقريرا إلى المجلس عن تفاصيل التنفيذ، بما في ذلك التكاليف والهياكل والإطار الزمني.	4
2 - يطلب إلى المدير التنفيذي للمديرية التنفيذية للجنة مكافحة الإرهاب أن يوصي، في غضون 60 يوما من اتخاذ هذا القرار وبالتشاور مع أعضاء المجلس، بالتغييرات التي يرى من الملائم إدخالها على الخطة التنظيمية المشار إليها في الفقرة 4 من القرار 1535 (2004)، وأن يقدمها إلى لجنة مكافحة الإرهاب لتنظر فيها وتقرها قبل انتهاء المدة المشار إليها في الفقرة 1 من هذا القرار؛	0
64 - ويبدو أن حرص الدول واللجنة على الإبقاء على قوائم الإيديولوجيين على الرغم من عدم وجود أثر هو دليل على اتجاه أوسع نطاقاً في مكافحة الإرهاب يتمثل في المواءمة بين الجهود الرامية إلى القبض على الإرهابيين واحتجازهم، في مسعى إلى منع الآخرين من أن يصبحوا إرهابيين أصلاً.	0
- أنه أصبح من السهل، في عالم يتزايد عولمة، أن يستغل الإرهابيون التكنولوجيا والاتصالات والموارد المتطورة لتحقيق أهدافهم الإجرامية؛	3
وأحيلت التقارير الشهرية والحالات الأكثر أهمية إلى لجنة مجلس الأمن المنشأة عملا بالقرار 1572 (2004) بشأن كوت ديفوار لاتخاذ الإجراءات المناسبة بشأنها.	0
إن السودان لا يستهدف الأمم المتحدة بحكم أنه عضو أصيل فيها وملتزم بأحكام ميثاقها ويقدر جهودها في تحقيق الأمن والاستقرار والتنمية في السودان، بل يسعى جاهداً لتطوير هذه العلاقة وفق أحكام ميثاق الأمم المتحدة وقرارات الجمعية العامة ومجلس الأمن ذات الصلة.	4
464 - وقدمت اللجنة توصيات في مجالات الأمن، والمعونة الإنسانية، وتعزيز البنية الاجتماعية، والخدمات والتنمية، وفتح مخافر للشرطة مزودة بما يكفي من إمدادات لسرعة مواجهة الأزمات، والاستيلاء على الأسلحة التي في أيدي المشبوهين.	0
"4 - دخلت وحدة الاستخبارات المالية مرحلة التشغيل في مستهل التسعينات من القرن الماضي. وأنشئت هذه الوحدة بموجب تشريع سن لمعالجة مشكلة آخذة في الازدياد وهي مشكلة غسل الأموال من قِبل جماعات إجرامية منظمة، وعُدِّل التشريع في سنة 2002 ليتناول قمع تمويل الإرهاب. إذ يجبر ""المتعاملون بالنقد"" على الكشف عن هوية عملائهم والاحتفاظ بسجلات للعملاء ونشاط حسابات العملاء لفترة لا تقل عن سبع سنوات بعد إقفال الحساب، وتقديم تقارير إلى وحدة الاستخبارات المالية عن المعاملات النقدية الكبيرة (التي تزيد على 000 7 دولار)، والمعاملات المشبوهة، وتعليمات تحويل الأموال إلى داخل البلد أو خارجه."	0
وأوصى مجلس الإدارة العليا بالتغييرات القانونية المناسبة مما نشأ عنه إزاحة العقبة القانونية التي كانت تحول دون التقدم داخل الوزارة.	0
وبموجب قانون السوابق القضائية الدولي، ينطوي التخطيط على قيام شخص أو عدة أشخاص بالتفكير في الترتيب لارتكاب جريمة في مرحلتيها التحضيرية والتنفيذية معا().	0
وضع استراتيجيات متعددة القطاعات للتصدي للعنف الجنساني، يشترك فيها أطراف من قطاعات الصحة، والسلامة/ الأمن، والقانون/العدل، والعناية النفسية؛ تنظيم تدريب محلي لتعزيز المهارات والقدرات الوطنية في مجال التصدي للعنف الجنساني.	2
وأحث القادة اللبنانيين على استئناف وتسريع مناقشاتهم المتعلقة بوضع استراتيجية للدفاع الوطني، وعلى تحقيق تقدم ملموس في ذلك. ويجب أن تكون النتيجة النهائية لهذه العملية هي ألا توجد أسلحة بدون موافقة حكومة لبنان ولا سلطة غير سلطة حكومة لبنان.	0
18 - وستعمل المديرية على نحو وثيق مع مورّد برامجيات نظام تاور لإدارة السجلات والمعلومات لتحديث البرنامج الهيكلي لتقييمات التنفيذ الأولية، بحيث تعكس آراء اللجنة وتوصيات خبراء المديرية ومقترحات الدول الأعضاء بإعادة تنظيم تقييمات التنفيذ الأولية لكي تخزن معلومات أكثر تفصيلاً وشمولاً عن حالة تنفيذ القرار 1373 (2001).	2
وإذ يساوره بالغ القلق إزاء تزايد عدد ضحايا الأعمال الإرهابية، بمن فيهم الأطفال، بدافع التعصب أو التطرف، في مختلف مناطق العالم،	1
دعوة جميع الأطراف المعنية إلى تهيئة الظروف المواتية التي تتيح للاجئين والمشردين العودة الطوعية والآمنة والكريمة والمستدامة إلى ديارهم، وإعادة إدماجهم أو إعادة توطينهم محليا.	0
وإذ يكرر تأكيد إدانته الشديدة للهجمات التي تعرضت لها العملية المختلطة للاتحاد الأفريقي والأمم المتحدة في دارفور ودعوته حكومة السودان إلى أن تعجل بالتحقيق في تلك الهجمات وتقديم مرتكبيها إلى العدالة، وإذ يكرر أيضا تأكيد طلبه إلى جميع الأطراف في دارفور أن تتعاون مع البعثة تعاونا تاما، ويؤكد من جديد تعازيه الحارة لحكومات القتلى وأسرهم،	3
ووصف الحالة في مسرح الجريمة بأنها حالة تكتنفها الفوضى.	0
ولن ينطبق البرنامج على الأفراد الذين يعتبرون مجرمين أو إرهابيين دوليين، مثل أعضاء تنظيم القاعدة.	3
وأظهرت زيارات اللجنة للمنطقة ضرورة أن تزيد الدول من تنفيذ القوانين لتمنع نقل النقدية والسندات القابلة للتداول والدفع لحاملها عبر الحدود على نحو غير مشروع وذلك بوضع مؤشرات للمخاطر وبناء القدرات في مجال منهجيات الكشف.	0
"""ويعرب مجلس الأمن مجدداً عن بالغ قلقه إزاء آثار انعدام الاستقرار في شمال مالي على منطقة الساحل وخارجها، ويؤكد الحاجة إلى التصدي بسرعة لهذه الأزمة من خلال نهج استراتيجي شامل بهدف كفالة السلامة الإقليمية لمالي واستعادة الاستقرار فيها ومنع تواصل زعزعة استقرار دول منطقة الساحل."	3
"""ولا يزال مجلس الأمن يساوره بالغ القلق إزاء ما تشكّله أعمال القرصنة والسطو المسلح في عرض البحر من خطر يهدد الملاحة الدولية، وسلامة الطرق البحرية التجارية، والأمن والتنمية الاقتصادية للدول في المناطق المعنية، كما يهدد سلامة ورفاه البحارة وغيرهم، بما في ذلك تعرضهم للاحتجاز كرهائن، وإزاء زيادة العنف الذي يستخدمه القراصنة والأشخاص الضالعون في أعمال القرصنة والسطو المسلح في عرض البحر. ويدين مجلس الأمن بأشد العبارات أخذ الرهائن واستعمال العنف ضدهم، ويهيب بالدول أن تتعاون أيضا، حسب الاقتضاء، على كفالة الإفراج المبكر عن الرهائن، بما في ذلك عن طريق تبادل المعلومات والاستخبارات."	3
وإضافة إلى ذلك، أفادت لجنة الصليب الأحمر الدولية بوجود 476 3 حالة معلقة تخص مفقودين في كوسوفو، حوالي 600 منهم من أصل صربي ومن الروما.	1
ويشير تقرير فرقة العمل المعنية بالإجراءات المالية عن أنماط غسل الأموال وتمويل الإرهاب من خلال القطاع العقاري لعام 2008 إلى احتمال وجود خطط لتمويل الإرهاب ذات صلة بالقطاع العقاري.	3
ولا توجد سياسة دفاعية لتوجيه تطوير القوات.	0
ولا يـُـخـطـط لشــن أي هجوم على جمهورية الكونغو الديمقراطية وليس من المتوخـى شـن أي هجـوم عليها.	0
يعرب عن قلقه البالغ إزاء تجنيد (المناوئون للحكومة) للأطفال واستخدامهم في (البلد المتضرر)، وإزاء قتل الأطفال وتشويههم نتيجة للنزاع، ويكرر إدانته القوية لتجنيد الأطفال الجنود واستخدامهم في انتهاك للقانون الدولي الواجب التطبيق ولجميع الانتهاكات والتجاوزات الأخرى المرتكبة في حق الأطفال في حالات النزاع المسلح، ولا سيما الهجمات على المدارس ويدعو إلى تقديم المسؤولين عنها إلى العدالة.	1
بعد مضي نحو سنتين على آخر إحاطة بشأن الحالة في منطقة البحيرات الكبرى (المناطق المتضررة من أنشطة جيش الرب للمقاومة)، عقد المجلس جلسة خاصة في 21 تموز/ يوليه 2011 لمناقشة التهديد المستمر الذي يمثله ذلك الجيش للأمن الإقليمي.	3
وبالإضافة إلى ذلك، فإن أفراد حركتي التمرد أتوا أساسا من مجموعات محلية للدفاع عن القرى ومن قبائل معينة، وشُكلت ردا على تزايد الهجمات من القبائل الأخرى.	1
٢١ - وفي إطار الجهود التي تبذلها الشعبة لتعيين خبراء مؤهلين جيدا للعمل في أفرقة رصد الجزاءات بمختلف أنواعها، قامت، كعهدها كل سنة، بإرسال مذكرة شفوية إلى جميع الدول الأعضاء في كانون الأول/ديسمبر 2014 لتطلب منها تسمية مرشحين مؤهلين للإدراج في قائمة خبراء الشعبة.	0
كما أحرز تقدم في مجال تبادل المعلومات بشأن هؤلاء الأفراد - وخاصة عن طريق المنظمة الدولية للشرطة الجنائية (الإنتربول) - وفي التعاون في مجال أمن الحدود.	2
وأصبح الكثيرون يفهمون الآن أن ما تدّعي القاعدة أنه واجب ديني أو جهاد ليس سوى عنف إجرامي، كثيرا ما يستهدف إخوانهم المسلمين. وأصبحوا يعتبرون أن اتخاذ مقاتلي القاعدة لنفسهم الحق في وصف باقي المسلمين بالمرتدين (التيار التكفيري) ليس عجرفة فحسب بل إهانة شديدة.	1
ولم يجرّم نصف دول المنطقة الفرعية تجنيد أعضاء الجماعات الإرهابية.	0
